ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
徳島市議会議員選挙（2019年04月21日投票）,徳島県,徳島市議会議員選挙（2019年04月21日投票）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86952.999,40,1.0,0.025
徳島市議会議員選挙（2015年04月26日投票）,徳島県,徳島市議会議員選挙（2015年04月26日投票）,27.0,9.0,1.0,0.7297297297297297,0.24324324324324326,0.02702702702702703,25.0,4.0,1.0,0.8333333333333334,0.13333333333333333,0.03333333333333333,27.0,9.0,1.0,10.0,64799.0,14268.0,2739.0,17007.0,0.7921057135173459,0.17441263477006577,0.033481651712588316,0.2078942864826541,0.02933724864879059,0.019379181641118418,0.033481651712588316,0.02078942864826541,81806.0,37,0.0,0.0
徳島市議会議員選挙（2011年04月24日投票）,徳島県,徳島市議会議員選挙（2011年04月24日投票）,24.0,14.0,0.0,0.631578947368421,0.3684210526315789,0.0,22.0,12.0,0,0.6470588235294118,0.35294117647058826,0.0,24.0,14.0,0.0,14.0,60148.97,32469.02,0.0,32469.02,0.6494307423428213,0.35056925765717867,,0.35056925765717867,0.02705961426428422,0.02504066126122705,,0.02504066126122705,92617.99,38,0.0,0.0
徳島市議会議員選挙（2007年04月22日投票）,徳島県,徳島市議会議員選挙（2007年04月22日投票）,27.0,12.0,2.0,0.6585365853658537,0.2926829268292683,0.04878048780487805,27.0,6.0,1.0,0.7941176470588235,0.17647058823529413,0.029411764705882353,27.0,12.0,2.0,14.0,77276.47999999998,20513.52,3890.0,24403.52,0.7599968528717544,0.20174586939417785,0.03825727773406767,0.24000314712824553,0.028148031587842758,0.016812155782848153,0.019128638867033834,0.017143081937731824,101680.0,41,1.0,0.024390243902439025
鳴門市議会議員選挙（2017年11月26日投票）,徳島県,鳴門市議会議員選挙（2017年11月26日投票）,20.0,6.0,0.0,0.7692307692307693,0.23076923076923078,0.0,19.0,3.0,0,0.8636363636363636,0.13636363636363635,0.0,20.0,6.0,0.0,6.0,19657.0,5316.0,0.0,5316.0,0.7871301005085493,0.21286989949145077,,0.21286989949145077,0.039356505025427466,0.03547831658190846,,0.03547831658190846,24973.0,26,0.0,0.0
鳴門市議会議員選挙（2013年11月17日投票）,徳島県,鳴門市議会議員選挙（2013年11月17日投票）,18.0,5.0,2.0,0.72,0.2,0.08,18.0,3.0,1.0,0.8181818181818182,0.13636363636363635,0.045454545454545456,18.0,5.0,2.0,7.0,24290.11,3448.89,1172.0,4620.889999999999,0.8401684479955727,0.11929334855245408,0.040538203451973294,0.15983155200442736,0.04667602488864293,0.023858669710490815,0.020269101725986647,0.022833078857775337,28911.0,25,1.0,0.04
鳴門市議会議員選挙（2009年12月06日投票）,徳島県,鳴門市議会議員選挙（2009年12月06日投票）,17.0,7.0,0.0,0.7083333333333334,0.2916666666666667,0.0,16.0,6.0,0,0.7272727272727273,0.2727272727272727,0.0,17.0,7.0,0.0,7.0,20738.0,9680.0,0.0,9680.0,0.6817673745808402,0.3182326254191597,,0.3182326254191597,0.04010396321063766,0.04546180363130853,,0.04546180363130853,30418.0,24,0.0,0.0
鳴門市議会議員選挙（2005年12月18日投票）,徳島県,鳴門市議会議員選挙（2005年12月18日投票）,17.0,11.0,1.0,0.5862068965517241,0.3793103448275862,0.034482758620689655,15.0,6.0,1.0,0.6818181818181818,0.2727272727272727,0.045454545454545456,17.0,11.0,1.0,12.0,20786.0,9655.0,1179.0,10834.0,0.6573687539531942,0.30534471853257433,0.0372865275142315,0.34263124604680584,0.038668750232540836,0.027758610775688575,0.0372865275142315,0.02855260383723382,31620.0,29,0.0,0.0
小松島市議会議員選挙（2019年04月21日投票）,徳島県,小松島市議会議員選挙（2019年04月21日投票）,13.0,5.0,1.0,0.6842105263157895,0.2631578947368421,0.05263157894736842,11.0,5.0,1.0,0.6470588235294118,0.29411764705882354,0.058823529411764705,13.0,5.0,1.0,6.0,11523.0,5703.0,716.0,6419.0,0.6422360940809274,0.31785754096533275,0.03990636495373983,0.3577639059190726,0.04940277646776365,0.06357150819306655,0.03990636495373983,0.05962731765317877,17942.0,19,0.0,0.0
小松島市議会議員選挙（2015年04月26日投票）,徳島県,小松島市議会議員選挙（2015年04月26日投票）,14.0,3.0,3.0,0.7,0.15,0.15,14.0,2.0,1.0,0.8235294117647058,0.11764705882352941,0.058823529411764705,14.0,3.0,3.0,6.0,12937.0,2969.0,2715.0,5684.0,0.6947532355942215,0.15944363890231458,0.14580312550346383,0.3052467644057784,0.049625231113872965,0.05314787963410486,0.04860104183448794,0.050874460734296405,18621.0,20,0.0,0.0
小松島市議会議員補欠選挙（2013年01月27日投票）,徳島県,小松島市議会議員補欠選挙（2013年01月27日投票）,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,16300.0,0.0,16300.0,,1.0,,1.0,,0.3333333333333333,,0.3333333333333333,16300.0,3,0.0,0.0
小松島市議会議員選挙（2011年04月24日投票）,徳島県,小松島市議会議員選挙（2011年04月24日投票）,13.0,6.0,1.0,0.65,0.3,0.05,13.0,4.0,0,0.7647058823529411,0.23529411764705882,0.0,13.0,6.0,1.0,7.0,14876.0,4367.0,614.0,4981.0,0.7491564687515737,0.21992244548521933,0.03092108576320693,0.25084353124842623,0.057627420673197975,0.036653740914203224,0.03092108576320693,0.03583479017834661,19857.0,20,1.0,0.05
小松島市議会議員選挙（2007年04月22日投票）,徳島県,小松島市議会議員選挙（2007年04月22日投票）,14.0,6.0,0.0,0.7,0.3,0.0,14.0,5.0,0,0.7368421052631579,0.2631578947368421,0.0,14.0,6.0,0.0,6.0,15727.0,6808.0,0.0,6808.0,0.6978921677390726,0.30210783226092747,,0.30210783226092747,0.0498494405527909,0.05035130537682125,,0.05035130537682125,22535.0,20,0.0,0.0
小松島市議会議員補欠選挙（2005年01月23日投票）,徳島県,小松島市議会議員補欠選挙（2005年01月23日投票）,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,,
小松島市議会議員選挙（2003年04月27日投票）,徳島県,小松島市議会議員選挙（2003年04月27日投票）,20.0,5.0,0.0,0.8,0.2,0.0,18.0,3.0,0,0.8571428571428571,0.14285714285714285,0.0,20.0,5.0,0.0,5.0,20543.0,3511.0,0.0,3511.0,0.8540367506443834,0.14596324935561653,,0.14596324935561653,0.04270183753221917,0.029192649871123307,,0.029192649871123307,24054.0,25,1.0,0.04
阿南市議会議員補欠選挙（2019年11月10日投票）,徳島県,阿南市議会議員補欠選挙（2019年11月10日投票）,0.0,4.0,1.0,0.0,0.8,0.2,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,4.0,1.0,5.0,0.0,24455.0,6228.0,30683.0,,0.7970211517778575,0.20297884822214254,1.0,,0.19925528794446437,0.20297884822214254,0.2,30683.0,5,0.0,0.0
阿南市議会議員選挙（2017年11月12日投票）,徳島県,阿南市議会議員選挙（2017年11月12日投票）,22.0,6.0,1.0,0.7586206896551724,0.20689655172413793,0.034482758620689655,22.0,5.0,1.0,0.7857142857142857,0.17857142857142858,0.03571428571428571,22.0,6.0,1.0,7.0,26734.41,8293.58,1240.0,9533.58,0.7371351431386189,0.22867492794610345,0.03418992891527763,0.26286485686138106,0.03350614286993722,0.03811248799101724,0.03418992891527763,0.03755212240876872,36267.99,29,0.0,0.0
阿南市議会議員補欠選挙（2015年11月22日投票）,徳島県,阿南市議会議員補欠選挙（2015年11月22日投票）,0.0,3.0,2.0,0.0,0.6,0.4,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3.0,2.0,5.0,0.0,19288.0,10492.0,29780.0,,0.6476830087306917,0.35231699126930827,1.0,,0.2158943362435639,0.17615849563465413,0.2,29780.0,5,0.0,0.0
