ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
さいたま市議会議員選挙（2019年04月07日投票）,埼玉県,さいたま市議会議員選挙（2019年04月07日投票）,51.0,27.0,1.0,0.6455696202531646,0.34177215189873417,0.012658227848101266,50.0,10.0,0,0.8333333333333334,0.16666666666666666,0.0,51.0,27.0,1.0,28.0,311188.0,83345.0,2884.0,86229.0,0.7830263929323608,0.20971674588656247,0.007256861181076804,0.21697360706763927,0.01535345868494825,0.007767286884687499,0.007256861181076804,0.007749057395272831,397417.0,79,5.0,0.06329113924050633
さいたま市議会議員選挙（2015年04月12日投票）,埼玉県,さいたま市議会議員選挙（2015年04月12日投票）,48.0,30.0,3.0,0.5925925925925926,0.37037037037037035,0.037037037037037035,45.0,13.0,2.0,0.75,0.21666666666666667,0.03333333333333333,42.0,30.0,2.0,32.0,229481.0,111823.0,10413.0,122236.0,0.6524592214763574,0.3179345894568645,0.02960618906677812,0.34754077852364257,0.0155347433684847,0.01059781964856215,0.01480309453338906,0.01086064932886383,351717.0,74,1.0,0.013513513513513514
さいたま市議会議員補欠選挙（2013年05月19日投票）,埼玉県,さいたま市議会議員補欠選挙（2013年05月19日投票）,0.0,4.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,46028.0,0.0,46028.0,,1.0,,1.0,,0.25,,0.25,46028.0,4,0.0,0.0
さいたま市議会議員選挙（2011年04月10日投票）,埼玉県,さいたま市議会議員選挙（2011年04月10日投票）,46.0,38.0,6.0,0.5111111111111111,0.4222222222222222,0.06666666666666667,41.0,17.0,2.0,0.6833333333333333,0.2833333333333333,0.03333333333333333,46.0,38.0,6.0,44.0,253110.0,141698.0,21484.0,163182.0,0.6080107232423395,0.3403812708387382,0.0516080059189223,0.3919892767576605,0.013217624418311728,0.008957401864177322,0.008601334319820382,0.008908847199037739,416292.0,90,,
さいたま市議会議員補欠選挙（2009年05月24日投票）,埼玉県,さいたま市議会議員補欠選挙（2009年05月24日投票）,0.0,4.0,2.0,0.0,0.6666666666666666,0.3333333333333333,0.0,True,True,0.0,0.5,0.5,0.0,4.0,2.0,6.0,0.0,35317.0,37999.0,73316.0,,0.4817093131103715,0.5182906868896284,1.0,,0.12042732827759288,0.2591453434448142,0.16666666666666666,73316.0,6,,
さいたま市議会議員選挙（2007年04月08日投票）,埼玉県,さいたま市議会議員選挙（2007年04月08日投票）,60.0,23.0,13.0,0.625,0.23958333333333334,0.13541666666666666,47.0,9.0,8.0,0.734375,0.140625,0.125,60.0,23.0,13.0,36.0,303873.29000000004,85284.70999999999,48393.0,133677.71,0.6944865627092615,0.19491375862470886,0.1105996786660298,0.30551343729073865,0.011574776045154358,0.00847451124455256,0.008507667589694599,0.008486484369187185,437551.0,96,,
さいたま市議会議員増員選挙（2005年05月15日投票）,埼玉県,さいたま市議会議員増員選挙（2005年05月15日投票）,0.0,17.0,0.0,0.0,1.0,0.0,0.0,7.0,0,0.0,1.0,0.0,0.0,17.0,0.0,17.0,0.0,45824.0,0.0,45824.0,,1.0,,1.0,,0.058823529411764705,,0.058823529411764705,45824.0,17,3.0,0.17647058823529413
さいたま市議会議員補欠選挙（2005年05月15日投票）,埼玉県,さいたま市議会議員補欠選挙（2005年05月15日投票）,0.0,3.0,1.0,0.0,0.75,0.25,0.0,True,0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,32159.0,9453.0,41612.0,,0.7728299528982024,0.22717004710179756,1.0,,0.2576099842994008,0.22717004710179756,0.25,41612.0,4,1.0,0.25
さいたま市議会議員補欠選挙（2004年12月26日投票）,埼玉県,さいたま市議会議員補欠選挙（2004年12月26日投票）,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,True,0,0.5,0.5,0.0,1.0,2.0,0.0,2.0,8525.0,9227.0,0.0,9227.0,0.4802275799909869,0.519772420009013,,0.519772420009013,0.4802275799909869,0.2598862100045065,,0.2598862100045065,17752.0,3,0.0,0.0
さいたま市議会議員選挙（2003年04月13日投票）,埼玉県,さいたま市議会議員選挙（2003年04月13日投票）,67.0,24.0,5.0,0.6979166666666666,0.25,0.052083333333333336,53.0,8.0,3.0,0.828125,0.125,0.046875,67.0,24.0,5.0,29.0,289297.67,67467.32,20377.0,87844.32,0.7670789190034236,0.17889103252597255,0.05403004847060387,0.2329210809965764,0.011448939089603337,0.007453793021915523,0.010806009694120775,0.00803176141367505,377141.99,96,,
