ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
岡山市議会議員選挙（2019年04月07日投票）,岡山県,岡山市議会議員選挙（2019年04月07日投票）,42.0,6.0,3.0,0.8235294117647058,0.11764705882352941,0.058823529411764705,41.0,4.0,1.0,0.8913043478260869,0.08695652173913043,0.021739130434782608,42.0,6.0,3.0,9.0,200128.0,14147.0,7077.0,21224.0,0.9041165202934692,0.06391177852470274,0.03197170118182804,0.09588347970653077,0.021526583816511173,0.010651963087450457,0.010657233727276012,0.010653719967392308,221352.0,51,1.0,0.0196078431372549
岡山市議会議員補欠選挙（2017年10月01日投票）,岡山県,岡山市議会議員補欠選挙（2017年10月01日投票）,0.0,4.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,33706.0,0.0,33706.0,,1.0,,1.0,,0.25,,0.25,33706.0,4,1.0,0.25
岡山市議会議員選挙（2015年04月12日投票）,岡山県,岡山市議会議員選挙（2015年04月12日投票）,43.0,16.0,2.0,0.7049180327868853,0.26229508196721313,0.03278688524590164,38.0,6.0,2.0,0.8260869565217391,0.13043478260869565,0.043478260869565216,43.0,16.0,2.0,18.0,186654.0,39491.0,9764.0,49255.0,0.7912118655922411,0.16739929379548893,0.04138884061226999,0.20878813440775892,0.018400275944005607,0.010462455862218058,0.020694420306134994,0.011599340800431051,235909.0,61,,
岡山市議会議員補欠選挙（2013年10月06日投票）,岡山県,岡山市議会議員補欠選挙（2013年10月06日投票）,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0,True,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,22333.0,41106.0,63439.0,,0.3520389665663078,0.6479610334336922,1.0,,0.3520389665663078,0.6479610334336922,0.5,63439.0,2,0.0,0.0
岡山市議会議員再選挙（2013年10月06日投票）,岡山県,岡山市議会議員再選挙（2013年10月06日投票）,0.0,1.0,1.0,0.0,0.5,0.5,0.0,True,0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,15394.0,8750.0,24144.0,,0.6375911199469848,0.36240888005301525,1.0,,0.6375911199469848,0.36240888005301525,0.5,24144.0,2,0.0,0.0
岡山市議会議員選挙（2011年04月10日投票）,岡山県,岡山市議会議員選挙（2011年04月10日投票）,42.0,24.0,1.0,0.6268656716417911,0.3582089552238806,0.014925373134328358,37.0,15.0,0,0.7115384615384616,0.28846153846153844,0.0,42.0,24.0,1.0,25.0,179339.0,76355.0,1597.0,77952.0,0.6970278789386337,0.29676514141575105,0.006206979645615276,0.30297212106136634,0.016595901879491278,0.012365214225656293,0.006206979645615276,0.012118884842454653,257291.0,67,,
岡山市議会議員補欠選挙（2009年09月13日投票）,岡山県,岡山市議会議員補欠選挙（2009年09月13日投票）,0.0,3.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,198329.0,0.0,198329.0,,1.0,,1.0,,0.3333333333333333,,0.3333333333333333,198329.0,3,0.0,0.0
倉敷市議会議員選挙（2021年01月24日投票）,岡山県,倉敷市議会議員選挙（2021年01月24日投票）,37.0,14.0,0.0,0.7254901960784313,0.27450980392156865,0.0,37.0,6.0,0,0.8604651162790697,0.13953488372093023,0.0,37.0,14.0,0.0,14.0,109718.744,27997.251,0.0,27997.251,0.7967029828307163,0.2032970171692838,,0.2032970171692838,0.02153251304947882,0.014521215512091701,,0.014521215512091701,137715.99500000002,51,1.0,0.0196078431372549
倉敷市議会議員補欠選挙（2020年04月26日投票）,岡山県,倉敷市議会議員補欠選挙（2020年04月26日投票）,0.0,7.0,1.0,0.0,0.875,0.125,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,7.0,1.0,8.0,0.0,73478.0,15035.0,88513.0,,0.8301379458384645,0.1698620541615356,1.0,,0.11859113511978063,0.1698620541615356,0.125,88513.0,8,0.0,0.0
倉敷市議会議員選挙（2017年01月22日投票）,岡山県,倉敷市議会議員選挙（2017年01月22日投票）,38.0,13.0,0.0,0.7450980392156863,0.2549019607843137,0.0,37.0,6.0,0,0.8604651162790697,0.13953488372093023,0.0,38.0,13.0,0.0,13.0,135703.847,30536.148,0.0,30536.148,0.8163128674300069,0.18368713256999317,,0.18368713256999317,0.021481917563947548,0.014129779428461013,,0.014129779428461013,166239.995,51,2.0,0.0392156862745098
