ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
福島市議会議員選挙（2019年06月30日投票）,福島県,福島市議会議員選挙（2019年06月30日投票）,30.0,7.0,0.0,0.8108108108108109,0.1891891891891892,0.0,30.0,5.0,0,0.8571428571428571,0.14285714285714285,0.0,30.0,7.0,0.0,7.0,81703.781,12583.704,0.0,12583.704,0.8665389791656868,0.13346102083431327,,0.13346102083431327,0.028884632638856225,0.01906586011918761,,0.01906586011918761,94287.485,37,1.0,0.02702702702702703
福島市議会議員選挙（2015年07月12日投票）,福島県,福島市議会議員選挙（2015年07月12日投票）,29.0,14.0,1.0,0.6590909090909091,0.3181818181818182,0.022727272727272728,27.0,7.0,1.0,0.7714285714285715,0.2,0.02857142857142857,29.0,14.0,1.0,15.0,75456.86,24968.13,7389.0,32357.13,0.6998800433969654,0.2315852515986098,0.06853470500442475,0.30011995660303453,0.02413379459989536,0.016541803685614986,0.06853470500442475,0.020007997106868968,107813.99,44,0.0,0.0
福島市議会議員選挙（2011年07月31日投票）,福島県,福島市議会議員選挙（2011年07月31日投票）,31.0,12.0,1.0,0.7045454545454546,0.2727272727272727,0.022727272727272728,29.0,9.0,0,0.7631578947368421,0.23684210526315788,0.0,31.0,12.0,1.0,13.0,73851.61,21999.380000000005,1141.0,23140.380000000005,0.7614196801199768,0.2268164618542212,0.011763858025801923,0.23858031988002312,0.024561925165160543,0.0189013718211851,0.011763858025801923,0.018352332298463316,96991.98999999999,44,0.0,0.0
福島市議会議員補欠選挙（2009年11月08日投票）,福島県,福島市議会議員補欠選挙（2009年11月08日投票）,0.0,3.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,83674.0,0.0,83674.0,,1.0,,1.0,,0.3333333333333333,,0.3333333333333333,83674.0,3,0.0,0.0
福島市議会議員増員選挙（2008年08月10日投票）,福島県,福島市議会議員増員選挙（2008年08月10日投票）,0.0,4.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,3552.0,0.0,3552.0,,1.0,,1.0,,0.25,,0.25,3552.0,4,0.0,0.0
福島市議会議員選挙（2007年04月22日投票）,福島県,福島市議会議員選挙（2007年04月22日投票）,28.0,13.0,0.0,0.6829268292682927,0.3170731707317073,0.0,27.0,11.0,0,0.7105263157894737,0.2894736842105263,0.0,28.0,13.0,0.0,13.0,90844.11,35671.89,0.0,35671.89,0.7180444370672484,0.2819555629327516,,0.2819555629327516,0.02564444418097316,0.021688889456365507,,0.021688889456365507,126516.0,41,0.0,0.0
福島市議会議員補欠選挙（2005年11月13日投票）,福島県,福島市議会議員補欠選挙（2005年11月13日投票）,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,118299.0,0.0,118299.0,,1.0,,1.0,,0.25,,0.25,118299.0,4,0.0,0.0
福島市議会議員選挙（2003年04月27日投票）,福島県,福島市議会議員選挙（2003年04月27日投票）,28.0,14.0,3.0,0.6222222222222222,0.3111111111111111,0.06666666666666667,26.0,9.0,3.0,0.6842105263157895,0.23684210526315788,0.07894736842105263,28.0,14.0,3.0,17.0,81691.95,35855.020000000004,8942.0,44797.020000000004,0.6458424793877284,0.2834636095147269,0.0706939110975447,0.35415752061227157,0.023065802835276015,0.02024740067962335,0.023564637032514903,0.020832795330133623,126488.97,45,1.0,0.022222222222222223
会津若松市議会議員選挙（2019年08月04日投票）,福島県,会津若松市議会議員選挙（2019年08月04日投票）,24.0,7.0,1.0,0.75,0.21875,0.03125,23.0,4.0,1.0,0.8214285714285714,0.14285714285714285,0.03571428571428571,24.0,7.0,1.0,8.0,41457.0,8484.0,1373.0,9857.0,0.8079081732080914,0.16533499629730677,0.026756830494601862,0.19209182679190864,0.03366284055033714,0.02361928518532954,0.026756830494601862,0.02401147834898858,51314.0,32,0.0,0.0
会津若松市議会議員選挙（2015年07月26日投票）,福島県,会津若松市議会議員選挙（2015年07月26日投票）,18.0,17.0,0.0,0.5142857142857142,0.4857142857142857,0.0,18.0,12.0,0,0.6,0.4,0.0,18.0,17.0,0.0,17.0,27290.0,21433.0,0.0,21433.0,0.560105083841307,0.43989491615869303,,0.43989491615869303,0.03111694910229483,0.025876171538746648,,0.025876171538746648,48723.0,35,1.0,0.02857142857142857
会津若松市議会議員選挙（2011年08月07日投票）,福島県,会津若松市議会議員選挙（2011年08月07日投票）,24.0,5.0,3.0,0.75,0.15625,0.09375,24.0,4.0,2.0,0.8,0.13333333333333333,0.06666666666666667,24.0,5.0,3.0,8.0,45834.6,7505.4,5067.0,12572.4,0.7847449791976989,0.12850172068416457,0.08675330011813652,0.21525502080230108,0.03269770746657079,0.025700344136832913,0.028917766706045508,0.026906877600287635,58407.0,32,0.0,0.0
会津若松市議会議員選挙（2007年04月22日投票）,福島県,会津若松市議会議員選挙（2007年04月22日投票）,32.0,8.0,4.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,23.0,5.0,2.0,0.7666666666666667,0.16666666666666666,0.06666666666666667,32.0,8.0,4.0,12.0,51005.02,11751.62,5986.36,17737.98,0.7419667457050172,0.1709500603697831,0.08708319392519966,0.25803325429498275,0.023186460803281787,0.02136875754622289,0.021770798481299914,0.021502771191248563,68743.0,44,0.0,0.0
会津若松市議会議員選挙（2003年04月27日投票）,福島県,会津若松市議会議員選挙（2003年04月27日投票）,37.0,0.0,0.0,1.0,0.0,0.0,30.0,0,0,1.0,0.0,0.0,37.0,0.0,0.0,0.0,60751.0,0.0,0.0,0.0,1.0,,,,0.02702702702702703,,,,60751.0,37,0.0,0.0
