ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
熊本市議会議員選挙（2019年04月07日投票）,熊本県,熊本市議会議員選挙（2019年04月07日投票）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241457.998,62,0.0,0.0
熊本市議会議員選挙（2015年04月12日投票）,熊本県,熊本市議会議員選挙（2015年04月12日投票）,42.0,15.0,2.0,0.711864406779661,0.2542372881355932,0.03389830508474576,40.0,6.0,2.0,0.8333333333333334,0.125,0.041666666666666664,34.0,13.0,2.0,15.0,171831.0,31533.0,6777.0,38310.0,0.8176938341399346,0.15005639070909532,0.032249775150970064,0.18230616586006537,0.024049818651174545,0.011542799285315024,0.016124887575485032,0.012153744390671024,210141.0,49,0.0,0.0
熊本市議会議員選挙（2011年04月24日投票）,熊本県,熊本市議会議員選挙（2011年04月24日投票）,41.0,22.0,5.0,0.6029411764705882,0.3235294117647059,0.07352941176470588,38.0,8.0,3.0,0.7755102040816326,0.16326530612244897,0.061224489795918366,41.0,22.0,5.0,27.0,175312.58000000002,58213.86,15548.54,73762.4,0.7038546384707127,0.23372022352465913,0.062425138004628164,0.2961453615292873,0.017167186304163726,0.010623646523848142,0.012485027600925633,0.010968346723306936,249074.98,68,,
熊本市議会議員増員選挙（2008年11月16日投票）,熊本県,熊本市議会議員増員選挙（2008年11月16日投票）,0.0,2.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4840.0,0.0,4840.0,,1.0,,1.0,,0.5,,0.5,4840.0,2,0.0,0.0
熊本市議会議員選挙（2007年04月22日投票）,熊本県,熊本市議会議員選挙（2007年04月22日投票）,42.0,19.0,1.0,0.6774193548387096,0.3064516129032258,0.016129032258064516,41.0,6.0,1.0,0.8541666666666666,0.125,0.020833333333333332,42.0,19.0,1.0,20.0,188619.29,49377.22,3205.48,52582.700000000004,0.7819972380824884,0.20471315348600563,0.013289608431505891,0.21800276191751156,0.01861898185910687,0.010774376499263454,0.013289608431505891,0.010900138095875578,241201.99,62,1.0,0.016129032258064516
熊本市議会議員選挙（2003年04月27日投票）,熊本県,熊本市議会議員選挙（2003年04月27日投票）,41.0,21.0,1.0,0.6507936507936508,0.3333333333333333,0.015873015873015872,39.0,12.0,1.0,0.75,0.23076923076923078,0.019230769230769232,41.0,21.0,1.0,22.0,191537.58,70802.13999999998,4713.27,75515.40999999999,0.7172268694688646,0.2651239366389419,0.01764919389219346,0.2827731305311354,0.017493338279728404,0.012624949363759139,0.01764919389219346,0.012853324115051608,267052.99,63,2.0,0.031746031746031744
八代市議会議員選挙（2021年08月29日投票）,熊本県,八代市議会議員選挙（2021年08月29日投票）,22.0,8.0,2.0,0.6875,0.25,0.0625,0.0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,32,,
八代市議会議員選挙（2017年08月27日投票）,熊本県,八代市議会議員選挙（2017年08月27日投票）,27.0,11.0,0.0,0.7105263157894737,0.2894736842105263,0.0,22.0,6.0,0,0.7857142857142857,0.21428571428571427,0.0,27.0,11.0,0.0,11.0,51128.18,15681.81,0.0,15681.81,0.7652774682349152,0.2347225317650848,,0.2347225317650848,0.028343609934626486,0.021338411978644074,,0.021338411978644074,66809.99,38,0.0,0.0
八代市議会議員選挙（2013年09月01日投票）,熊本県,八代市議会議員選挙（2013年09月01日投票）,27.0,8.0,0.0,0.7714285714285715,0.22857142857142856,0.0,27.0,5.0,0,0.84375,0.15625,0.0,27.0,8.0,0.0,8.0,57487.380000000005,13732.619999999999,0.0,13732.619999999999,0.8071802864363944,0.19281971356360572,,0.19281971356360572,0.029895566164310904,0.024102464195450715,,0.024102464195450715,71220.0,35,0.0,0.0
八代市議会議員選挙（2009年08月23日投票）,熊本県,八代市議会議員選挙（2009年08月23日投票）,29.0,11.0,0.0,0.725,0.275,0.0,27.0,7.0,0,0.7941176470588235,0.20588235294117646,0.0,29.0,11.0,0.0,11.0,63970.6,19865.399999999998,0.0,19865.399999999998,0.7630445154826089,0.23695548451739107,,0.23695548451739107,0.026311879844227892,0.021541407683399186,,0.021541407683399186,83836.0,40,0.0,0.0
八代市議会議員選挙（2005年09月04日投票）,熊本県,八代市議会議員選挙（2005年09月04日投票）,0.0,45.0,0.0,0.0,1.0,0.0,0.0,34.0,0,0.0,1.0,0.0,0.0,45.0,0.0,45.0,0.0,88169.0,0.0,88169.0,,1.0,,1.0,,0.022222222222222223,,0.022222222222222223,88169.0,45,0.0,0.0
人吉市議会議員選挙（2019年04月21日投票）,熊本県,人吉市議会議員選挙（2019年04月21日投票）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19151.999,20,0.0,0.0
人吉市議会議員選挙（2015年04月26日投票）,熊本県,人吉市議会議員選挙（2015年04月26日投票）,15.0,4.0,3.0,0.6818181818181818,0.18181818181818182,0.13636363636363635,14.0,2.0,2.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,3.0,7.0,14470.0,3272.0,2574.0,5846.0,0.7122465052175625,0.16105532585154558,0.12669816893089192,0.2877534947824375,0.0474831003478375,0.040263831462886396,0.042232722976963975,0.04110764211177679,20316.0,22,1.0,0.045454545454545456
