ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
盛岡市議会議員選挙（2019年08月25日投票）,岩手県,盛岡市議会議員選挙（2019年08月25日投票）,30.0,14.0,0.0,0.6818181818181818,0.3181818181818182,0.0,30.0,8.0,0,0.7894736842105263,0.21052631578947367,0.0,30.0,14.0,0.0,14.0,91990.082,31583.912,0.0,31583.912,0.7444129547192592,0.2555870452807409,,0.2555870452807409,0.02481376515730864,0.01825621752005292,,0.01825621752005292,123573.99399999999,44,1.0,0.022727272727272728
盛岡市議会議員選挙（2015年08月23日投票）,岩手県,盛岡市議会議員選挙（2015年08月23日投票）,31.0,8.0,2.0,0.7560975609756098,0.1951219512195122,0.04878048780487805,30.0,7.0,1.0,0.7894736842105263,0.18421052631578946,0.02631578947368421,31.0,8.0,2.0,10.0,91227.48000000001,23864.33,4106.1900000000005,27970.520000000004,0.765344049396802,0.200207469923992,0.03444848067920603,0.23465595060319805,0.024688517722477484,0.025025933740499,0.017224240339603014,0.023465595060319804,119198.0,41,0.0,0.0
盛岡市議会議員選挙（2011年08月28日投票）,岩手県,盛岡市議会議員選挙（2011年08月28日投票）,34.0,13.0,0.0,0.723404255319149,0.2765957446808511,0.0,32.0,6.0,0,0.8421052631578947,0.15789473684210525,0.0,34.0,13.0,0.0,13.0,88473.40000000001,25426.59,0.0,25426.59,0.7767638961162332,0.2232361038837668,,0.2232361038837668,0.022845996944595093,0.017172007991058984,,0.017172007991058984,113899.99,47,0.0,0.0
盛岡市議会議員選挙（2007年04月22日投票）,岩手県,盛岡市議会議員選挙（2007年04月22日投票）,41.0,14.0,3.0,0.7068965517241379,0.2413793103448276,0.05172413793103448,33.0,7.0,2.0,0.7857142857142857,0.16666666666666666,0.047619047619047616,41.0,14.0,3.0,17.0,94072.92000000001,23969.680000000004,7028.37,30998.050000000003,0.752156315730181,0.19164862957407303,0.056195054695745934,0.24784368426981895,0.01834527599341905,0.013689187826719502,0.018731684898581978,0.01457904025116582,125070.97000000002,58,0.0,0.0
盛岡市議会議員選挙（2003年04月27日投票）,岩手県,盛岡市議会議員選挙（2003年04月27日投票）,31.0,13.0,0.0,0.7045454545454546,0.29545454545454547,0.0,28.0,10.0,0,0.7368421052631579,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,,
盛岡市議会議員選挙（1999年04月25日投票）,岩手県,盛岡市議会議員選挙（1999年04月25日投票）,33.0,18.0,1.0,0.6346153846153846,0.34615384615384615,0.019230769230769232,31.0,12.0,1.0,0.7045454545454546,0.2727272727272727,0.022727272727272728,33.0,18.0,1.0,19.0,85025.76999999997,40291.22,2185.0,42476.22,0.6668583760927966,0.3160046364766543,0.017136987430549127,0.3331416239072034,0.020207829578569595,0.017555813137591903,0.017136987430549127,0.017533769679326495,127501.99,52,0.0,0.0
宮古市議会議員選挙（2018年04月22日投票）,岩手県,宮古市議会議員選挙（2018年04月22日投票）,23.0,1.0,0.0,0.9583333333333334,0.041666666666666664,0.0,22.0,0,0,1.0,0.0,0.0,23.0,1.0,0.0,1.0,26656.999,288.0,0.0,288.0,0.9893115601897035,0.010688439810296524,,0.010688439810296524,0.0430135460952045,0.010688439810296524,,0.010688439810296524,26944.999,24,0.0,0.0
宮古市議会議員補欠選挙（2017年06月25日投票）,岩手県,宮古市議会議員補欠選挙（2017年06月25日投票）,0.0,6.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0,4.0,1.0,0.0,0.8,0.2,0.0,6.0,1.0,7.0,0.0,24369.0,3964.0,28333.0,,0.8600924716761373,0.13990752832386263,1.0,,0.14334874527935623,0.13990752832386263,0.14285714285714285,28333.0,7,0.0,0.0
宮古市議会議員選挙（2014年04月20日投票）,岩手県,宮古市議会議員選挙（2014年04月20日投票）,21.0,7.0,0.0,0.75,0.25,0.0,21.0,7.0,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,,
宮古市議会議員補欠選挙（2013年06月16日投票）,岩手県,宮古市議会議員補欠選挙（2013年06月16日投票）,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,,
