,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,札幌市,北海道,1,2010,20100401,14372,43.6,3282,10004,6024,42.6,3246,9982,札幌市,169200,153900,141100,584,969,12800,10300,10400,9500,8600,8300,4.12.1,4.12.1,13.4.1,政令指定都市
1,仙台市,宮城県,4,2010,20100401,9445,43.7,3461,10861,3226,44.3,3578,11281,仙台市,179200,156900,142600,296,494,12183,9690,9700,8700,8240,5383,18.4.1,19.4.1,22.4.1,政令指定都市
2,さいたま市,埼玉県,11,2010,20100401,9005,41.4,3305,10432,3726,42.3,3394,10773,さいたま市,177100,−,143600,451,977,11187,9086,9770,8730,8070,7733,22.1.1,20.1.1,22.1.1,政令指定都市
3,千葉市,千葉県,12,2010,20100401,7374,42.3,3285,10723,3378,43.8,3423,11299,千葉市,174042,154341,140580,394,511,9520,8640,8835,7980,7315,6300,21.10.1,22.4.1,22.4.1,政令指定都市
4,横浜市,神奈川県,14,2010,20100401,27199,42.8,3463,11835,10343,41.8,3437,12036,横浜市,177700,161300,149700,1049,1545,14530,11680,12000,10800,9700,5829,21.4.1,7.12.1,22.4.1,政令指定都市
5,川崎市,神奈川県,14,2010,20100401,13677,41.7,3303,10979,4771,40.3,3306,11202,川崎市,179600,−,144500,715,884,12500,9900,10300,9200,8300,5074,19.4.1,19.4.1,22.4.1,政令指定都市
6,相模原市,神奈川県,14,2010,20100401,4512,43.4,3398,11116,2395,44.3,3519,11669,相模原市,178800,−,144500,122,203,10850,8880,7790,7130,6700,7640,21.4.1,19.3.11,21.4.1,政令指定都市
7,新潟市,新潟県,15,2010,20100401,7572,42.9,3346,10219,3033,43.3,3361,10245,新潟市,178800,158700,144500,282,405,11630,9390,7780,7000,6530,7970,18.4.1,18.4.1,18.4.1,政令指定都市
8,静岡市,静岡県,22,2010,20100401,6388,41.8,3451,10785,2428,42.3,3503,11043,静岡市,173600,153800,140200,371,421,12500,9400,8240,7350,6630,8120,19.4.1,19.4.1,19.4.1,政令指定都市
9,浜松市,静岡県,22,2010,20100401,5812,42.0,3254,10042,2761,43.3,3378,10514,浜松市,178800,158700,144500,175,319,12770,9280,8030,7170,6480,7410,19.4.1,15.1.1,21.12.1,政令指定都市
