,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,北海道,北海道,1,2005,20050401,81628,41.6,3691,12440,17783,42.3,3501,12149,北海道,174384,151676,140863,2996,4203,8280,9900,11600,10400,9000,8550,17.4.1,4.10.1,12.4.1,都道府県
1,青森,青森県,2,2005,20050401,22843,43.1,3718,12541,5381,43.2,3531,12167,青森,167286,145530,136024,500,2108,10160,8730,8645,7776,7566,7380,16.1.1,16.1.1,16.1.1,都道府県
2,岩手,岩手県,3,2005,20050401,26378,41.5,3696,11970,5269,41.7,3500,11589,岩手,170700,148500,138800,766,2097,6500,8000,9300,8300,8000,5671,17.4.1,17.4.1,17.4.1,都道府県
3,宮城,宮城県,4,2005,20050401,29580,42.6,3788,12637,6028,41.9,3487,12019,宮城,174739,151986,141151,832,2188,11305,9270,9785,8740,8075,8091,16.4.1,16.4.1,16.4.1,都道府県
4,秋田,秋田県,5,2005,20050401,17995,42.5,3783,12367,4609,42.6,3556,11857,秋田,170700,148500,138800,393,734,12065,9409,8645,7857,7722,7920,15.7.8,15.7.8,15.7.8,都道府県
5,山形,山形県,6,2005,20050401,20688,42.5,3818,12574,4550,42.8,3648,12370,山形,170700,148500,138800,509,1869,10400,8950,8835,7885,7600,7257,17.4.1,15.6.1,17.4.1,都道府県
6,福島,福島県,7,2005,20050401,30932,42.3,3799,12419,6673,42.3,3572,11960,福島,170700,148500,138800,732,3598,10560,8755,9595,8550,7885,8277,17.4.1,15.9.1,15.4.1,都道府県
7,茨城,茨城県,8,2005,20050401,36225,42.10,3924,12874,6964,42.6,3615,12180,茨城,177400,154300,143300,934,3441,12060,10260,9090,8550,8160,8736,13.11.1,15.4.1,13.11.1,都道府県
8,栃木,栃木県,9,2005,20050401,25895,42.7,3836,12527,5490,43.7,3718,12531,栃木,177400,154300,143300,818,872,11792,9720,9595,8740,8075,8265,17.1.1,15.1.1,17.1.1,都道府県
9,群馬,群馬県,10,2005,20050401,25887,42.6,3838,12484,5302,42.11,3624,11988,群馬,170700,148500,138800,765,2037,11970,9720,8820,8464,7885,8648,14.4.1,14.4.1,16.4.1,都道府県
10,埼玉,埼玉県,11,2005,20050401,64369,44.1,3953,13487,10073,43.3,3721,12599,埼玉,177400,154300,143300,2610,5614,11520,11500,11020,9785,9118,9500,12.4.1,11.1.1,16.4.1,都道府県
11,千葉,千葉県,12,2005,20050401,63620,43.7,3802,13212,10201,44.4,3679,13027,千葉,173852,151214,140434,2370,4729,11815,9768,9768,8536,7744,7100,15.12.1,15.12.1,17.4.1,都道府県
12,東京,東京都,13,2005,20050401,173448,43.1,3731,15773,21412,43.4,3615,15351,東京,179800,159200,144000,6708,10002,14580,13200,13200,11900,10600,12270,16.4.1,16.4.1,16.1.1,都道府県
13,神奈川,神奈川県,14,2005,20050401,75926,43.7,3945,13949,10153,44.6,3837,13540,神奈川,170700,148500,138800,2766,3201,13630,10904,12000,10800,9700,8648,17.4.1,7.12.1,17.4.1,都道府県
14,新潟,新潟県,15,2005,20050401,36765,42.1,3794,12295,7312,42.9,3616,12188,新潟,177400,154300,143300,1034,2757,11970,9360,9991,8730,7954,8123,16.6.1,16.4.1,17.4.1,都道府県
15,富山,富山県,16,2005,20050401,16700,43.6,3771,12670,3772,42.9,3473,11845,富山,165579,144045,134636,425,1392,11700,9486,8190,7998,7410,7533,17.4.1,17.4.1,17.4.1,都道府県
16,石川,石川県,17,2005,20050401,17014,44.4,3942,12755,3906,43.6,3653,12079,石川,170700,148500,138800,466,640,12350,9690,8827,8342,7566,7770,15.1.1,15.1.1,15.1.1,都道府県
17,福井,福井県,18,2005,20050401,14415,42.4,3840,12666,3358,42.5,3617,12267,福井,170700,148500,138800,427,459,11700,9180,8827,8342,7566,8010,15.8.1,17.4.1,15.8.1,都道府県
18,山梨,山梨県,19,2005,20050401,15338,42.0,3729,12142,3920,42.10,3625,12327,山梨,177400,154300,143300,1233,1234,10773,9409,8740,7968,7566,7760,16.1.1,16.1.1,16.4.1,都道府県
19,長野,長野県,20,2005,20050401,29599,42.8,3584,12576,5932,44.1,3468,12501,長野,162165,141075,131860,1262,3074,6750,8320,8320,7735,7650,6880,17.3.28,15.1.1,15.1.1,都道府県
20,岐阜,岐阜県,21,2005,20050401,27549,42.2,3784,12503,5707,41.5,3495,11917,岐阜,177400,154300,143300,930,2625,12800,10100,9600,8700,8000,8000,15.4.1,15.4.1,13.4.1,都道府県
21,静岡,静岡県,22,2005,20050401,41184,42.6,3913,13099,7215,41.11,3604,12269,静岡,177400,154300,143300,1524,1572,13500,10800,10800,9600,8800,8400,15.1.1,15.1.1,15.1.1,都道府県
22,愛知,愛知県,23,2005,20050401,71853,43.5,3966,14392,10897,44.4,3763,13761,愛知,170700,148500,138800,2630,4913,13581,11242,12250,10780,9900,9306,16.4.1,15.12.1,16.4.1,都道府県
23,三重,三重県,24,2005,20050401,24995,42.10,3841,12494,5332,42.2,3586,11870,三重,177400,154300,143300,747,2682,12445,9785,10200,9000,8300,7076,17.4.1,8.1.1,17.4.1,都道府県
24,滋賀,滋賀県,25,2005,20050401,19093,42.7,3765,12849,3938,43.0,3560,12372,滋賀,167286,145530,136024,643,755,10824,9152,9360,8100,7812,7656,17.4.1,17.4.1,17.4.1,都道府県
25,京都,京都府,26,2005,20050401,31199,43.11,3821,13713,5700,43.5,3599,13037,京都,172965,150443,139718,1018,3303,12510,10450,10640,9785,9120,8265,11.6.1,12.1.1,13.4.1,都道府県
26,大阪,大阪府,27,2005,20050401,87614,44.1,3794,13872,12695,44.1,3618,12892,大阪,177400,154300,143300,4070,5551,14500,11400,11700,10300,9300,9300,17.4.1,15.4.30,17.4.1,都道府県
27,兵庫,兵庫県,28,2005,20050401,63748,43.8,3917,13862,9562,43.9,3654,12856,兵庫,177400,164000,143300,2086,2652,12690,10323,11400,10400,9300,8835,12.4.1,4.5.1,12.4.1,都道府県
28,奈良,奈良県,29,2005,20050401,19496,43.11,3831,12752,4187,44.3,3680,12363,奈良,167286,145530,136024,614,1680,11628,9576,10080,8810,8130,5546,15.12.1,15.12.1,15.12.1,都道府県
29,和歌山,和歌山県,30,2005,20050401,17925,44.1,3865,13161,4391,42.8,3569,12397,和歌山,175626,147015,137412,559,1586,12255,9595,9595,8170,7790,6840,15.4.1,15.4.1,15.4.1,都道府県
30,鳥取,鳥取県,31,2005,20050401,11876,41.7,3511,11415,3129,40.10,3281,10741,鳥取,163872,142560,133248,534,471,11588,9058,8649,7623,7192,6834,15.12.1,15.12.1,15.12.1,都道府県
31,島根,島根県,32,2005,20050401,15012,42.9,3574,12360,4108,42.9,3356,11854,島根,160458,139590,130472,368,536,10240,8500,7680,7098,6545,6800,16.4.1,16.4.1,16.4.1,都道府県
32,岡山,岡山県,33,2005,20050401,24953,42.9,3695,12325,5254,41.6,3369,11438,岡山,172433,144342,134914,833,2549,11135,9360,9486,8463,7905,8280,16.4.1,17.4.1,16.4.1,都道府県
33,広島,広島県,34,2005,20050401,33463,43.8,3769,13085,6624,42.7,3480,12156,広島,165579,144045,134636,888,1540,11807,9546,9461,8435,7884,7047,16.4.1,16.4.1,16.7.1,都道府県
34,山口,山口県,35,2005,20050401,21913,43.3,3846,12569,5003,43.1,3590,12048,山口,170700,148500,138800,504,2523,12445,9880,9310,8360,7980,8455,14.4.1,15.7.1,14.4.1,都道府県
35,徳島,徳島県,36,2005,20050401,14453,43.3,3860,12802,3807,43.2,3659,12358,徳島,177400,154300,143300,412,576,11700,9207,9200,8400,7900,7954,15.4.1,16.4.1,16.4.1,都道府県
36,香川,香川県,37,2005,20050401,15573,43.3,3597,12731,3417,42.9,3440,12314,香川,163872,142560,133248,437,571,10280,8330,8930,8075,7600,6885,17.4.1,17.4.1,17.4.1,都道府県
37,愛媛,愛媛県,38,2005,20050401,22962,41.9,3727,12127,4575,42.10,3642,12263,愛媛,170700,148500,138800,870,1047,12540,9595,9215,8265,7790,8360,14.4.1,14.4.1,14.4.1,都道府県
38,高知,高知県,39,2005,20050401,15571,43.6,3702,12429,3979,43.5,3474,11841,高知,165579,144045,134636,362,1515,10710,8640,9000,8200,7700,7440,17.4.1,17.4.1,17.4.1,都道府県
39,福岡,福岡県,40,2005,20050401,53135,43.7,3899,13115,9104,42.8,3605,12272,福岡,170700,148500,138800,1596,5434,12420,10260,10878,9604,8722,8360,17.4.1,17.4.1,17.4.1,都道府県
40,佐賀,佐賀県,41,2005,20050401,14405,42.8,3780,12233,3428,43.1,3608,11875,佐賀,170700,148500,138800,328,1508,12800,10100,10100,8800,8100,8100,7.11.1,7.11.1,15.4.1,都道府県
41,長崎,長崎県,42,2005,20050401,23029,42.0,3766,12437,4647,42.7,3610,12439,長崎,170700,148500,138800,533,2133,11970,9360,9880,8835,7885,8100,14.8.1,14.8.1,12.4.1,都道府県
42,熊本,熊本県,43,2005,20050401,24274,42.5,3802,12464,5505,42.8,3589,12073,熊本,170700,148500,138800,615,2858,11390,9450,10500,9400,8400,8300,16.7.1,16.4.1,16.4.1,都道府県
43,大分,大分県,44,2005,20050401,18784,43.2,3813,12860,4523,43.2,3601,12462,大分,173852,151214,140434,492,707,11790,9405,9315,8235,7838,7695,16.1.1,16.1.1,16.1.1,都道府県
44,宮崎,宮崎県,45,2005,20050401,18651,42.0,3734,12037,4245,42.7,3571,11711,宮崎,170700,148500,138800,627,2061,11790,9880,9880,8930,7790,7790,16.1.1,16.1.1,16.1.1,都道府県
45,鹿児島,鹿児島県,46,2005,20050401,27733,41.3,3669,12279,6320,42.5,3549,12206,鹿児島,167286,145530,136024,629,3794,10480,9270,9579,8556,7626,7290,16.4.1,16.4.1,16.4.1,都道府県
46,沖縄,沖縄県,47,2005,20050401,23895,42.0,3624,11746,5008,42.5,3406,11265,沖縄,170700,148500,138800,955,4635,12500,9900,10000,8600,7700,5731,17.1.1,17.1.1,17.4.1,都道府県
