,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,北海道,北海道,1,2007,20070401,78808,42.2,3362,11582,17401,43.5,3218,11243,北海道,153180,135900,124560,2991,3772,10350,8800,10440,9360,8100,7650,18.4.1,18.4.1,18.4.1,都道府県
1,青森,青森県,2,2007,20070401,22072,43.6,3684,12575,5038,44.1,3525,12286,青森,166796,147980,135632,453,2067,10160,8730,8645,7776,7566,7380,16.1.1,16.1.1,16.1.1,都道府県
2,岩手,岩手県,3,2007,20070401,25475,42.1,3679,12042,4975,42.4,3497,11748,岩手,170200,151000,138400,571,2010,10540,8640,8900,8000,7700,5513,19.4.1,18.4.1,19.4.1,都道府県
3,宮城,宮城県,4,2007,20070401,29232,43.1,3856,12679,5898,42.5,3560,12060,宮城,176800,156800,142800,874,2235,13100,10200,10200,9100,8400,8600,18.4.1,18.4.1,18.4.1,都道府県
4,秋田,秋田県,5,2007,20070401,17252,43.2,3690,12437,4443,43.3,3547,12034,秋田,170200,151000,138400,330,568,11495,9021,8645,7857,7722,7623,18.7.1,18.7.1,18.7.1,都道府県
5,山形,山形県,6,2007,20070401,20235,43.2,3776,12189,4412,43.3,3613,11927,山形,170200,151000,138400,476,1824,9696,8351,8670,7740,7460,7276,18.4.1,18.4.1,18.12.28,都道府県
6,福島,福島県,7,2007,20070401,29847,43.0,3774,12293,6510,43.2,3548,11787,福島,170200,151000,138400,608,3718,10560,8755,10100,9000,8300,8010,19.4.1,19.4.1,19.4.1,都道府県
7,茨城,茨城県,8,2007,20070401,35740,43.3,3726,12937,6698,42.9,3433,12199,茨城,170200,151000,138400,934,3725,10720,9180,8585,7920,7650,7826,19.4.1,19.4.1,19.4.1,都道府県
8,栃木,栃木県,9,2007,20070401,25633,43.0,3788,12576,5292,44.1,3670,12630,栃木,176800,151000,142800,795,965,11792,9090,9595,8740,8075,8265,17.1.1,15.1.1,17.1.1,都道府県
9,群馬,群馬県,10,2007,20070401,25505,43.2,3813,12553,5090,43.8,3612,12140,群馬,175300,151000,141700,590,2143,13300,10800,9800,9200,8300,9400,19.4.1,17.10.1,19.4.1,都道府県
10,埼玉,埼玉県,11,2007,20070401,64201,44.2,3876,13361,9724,43.8,3677,12612,埼玉,176800,151000,142800,2567,7121,11360,11340,11440,10160,9270,9370,18.4.1,18.4.1,18.4.1,都道府県
11,千葉,千葉県,12,2007,20070401,63864,43.7,3739,13057,10010,44.8,3633,12981,千葉,174148,151000,140658,3017,4954,11815,9768,10434,9118,8272,7320,15.12.1,17.8.1,19.4.1,都道府県
12,東京,東京都,13,2007,20070401,170923,43.0,3652,15145,20663,43.6,3574,15117,東京,179200,151000,142700,6988,10004,14139,12810,12920,11650,10370,11930,19.3.15,18.4.1,19.1.1,都道府県
13,神奈川,神奈川県,14,2007,20070401,75944,43.4,3837,14039,9879,44.4,3756,13717,神奈川,170200,151000,138400,3348,3728,13630,10904,12000,10800,9700,8648,17.4.1,7.12.1,17.4.1,都道府県
14,新潟,新潟県,15,2007,20070401,36071,42.5,3759,12289,7039,43.0,3564,12059,新潟,176800,151000,142800,909,3123,12400,9700,9600,8400,7700,7980,19.4.1,19.4.1,19.4.1,都道府県
