,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,札幌市,北海道,1,2018,20180401,22550,41.8,3203,9095,6883,40.3,2988,8440,札幌市,178500,160400,146400,1283,1163,12800,10300,10400,9500,8600,8300,4.12.1,4.12.1,13.4.1,政令指定都市
1,仙台市,宮城県,4,2018,20180401,14194,42.8,3399,9902,3719,42.2,3281,9469,仙台市,185700,163400,149100,643,735,12183,9690,10200,9100,8400,8051,30.4.1,30.4.1,30.4.1,政令指定都市
2,さいたま市,埼玉県,11,2018,20180401,13967,40.1,3238,9790,3966,40.0,3155,9668,さいたま市,179900,−,146400,785,2338,12100,9510,9770,8730,8070,7920,28.4.1,25.4.1,28.4.1,政令指定都市
3,千葉市,千葉県,12,2018,20180401,11569,40.0,3191,9866,3321,41.3,3153,9710,千葉市,178000,158500,144800,616,1241,11195,9895,9300,8400,7700,7254,30.4.1,27.4.1,30.4.1,政令指定都市
4,横浜市,神奈川県,14,2018,20180401,43680,41.7,3232,10756,12135,40.5,3135,10795,横浜市,174900,154500,143600,1689,3400,15990,12850,11790,10610,9530,9400,28.4.1,23.4.1,28.4.1,政令指定都市
5,川崎市,神奈川県,14,2018,20180401,18846,41.8,3249,10398,5280,41.3,3213,10440,川崎市,176900,−,143000,927,879,12000,9500,10300,9200,8300,7800,29.4.1,19.4.1,29.4.1,政令指定都市
6,相模原市,神奈川県,14,2018,20180401,7610,40.4,3192,9780,2757,40.4,3074,9655,相模原市,182100,−,148000,393,353,11420,9350,7790,7130,6700,8040,27.4.22,9.4.1,27.4.22,政令指定都市
7,新潟市,新潟県,15,2018,20180401,11327,42.7,3382,9891,3147,41.5,3150,9151,新潟市,184800,164700,150500,631,575,11087,8949,7810,7030,6550,8170,28.4.1,28.4.1,23.4.1,政令指定都市
8,静岡市,静岡県,22,2018,20180401,8782,41.4,3375,9791,2580,41.1,3264,9364,静岡市,176100,156500,143000,441,485,12500,9400,8240,7350,6630,8120,19.4.1,15.4.1,15.4.1,政令指定都市
9,浜松市,静岡県,22,2018,20180401,8881,42.3,3414,9974,2753,42.3,3272,9608,浜松市,189162,168699,154242,302,404,12770,9280,8030,7170,6480,7660,19.4.1,15.1.1,28.1.1,政令指定都市
10,名古屋市,愛知県,23,2018,20180401,34975,41.9,3231,10077,8276,41.0,3142,9837,名古屋市,178400,158400,148800,1328,1268,5000,9468,10413,9163,8415,5854,30.4.1,28.4.1,29.10.1,政令指定都市
11,京都市,京都府,26,2018,20180401,19597,43.0,3342,10102,5944,43.1,3336,10139,京都市,183700,−,149700,721,2122,11120,9680,10080,9270,8640,5730,24.4.1,23.4.1,27.4.1,政令指定都市
12,大阪市,大阪府,27,2018,20180401,34633,43.3,3144,9997,10138,43.2,3149,10271,大阪市,166600,153700,143700,2443,8540,10014,9426,9500,8440,7740,8163,28.1.1,27.4.30,28.4.1,政令指定都市
13,,大阪府,27,2018,20180401,9321,40.3,3217,9464,3137,42.3,3207,9557,,182000,164700,152900,451,524,5950,7920,9500,8500,7800,7137,29.12.1,27.5.1,29.12.1,政令指定都市
14,神戸市,兵庫県,28,2018,20180401,21241,43.0,3361,10547,6325,42.2,3238,10255,神戸市,183000,161700,150700,667,919,11280,9435,11400,10400,9300,8300,15.4.1,18.4.1,27.4.1,政令指定都市
15,岡山市,岡山県,33,2018,20180401,8429,42.3,3429,9943,2731,44.7,3460,10183,岡山市,185700,162600,151400,425,422,11600,9200,8500,7700,7100,5969,21.8.1,27.5.1,21.8.1,政令指定都市
16,広島市,広島県,34,2018,20180401,14531,41.8,3285,10565,4399,42.4,3246,10659,広島市,179100,157300,146800,674,740,12445,9975,10070,8835,8170,7505,27.7.1,27.7.1,27.7.1,政令指定都市
17,北九州市,福岡県,40,2018,20180401,12723,43.9,3508,10181,4661,45.3,3538,10292,北九州市,185200,166800,152600,544,1630,12300,9800,10900,9800,8800,8300,26.11.1,6.4.1,27.4.1,政令指定都市
18,福岡市,福岡県,40,2018,20180401,16569,41.3,3272,9813,5648,39.8,3125,9380,福岡市,177200,156100,142700,874,762,13000,10400,10600,9700,8800,8500,26.12.7,26.4.1,26.4.1,政令指定都市
19,熊本市,熊本県,43,2018,20180401,9713,44.2,3470,9908,3117,42.3,3257,9360,熊本市,185900,−,−,441,1089,11880,9460,8190,7450,6750,7040,30.4.1,30.4.1,30.4.1,政令指定都市
20,函館市,北海道,1,2018,20180401,3318,41.9,3134,8668,1256,42.8,3174,8882,函館市,179200,159800,147100,166,195,10500,8300,6300,5600,5100,7400,27.4.1,9.1.1,27.4.1,中核市
21,小樽市,北海道,1,2018,20180401,1714,41.9,3116,8637,646,42.2,3047,8626,小樽市,179200,159800,147100,119,101,8356,7207,5340,4820,4410,6246,26.4.1,27.5.1,26.4.1,Ⅲ−３
22,旭川市,北海道,1,2018,20180401,2999,41.4,3142,8751,1549,42.5,3110,8613,旭川市,179200,159800,147100,98,123,8610,7872,6250,5550,5150,6916,21.12.1,7.1.1,28.12.13,中核市
23,室蘭市,北海道,1,2018,20180401,1138,38.8,3021,8382,344,39.8,3013,8568,室蘭市,179200,159800,147100,66,86,8550,7020,4800,4500,4150,5805,27.5.11,6.4.1,27.5.11,Ⅱ−３
24,釧路市,北海道,1,2018,20180401,2539,39.6,3074,8059,1012,41.9,3092,8217,釧路市,179200,159800,147100,156,168,9650,8000,6000,5400,4900,7100,28.4.1,17.10.11,28.4.1,Ⅳ−３
25,帯広市,北海道,1,2018,20180401,1358,40.1,2977,8172,796,41.3,3061,8459,帯広市,179200,159800,147100,60,65,10050,8050,5800,5100,4700,6930,26.4.1,18.4.1,26.4.1,Ⅳ−１
26,北見市,北海道,1,2018,20180401,1018,39.4,2923,8129,724,40.1,2984,8344,北見市,179200,159800,147100,36,38,9700,7750,5000,4550,4300,6500,18.3.5,18.3.5,18.3.5,Ⅲ−１
27,夕張市,北海道,1,2018,20180401,147,40.9,2845,8080,86,40.3,2766,8005,夕張市,166700,148700,136900,9,6,2590,−,2300,2000,1800,2390,19.4.1,19.4.1,19.4.1,Ⅰ−１
28,岩見沢市,北海道,1,2018,20180401,1111,40.4,3225,8651,480,41.0,3077,8324,岩見沢市,179200,159800,147100,77,79,8380,6950,4700,4150,3840,6000,26.4.1,10.4.1,28.11.21,Ⅱ−１
29,網走市,北海道,1,2018,20180401,350,40.8,3056,8358,258,39.4,2999,8243,網走市,179200,159800,147100,15,16,7600,6840,4710,4150,3800,6118,26.12.1,7.4.1,26.12.1,Ⅰ−１
30,留萌市,北海道,1,2018,20180401,513,40.3,2988,7963,163,42.9,2987,8211,留萌市,179200,159800,147100,56,41,8300,6800,3800,3400,3100,5800,30.4.1,30.4.1,30.4.1,Ⅰ−３
31,苫小牧市,北海道,1,2018,20180401,1904,39.8,3014,9394,739,41.0,2951,9188,苫小牧市,179200,159800,147100,114,96,9114,7440,5200,4800,4400,6324,30.4.1,5.12.1,27.4.1,Ⅳ−３
32,稚内市,北海道,1,2018,20180401,714,38.4,3043,8300,255,39.8,2948,8329,稚内市,179200,159800,147100,75,72,8520,7070,4090,3710,3390,6060,30.4.1,27.10.1,30.4.1,Ⅰ−１
33,美唄市,北海道,1,2018,20180401,407,44.0,3202,8824,222,44.1,3231,8967,美唄市,179200,159800,147100,13,17,8150,6550,4090,3510,3230,5780,18.4.1,6.4.1,18.4.1,Ⅰ−１
34,芦別市,北海道,1,2018,20180401,345,45.5,3295,8768,170,45.8,3328,8963,芦別市,179200,159800,147100,11,13,6336,6460,3850,3360,3150,5840,29.7.1,26.4.1,26.4.1,Ⅰ−１
35,江別市,北海道,1,2018,20180401,1161,40.6,3099,8591,458,40.3,3047,8542,江別市,179200,159800,147100,49,54,8930,7220,4560,4070,3780,6180,16.4.1,16.4.1,27.4.1,Ⅲ−３
36,赤平市,北海道,1,2018,20180401,251,45.3,3425,9155,123,45.3,3294,8776,赤平市,179200,159800,147100,6,18,8170,6669,3570,3080,2840,5738,30.4.1,30.4.1,30.4.1,Ⅰ−３
37,紋別市,北海道,1,2018,20180401,295,42.0,3031,8243,228,41.9,3046,8341,紋別市,179200,159800,147100,14,15,8500,6780,4400,4000,3600,5700,27.4.1,6.12.1,27.4.1,Ⅰ−１
38,士別市,北海道,1,2018,20180401,475,39.3,3044,8041,236,38.8,2966,7909,士別市,179200,159800,147100,18,29,8360,6793,3800,3340,3100,5890,29.9.25,26.5.1,29.9.25,Ⅰ−１
39,名寄市,北海道,1,2018,20180401,889,40.0,3380,9259,268,39.6,3043,8412,名寄市,179200,159800,147100,78,60,6896,6210,3840,3360,3100,5719,18.7.1,18.3.27,18.7.1,Ⅰ−１
40,三笠市,北海道,1,2018,20180401,314,41.7,3050,8306,129,40.8,2978,8115,三笠市,179200,159800,147100,19,14,8300,6750,3400,2950,2700,5750,26.4.1,6.4.1,26.4.1,Ⅰ−３
41,根室市,北海道,1,2018,20180401,546,40.2,3123,8849,203,40.7,3058,8749,根室市,179200,159800,147100,52,33,9000,7200,4050,3400,3150,6350,8.4.1,8.4.1,8.4.1,Ⅰ−１
42,千歳市,北海道,1,2018,20180401,1043,41.5,3203,8850,486,41.9,3146,8873,千歳市,179200,159800,147100,60,54,8550,6935,4600,4200,3850,5985,26.4.1,17.4.1,26.4.1,Ⅱ−３
43,滝川市,北海道,1,2018,20180401,705,39.8,3322,9285,256,41.5,3136,8965,滝川市,179200,159800,147100,66,70,9100,7250,4300,3600,3300,6350,27.4.1,26.10.1,27.4.1,Ⅰ−３
44,砂川市,北海道,1,2018,20180401,982,37.0,3073,8632,157,39.7,3057,8620,砂川市,179200,156800,147100,98,76,7990,6410,3940,3480,3180,5610,27.4.1,19.5.1,27.4.1,Ⅰ−３
45,歌志内市,北海道,1,2018,20180401,133,44.2,3146,9111,69,44.8,3202,9272,歌志内市,179200,159800,147100,7,8,7470,6410,3320,2950,2700,5890,30.4.1,30.4.1,30.4.1,Ⅰ−３
46,深川市,北海道,1,2018,20180401,483,41.3,3291,8550,209,42.3,3110,8203,深川市,179200,159800,147100,32,22,8320,6840,3760,3370,3170,6060,27.4.1,27.4.1,27.4.1,Ⅰ−１
47,富良野市,北海道,1,2018,20180401,265,44.2,3337,9447,187,43.9,3350,9674,富良野市,179200,156800,147100,14,15,8120,6630,3820,3370,3100,5760,16.4.1,9.6.1,16.4.1,Ⅰ−１
48,登別市,北海道,1,2018,20180401,432,39.9,2880,8098,251,40.0,2919,8048,登別市,179200,159800,147100,18,17,8700,7000,4000,3500,3200,6000,24.9.1,6.4.1,24.9.1,Ⅰ−３
49,恵庭市,北海道,1,2018,20180401,530,39.6,3001,8368,317,40.1,3076,8617,恵庭市,179200,159800,147100,24,18,8450,7070,4400,3850,3550,6060,26.4.1,6.4.1,26.4.1,Ⅱ−３
50,伊達市,北海道,1,2018,20180401,296,40.7,3053,8438,223,39.4,3006,8274,伊達市,179200,159800,147100,17,14,9090,7300,3920,3430,3160,6350,29.7.1,9.10.1,27.4.1,Ⅰ−１
51,北広島市,北海道,1,2018,20180401,471,40.2,3023,8311,275,40.5,3035,8175,北広島市,179200,159800,147100,26,22,8455,6907,4310,3840,3470,6042,26.4.1,10.10.1,26.4.1,Ⅱ−３
52,石狩市,北海道,1,2018,20180401,440,43.5,3285,9654,333,43.0,3249,9726,石狩市,179200,159800,147100,24,21,9200,7350,4390,3830,3360,6440,8.12.1,12.10.1,6.4.1,Ⅱ−３
53,北斗市,北海道,1,2018,20180401,232,41.7,3050,8313,179,40.6,3017,8205,北斗市,179200,159800,146100,8,11,9500,7600,4000,3400,3000,6700,30.4.1,30.4.1,30.4.1,Ⅰ−１
54,当別町,北海道,1,2018,20180401,188,40.8,3002,8663,160,41.4,3050,8862,当別町,179200,159800,147100,3,7,8500,7000,3100,2600,2400,6100,6.4.1,6.4.1,6.4.1,Ⅳ−２
55,新篠津村,北海道,1,2018,20180401,52,42.4,3172,9229,45,42.2,3185,9208,新篠津村,179200,159800,147100,5,3,6850,6050,2600,2250,1900,5600,21.4.1,21.4.1,21.4.1,Ⅰ−０
56,松前町,北海道,1,2018,20180401,176,42.2,3196,8854,96,41.9,3011,8316,松前町,179200,156800,147100,12,8,7440,6180,2700,2100,1830,5650,26.4.1,23.4.1,26.4.1,Ⅱ−１
57,福島町,北海道,1,2018,20180401,76,41.1,2873,7981,54,39.8,2782,7771,福島町,179200,159800,147100,5,7,7200,6000,2780,2220,1870,5600,29.4.1,29.4.1,29.4.1,Ⅰ−１
58,知内町,北海道,1,2018,20180401,98,38.3,2906,8534,55,37.4,2752,8093,知内町,179200,159800,147100,7,11,7000,6000,2550,2000,1700,5600,30.4.1,30.4.1,30.4.1,Ⅰ−０
59,木古内町,北海道,1,2018,20180401,168,44.1,3214,9123,59,40.3,2945,8534,木古内町,179200,159800,147100,11,10,7000,6000,2550,2000,1700,5600,27.4.1,24.4.1,27.4.1,Ⅰ−２
60,七飯町,北海道,1,2018,20180401,174,37.3,2777,8045,126,37.4,2816,8113,七飯町,179200,159800,147100,7,11,7980,6713,3300,2600,2300,6450,26.4.1,12.4.1,27.10.8,Ⅴ−２
61,鹿部町,北海道,1,2018,20180401,75,37.1,2713,7823,56,37.3,2701,7867,鹿部町,179200,156800,147100,4,3,7290,6045,2390,1850,1580,5487,17.4.1,17.7.1,17.4.1,Ⅰ−０
62,森町,北海道,1,2018,20180401,337,43.0,3198,8927,150,41.3,3024,8350,森町,179200,159800,147100,21,15,8120,6530,2950,2250,1950,5840,26.4.1,25.4.1,26.4.1,Ⅳ−０
63,八雲町,北海道,1,2018,20180401,543,40.8,3248,9001,195,39.5,2940,8152,八雲町,179200,159800,147100,54,38,8100,6700,2950,2300,1950,6020,28.4.1,28.9.1,28.4.1,Ⅳ−０
64,長万部町,北海道,1,2018,20180401,153,41.2,3178,8815,76,40.0,2961,8456,長万部町,179200,159800,147100,8,4,8100,6500,2500,2050,1750,5800,29.4.1,4.12.1,29.4.1,Ⅱ−１
65,江差町,北海道,1,2018,20180401,103,40.8,2992,7907,70,40.5,2990,8101,江差町,177500,158300,145700,4,−,6970,5490,2330,1950,1760,5020,19.4.1,16.4.1,19.4.1,Ⅱ−２
66,上ノ国町,北海道,1,2018,20180401,93,42.1,3127,9120,64,40.6,3090,9066,上ノ国町,179200,159800,147100,1,5,7220,5780,2380,1950,1710,5320,17.4.1,17.4.1,17.4.1,Ⅰ−１
67,厚沢部町,北海道,1,2018,20180401,94,43.6,3268,8826,55,40.8,2950,8112,厚沢部町,179200,159800,147100,4,2,7600,6170,2280,1940,1710,5700,18.4.1,18.4.1,18.4.1,Ⅰ−０
68,乙部町,北海道,1,2018,20180401,95,42.2,3110,8227,59,40.3,2871,7733,乙部町,179200,159800,147100,5,7,7500,6150,2320,1930,1700,5750,26.4.1,18.4.1,26.4.1,Ⅰ−１
69,奥尻町,北海道,1,2018,20180401,148,41.7,3099,8690,74,41.0,2892,7986,奥尻町,179200,156800,147100,15,13,6420,5550,2250,1800,1620,5310,26.4.1,18.4.1,26.4.1,Ⅰ−２
70,今金町,北海道,1,2018,20180401,173,42.5,3086,8474,82,41.4,2974,8396,今金町,179200,159800,147100,15,11,7400,6210,2390,2000,1700,5770,26.4.1,17.4.1,26.4.1,Ⅱ−０
71,せたな町,北海道,1,2018,20180401,225,42.4,3219,8837,124,42.2,3106,8517,せたな町,179200,159800,147100,10,12,7500,6000,2350,1900,1650,5500,23.10.1,23.10.1,23.10.1,Ⅱ−０
