,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,札幌市,北海道,1,2014,20140401,14359,42.7,3109,8737,6361,41.4,3072,8615,札幌市,171600,156300,142800,714,761,12800,10300,10400,9500,8600,8300,4.12.1,4.12.1,13.4.1,政令指定都市
1,仙台市,宮城県,4,2014,20140401,9596,43.1,3336,9545,3448,43.2,3383,9642,仙台市,179200,156900,142600,509,492,10480,8670,9500,8600,8100,5290,23.5.1,24.4.1,26.1.1,政令指定都市
2,さいたま市,埼玉県,11,2014,20140401,9032,40.7,3219,9818,3793,40.4,3211,9767,さいたま市,177100,−,143600,417,892,12430,9770,9770,8730,8070,8140,26.4.1,25.4.1,26.4.1,政令指定都市
3,千葉市,千葉県,12,2014,20140401,7259,41.1,3184,9807,3177,42.2,3284,10173,千葉市,175249,155389,141517,455,471,9520,8640,8835,7980,7315,6300,26.4.1,23.7.1,26.4.1,政令指定都市
4,横浜市,神奈川県,14,2014,20140401,27185,42.7,3345,10853,10680,41.2,3318,10874,横浜市,177700,161300,149700,935,1188,14280,11480,11790,10610,9530,5884,23.4.1,23.4.1,26.4.1,政令指定都市
5,川崎市,神奈川県,14,2014,20140401,13198,42.3,3295,10188,4880,41.0,3304,10360,川崎市,179600,−,144500,493,666,12500,9900,10300,9200,8300,5327,19.4.1,19.4.1,26.4.1,政令指定都市
6,相模原市,神奈川県,14,2014,20140401,4671,41.8,3215,10100,2553,41.8,3250,10169,相模原市,178800,−,144500,276,203,10620,8700,7790,7130,6700,7480,23.7.1,19.3.11,23.7.1,政令指定都市
7,新潟市,新潟県,15,2014,20140401,7344,42.0,3265,9338,2911,42.8,3300,9461,新潟市,178800,158700,144500,396,414,11630,9390,7780,7000,6530,8170,18.4.1,18.4.1,23.4.1,政令指定都市
8,静岡市,静岡県,22,2014,20140401,6216,41.0,3330,9893,2397,41.7,3379,10152,静岡市,173000,153400,139900,358,390,10000,9400,8240,7350,6630,8120,23.7.7,19.4.1,19.4.1,政令指定都市
9,浜松市,静岡県,22,2014,20140401,5478,41.8,3199,9353,2663,43.2,3307,9773,浜松市,178800,158700,144500,182,296,12770,9280,8030,7170,6480,7370,19.4.1,15.1.1,23.12.1,政令指定都市
10,名古屋市,愛知県,23,2014,20140401,25300,42.1,3163,9853,7650,41.3,3224,10035,名古屋市,172900,152400,143200,1015,1048,5000,8800,5000,5000,5000,6050,26.4.1,23.5.1,25.10.1,政令指定都市
11,京都市,京都府,26,2014,20140401,13753,43.7,3354,10686,5556,42.8,3407,10437,京都市,181000,−,145400,499,1013,11120,9680,10080,9270,8640,5791,24.4.1,23.4.1,24.12.1,政令指定都市
12,大阪市,大阪府,27,2014,20140401,35112,43.7,2942,9937,9493,42.8,2982,10282,大阪市,159080,146567,136964,1465,2170,8200,8100,9600,8480,7760,4895,24.4.1,23.4.1,26.4.1,政令指定都市
13,堺市,大阪府,27,2014,20140401,5494,42.7,3135,9880,2901,42.8,3145,9953,堺市,176400,159446,147882,354,447,9520,8613,9025,8075,7410,7296,24.7.1,25.7.1,24.7.1,政令指定都市
14,神戸市,兵庫県,28,2014,20140401,14700,43.8,3394,10293,5768,42.8,3377,10408,神戸市,179400,158100,147100,477,767,11280,9435,11400,10400,9300,6104,15.4.1,18.4.1,25.4.1,政令指定都市
15,岡山市,岡山県,33,2014,20140401,5336,42.5,3342,9704,2549,44.8,3528,10382,岡山市,178800,155700,144500,252,685,11600,9200,8000,7300,6700,5969,21.8.1,23.10.1,21.8.1,政令指定都市
16,広島市,広島県,34,2014,20140401,9520,42.9,3351,9787,4189,44.1,3484,11224,広島市,173300,151500,141000,425,2512,12445,9975,10070,8835,8170,7505,24.4.1,24.8.1,26.4.1,政令指定都市
17,北九州市,福岡県,40,2014,20140401,8346,43.7,3527,9610,4066,44.3,3628,9929,北九州市,179100,160700,146500,304,425,12060,9540,10028,9016,8096,6300,25.4.1,25.2.10,25.4.1,政令指定都市
18,福岡市,福岡県,40,2014,20140401,9485,41.9,3296,9949,5077,40.9,3301,9930,福岡市,172700,152400,139200,471,528,10400,9360,10600,9700,8800,8500,25.4.1,26.4.1,26.4.1,政令指定都市
19,熊本市,熊本県,43,2014,20140401,6419,43.0,3335,9506,2880,42.5,3306,9447,熊本市,178800,−,144500,241,288,11320,8830,8140,7410,6710,7000,24.4.1,24.4.1,24.4.1,政令指定都市
20,函館市,北海道,1,2014,20140401,3373,41.9,3106,8631,1265,43.0,3117,8714,函館市,168756,149744,137298,210,176,5650,7120,6300,5600,5100,6320,23.8.1,9.1.1,24.1.1,中核市
21,小樽市,北海道,1,2014,20140401,1657,42.8,3153,8705,601,43.0,3126,8803,小樽市,171200,150500,137900,85,91,8356,7207,5073,4579,4190,6246,26.4.1,17.10.1,26.4.1,Ⅲ−３
22,旭川市,北海道,1,2014,20140401,2964,40.8,3180,9097,1505,41.8,3168,9081,旭川市,172200,152800,140100,106,130,8610,7872,6250,5550,5150,6461,21.12.1,7.1.1,21.12.1,中核市
23,室蘭市,北海道,1,2014,20140401,1170,39.5,3072,8789,347,41.5,3091,9021,室蘭市,172200,152800,140100,85,99,8550,7020,4800,4500,4150,5805,26.4.1,6.4.1,26.4.1,Ⅱ−３
24,釧路市,北海道,1,2014,20140401,2553,40.8,3074,8509,966,42.9,3110,8531,釧路市,172200,152800,140100,145,181,7762,6680,6000,5400,4900,5800,23.4.1,17.10.11,23.4.1,Ⅳ−１
25,帯広市,北海道,1,2014,20140401,1371,40.7,3055,8480,692,41.0,3113,8624,帯広市,172200,152800,140100,80,71,10050,8050,5800,5100,4700,6930,26.4.1,18.4.1,26.4.1,Ⅳ−１
26,北見市,北海道,1,2014,20140401,1008,41.7,3091,8609,725,41.9,3121,8669,北見市,172200,152800,140100,38,63,6790,6588,5000,4550,4300,5850,18.8.1,18.3.5,18.8.1,Ⅲ−１
27,夕張市,北海道,1,2014,20140401,144,42.1,2537,4603,86,43.5,2566,4739,夕張市,151400,135400,124900,4,8,2590,−,2300,2000,1800,2390,19.4.1,19.4.1,19.4.1,Ⅰ−１
28,岩見沢市,北海道,1,2014,20140401,1121,40.8,3264,8810,489,42.3,3185,8892,岩見沢市,172200,152800,140100,80,90,8380,6950,4700,4150,3840,5500,26.4.1,10.4.1,26.4.1,Ⅱ−１
29,網走市,北海道,1,2014,20140401,353,41.5,3078,8479,248,40.5,3036,8378,網走市,170134,150967,138419,20,14,7600,6840,4710,4150,3800,6118,23.1.1,7.4.1,23.1.1,Ⅰ−１
30,留萌市,北海道,1,2014,20140401,508,41.3,2903,8037,165,44.8,2886,7847,留萌市,160146,142104,130293,54,38,6300,5760,3485,3060,2805,4960,17.12.1,21.4.1,26.4.1,Ⅰ−３
31,苫小牧市,北海道,1,2014,20140401,1774,39.9,3102,9874,643,40.2,2998,9824,苫小牧市,172200,152800,140100,121,119,8330,7200,5200,4800,4400,6120,26.4.1,5.12.1,26.4.1,Ⅳ−１
32,稚内市,北海道,1,2014,20140401,702,39.2,3095,8465,259,41.7,3070,8473,稚内市,172200,152800,140100,59,66,7783,6524,3845,3487,3187,5537,25.10.1,26.4.1,25.10.1,Ⅰ−１
33,美唄市,北海道,1,2014,20140401,414,43.8,3071,6930,235,43.5,3042,6762,美唄市,172200,152800,140100,16,13,6300,5790,4090,3510,3230,5110,21.4.1,6.4.1,21.4.1,Ⅰ−１
34,芦別市,北海道,1,2014,20140401,375,44.4,3332,8573,174,44.7,3354,8846,芦別市,172200,152800,140100,18,14,7920,6460,3850,3360,3150,5840,26.4.1,26.4.1,26.4.1,Ⅰ−１
35,江別市,北海道,1,2014,20140401,1151,40.8,3125,8751,439,41.1,3085,8888,江別市,172200,152800,140100,81,75,8930,7220,4560,4070,3780,6180,26.4.1,16.4.1,26.4.1,Ⅲ−１
36,赤平市,北海道,1,2014,20140401,265,43.8,3337,8579,127,43.8,3251,8592,赤平市,168756,149744,137298,14,8,7740,6318,3090,2660,2460,6040,26.4.1,26.4.1,26.4.1,Ⅰ−３
37,紋別市,北海道,1,2014,20140401,294,41.3,3019,8449,227,40.9,3005,8444,紋別市,172200,152800,140100,18,15,8500,6780,4400,4000,3600,5700,26.4.1,6.12.1,26.4.1,Ⅰ−１
