,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,北海道,北海道,1,2014,20140401,72586,43.3,3478,9980,15660,45.4,3334,9883,北海道,168756,149744,137298,2956,4149,10350,8800,11100,9900,8500,7650,18.4.1,23.8.1,18.4.1,都道府県
1,青森県,青森県,2,2014,20140401,19701,44.3,3592,9463,4352,43.6,3348,9007,青森県,172200,152800,140100,609,2325,10160,8730,8645,7776,7566,7380,26.4.1,26.4.1,26.4.1,都道府県
2,岩手県,岩手県,3,2014,20140401,24142,43.8,3564,9833,4706,43.9,3329,9255,岩手県,172200,152800,140100,1044,1242,10540,8640,8900,8000,7700,5295,26.4.1,26.4.1,26.4.1,都道府県
3,宮城県,宮城県,4,2014,20140401,27687,43.6,3619,10592,5944,42.5,3257,9592,宮城県,178800,158700,144500,1472,3166,12445,9792,10200,9100,8400,8342,25.7.1,18.4.1,25.7.1,都道府県
4,秋田県,秋田県,5,2014,20140401,14994,44.8,3671,10657,3718,43.2,3400,9989,秋田県,172200,152800,140100,474,643,9075,7440,8645,7695,7410,6160,24.11.1,19.10.1,24.11.1,都道府県
5,山形県,山形県,6,2014,20140401,18513,44.7,3679,10311,4016,44.3,3470,9871,山形県,172200,152800,140100,590,1822,9090,7884,8670,7740,7460,6414,22.12.1,18.4.1,22.12.1,都道府県
6,福島県,福島県,7,2014,20140401,27360,44.3,3747,10498,6373,42.9,3365,9602,福島県,181800,161400,146900,1242,3343,10560,8755,9595,8550,7885,8010,25.4.1,26.1.1,25.4.1,都道府県
7,茨城県,茨城県,8,2014,20140401,33946,43.7,3643,10707,5876,42.8,3383,10168,茨城県,172200,152800,140100,1254,5236,10720,9180,9100,8000,7500,7826,26.4.1,25.4.1,21.4.1,都道府県
8,栃木県,栃木県,9,2014,20140401,24255,43.3,3652,10482,4753,43.6,3466,10275,栃木県,178800,155700,144500,972,1120,10320,8585,9900,9000,8300,7560,21.4.1,26.4.1,21.4.1,都道府県
9,群馬県,群馬県,10,2014,20140401,24980,43.3,3649,10534,4732,43.5,3443,10127,群馬県,177300,157200,143400,970,3142,13100,10600,9800,9200,8300,9300,26.4.1,26.4.1,26.4.1,都道府県
10,埼玉県,埼玉県,11,2014,20140401,62830,42.4,3546,10581,8758,43.6,3421,10152,埼玉県,178800,158700,144500,3612,10829,14200,11340,11440,10160,9270,9370,18.4.1,18.4.1,18.4.1,都道府県
11,千葉県,千葉県,12,2014,20140401,62017,42.3,3518,10061,8624,42.8,3339,9684,千葉県,180800,160600,146200,3679,7130,13900,11100,11100,9700,8800,7590,26.4.1,26.4.1,26.4.1,都道府県
12,東京都,東京都,13,2014,20140401,167242,41.0,3327,10532,19219,41.8,3256,10360,東京都,181200,154800,142700,7911,10963,14780,12070,12680,11450,10200,11290,26.4.1,26.4.1,25.12.1,都道府県
13,神奈川県,神奈川県,14,2014,20140401,73753,41.5,3353,10491,9318,43.2,3289,10223,神奈川県,165312,146688,134496,3607,3930,10875,9280,11160,10044,9021,7820,7.12.1,7.12.1,7.12.1,都道府県
14,新潟県,新潟県,15,2014,20140401,34152,43.5,3626,10209,6370,43.0,3344,9620,新潟県,178800,158700,144500,1400,2876,12400,9700,9600,8400,7700,7980,19.4.1,19.4.1,19.4.1,都道府県
15,富山県,富山県,16,2014,20140401,15492,43.7,3595,10181,3380,44.3,3419,9887,富山県,178800,158700,144500,645,1656,11050,9180,9100,8600,7800,7650,20.4.1,20.4.1,23.4.1,都道府県
16,石川県,石川県,17,2014,20140401,15795,43.4,3530,10105,3513,42.2,3237,9369,石川県,172200,152800,140100,701,814,13000,10200,9100,8600,7800,8010,26.4.1,19.4.30,26.4.1,都道府県
17,福井県,福井県,18,2014,20140401,13435,43.1,3590,10336,3183,42.8,3352,9581,福井県,178800,155700,144500,522,549,11700,9180,9100,8600,7800,8010,15.8.1,26.4.1,15.8.1,都道府県
18,山梨県,山梨県,19,2014,20140401,14150,42.8,3526,10282,3425,43.3,3387,10304,山梨県,178800,158700,144500,1183,1314,11250,8928,8645,7872,7469,7347,23.10.1,23.12.1,23.10.1,都道府県
19,長野県,長野県,20,2014,20140401,26782,44.7,3634,10420,5637,45.5,3429,10063,長野県,178800,158700,144500,1234,3236,12780,9850,9850,8610,8040,8140,25.7.1,25.7.1,25.7.1,都道府県
20,岐阜県,岐阜県,21,2014,20140401,24216,42.7,3570,10211,4716,43.3,3353,9812,岐阜県,178800,158700,144500,970,3467,13400,10600,10200,9200,8500,8000,26.4.1,25.4.1,26.4.1,都道府県
21,静岡県,静岡県,22,2014,20140401,38591,42.7,3646,10703,6550,42.6,3400,10214,静岡県,180158,159906,145598,1786,1883,12870,10510,10120,8940,8250,8150,23.12.1,23.12.1,23.12.1,都道府県
22,愛知県,愛知県,23,2014,20140401,71594,41.3,3588,10508,9494,42.4,3388,10104,愛知県,182200,161700,147300,3596,5761,9821,8896,11486,10108,9282,7829,23.8.1,26.4.1,23.8.1,都道府県
23,三重県,三重県,24,2014,20140401,23355,43.2,3620,10609,4833,43.7,3474,10453,三重県,178800,158700,144500,974,3812,8960,10100,10200,9000,8300,7480,26.4.1,26.4.1,26.4.1,都道府県
24,滋賀県,滋賀県,25,2014,20140401,18353,42.6,3563,10756,3314,43.3,3390,10430,滋賀県,178800,158700,144500,915,912,10560,9360,8320,7200,6720,7650,23.4.1,23.7.1,23.4.1,都道府県
25,京都府,京都府,26,2014,20140401,28717,42.5,3488,10544,5026,44.3,3360,10294,京都府,179700,158100,145400,1453,3979,11628,9719,11200,10300,9600,7686,18.4.1,25.4.1,26.4.1,都道府県
26,大阪府,大阪府,27,2014,20140401,82482,41.0,3387,10475,10584,42.9,3257,10401,大阪府,177549,157590,143489,4656,4887,9170,8858,8190,7210,6510,7896,24.4.1,23.4.1,26.4.1,都道府県
27,兵庫県,兵庫県,28,2014,20140401,60744,42.3,3460,10493,7818,44.3,3380,10367,兵庫県,174688,155050,141177,3132,3284,11390,9490,9996,9235,8400,8400,26.4.1,26.4.1,26.4.1,都道府県
28,奈良県,奈良県,29,2014,20140401,15708,43.0,3507,10006,3439,43.3,3358,9843,奈良県,178800,−,144500,871,803,10926,8997,9650,8430,7780,7277,23.12.1,23.12.1,25.4.1,都道府県
29,和歌山県,和歌山県,30,2014,20140401,15231,43.3,3548,10223,4041,42.7,3334,9687,和歌山県,178800,158700,144500,744,1779,11374,8930,9500,8100,7700,6298,18.7.1,26.4.1,18.7.1,都道府県
30,鳥取県,鳥取県,31,2014,20140401,11574,43.1,3367,8792,2920,43.5,3151,8307,鳥取県,172400,153000,139300,522,551,11780,8790,8649,7623,7192,6710,25.1.1,15.12.1,26.4.1,都道府県
31,島根県,島根県,32,2014,20140401,13828,43.8,3592,9400,3708,44.3,3381,9025,島根県,171890,152524,139847,518,635,9920,8245,9400,8200,7600,6743,26.4.1,26.4.1,26.4.1,都道府県
32,岡山県,岡山県,33,2014,20140401,23358,42.9,3602,10436,4680,43.1,3372,9969,岡山県,184000,−,147100,928,3302,10320,9180,9500,8550,7980,8455,26.4.1,26.4.1,26.4.1,都道府県
33,広島県,広島県,34,2014,20140401,30643,43.3,3564,10574,5583,44.4,3466,10373,広島県,177208,157287,143213,1691,1870,12501,10092,10295,9158,8560,7695,26.4.1,23.8.1,26.4.1,都道府県
34,山口県,山口県,35,2014,20140401,19326,44.7,3709,10609,4311,43.8,3424,9944,山口県,181000,160700,146300,644,2564,11610,9690,9800,8800,8400,7790,26.4.1,26.4.1,26.4.1,都道府県
35,徳島県,徳島県,36,2014,20140401,13483,44.0,3625,10377,3458,44.4,3466,10071,徳島県,178800,158700,144500,553,582,9750,8910,8750,8100,7600,7790,19.11.1,19.11.1,26.4.1,都道府県
