-.004,-.048,.039 
-.007,-.056,.042
-.011,-.066,.045 
-.016,-.081,.049 
-.024,-.102,.054 
-.034,-.132,.063 
-.048,-.174,.078 
-.064,-.231,.103 
-.083,-.307,.141 
-.103,-.400,.194 
-.123,-.504,.259 
-.139,-.609,.331 
-.149,-.701,.403 
-.150,-.767,.467 
-.141,-.796,.513 
-.123,-.783,.536 
-.098,-.737,.540 
-.070,-.671,.531 
-.042,-.597,.512 
-.019,-.524,.485 
-.003,-.459,.454 
