-4.835  , -10.495,  .824  
-5.249  , -10.748,  .250    
-5.662  , -11.010, -.315    
-6.076  , -11.282, -.870     
-6.490  , -11.565,-1.414    
-6.903  , -11.859,-1.947    
-7.317  , -12.166,-2.467    
-7.730  , -12.486,-2.975   
-8.144  , -12.820,-3.468   
-8.557  , -13.169,-3.946   
-8.971  , -13.533,-4.409   
-9.385  , -13.913,-4.857   
-9.798  , -14.309,-5.287   
-10.212 , -14.722,-5.702  
-10.625 , -15.151,-6.100  
-11.039 , -15.596,-6.482  
-11.452 , -16.057,-6.848  
-11.866 , -16.534,-7.198  
-12.280 , -17.025,-7.534  
-12.693 , -17.531,-7.855   
-13.107 , -18.050,-8.164   
