,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
6,1105.0,  豊平区　　　　,  Toyohira-ku,218652,23865,142751,51458,1120,217832,1743,2025,16598,14786,194075,110171,110023,54133,50040,18773,10165,12419,1499,436,46.23,26.24,...,...,6476,687,5781,62493,7444,55006,...,22739,1344,457051,1097,11638,...,...,...,...,...,...,15,3368,22,523,9716,11,307,4526,6,6461,101892,96299,5593,331,10626,74802,76201,4625,1159,4411,922,33478,53251,68613,25565,1,1,105860,45260,55650,72.18,...,...,...,...,903,522,34,2,14,132,128,457,164,402,8,51,28,3076,...
7,1106.0,  南区　　　　　,  Minami-ku,141190,14271,81598,44854,437,122354,718,1763,7575,7683,124106,61291,61145,37667,19698,16641,9617,8722,493,230,657.48,113.76,...,...,3670,436,3222,36886,2939,33883,...,4286,360,112979,574,5764,...,...,...,...,...,...,16,1535,21,378,5877,10,227,3050,6,4192,62332,59135,3197,485,6720,47690,47641,3282,826,3279,804,27445,27996,42634,11495,0,1,59910,37600,20920,95.67,...,...,...,...,583,357,24,1,13,80,68,266,112,226,5,29,15,1481,...
8,1107.0,  西区　　　　　,  Nishi-ku,213578,24842,133411,54865,566,211996,1652,2041,12296,11153,191105,97750,97585,56438,35275,20529,11312,11536,1008,422,75.1,28.64,...,...,7062,998,6056,71141,13103,57938,...,156818,6401,754254,1290,14541,...,...,...,...,...,...,13,2242,20,530,9969,10,325,5299,3,2605,97581,91945,5636,331,13427,71428,75066,4624,1228,4398,1011,38435,47704,73425,29184,0,2,91640,48850,39470,82.13,...,...,...,...,1045,660,32,4,21,125,130,502,160,523,6,55,33,3073,...
9,1108.0,  厚別区　　　　,  Atsubetsu-ku,127767,13990,77888,35713,408,125771,696,1245,6477,6378,117400,55585,55498,35886,16711,13975,8005,6802,446,198,24.38,23.14,...,...,3114,280,2830,42300,3938,38326,...,45751,2130,268126,644,7367,...,...,...,...,...,...,8,823,15,333,5767,9,215,3007,4,3436,58573,55077,3496,267,7574,44032,47124,2530,576,2145,475,20442,32001,45093,22017,0,1,52800,28040,23940,87.23,...,...,...,...,575,265,20,1,16,81,64,337,96,304,5,26,17,1517,...
10,1109.0,  手稲区　　　　,  Teine-ku,140999,17367,84637,38561,259,137016,868,1430,6741,5648,119942,57333,57238,37965,15186,14745,8199,5867,487,275,56.77,35.69,...,...,3455,633,2818,36068,5094,30911,...,42215,2294,163507,566,6315,...,...,...,...,...,...,9,2543,16,380,7262,9,242,3631,3,2705,62443,58860,3583,256,11164,44659,49727,2662,662,2632,691,22717,33495,38250,12885,0,1,52330,35100,15800,94.66,...,...,...,...,571,299,28,3,12,79,73,509,100,385,6,30,15,1535,...
11,1110.0,  清田区　　　　,  Kiyota-ku,115726,15459,70761,29260,400,112109,621,1135,4833,4672,98373,45006,44915,31700,10190,11383,6449,4257,310,239,59.87,30.1,...,...,3118,557,2548,33156,4581,28468,...,12844,747,219018,593,7065,...,...,...,...,...,...,8,1345,15,368,6591,8,232,3702,4,2515,52082,49704,2378,336,7737,38088,40598,2893,602,2337,547,18329,28309,33589,12194,0,1,42200,30620,10790,104.04,...,...,...,...,540,243,25,2,9,56,59,168,72,164,7,23,11,1113,...
12,1202.0,函館市　　　　,Hakodate-shi,265979,27131,152154,85931,771,229488,1410,3633,8748,9549,273408,123950,123651,66690,48247,29540,16258,20148,1134,551,677.86,123.33,304809,110119,13795,1839,11912,124215,18551,105171,19,183447,7844,780214,2875,21240,0.46,2.1,7.5,141022,139391,31942,19,1975,48,759,10781,29,514,6126,15,7276,123676,117125,6551,4137,19490,86480,91460,6193,2642,7623,3713,102578,9133,122722,14730,3,1,121390,69890,51220,93.27,30227,266139,111542,15.3,2533,1749,41,5,28,216,131,801,183,680,16,81,47,3438,62211
13,1203.0,小樽市　　　　,Otaru-shi,121924,11171,65317,45240,411,104874,544,1885,3185,3751,124293,55466,55299,31709,19911,15984,8950,10585,389,191,243.83,80.09,120467,47732,6090,884,5197,56650,10937,45594,2,170413,7687,260260,1382,9116,0.43,2.1,8.3,59916,59172,13320,14,982,21,366,4470,13,245,2555,8,3416,54397,51317,3080,710,8909,39508,41823,2905,931,3135,1108,41516,8625,53134,10442,0,1,52750,35720,16790,96.84,3811,120037,49724,17.2,1289,778,17,2,12,84,79,322,102,326,3,28,21,1350,27095
14,1204.0,旭川市　　　　,Asahikawa-shi,339605,37173,191423,106444,613,313661,2201,4186,10245,11075,341732,155747,155218,88393,57488,38167,23059,22400,1555,644,747.66,351.94,390992,142067,15201,2219,12906,154350,22461,131090,138,215295,8503,1063246,3101,27821,0.51,1.5,7.4,157454,156053,39985,29,2774,55,1206,15503,28,651,8341,14,9192,160082,152385,7697,4069,26028,116152,124734,8159,2891,8745,3478,139119,8861,153462,9938,28,5,152000,89910,59670,92.97,6615,343393,115783,23.3,2612,1743,65,6,36,242,177,1339,254,867,20,85,61,5290,77327
15,1205.0,室蘭市　　　　,Muroran-shi,88564,9185,49005,30118,297,69665,515,1299,3061,3651,96865,43616,43536,23014,18486,10954,6773,7295,360,154,80.88,43.27,102449,35804,4423,683,3739,47415,12540,34851,2,636538,7523,229900,829,6282,0.61,2.5,10.1,44087,43504,13311,11,1079,15,284,3517,8,162,2017,6,2920,39243,37286,1957,351,9384,26169,31378,1779,680,1658,672,31920,4146,44396,11256,0,1,43160,23380,19110,84.81,2711,87498,37578,22.1,748,621,11,1,6,55,45,272,63,196,2,14,10,1017,18363
16,1206.0,釧路市　　　　,Kushiro-shi,174742,19400,101909,52867,440,156092,951,2194,5790,6813,175733,82078,81846,45098,31697,19105,11305,11926,790,368,1362.9,309.1,199822,72930,8871,1096,7722,80833,12102,68109,105,237200,4649,534749,1636,13106,0.45,1.2,11.1,95906,95305,20697,28,2154,27,608,7957,17,367,4282,8,4424,78388,74840,3548,1679,13682,54775,61003,3728,1302,3643,1451,65204,5894,75032,6086,1,2,79780,44470,34390,88.8,9840,174939,73214,19.3,1391,1151,29,2,15,83,94,357,107,347,9,51,27,1846,38459
17,1207.0,帯広市　　　　,Obihiro-shi,169327,20566,103890,44636,524,151189,1282,1748,7245,7358,175954,77707,77525,42823,29720,16117,9615,8907,836,349,619.34,382.81,221134,75486,9083,1281,7730,87443,13040,73440,229,153519,5078,651038,1881,16177,0.57,0.9,8.5,82281,81899,21934,13,2098,26,588,7957,14,339,4075,8,5100,82977,79840,3137,3923,14264,56126,62546,4524,1608,4289,2518,64810,10714,85408,16282,0,1,72490,38480,33860,87.48,4902,168276,56694,26.3,1567,1378,32,5,18,102,99,493,138,395,7,32,26,2626,37741
18,1208.0,北見市　　　　,Kitami-shi,121226,13570,70781,36437,283,80955,760,1474,3893,4414,121080,56202,56043,31420,21103,13045,8072,7328,534,245,1427.41,425.18,147087,51973,5944,795,4996,54546,8803,44578,238,119518,2917,353092,1200,9658,0.45,0.4,10,70664,70385,14279,8,860,25,464,5417,15,282,2957,8,3104,58274,55971,2303,3903,9632,38336,42634,2957,1314,3229,2460,49738,3005,55376,2410,8,9,52600,31250,21220,98.44,5010,120189,42688,19,1039,663,28,2,12,65,53,226,79,212,10,41,25,1510,29142
19,1209.0,夕張市　　　　,Yubari-shi,8843,500,4045,4296,88,...,21,207,179,338,9104,4539,4526,2256,1984,1443,922,1178,28,10,763.07,111.65,7444,3353,526,56,460,3506,955,2494,7,10604,673,8373,108,457,0.18,19.6,76.8,13515,12613,828,1,20,1,19,199,1,18,107,1,76,3938,3721,217,582,815,2315,2811,170,153,285,289,3399,309,4022,610,1,0,4700,1990,2700,93.66,3895,8851,3398,7.8,119,40,0,0,0,7,6,10,9,15,1,3,3,64,2550
20,1210.0,岩見沢市　　　,Iwamizawa-shi,84499,8983,47848,27503,96,48561,429,1108,2649,3096,81725,36155,36060,21610,11431,9773,5712,5234,290,127,481.02,318.31,92184,34147,3497,444,2956,33637,5331,27501,198,80952,2820,155733,647,5196,0.38,0.5,5.9,48723,48577,8457,5,767,15,292,3667,10,191,2018,4,2503,39807,37845,1962,3308,6710,26484,29937,1863,757,2453,1889,28762,8089,35192,5436,0,2,36980,24110,12350,104.05,5517,84128,27608,22.2,625,381,10,1,5,59,51,182,63,137,5,25,13,1028,19405
21,1211.0,網走市　　　　,Abashiri-shi,39077,4571,23698,10691,188,27267,253,485,1586,1959,39790,18035,17984,9153,7571,3803,2316,2169,168,68,471,215.94,51150,16755,2036,286,1686,19230,3171,15203,140,51817,1552,63938,362,2485,0.41,0.9,15.5,25202,25034,4821,5,477,9,202,1739,6,109,899,2,1051,18606,17955,651,2230,2875,12170,13914,913,465,1110,1029,16387,1042,18360,1447,0,1,16430,8470,7950,91.15,1642,36988,14489,16.5,345,242,5,0,4,16,18,66,20,56,1,9,5,327,9491
