ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,高橋 ひでき,タカハシ ヒデキ,50,男,,会社員,無所属,True,6245.331,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,福田 あきら,フクダ アキラ,35,男,,団体秘書　2021年4月28日付辞職,無所属,True,5729.766,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,中塚 ひでのり,ナカツカ ヒデノリ,45,男,,宇都宮市議会議員,立憲民主党,True,4547.0,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,岡本 よしあき,オカモト ヨシアキ,70,男,,宇都宮市議会議員,自由民主党,True,4497.817,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,福田 ちえ,フクダ チエ,54,女,,宇都宮市議会議員,無所属,True,4363.484,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,小平 みちお,コダイラ ミチオ,45,男,,会社員,無所属,True,4115.0,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,くまもと 和夫,クマモト カズオ,44,男,,宇都宮市議会議員,自由民主党,True,4064.0,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,しのざき 圭一,シノザキ ケイイチ,53,男,,会社役員,自由民主党,True,4015.091,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,小林 のりお,コバヤシ ノリオ,57,男,,市議会議員,自由民主党,True,3945.805,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,いでい 昌子,イデイ マサコ,56,女,,主婦,無所属,True,3619.584,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,こまば あきお,コマバ アキオ,60,男,,会社員,国民民主党,True,3480.0,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,今野 てつや,コンノ テツヤ,46,男,,会社役員,無所属,True,3460.0,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,今井 やすお,イマイ ヤスオ,68,男,,無職,無所属,True,3459.391,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
宇都宮市議会議員選挙（2019年04月21日投票）,宇都宮市議会議員選挙,栃木県,宇都宮市,宇都宮市,しばた 賢司,シバタ ケンジ,61,男,,会社員,無所属,True,3395.0,20190421,2019,4,21,20190414,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan,30.36,45,57,1.2666666666666666,421655,nan,nan,nan,任期満了,40.73,nan,nan,nan
