,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本第一党,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_燃える市民党,得票数_社会民主党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本第一党,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_燃える市民党,得票率_社会民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本第一党,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_燃える市民党,一人あたり得票率_社会民主党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本第一党,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_燃える市民党,立候補者数_社会民主党,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本第一党,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_燃える市民党,当選者数_社会民主党,当選者数_自由民主党
津和野町議会議員補欠選挙（2009年10月25日投票）,津和野町議会議員補欠選挙,島根県,津和野町,20091025.0,2009.0,10.0,25.0,20091020.0,85.15,2.0,5.0,2.5,7717.0,,,,その他,,,,,津和野町議会議員補欠選挙（2009年10月25日投票）,1.0,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.2,,6325.0,1.0,52.8,15.714961024450552,27.0,43.0,60.0,64.0,70.0,53.5,10.5,43.0,48.25,53.5,58.75,64.0,,,,,,,,6325.0,,,,6325.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.2,,,,,,,,,,,5.0,,,,,,,,,,,2.0,,,
津和野町議会議員選挙（2006年04月23日投票）,津和野町議会議員選挙,島根県,津和野町,20060423.0,2006.0,4.0,23.0,20060418.0,86.71,18.0,21.0,1.1666666666666667,8131.0,,,,任期満了,,,,,津和野町議会議員選挙（2006年04月23日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.05555555555555555,0.8095238095238095,0.19047619047619047,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8580608310723975,0.14193916892760244,,0.05047416653367044,0.03548479223190061,,7002.999999999999,3.0,57.904761904761905,8.917103746678343,37.0,54.0,58.0,63.0,78.0,56.27777777777778,7.94289029087268,37.0,54.0,56.5,61.0,71.0,360.0,,,330.0,,,,6313.0,,,,7003.0,0.051406540054262456,,,0.047122661716407256,,,,0.9014707982293303,,,,1.0,0.051406540054262456,,,0.047122661716407256,,,,0.04744583148575423,,,,1.0,,,1.0,,,,19.0,,,,1.0,,,1.0,,,,16.0,,,
津和野町議会議員選挙（2010年04月25日投票）,津和野町議会議員選挙,島根県,津和野町,20100425.0,2010.0,4.0,25.0,20100420.0,85.35,16.0,19.0,1.1875,7558.0,,,-573.0,任期満了,86.71,,,,津和野町議会議員選挙（2010年04月25日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05263157894736842,,,6393.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
津和野町議会議員選挙（2014年04月27日投票）,津和野町議会議員選挙,島根県,津和野町,20140427.0,2014.0,4.0,27.0,20140422.0,,12.0,14.0,1.1666666666666667,,,,,任期満了,85.35,,,,津和野町議会議員選挙（2014年04月27日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.7142857142857143,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6764295676429568,0.32357043235704325,,0.06764295676429569,0.08089260808926081,,5736.0,2.0,59.214285714285715,11.18148068030713,32.0,52.75,62.0,64.5,79.0,58.5,11.912878185672287,32.0,51.75,59.0,64.25,79.0,,,,357.0,,,,5379.0,,,,5736.0,,,,0.062238493723849375,,,,0.9377615062761506,,,,1.0,,,,0.062238493723849375,,,,0.07213550048278082,,,,,,,1.0,,,,13.0,,,,,,,1.0,,,,11.0,,,
津和野町議会議員選挙（2018年04月22日投票）,津和野町議会議員選挙,島根県,津和野町,20180422.0,2018.0,4.0,22.0,20180417.0,無投票,12.0,12.0,1.0,,,,,任期満了,,,,,津和野町議会議員選挙（2018年04月22日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333,,,,,,,0.0,2.0,63.666666666666664,11.806307165616557,36.0,58.25,66.5,69.75,83.0,63.666666666666664,11.806307165616557,36.0,58.25,66.5,69.75,83.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,,,,,,,1.0,,,,11.0,,,
浜田市議会議員選挙（2005年10月23日投票）,浜田市議会議員選挙,島根県,浜田市,20051023.0,2005.0,10.0,23.0,20051016.0,78.3,0.0,51.0,,50762.0,,,,その他,,,,,浜田市議会議員選挙（2005年10月23日投票）,5.0,51.0,36.0,1.4166666666666667,0.0,0.0,0.0,0.058823529411764705,0.05555555555555555,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.0196078431372549,,39434.0,6.0,57.68627450980392,8.271117230360714,35.0,52.0,59.0,62.5,76.0,57.80555555555556,7.434228064404551,35.0,53.0,59.0,62.0,70.0,2372.0,,,1641.0,,,753.0,30886.0,,2914.0,868.0,39434.0,0.06015113861135061,,,0.041613835776233704,,,0.01909519703808896,0.783232743317949,,0.07389562306638942,0.022011462189988337,1.0,0.030075569305675304,,,0.020806917888116852,,,0.01909519703808896,0.018648398650427358,,0.02463187435546314,0.022011462189988337,2.0,,,2.0,,,1.0,42.0,,3.0,1.0,2.0,,,2.0,,,0.0,28.0,,3.0,1.0
浜田市議会議員選挙（2009年10月18日投票）,浜田市議会議員選挙,島根県,浜田市,20091018.0,2009.0,10.0,18.0,20091011.0,76.84,28.0,33.0,1.1785714285714286,49541.0,,,-1221.0,任期満了,78.3,,,,浜田市議会議員選挙（2009年10月18日投票）,1.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.030303030303030304,0.03571428571428571,0.8181818181818182,0.18181818181818182,0.0,0.8214285714285714,0.17857142857142858,0.0,0.8301756437169505,0.16982435628304945,,0.03074724606359076,0.028304059380508242,,37633.0,4.0,58.515151515151516,8.556837464933267,35.0,53.0,59.0,65.0,73.0,58.357142857142854,8.363245634980501,35.0,54.5,58.5,65.0,73.0,2661.1800000000003,,,1788.0,,,,30894.82,,2289.0,,37633.0,0.07071400100975209,,,0.047511492573007734,,,,0.8209502298514602,,0.06082427656578003,,1.0,0.03535700050487604,,,0.023755746286503867,,,,0.0304055640685726,,0.030412138282890015,,2.0,,,2.0,,,,27.0,,2.0,,2.0,,,1.0,,,,23.0,,2.0,
浜田市議会議員選挙（2013年10月20日投票）,浜田市議会議員選挙,島根県,浜田市,20131020.0,2013.0,10.0,20.0,20131013.0,,24.0,25.0,1.0416666666666667,,,,,任期満了,76.84,,,,浜田市議会議員選挙（2013年10月20日投票）,1.0,25.0,24.0,1.0416666666666667,0.0,0.0,0.0,0.04,0.041666666666666664,0.56,0.4,0.04,0.5833333333333334,0.375,0.041666666666666664,0.6123159062959297,0.34599118149914515,0.041692912204925166,0.043736850449709264,0.034599118149914516,0.041692912204925166,33339.0,5.0,,,,,,,,,,,,,,,2682.0,,,1210.0,,,,25717.0,1491.0,2239.0,,33339.0,0.08044632412489877,,,0.03629383004889169,,,,0.7713788655928492,0.04472239719247728,0.06715858304088305,,1.0,0.040223162062449386,,,0.03629383004889169,,,,0.04059888766278154,0.04472239719247728,0.03357929152044153,,2.0,,,1.0,,,,19.0,1.0,2.0,,2.0,,,1.0,,,,18.0,1.0,2.0,
浜田市議会議員選挙（2017年10月15日投票）,浜田市議会議員選挙,島根県,浜田市,20171015.0,2017.0,10.0,15.0,20171008.0,68.05,24.0,27.0,1.125,46763.0,,,,任期満了,,,,,浜田市議会議員選挙（2017年10月15日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.07407407407407407,0.08333333333333333,0.7037037037037037,0.25925925925925924,0.037037037037037035,0.7083333333333334,0.25,0.041666666666666664,0.631713228728154,0.3236382191606072,0.04464855211123868,0.03324806466990284,0.04623403130865817,0.04464855211123868,31356.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海士町議会議員補欠選挙（2014年05月25日投票）,海士町議会議員補欠選挙,島根県,海士町,20140525.0,2014.0,5.0,25.0,20140520.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,海士町議会議員補欠選挙（2014年05月25日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
