,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_世直し連合,得票数_公明党,得票数_国民民主党,得票数_尊王義塾蒼龍社,得票数_市役所を改革する会,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自動車販売・修理業,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_世直し連合,得票率_公明党,得票率_国民民主党,得票率_尊王義塾蒼龍社,得票率_市役所を改革する会,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自動車販売・修理業,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_世直し連合,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_尊王義塾蒼龍社,一人あたり得票率_市役所を改革する会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自動車販売・修理業,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_世直し連合,立候補者数_公明党,立候補者数_国民民主党,立候補者数_尊王義塾蒼龍社,立候補者数_市役所を改革する会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自動車販売・修理業,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_世直し連合,当選者数_公明党,当選者数_国民民主党,当選者数_尊王義塾蒼龍社,当選者数_市役所を改革する会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自動車販売・修理業,当選者数_自由民主党
出水市議会議員選挙（2014年04月13日投票）,出水市議会議員選挙,鹿児島県,出水市,20140413.0,2014.0,4.0,13.0,20140406.0,,24.0,25.0,1.0416666666666667,,,,,任期満了,73.93,,,,出水市議会議員選挙（2014年04月13日投票）,1.0,25.0,24.0,1.0416666666666667,0.0,0.0,0.0,0.12,0.125,0.76,0.2,0.04,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.8428416088516992,0.1298783312836471,0.027280059864653736,0.044360084676405225,0.025975666256729417,0.027280059864653736,28518.999,3.0,59.96,8.47339365307667,40.0,55.0,62.0,67.0,73.0,59.666666666666664,8.522845117030398,40.0,54.25,61.5,65.5,73.0,,,1583.0,,,,,1451.0,,,25484.999,,,,,28518.999,,,0.05550685702538157,,,,,0.05087836357790819,,,0.8936147793967102,,,,,1.0,,,0.05550685702538157,,,,,0.05087836357790819,,,0.03885281649550914,,,,,,,1.0,,,,,1.0,,,23.0,,,,,,,1.0,,,,,1.0,,,22.0,,,,
出水市議会議員選挙（2018年04月15日投票）,出水市議会議員選挙,鹿児島県,出水市,20180415.0,2018.0,4.0,15.0,20180408.0,60.84,20.0,27.0,1.35,,,,,任期満了,,,,,出水市議会議員選挙（2018年04月15日投票）,1.0,27.0,20.0,1.35,0.0,0.0,0.0,0.14814814814814814,0.15,,,,,,,,,,,,,26748.999,3.0,61.77777777777778,8.689428798229846,44.0,54.5,63.0,68.0,77.0,63.8,8.121576201698781,48.0,55.75,66.0,69.5,77.0,,,1290.0,,,,,1062.0,,,24396.999,,,,,26748.999,,,0.04822610371326418,,,,,0.039702420266268655,,,0.9120714760204671,,,,,1.0,,,0.04822610371326418,,,,,0.039702420266268655,,,0.03648285904081869,,,,,,,1.0,,,,,1.0,,,25.0,,,,,,,1.0,,,,,1.0,,,18.0,,,,
十島村議会議員選挙（2000年05月21日投票）,十島村議会議員選挙,鹿児島県,十島村,20000521.0,2000.0,5.0,21.0,20000516.0,97.02,10.0,12.0,1.2,570.0,,,,任期満了,,,,,十島村議会議員選挙（2000年05月21日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.6,0.4,0.0,0.6345454545454545,0.3654545454545455,,0.09064935064935065,0.0730909090909091,,550.0,1.0,50.666666666666664,9.66379267621615,37.0,46.0,48.5,54.0,70.0,48.6,8.380930735902785,37.0,46.0,47.0,49.75,66.0,,,,,,,,,,,550.0,,,,,550.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,10.0,,,,
十島村議会議員選挙（2004年05月16日投票）,十島村議会議員選挙,鹿児島県,十島村,20040516.0,2004.0,5.0,16.0,20040511.0,97.85,8.0,9.0,1.125,559.0,,,-11.0,任期満了,97.02,,,,十島村議会議員選挙（2004年05月16日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.875,0.125,0.0,0.8942486085343229,0.10575139146567718,,0.11178107606679036,0.10575139146567718,,539.0,1.0,50.666666666666664,10.572501018102471,34.0,42.0,50.0,53.0,70.0,49.0,10.037429949942366,34.0,41.75,50.0,52.25,70.0,,,,,,,,,,,539.0,,,,,539.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,8.0,,,,
十島村議会議員選挙（2008年04月27日投票）,十島村議会議員選挙,鹿児島県,十島村,20080427.0,2008.0,4.0,27.0,20080422.0,95.59,8.0,10.0,1.25,499.0,,,-60.0,任期満了,97.85,,,,十島村議会議員選挙（2008年04月27日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.75,0.125,0.125,0.718816067653277,0.19661733615221988,0.08456659619450317,0.10268800966475386,0.09830866807610994,0.08456659619450317,473.0,1.0,54.9,10.143470806385752,38.0,48.0,54.0,59.0,74.0,51.875,8.402938474129154,38.0,45.75,54.0,54.5,68.0,,,,,,,,,,,473.0,,,,,473.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,8.0,,,,
十島村議会議員選挙（2012年04月29日投票）,十島村議会議員選挙,鹿児島県,十島村,20120429.0,2012.0,4.0,29.0,20120424.0,95.77,8.0,10.0,1.25,496.0,,,-3.0,任期満了,95.59,,,,十島村議会議員選挙（2012年04月29日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.75,0.25,0.0,0.679324894514768,0.3206751054852321,,0.11322081575246133,0.08016877637130802,,474.0,1.0,55.7,7.707788269017255,42.0,49.25,58.0,63.0,65.0,53.5,7.0710678118654755,42.0,48.5,54.0,58.5,64.0,,,,,,,,,,,474.0,,,,,474.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,8.0,,,,
十島村議会議員選挙（2016年04月24日投票）,十島村議会議員選挙,鹿児島県,十島村,20160424.0,2016.0,4.0,24.0,20160419.0,91.91,8.0,11.0,1.375,507.0,,,11.0,任期満了,95.77,,,,十島村議会議員選挙（2016年04月24日投票）,1.0,11.0,8.0,1.375,0.0,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.5454545454545454,0.0,0.625,0.375,0.0,0.544468546637744,0.455531453362256,,0.1088937093275488,0.07592190889370933,,461.0,0.0,60.0,7.954415583355403,46.0,52.0,64.0,66.5,69.0,57.75,8.166241485530538,46.0,50.75,57.5,65.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十島村議会議員選挙（2020年04月26日投票）,十島村議会議員選挙,鹿児島県,十島村,20200426.0,2020.0,4.0,26.0,20200421.0,92.04,8.0,12.0,1.5,465.0,,,-42.0,任期満了,91.91,,,,十島村議会議員選挙（2020年04月26日投票）,1.0,12.0,8.0,1.5,0.0,0.0,0.0,0.08333333333333333,0.0,0.5,0.5,0.0,0.75,0.25,0.0,0.6398104265402843,0.36018957345971564,,0.10663507109004738,0.06003159557661927,,422.0,1.0,59.0,11.298967504452195,30.0,54.75,58.0,66.75,73.0,60.125,7.372881051529314,50.0,54.75,57.5,66.75,72.0,,,,,,,,,,,422.0,,,,,422.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,8.0,,,,
南さつま市議会議員選挙（2005年11月27日投票）,南さつま市議会議員選挙,鹿児島県,南さつま市,20051127.0,2005.0,11.0,27.0,20051120.0,,0.0,49.0,,34405.0,,,,その他,,,,,南さつま市議会議員選挙（2005年11月27日投票）,5.0,49.0,27.0,1.8148148148148149,0.0,0.0,0.0,0.061224489795918366,0.037037037037037035,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.02040816326530612,,27284.0,4.0,57.183673469387756,8.377992232782354,34.0,53.0,58.0,64.0,71.0,57.111111111111114,5.952486771546166,45.0,53.5,57.0,62.0,68.0,,,,,,,,1754.0,,,21070.0,1323.0,,,3137.0,27284.0,,,,,,,,0.06428676147192494,,,0.7722474710453012,0.04848995748423985,,,0.11497580999853393,1.0,,,,,,,,0.03214338073596247,,,0.01838684454869765,0.04848995748423985,,,0.028743952499633484,,,,,,,,2.0,,,42.0,1.0,,,4.0,,,,,,,,2.0,,,21.0,1.0,,,3.0
南さつま市議会議員選挙（2009年11月15日投票）,南さつま市議会議員選挙,鹿児島県,南さつま市,20091115.0,2009.0,11.0,15.0,20091108.0,77.76,22.0,26.0,1.181818181818182,32816.0,,,-1589.0,任期満了,,,,,南さつま市議会議員選挙（2009年11月15日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.07692307692307693,0.045454545454545456,0.6923076923076923,0.3076923076923077,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7230260368755749,0.27697396312442507,,0.04016811315975416,0.034621745390553134,,25003.0,3.0,58.34615384615385,6.256948799856338,42.0,55.0,58.5,61.75,69.0,58.95454545454545,6.363798699228122,42.0,56.25,59.5,61.75,69.0,,,,,,,,1928.0,,,21870.0,1205.0,,,,25003.0,,,,,,,,0.07711074671039475,,,0.8746950365956085,0.04819421669399672,,,,1.0,,,,,,,,0.038555373355197375,,,0.03803021898241776,0.04819421669399672,,,,,,,,,,,2.0,,,23.0,1.0,,,,,,,,,,,2.0,,,19.0,1.0,,,
