,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_西予維新の会,得票数_財政再建の会,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_西予維新の会,得票率_財政再建の会,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_西予維新の会,一人あたり得票率_財政再建の会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_西予維新の会,立候補者数_財政再建の会,当選者数_みんなの党,当選者数_公明党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_西予維新の会,当選者数_財政再建の会
砥部町議会議員選挙（2013年01月27日投票）,砥部町議会議員選挙,愛媛県,砥部町,20130127.0,2013.0,1.0,27.0,20130122.0,66.79,16.0,18.0,1.125,18072.0,,,-303.0,任期満了,69.64,,,,砥部町議会議員選挙（2013年01月27日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.0625,0.7222222222222222,0.2777777777777778,0.0,0.8125,0.1875,0.0,0.7863334174871666,0.21366658251283346,,0.060487185960551276,0.04273331650256669,,11883.0,3.0,61.611111111111114,7.134726412950557,45.0,59.25,62.0,67.0,74.0,62.5,6.566962768281849,45.0,59.75,62.5,68.0,74.0,,1000.0,,,519.0,,,,10364.0,,,,,,11883.0,,0.08415383320710258,,,0.04367583943448624,,,,0.8721703273584112,,,,,,1.0,,0.08415383320710258,,,0.04367583943448624,,,,0.0545106454599007,,,,,,,1.0,,,1.0,,,,16.0,,,,,,,1.0,,,1.0,,,,14.0,,,,,
砥部町議会議員選挙（2017年01月29日投票）,砥部町議会議員選挙,愛媛県,砥部町,20170129.0,2017.0,1.0,29.0,20170124.0,61.53,16.0,17.0,1.0625,18145.0,,,73.0,任期満了,66.79,,,,砥部町議会議員選挙（2017年01月29日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.7647058823529411,0.23529411764705882,0.0,0.75,0.25,0.0,0.7383403652953745,0.2616596347046255,,0.05679541271502881,0.06541490867615637,,11054.999,3.0,65.11764705882354,7.37150597544496,49.0,60.0,65.0,72.0,78.0,66.125,6.362733296312206,54.0,61.5,66.0,72.0,78.0,,888.0,,,595.352,,,,9571.647,,,,,,11054.999,,0.08032565177075095,,,0.05385364575790554,,,,0.8658207024713436,,,,,,1.0,,0.08032565177075095,,,0.05385364575790554,,,,0.05772138016475624,,,,,,,1.0,,,1.0,,,,15.0,,,,,,,1.0,,,1.0,,,,14.0,,,,,
砥部町議会議員選挙（2021年01月31日投票）,砥部町議会議員選挙,愛媛県,砥部町,20210131.0,2021.0,1.0,31.0,20210126.0,60.44,16.0,17.0,1.0625,,,,,任期満了,61.53,,,,砥部町議会議員選挙（2021年01月31日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.75,0.1875,0.0625,0.6861320544903043,0.2466787963948004,0.06718914911489526,0.052779388806946485,0.08222626546493346,0.06718914911489526,10462.999,3.0,67.88235294117646,7.234576721966583,53.0,64.0,68.0,72.0,82.0,67.875,7.457169369137327,53.0,63.5,67.5,73.0,82.0,,1113.0,,,492.86300000000006,,,,8857.136,,,,,,10462.999,,0.10637485485757955,,,0.047105328023064906,,,,0.8465198171193556,,,,,,1.0,,0.10637485485757955,,,0.047105328023064906,,,,0.05643465447462371,,,,,,,1.0,,,1.0,,,,15.0,,,,,,,1.0,,,1.0,,,,14.0,,,,,
西予市議会議員選挙（2008年04月27日投票）,西予市議会議員選挙,愛媛県,西予市,20080427.0,2008.0,4.0,27.0,20080420.0,83.93,24.0,28.0,1.1666666666666667,37305.0,,,,任期満了,,,,,西予市議会議員選挙（2008年04月27日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.03571428571428571,0.041666666666666664,0.7142857142857143,0.2857142857142857,0.0,0.75,0.25,0.0,0.6969479035531961,0.30305209644680386,,0.03484739517765981,0.03788151205585048,,30923.99,3.0,58.535714285714285,8.196175688598151,31.0,54.5,59.5,64.25,71.0,58.375,8.528445051707843,31.0,54.5,59.5,64.25,71.0,,1604.53,,,662.0,,,,28657.46,,,,,,30923.989999999998,,0.05188625400538546,,,0.021407328097053455,,,,0.9267064178975611,,,,,,1.0,,0.05188625400538546,,,0.021407328097053455,,,,0.03564255453452158,,,,,,,1.0,,,1.0,,,,26.0,,,,,,,1.0,,,0.0,,,,23.0,,,,,
西予市議会議員選挙（2012年04月22日投票）,西予市議会議員選挙,愛媛県,西予市,20120422.0,2012.0,4.0,22.0,20120415.0,,21.0,22.0,1.0476190476190477,35631.0,,,-1674.0,任期満了,83.93,,,,西予市議会議員選挙（2012年04月22日投票）,1.0,22.0,21.0,1.0476190476190477,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7142857142857143,0.2857142857142857,0.0,0.7256178777564007,0.27438212224359926,,0.045351117359775046,0.045730353707266545,,27028.0,3.0,,,,,,,,,,,,,,,,1651.0,,,,,,,17408.0,,,,7969.0,,27028.0,,0.0610848009471659,,,,,,,0.6440728133787184,,,,0.29484238567411575,,1.0,,0.0610848009471659,,,,,,,0.042938187558581226,,,,0.04914039761235262,,,1.0,,,,,,,15.0,,,,6.0,,,1.0,,,,,,,14.0,,,,6.0,
西予市議会議員選挙（2016年04月24日投票）,西予市議会議員選挙,愛媛県,西予市,20160424.0,2016.0,4.0,24.0,20160417.0,74.75,21.0,25.0,1.1904761904761905,33803.0,,,-1828.0,任期満了,,,,,西予市議会議員選挙（2016年04月24日投票）,1.0,25.0,21.0,1.1904761904761905,0.0,0.0,0.0,0.08,0.09523809523809523,0.48,0.52,0.0,0.5238095238095238,0.47619047619047616,0.0,0.4605021188134645,0.5394978811865355,,0.03837517656778871,0.04149983701434889,,25014.0,0.0,57.68,10.157637520604878,32.0,53.0,60.0,66.0,70.0,58.57142857142857,9.261139642775786,32.0,55.0,60.0,66.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西予市議会議員選挙（2020年04月26日投票）,西予市議会議員選挙,愛媛県,西予市,20200426.0,2020.0,4.0,26.0,20200419.0,64.42,18.0,21.0,1.1666666666666667,,,,,任期満了,74.75,,,,西予市議会議員選挙（2020年04月26日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.09523809523809523,0.1111111111111111,0.9523809523809523,0.047619047619047616,0.0,0.9444444444444444,0.05555555555555555,0.0,0.948644503774308,0.05135549622569199,,0.0474322251887154,0.05135549622569199,,20250.997000000003,3.0,62.666666666666664,9.3571125650788,36.0,59.0,64.0,70.0,74.0,62.166666666666664,9.691061173404421,36.0,57.5,64.0,69.75,74.0,,1092.0,,,1040.0,,,,18118.997000000003,,,,,,20250.997000000003,,0.05392327103697659,,,0.05135549622569199,,,,0.8947212327373314,,,,,,1.0,,0.05392327103697659,,,0.05135549622569199,,,,0.04709059119670165,,,,,,,1.0,,,1.0,,,,19.0,,,,,,,1.0,,,1.0,,,,16.0,,,,,
西条市議会議員補欠選挙（2007年10月21日投票）,西条市議会議員補欠選挙,愛媛県,西条市,20071021.0,2007.0,10.0,21.0,20071014.0,無投票,1.0,1.0,1.0,7964.0,,,,その他,,,,,西条市議会議員補欠選挙（2007年10月21日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
西条市議会議員選挙（2009年04月19日投票）,西条市議会議員選挙,愛媛県,西条市,20090419.0,2009.0,4.0,19.0,20090412.0,68.17,30.0,34.0,1.1333333333333333,92603.0,,,,任期満了,,,,,西条市議会議員選挙（2009年04月19日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.08823529411764706,0.1,0.6764705882352942,0.17647058823529413,0.14705882352941177,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6759310378017488,0.1913136447859373,0.13275531741231392,0.02938830599138038,0.03188560746432288,0.026551063482462785,62544.990000000005,4.0,57.911764705882355,8.792937162554768,33.0,53.75,59.5,63.0,70.0,57.86666666666667,9.233032486073515,33.0,53.75,59.0,63.0,70.0,,5008.719999999999,,2010.0,4325.4,,,,51200.87,,,,,,62544.990000000005,,0.08008187386391778,,0.03213686659794813,0.069156618299883,,,,0.8186246412382511,,,,,,1.0,,0.04004093693195889,,0.03213686659794813,0.0345783091499415,,,,0.028228435904767278,,,,,,,2.0,,1.0,2.0,,,,29.0,,,,,,,2.0,,1.0,2.0,,,,25.0,,,,,
西条市議会議員選挙（2013年02月24日投票）,西条市議会議員選挙,愛媛県,西条市,20130224.0,2013.0,2.0,24.0,20130217.0,64.16,30.0,34.0,1.1333333333333333,92463.0,,,-140.0,解散,68.17,,,,西条市議会議員選挙（2013年02月24日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.08823529411764706,0.1,0.6764705882352942,0.20588235294117646,0.11764705882352941,0.6333333333333333,0.23333333333333334,0.13333333333333333,0.6199396319664245,0.255960836872336,0.12409953116123944,0.02695389704201846,0.036565833838905146,0.03102488279030986,58743.01,4.0,,,,,,,,,,,,,,,,3458.1,,1692.28,2809.58,,,,50783.049999999996,,,,,,58743.009999999995,,0.05886828066862764,,0.028808193519535348,0.04782832885138164,,,,0.8644951969604554,,,,,,1.0,,0.02943414033431382,,0.028808193519535348,0.02391416442569082,,,,0.029810179205532944,,,,,,,2.0,,1.0,2.0,,,,29.0,,,,,,,2.0,,1.0,1.0,,,,26.0,,,,,
