,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_西予維新の会,得票数_財政再建の会,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_西予維新の会,得票率_財政再建の会,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_西予維新の会,一人あたり得票率_財政再建の会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_西予維新の会,立候補者数_財政再建の会,当選者数_みんなの党,当選者数_公明党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_西予維新の会,当選者数_財政再建の会
上島町議会議員選挙（2012年11月04日投票）,上島町議会議員選挙,愛媛県,上島町,20121104.0,2012.0,11.0,4.0,20121030.0,,14.0,15.0,1.0714285714285714,,,,,任期満了,,,,,上島町議会議員選挙（2012年11月04日投票）,4.0,15.0,13.0,1.1538461538461537,0.5333333333333333,0.75,0.0,0.06666666666666667,0.07692307692307693,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.7875929102344197,0.0,0.21240708976558034,0.13126548503906996,,0.21240708976558034,3498.0,3.0,65.53333333333333,8.131147247194308,40.0,63.0,67.0,71.5,74.0,65.15384615384616,8.529100898112153,40.0,63.0,67.0,71.0,74.0,,,,,368.0,,,,,,,376.0,,,744.0,,,,,0.4946236559139785,,,,,,,0.5053763440860215,,,1.0,,,,,0.4946236559139785,,,,,,,0.5053763440860215,,,,,,,1.0,,,,13.0,,,1.0,,,,,,,1.0,,,,11.0,,,1.0,,
上島町議会議員選挙（2016年10月23日投票）,上島町議会議員選挙,愛媛県,上島町,20161023.0,2016.0,10.0,23.0,20161018.0,84.8,14.0,16.0,1.1428571428571428,6018.0,,,,任期満了,,,,,上島町議会議員選挙（2016年10月23日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.6875,0.25,0.0625,0.7857142857142857,0.21428571428571427,0.0,0.7017517538542787,0.2538392755336578,0.04440897061206364,0.06379561398675261,0.06345981888341445,0.04440897061206364,4998.99,0.0,63.5,12.757350822173073,41.0,57.25,67.5,73.5,78.0,64.85714285714286,12.129404312644203,41.0,61.25,69.5,74.5,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上島町議会議員選挙（2020年10月25日投票）,上島町議会議員選挙,愛媛県,上島町,20201025.0,2020.0,10.0,25.0,20201020.0,85.59,14.0,15.0,1.0714285714285714,,,,,任期満了,84.8,,,,上島町議会議員選挙（2020年10月25日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.6,0.3333333333333333,0.06666666666666667,0.5714285714285714,0.35714285714285715,0.07142857142857142,0.5076002628597287,0.4301025005851181,0.062297236555153165,0.056400029206636525,0.08602050011702363,0.062297236555153165,4622.9980000000005,3.0,63.46666666666667,13.190232076132029,36.0,53.5,66.0,73.5,80.0,62.642857142857146,13.27514940920571,36.0,51.75,65.5,71.75,80.0,,,,,222.0,,,,4130.9980000000005,,,270.0,,,4622.9980000000005,,,,,0.048020786511263895,,,,0.89357555421828,,,0.05840365927045609,,,1.0,,,,,0.048020786511263895,,,,0.06873658109371385,,,0.05840365927045609,,,,,,,1.0,,,,13.0,,,1.0,,,,,,,1.0,,,,12.0,,,1.0,,
久万高原町議会議員補欠選挙（2011年08月28日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20110828.0,2011.0,8.0,28.0,20110823.0,無投票,1.0,1.0,1.0,911.0,,,,その他,,,,,久万高原町議会議員補欠選挙（2011年08月28日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
久万高原町議会議員補欠選挙（2012年08月26日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20120826.0,2012.0,8.0,26.0,20120821.0,81.51,1.0,2.0,2.0,5467.0,,,4556.0,死亡/久万選挙区/,,,,,久万高原町議会議員補欠選挙（2012年08月26日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.8739226791430682,0.1260773208569318,,0.8739226791430682,0.1260773208569318,4061.0,1.0,63.0,7.0,56.0,59.5,63.0,66.5,70.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,4061.0,,,,,,4061.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,
久万高原町議会議員補欠選挙（2016年07月10日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20160710.0,2016.0,7.0,10.0,20160705.0,無投票,1.0,1.0,1.0,,,,,その他/上岡正文議員の道交法違反（無免許運転）容疑逮捕による辞職のため,81.51,,,,久万高原町議会議員補欠選挙（2016年07月10日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久万高原町議会議員補欠選挙（2016年08月28日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20160828.0,2016.0,8.0,28.0,20160823.0,81.74,1.0,2.0,2.0,5186.0,,,,その他/小川光雄議員の死去による,,,,,久万高原町議会議員補欠選挙（2016年08月28日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,3934.0,0.0,65.5,1.5,64.0,64.75,65.5,66.25,67.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久万高原町議会議員補欠選挙（2020年08月30日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20200830.0,2020.0,8.0,30.0,20200825.0,無投票,1.0,1.0,1.0,,,,,死亡/2019年4月20日土居通秀議員の逝去による,81.74,,,,久万高原町議会議員補欠選挙（2020年08月30日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
久万高原町議会議員選挙（2009年04月12日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20090412.0,2009.0,4.0,12.0,20090407.0,86.38,14.0,18.0,1.2857142857142858,8461.0,,,,任期満了,,,,,久万高原町議会議員選挙（2009年04月12日投票）,4.0,18.0,14.0,1.2857142857142858,0.05555555555555555,0.25,0.25,0.0,0.0,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.5,0.35714285714285715,0.14285714285714285,0.5575179955703212,0.3368618493909191,0.10562015503875968,0.05575179955703212,0.06737236987818382,0.05281007751937984,7224.0,1.0,61.22222222222222,6.996471773969407,41.0,59.25,61.0,66.75,70.0,61.42857142857143,7.8985919695880495,41.0,59.25,63.0,67.0,70.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,14.0,,,,,
久万高原町議会議員選挙（2013年04月14日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20130414.0,2013.0,4.0,14.0,20130409.0,,14.0,16.0,1.1428571428571428,24101.0,,,15640.0,任期満了,86.38,,,,久万高原町議会議員選挙（2013年04月14日投票）,4.0,16.0,14.0,1.1428571428571428,0.125,0.5,0.0,0.0625,0.07142857142857142,0.4375,0.5,0.0,0.42857142857142855,0.5,0.0,0.3670027816411683,0.5756258692628651,,0.07340055632823365,0.07195323365785813,,5752.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,14.0,,,,,
久万高原町議会議員選挙（2017年04月16日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20170416.0,2017.0,4.0,16.0,20170411.0,81.06,13.0,16.0,1.2307692307692308,7682.0,,,-16419.0,任期満了,,,,,久万高原町議会議員選挙（2017年04月16日投票）,1.0,16.0,13.0,1.2307692307692308,0.0,0.0,0.0,0.125,0.07692307692307693,0.6875,0.25,0.0625,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.7187297472456254,0.23379779650032403,0.04747245625405055,0.0653390679314205,0.05844944912508101,0.04747245625405055,6172.0,2.0,65.0625,9.195574682965715,42.0,62.75,68.0,70.5,77.0,64.23076923076923,10.008871804199483,42.0,59.0,65.0,72.0,77.0,,,,,266.0,,,,5906.0,,,,,,6172.0,,,,,0.04309786130913804,,,,0.9569021386908619,,,,,,1.0,,,,,0.04309786130913804,,,,0.06379347591272413,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,0.0,,,,13.0,,,,,
久万高原町議会議員選挙（2021年04月18日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20210418.0,2021.0,4.0,18.0,20210413.0,76.99,13.0,14.0,1.0769230769230769,6957.0,3260.0,3697.0,-725.0,任期満了,81.06,,,,久万高原町議会議員選挙（2021年04月18日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.14285714285714285,0.15384615384615385,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.6025455165530206,0.33071260212682874,0.06674188132015066,0.0669495018392245,0.08267815053170718,0.06674188132015066,5318.999,2.0,67.07142857142857,9.852224445809801,46.0,61.5,70.5,73.75,81.0,66.15384615384616,9.63044973665184,46.0,61.0,69.0,73.0,81.0,,,,,397.0,,,,4921.999,,,,,,5318.999,,,,,0.07463810389887271,,,,0.9253618961011273,,,,,,1.0,,,,,0.07463810389887271,,,,0.07118168431547132,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,1.0,,,,12.0,,,,,
今治市議会議員選挙（2005年02月20日投票）,今治市議会議員選挙,愛媛県,今治市,20050220.0,2005.0,2.0,20.0,20050213.0,100.0,34.0,53.0,1.5588235294117647,146031.0,,,,その他,,,,,今治市議会議員選挙（2005年02月20日投票）,1.0,53.0,34.0,1.5588235294117647,0.0,0.0,0.0,0.018867924528301886,0.029411764705882353,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.018867924528301886,,107812.0,5.0,54.43396226415094,8.596860844281155,31.0,48.0,56.0,59.0,76.0,54.1764705882353,9.366619668473831,31.0,47.25,56.0,58.0,76.0,,9871.0,,,3621.0,,,,81970.0,1948.0,,10402.0,,,107812.0,,0.09155752606388899,,,0.033586242718806815,,,,0.7603049753274218,0.018068489592995216,,0.09648276629688718,,,1.0,,0.022889381515972248,,,0.016793121359403407,,,,0.018544023788473703,0.018068489592995216,,0.019296553259377437,,,,4.0,,,2.0,,,,41.0,1.0,,5.0,,,,4.0,,,1.0,,,,26.0,0.0,,3.0,,
今治市議会議員選挙（2009年02月08日投票）,今治市議会議員選挙,愛媛県,今治市,20090208.0,2009.0,2.0,8.0,20090201.0,73.0,34.0,42.0,1.2352941176470589,143021.0,,,-3010.0,任期満了,100.0,,,,今治市議会議員選挙（2009年02月08日投票）,1.0,42.0,34.0,1.2352941176470589,0.0,0.0,0.0,0.023809523809523808,0.0,0.6904761904761905,0.30952380952380953,0.0,0.7941176470588235,0.20588235294117646,0.0,0.7127965153221565,0.28720348467784357,,0.02457919018352264,0.022092575744449505,,102358.95999999999,6.0,55.833333333333336,10.723620272372187,28.0,50.0,59.0,62.0,77.0,55.44117647058823,9.359459437855271,28.0,50.25,59.0,61.75,71.0,,8789.42,,,4112.85,,1564.0,,75937.23,2527.0,,9428.46,,,102358.95999999999,,0.08586859421002324,,,0.04018065443415995,,0.015279561261661901,,0.7418718400421419,0.02468762871369541,,0.09211172133831762,,,1.0,,0.028622864736674414,,,0.020090327217079974,,0.015279561261661901,,0.02393134967877877,0.02468762871369541,,0.023027930334579404,,,,3.0,,,2.0,,1.0,,31.0,1.0,,4.0,,,,3.0,,,1.0,,0.0,,25.0,1.0,,4.0,,
今治市議会議員選挙（2013年02月03日投票）,今治市議会議員選挙,愛媛県,今治市,20130203.0,2013.0,2.0,3.0,20130127.0,59.9,34.0,37.0,1.088235294117647,138836.0,,,-4185.0,任期満了,73.0,,,,今治市議会議員選挙（2013年02月03日投票）,1.0,37.0,34.0,1.088235294117647,0.0,0.0,0.0,0.0,0.0,0.7837837837837838,0.1891891891891892,0.02702702702702703,0.8529411764705882,0.11764705882352941,0.029411764705882353,0.8417540290458974,0.13722752619645812,0.021018444757644465,0.029026001001582667,0.019603932313779732,0.021018444757644465,81595.00000000001,6.0,58.7027027027027,8.89234370001418,32.0,55.0,62.0,65.0,72.0,58.5,9.181983638049665,32.0,54.25,62.0,64.75,72.0,,7256.5,,,2349.0,,1092.0,,59897.850000000006,1830.0,,9169.65,,,81595.0,,0.0889331454133219,,,0.028788528708866966,,0.013383172988540965,,0.7340872602487898,0.022427844843434033,,0.11238004779704638,,,1.0,,0.029644381804440633,,,0.028788528708866966,,0.013383172988540965,,0.027188417046251474,0.022427844843434033,,0.028095011949261596,,,,3.0,,,1.0,,1.0,,27.0,1.0,,4.0,,,,3.0,,,1.0,,0.0,,25.0,1.0,,4.0,,
今治市議会議員選挙（2017年02月05日投票）,今治市議会議員選挙,愛媛県,今治市,20170205.0,2017.0,2.0,5.0,20170129.0,55.44,32.0,39.0,1.21875,136780.0,,,-2056.0,任期満了,59.9,,,,今治市議会議員選挙（2017年02月05日投票）,1.0,39.0,32.0,1.21875,0.0,0.0,0.0,0.07692307692307693,0.0625,0.7948717948717948,0.20512820512820512,0.0,0.84375,0.15625,0.0,0.8197549316139122,0.18024506838608784,,0.026443707471416524,0.02253063354826098,,74820.99299999999,6.0,,,,,,,,60.28125,10.857699960742146,31.0,57.75,65.0,68.0,74.0,,6981.497,,,2062.764,,,1315.0,51673.837,1638.0,,11149.895,,,74820.993,,0.09330933365185357,,,0.027569321353433523,,,0.017575281311756983,0.6906328682379289,0.02189225155031022,,0.14902094389471682,,,1.0,,0.031103111217284523,,,0.027569321353433523,,,0.017575281311756983,0.025578995119923294,0.02189225155031022,,0.024836823982452804,,,,3.0,,,1.0,,,1.0,27.0,1.0,,6.0,,,,3.0,,,1.0,,,0.0,22.0,1.0,,5.0,,
今治市議会議員選挙（2021年02月07日投票）,今治市議会議員選挙,愛媛県,今治市,20210207.0,2021.0,2.0,7.0,20210131.0,61.15,30.0,39.0,1.3,131359.0,61217.0,70142.0,-5421.0,任期満了,55.44,,,,今治市議会議員選挙（2021年02月07日投票）,1.0,39.0,30.0,1.3,0.0,0.0,0.0,0.10256410256410256,0.1,0.7692307692307693,0.1794871794871795,0.05128205128205128,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.82839877419459,0.1138400203476063,0.05776120545780375,0.027613292473152997,0.016262860049658042,0.028880602728901875,78479.993,5.0,60.87179487179487,12.33128081433656,29.0,52.5,64.0,71.0,78.0,61.63333333333333,11.312186152798033,35.0,53.5,63.5,70.75,78.0,,7157.027,,,2498.333,,,,51595.066999999995,1988.0,,15241.566000000003,,,78479.993,,0.09119556114129623,,,0.03183401150405302,,,,0.6574295566004955,0.02533129685676705,,0.1942095738973881,,,1.0,,0.030398520380432077,,,0.03183401150405302,,,,0.02434924283705539,0.02533129685676705,,0.027744224842484014,,,,3.0,,,1.0,,,,27.0,1.0,,7.0,,,,3.0,,,1.0,,,,20.0,1.0,,5.0,,
伊予市議会議員補欠選挙（2016年11月06日投票）,伊予市議会議員補欠選挙,愛媛県,伊予市,20161106.0,2016.0,11.0,6.0,20161030.0,無投票,4.0,4.0,1.0,,,,,任期満了,,,,,伊予市議会議員補欠選挙（2016年11月06日投票）,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.75,0.25,,,,,,,0.0,0.0,60.75,11.453711188955307,49.0,49.75,59.5,70.5,75.0,60.75,11.453711188955307,49.0,49.75,59.5,70.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊予市議会議員選挙（2005年04月24日投票）,伊予市議会議員選挙,愛媛県,伊予市,20050424.0,2005.0,4.0,24.0,20050417.0,81.09,0.0,27.0,,32741.0,,,,その他,,,,,伊予市議会議員選挙（2005年04月24日投票）,3.0,27.0,22.0,1.2272727272727273,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.037037037037037035,,26215.0,4.0,58.48148148148148,7.76206525767929,39.0,54.5,57.0,66.0,74.0,58.27272727272727,8.0237251504059,39.0,55.0,57.0,65.75,74.0,,2190.0,,,637.0,,,,22169.0,1219.0,,,,,26215.0,,0.08353995803929049,,,0.024299065420560748,,,,0.8456608811748999,0.046500095365248906,,,,,1.0,,0.08353995803929049,,,0.024299065420560748,,,,0.03523587004895416,0.046500095365248906,,,,,,1.0,,,1.0,,,,24.0,1.0,,,,,,1.0,,,0.0,,,,20.0,1.0,,,,
伊予市議会議員選挙（2009年04月19日投票）,伊予市議会議員選挙,愛媛県,伊予市,20090419.0,2009.0,4.0,19.0,20090412.0,73.31,21.0,22.0,1.0476190476190477,32356.0,,,-385.0,任期満了,81.09,,,,伊予市議会議員選挙（2009年04月19日投票）,1.0,22.0,21.0,1.0476190476190477,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.22727272727272727,0.0,0.8095238095238095,0.19047619047619047,0.0,0.7847367524280116,0.21526324757198848,,0.04616098543694186,0.043052649514397696,,23476.0,4.0,57.72727272727273,9.136250564655354,38.0,54.0,59.0,61.0,78.0,58.666666666666664,8.248135912540848,42.0,57.0,59.0,61.0,78.0,,2946.0,,,914.0,,,,18430.0,1186.0,,,,,23476.0,,0.12548986198670983,,,0.038933378769807465,,,,0.7850570795706253,0.050519679672857386,,,,,1.0,,0.06274493099335492,,,0.038933378769807465,,,,0.043614282198368076,0.050519679672857386,,,,,,2.0,,,1.0,,,,18.0,1.0,,,,,,2.0,,,1.0,,,,17.0,1.0,,,,
伊予市議会議員選挙（2013年04月14日投票）,伊予市議会議員選挙,愛媛県,伊予市,20130414.0,2013.0,4.0,14.0,20130407.0,72.92,20.0,22.0,1.1,31624.0,,,-732.0,任期満了,73.31,,,,伊予市議会議員選挙（2013年04月14日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.22727272727272727,0.0,0.8,0.2,0.0,0.7904474114682347,0.20955258853176537,,0.04649690655695499,0.041910517706353075,,22619.0,4.0,60.40909090909091,8.353872759543602,40.0,58.0,63.0,65.0,74.0,59.9,8.595929269136642,40.0,55.75,63.0,63.5,74.0,,2153.0,,,487.0,,,,18783.0,1196.0,,,,,22619.0,,0.09518546354834431,,,0.021530571643308724,,,,0.8304080640169769,0.052875900791370084,,,,,1.0,,0.047592731774172156,,,0.021530571643308724,,,,0.046133781334276494,0.052875900791370084,,,,,,2.0,,,1.0,,,,18.0,1.0,,,,,,2.0,,,0.0,,,,17.0,1.0,,,,
伊予市議会議員選挙（2017年04月16日投票）,伊予市議会議員選挙,愛媛県,伊予市,20170416.0,2017.0,4.0,16.0,20170409.0,67.23,19.0,21.0,1.1052631578947372,31445.0,,,-179.0,任期満了,72.92,,,,伊予市議会議員選挙（2017年04月16日投票）,1.0,21.0,19.0,1.105263157894737,0.0,0.0,0.0,0.047619047619047616,0.05263157894736842,0.8571428571428571,0.14285714285714285,0.0,0.8421052631578947,0.15789473684210525,0.0,0.8114997604216578,0.1885002395783421,,0.04508332002342544,0.0628334131927807,,20870.0,0.0,61.04761904761905,8.676603408708855,44.0,55.0,65.0,67.0,75.0,59.89473684210526,8.264666305500437,44.0,52.5,65.0,67.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊予市議会議員選挙（2021年04月18日投票）,伊予市議会議員選挙,愛媛県,伊予市,20210418.0,2021.0,4.0,18.0,20210411.0,58.19,17.0,18.0,1.0588235294117647,30436.0,14127.0,16309.0,-1009.0,任期満了,67.23,,,,伊予市議会議員選挙（2021年04月18日投票）,1.0,18.0,17.0,1.0588235294117647,0.0,0.0,0.0,0.05555555555555555,0.058823529411764705,0.7777777777777778,0.2222222222222222,0.0,0.8235294117647058,0.17647058823529413,0.0,0.8311848561499061,0.16881514385009389,,0.059370346867850435,0.04220378596252347,,17509.999,3.0,60.833333333333336,9.148466781075637,40.0,54.0,59.5,69.0,73.0,60.23529411764706,9.065314710248495,40.0,54.0,59.0,69.0,73.0,,2306.0,,,,,,,12408.999,,,2795.0,,,17509.999,,0.13169618113627535,,,,,,,0.708680737217632,,,0.15962308164609262,,,1.0,,0.06584809056813767,,,,,,,0.05451390286289477,,,0.05320769388203087,,,,2.0,,,,,,,13.0,,,3.0,,,,2.0,,,,,,,12.0,,,3.0,,
伊方町議会議員選挙（2009年04月19日投票）,伊方町議会議員選挙,愛媛県,伊方町,20090419.0,2009.0,4.0,19.0,20090414.0,90.29,18.0,21.0,1.1666666666666667,10155.0,,,9771.0,任期満了,93.96,,,,伊方町議会議員選挙（2009年04月19日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.047619047619047616,0.05555555555555555,0.9047619047619048,0.09523809523809523,0.0,0.8888888888888888,0.1111111111111111,0.0,0.9033251523069283,0.09667484769307168,,0.047543429068785704,0.04833742384653584,,9081.99,2.0,56.095238095238095,8.239884198820837,41.0,50.0,57.0,59.0,77.0,55.833333333333336,8.864724097981467,41.0,50.0,55.0,59.75,77.0,,506.0,,,,,,,8575.99,,,,,,9081.99,,0.05571466165454928,,,,,,,0.9442853383454507,,,,,,1.0,,0.05571466165454928,,,,,,,0.047214266917272533,,,,,,,1.0,,,,,,,20.0,,,,,,,1.0,,,,,,,17.0,,,,,
伊方町議会議員選挙（2013年04月21日投票）,伊方町議会議員選挙,愛媛県,伊方町,20130421.0,2013.0,4.0,21.0,20130416.0,84.79,16.0,17.0,1.0625,9371.0,,,-784.0,任期満了,90.29,,,,伊方町議会議員選挙（2013年04月21日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.9375,0.0,0.0625,0.8890869731312874,0.04304087609830638,0.06787215077040622,0.05927246487541916,0.04304087609830638,0.06787215077040622,7853.0,1.0,59.88235294117647,8.857581351861484,45.0,54.0,59.0,63.0,81.0,59.875,9.130135541162574,45.0,54.0,59.0,63.0,81.0,,,,,,,,,7853.0,,,,,,7853.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,16.0,,,,,
伊方町議会議員選挙（2017年04月16日投票）,伊方町議会議員選挙,愛媛県,伊方町,20170416.0,2017.0,4.0,16.0,20170411.0,83.56,16.0,18.0,1.125,8693.0,,,-678.0,任期満了,84.79,,,,伊方町議会議員選挙（2017年04月16日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0,0.7777777777777778,0.2222222222222222,0.0,0.8125,0.1875,0.0,0.7605164514785506,0.23948354852144937,,0.05432260367703933,0.059870887130362344,,7203.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊方町議会議員選挙（2021年04月18日投票）,伊方町議会議員選挙,愛媛県,伊方町,20210418.0,2021.0,4.0,18.0,20210413.0,79.42,14.0,16.0,1.1428571428571428,7859.0,3771.0,4088.0,-834.0,任期満了,83.56,,,,伊方町議会議員選挙（2021年04月18日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.0,0.8125,0.1875,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8721586123099487,0.1278413876900512,,0.0670891240238422,0.04261379589668374,,6202.999,2.0,61.0,10.27131929208707,41.0,56.0,62.5,67.25,80.0,58.92857142857143,9.129733885296249,41.0,54.0,62.0,65.75,71.0,,,,,180.0,,,,6022.999,,,,,,6202.999,,,,,0.02901822166987291,,,,0.9709817783301271,,,,,,1.0,,,,,0.02901822166987291,,,,0.0647321185553418,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,0.0,,,,14.0,,,,,
