,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_ひろかわまちをマトモにする会,得票数_ふくおかネットワーク,得票数_ふくおか市民政治,得票数_ふくおか市民政治ネットワーク,得票数_ふくおか市民政治ネットワーク・北九州,得票数_ふくおか平成会,得票数_みどり福岡,得票数_みらい福岡,得票数_みんなの党,得票数_みんなの改革福岡,得票数_サラリーマン新党,得票数_サラリーマン新党福岡県本部,得票数_久留米党,得票数_公明党,得票数_国民民主党,得票数_子供達にツケをまわすな会,得票数_平成会,得票数_幸福実現党,得票数_愛と平和の党,得票数_日本共産,得票数_日本共産党,得票数_日本創新党,得票数_日本新進党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_福政会,得票数_立憲民主党,得票数_維新の党,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_ひろかわまちをマトモにする会,得票率_ふくおかネットワーク,得票率_ふくおか市民政治,得票率_ふくおか市民政治ネットワーク,得票率_ふくおか市民政治ネットワーク・北九州,得票率_ふくおか平成会,得票率_みどり福岡,得票率_みらい福岡,得票率_みんなの党,得票率_みんなの改革福岡,得票率_サラリーマン新党,得票率_サラリーマン新党福岡県本部,得票率_久留米党,得票率_公明党,得票率_国民民主党,得票率_子供達にツケをまわすな会,得票率_平成会,得票率_幸福実現党,得票率_愛と平和の党,得票率_日本共産,得票率_日本共産党,得票率_日本創新党,得票率_日本新進党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_福政会,得票率_立憲民主党,得票率_維新の党,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_ひろかわまちをマトモにする会,一人あたり得票率_ふくおかネットワーク,一人あたり得票率_ふくおか市民政治,一人あたり得票率_ふくおか市民政治ネットワーク,一人あたり得票率_ふくおか市民政治ネットワーク・北九州,一人あたり得票率_ふくおか平成会,一人あたり得票率_みどり福岡,一人あたり得票率_みらい福岡,一人あたり得票率_みんなの党,一人あたり得票率_みんなの改革福岡,一人あたり得票率_サラリーマン新党,一人あたり得票率_サラリーマン新党福岡県本部,一人あたり得票率_久留米党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_子供達にツケをまわすな会,一人あたり得票率_平成会,一人あたり得票率_幸福実現党,一人あたり得票率_愛と平和の党,一人あたり得票率_日本共産,一人あたり得票率_日本共産党,一人あたり得票率_日本創新党,一人あたり得票率_日本新進党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_福政会,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_ひろかわまちをマトモにする会,立候補者数_ふくおかネットワーク,立候補者数_ふくおか市民政治,立候補者数_ふくおか市民政治ネットワーク,立候補者数_ふくおか市民政治ネットワーク・北九州,立候補者数_ふくおか平成会,立候補者数_みどり福岡,立候補者数_みらい福岡,立候補者数_みんなの党,立候補者数_みんなの改革福岡,立候補者数_サラリーマン新党,立候補者数_サラリーマン新党福岡県本部,立候補者数_久留米党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_子供達にツケをまわすな会,立候補者数_平成会,立候補者数_幸福実現党,立候補者数_愛と平和の党,立候補者数_日本共産,立候補者数_日本共産党,立候補者数_日本創新党,立候補者数_日本新進党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_福政会,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_ひろかわまちをマトモにする会,当選者数_ふくおかネットワーク,当選者数_ふくおか市民政治,当選者数_ふくおか市民政治ネットワーク,当選者数_ふくおか市民政治ネットワーク・北九州,当選者数_ふくおか平成会,当選者数_みどり福岡,当選者数_みらい福岡,当選者数_みんなの党,当選者数_みんなの改革福岡,当選者数_サラリーマン新党,当選者数_サラリーマン新党福岡県本部,当選者数_久留米党,当選者数_公明党,当選者数_国民民主党,当選者数_子供達にツケをまわすな会,当選者数_平成会,当選者数_幸福実現党,当選者数_愛と平和の党,当選者数_日本共産,当選者数_日本共産党,当選者数_日本創新党,当選者数_日本新進党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_福政会,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党
大任町議会議員選挙（2011年04月24日投票）,大任町議会議員選挙,福岡県,大任町,20110424.0,2011.0,4.0,24.0,20110419.0,83.24,11.0,13.0,1.181818181818182,4665.0,,,-240.0,任期満了,83.24,,,,大任町議会議員選挙（2011年04月24日投票）,1.0,13.0,11.0,1.1818181818181819,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.3076923076923077,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7048239895697522,0.2951760104302477,,0.07831377661886135,0.07379400260756193,,3835.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835.0,,,,,,,,3835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
大任町議会議員選挙（2015年04月26日投票）,大任町議会議員選挙,福岡県,大任町,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,11.0,11.0,1.0,,,,,任期満了,83.24,,,,大任町議会議員選挙（2015年04月26日投票）,1.0,11.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.09090909090909091,,,,,,,0.0,1.0,64.72727272727273,8.475536015132121,45.0,62.5,65.0,69.0,78.0,64.72727272727273,8.475536015132121,45.0,62.5,65.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
大任町議会議員選挙（2019年04月21日投票）,大任町議会議員選挙,福岡県,大任町,20190421.0,2019.0,4.0,21.0,20190416.0,73.14,11.0,12.0,1.0909090909090908,4353.0,,,,任期満了,,,,,大任町議会議員選挙（2019年04月21日投票）,1.0,12.0,11.0,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.8181818181818182,0.18181818181818182,0.0,0.7285759796113412,0.2714240203886588,,0.08095288662348236,0.09047467346288628,,3139.0,1.0,66.25,7.361215932167728,49.0,64.25,67.5,72.0,75.0,66.0909090909091,7.66876243962296,49.0,62.5,67.0,72.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3139.0,,,,,,,,3139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
大刀洗町議会議員選挙（2007年09月23日投票）,大刀洗町議会議員選挙,福岡県,大刀洗町,20070923.0,2007.0,9.0,23.0,20070918.0,71.44,12.0,14.0,1.1666666666666667,12167.0,,,,任期満了,,,,,大刀洗町議会議員選挙（2007年09月23日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333,0.42857142857142855,0.5714285714285714,0.0,0.5,0.5,0.0,0.4065657741559954,0.5934342258440047,,0.06776096235933256,0.07417927823050059,,8590.0,2.0,63.857142857142854,9.394961741404217,37.0,59.25,65.5,70.75,74.0,64.08333333333333,10.07851124367527,37.0,58.75,66.5,71.5,74.0,,,,,,,,,,,,,,,,,,,,,,750.0,,,,,,,7840.0,,,,,,,,8590.0,,,,,,,,,,,,,,,,,,,,,,0.08731082654249127,,,,,,,0.9126891734575088,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.08731082654249127,,,,,,,0.07020685949673144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
大刀洗町議会議員選挙（2011年09月25日投票）,大刀洗町議会議員選挙,福岡県,大刀洗町,20110925.0,2011.0,9.0,25.0,20110920.0,67.84,12.0,13.0,1.0833333333333333,12211.0,,,44.0,任期満了,71.44,,,,大刀洗町議会議員選挙（2011年09月25日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.5384615384615384,0.46153846153846156,0.0,0.5,0.5,0.0,0.47680097680097683,0.5231990231990232,,0.06811442525728241,0.0871998371998372,,8190.0,2.0,62.15384615384615,11.210202453713958,36.0,61.0,66.0,68.0,77.0,61.416666666666664,11.361179027235197,36.0,59.75,66.0,67.25,77.0,,,,,,,,,,,,,,,,,,,,,,558.0,,,,,,,7632.0,,,,,,,,8190.0,,,,,,,,,,,,,,,,,,,,,,0.06813186813186813,,,,,,,0.9318681318681319,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.06813186813186813,,,,,,,0.07765567765567766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
大刀洗町議会議員選挙（2015年09月27日投票）,大刀洗町議会議員選挙,福岡県,大刀洗町,20150927.0,2015.0,9.0,27.0,20150922.0,61.1,12.0,13.0,1.0833333333333333,,,,,任期満了,67.84,,,,大刀洗町議会議員選挙（2015年09月27日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.6153846153846154,0.38461538461538464,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6475854584915898,0.35241454150841023,,0.08094818231144872,0.07048290830168205,,7372.0,2.0,61.76923076923077,11.191712910445052,40.0,60.0,66.0,70.0,74.0,60.75,11.053845484717073,40.0,56.25,65.5,67.75,74.0,,,,,,,,,,,,,,,,,,,,,,574.0,,,,,,,6798.0,,,,,,,,7372.0,,,,,,,,,,,,,,,,,,,,,,0.07786218122626153,,,,,,,0.9221378187737385,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.07786218122626153,,,,,,,0.07684481823114488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
大刀洗町議会議員選挙（2019年09月22日投票）,大刀洗町議会議員選挙,福岡県,大刀洗町,20190922.0,2019.0,9.0,22.0,20190917.0,無投票,12.0,12.0,1.0,,,,,任期満了,61.1,,,,大刀洗町議会議員選挙（2019年09月22日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,,,,,,,0.0,3.0,65.41666666666667,8.430681401220715,47.0,64.75,68.0,70.25,74.0,65.41666666666667,8.430681401220715,47.0,64.75,68.0,70.25,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,1.0
大川市議会議員補欠選挙（2016年10月23日投票）,大川市議会議員補欠選挙,福岡県,大川市,20161023.0,2016.0,10.0,23.0,20161016.0,59.93,1.0,2.0,2.0,30338.0,,,,任期満了/死去,,,,,大川市議会議員補欠選挙（2016年10月23日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,16763.0,0.0,65.5,5.5,60.0,62.75,65.5,68.25,71.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大川市議会議員選挙（2003年04月27日投票）,大川市議会議員選挙,福岡県,大川市,20030427.0,2003.0,4.0,27.0,20030420.0,76.71,21.0,24.0,1.1428571428571428,32965.0,,,,任期満了,,,,,大川市議会議員選挙（2003年04月27日投票）,1.0,24.0,21.0,1.1428571428571428,0.0,0.0,0.0,0.08333333333333333,0.09523809523809523,0.5416666666666666,0.375,0.08333333333333333,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.6094808841818109,0.3300882577125206,0.06043085810566855,0.046883144937062374,0.03667647307916896,0.030215429052834274,24927.0,3.0,55.666666666666664,8.034647195462632,26.0,53.0,56.0,60.0,71.0,57.61904761904762,4.755710256665294,51.0,54.0,56.0,60.0,71.0,,,,,,,,,,,,,,,2325.75,,,,,,,1272.0,,,,,,,21329.25,,,,,,,,24927.0,,,,,,,,,,,,,,,0.09330244313395114,,,,,,,0.051029004693705624,,,,,,,0.8556685521723433,,,,,,,,1.0,,,,,,,,,,,,,,,0.04665122156697557,,,,,,,0.051029004693705624,,,,,,,0.040746121532016344,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,18.0,,,,,,,
大川市議会議員選挙（2007年04月22日投票）,大川市議会議員選挙,福岡県,大川市,20070422.0,2007.0,4.0,22.0,20070415.0,71.64,18.0,24.0,1.3333333333333333,32174.0,,,-791.0,任期満了,76.71,,,,大川市議会議員選挙（2007年04月22日投票）,1.0,24.0,18.0,1.3333333333333333,0.0,0.0,0.0,0.125,0.16666666666666666,0.625,0.3333333333333333,0.041666666666666664,0.6666666666666666,0.3333333333333333,0.0,0.650885055578391,0.32394937039707306,0.025165574024535994,0.0433923370385594,0.04049367129963413,0.025165574024535994,22649.989999999998,2.0,57.833333333333336,7.414325473178408,35.0,56.75,59.0,61.75,69.0,57.55555555555556,7.072813539039799,35.0,56.25,58.5,60.75,68.0,,,,,,,,,,,,,,,2433.7200000000003,,,,,,,,,,,,,,20216.270000000004,,,,,,,,22649.990000000005,,,,,,,,,,,,,,,0.1074490540613925,,,,,,,,,,,,,,0.8925509459386074,,,,,,,,1.0,,,,,,,,,,,,,,,0.05372452703069625,,,,,,,,,,,,,,0.04057049754266397,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,16.0,,,,,,,
大川市議会議員選挙（2011年04月24日投票）,大川市議会議員選挙,福岡県,大川市,20110424.0,2011.0,4.0,24.0,20110417.0,68.81,17.0,25.0,1.4705882352941178,31044.0,,,-1130.0,任期満了,71.64,,,,大川市議会議員選挙（2011年04月24日投票）,1.0,25.0,17.0,1.4705882352941178,0.0,0.0,0.0,0.16,0.17647058823529413,0.52,0.36,0.12,0.7058823529411765,0.17647058823529413,0.11764705882352941,0.6238617634449578,0.26729385985804793,0.10884437669699425,0.04798936641884291,0.029699317762005326,0.03628145889899808,20993.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.83,,,,,,,,,,,,,,19186.17,,,,,,,,20993.0,,,,,,,,,,,,,,,0.08606821321392845,,,,,,,,,,,,,,0.9139317867860715,,,,,,,,1.0,,,,,,,,,,,,,,,0.08606821321392845,,,,,,,,,,,,,,0.03808049111608631,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,
大川市議会議員選挙（2015年04月26日投票）,大川市議会議員選挙,福岡県,大川市,20150426.0,2015.0,4.0,26.0,20150419.0,60.21,17.0,18.0,1.0588235294117647,,,,,任期満了,68.81,,,,大川市議会議員選挙（2015年04月26日投票）,1.0,18.0,17.0,1.0588235294117647,0.0,0.0,0.0,0.16666666666666666,0.17647058823529413,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.6113805949088446,0.3045662358187052,0.0840531692724502,0.05094838290907038,0.06091324716374104,0.0840531692724502,17717.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.0,,,,,,,,,,,,,,15815.0,,,,,,,,17717.0,,,,,,,,,,,,,,,0.10735451825929898,,,,,,,,,,,,,,0.892645481740701,,,,,,,,1.0,,,,,,,,,,,,,,,0.10735451825929898,,,,,,,,,,,,,,0.052508557749453004,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,
大川市議会議員選挙（2019年04月21日投票）,大川市議会議員選挙,福岡県,大川市,20190421.0,2019.0,4.0,21.0,20190414.0,59.28,15.0,18.0,1.2,29130.0,,,,任期満了,60.21,,,,大川市議会議員選挙（2019年04月21日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.16666666666666666,0.2,0.7777777777777778,0.2222222222222222,0.0,0.8,0.2,0.0,0.7750713594785672,0.2249286405214328,,0.0553622399627548,0.0562321601303582,,17002.997000000003,2.0,60.833333333333336,9.038497908637499,44.0,53.25,62.5,67.75,74.0,62.53333333333333,8.86090038063602,44.0,58.0,67.0,68.5,74.0,,,,,,,,,,,,,,,1706.714,,,,,,,,,,,,,,15296.283,,,,,,,,17002.997,,,,,,,,,,,,,,,0.10037724525858588,,,,,,,,,,,,,,0.8996227547414141,,,,,,,,1.0,,,,,,,,,,,,,,,0.10037724525858588,,,,,,,,,,,,,,0.05291898557302436,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,14.0,,,,,,,
大木町議会議員選挙（2007年04月22日投票）,大木町議会議員選挙,福岡県,大木町,20070422.0,2007.0,4.0,22.0,20070417.0,71.65,14.0,15.0,1.0714285714285714,11416.0,,,,任期満了,,,,,大木町議会議員選挙（2007年04月22日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.8666666666666667,0.13333333333333333,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8780764000494499,0.12192359995055013,,0.0675443384653423,0.060961799975275066,,8089.0,2.0,61.93333333333333,10.148672600668304,30.0,60.0,63.0,66.5,74.0,62.07142857142857,10.491249998480269,30.0,60.5,64.0,66.75,74.0,,,,,,,,,,,,,,,,,,,,,,525.0,,,,,,,7564.0,,,,,,,,8089.0,,,,,,,,,,,,,,,,,,,,,,0.0649029546297441,,,,,,,0.935097045370256,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0649029546297441,,,,,,,0.06679264609787543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,
大木町議会議員選挙（2011年04月24日投票）,大木町議会議員選挙,福岡県,大木町,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,13.0,13.0,1.0,11554.0,,,138.0,任期満了,71.65,,,,大木町議会議員選挙（2011年04月24日投票）,1.0,13.0,13.0,1.0,1.0,1.0,0.0,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.07692307692307693,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,
大木町議会議員選挙（2015年04月26日投票）,大木町議会議員選挙,福岡県,大木町,20150426.0,2015.0,4.0,26.0,20150421.0,61.38,12.0,13.0,1.0833333333333333,,,,,任期満了,,,,,大木町議会議員選挙（2015年04月26日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.6153846153846154,0.38461538461538464,0.0,0.6666666666666666,0.3333333333333333,0.0,0.663080298376481,0.3369197016235191,,0.08288503729706012,0.06738394032470382,,6837.0,1.0,58.69230769230769,9.74588367059191,38.0,55.0,63.0,66.0,70.0,58.916666666666664,10.111530821569776,38.0,54.5,63.0,66.25,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6837.0,,,,,,,,6837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
大木町議会議員選挙（2019年04月21日投票）,大木町議会議員選挙,福岡県,大木町,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,12.0,12.0,1.0,,,,,任期満了,61.38,,,,大木町議会議員選挙（2019年04月21日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667,0.0,,,,,,,0.0,1.0,58.083333333333336,9.74216209176496,42.0,51.75,60.0,67.0,71.0,58.083333333333336,9.74216209176496,42.0,51.75,60.0,67.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
大牟田市議会議員選挙（1999年04月25日投票）,大牟田市議会議員選挙,福岡県,大牟田市,19990425.0,1999.0,4.0,25.0,19990418.0,65.76,30.0,37.0,1.2333333333333334,112999.0,,,,任期満了,,,,,大牟田市議会議員選挙（1999年04月25日投票）,1.0,37.0,30.0,1.2333333333333334,0.0,0.0,0.0,0.02702702702702703,0.03333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.02702702702702703,,,73451.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12176.0,,,,,,,8618.0,,,,,,,25548.54,12306.46,,,,,,14802.0,73451.0,,,,,,,,,,,,,,,0.16577037753059862,,,,,,,0.11732992062735702,,,,,,,0.34783107105417216,0.1675465276170508,,,,,,0.20152210317082137,1.0,,,,,,,,,,,,,,,0.03315407550611972,,,,,,,0.029332480156839254,,,,,,,0.023188738070278145,0.027924421269508466,,,,,,0.02878887188154591,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,15.0,6.0,,,,,,7.0,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,9.0,5.0,,,,,,7.0
大牟田市議会議員選挙（2003年04月27日投票）,大牟田市議会議員選挙,福岡県,大牟田市,20030427.0,2003.0,4.0,27.0,20030420.0,62.13,30.0,34.0,1.1333333333333333,111146.0,,,-1853.0,任期満了,65.76,,,,大牟田市議会議員選挙（2003年04月27日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.11764705882352941,0.13333333333333333,0.6176470588235294,0.35294117647058826,0.029411764705882353,0.6666666666666666,0.3,0.03333333333333333,0.6269497527142899,0.3462731555997776,0.026777091685932515,0.0298547501292519,0.028856096299981468,0.026777091685932515,68342.0,6.0,53.1764705882353,8.675423665651534,30.0,49.5,55.0,58.0,70.0,52.8,9.078913297673168,30.0,49.0,55.0,58.0,70.0,,,,,,,,,,,,,,,12639.880000000001,,,,,,,7483.0,,,,,,,21398.0,8360.0,,,,,3195.0,15266.119999999999,68342.0,,,,,,,,,,,,,,,0.1849503965350736,,,,,,,0.10949343010154809,,,,,,,0.31310175294840653,0.12232594890404144,,,,,0.046750168271341194,0.2233783032395891,1.0,,,,,,,,,,,,,,,0.03699007930701472,,,,,,,0.027373357525387023,,,,,,,0.026091812745700545,0.03058148722601036,,,,,0.046750168271341194,0.027922287904948637,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,12.0,4.0,,,,,1.0,8.0,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,9.0,4.0,,,,,1.0,7.0
