,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_公共,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_日本社会党,得票数_日本維新の会,得票数_松本市行革110番,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_公共,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_日本社会党,得票率_日本維新の会,得票率_松本市行革110番,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_公共,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本社会党,一人あたり得票率_日本維新の会,一人あたり得票率_松本市行革110番,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_公共,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本社会党,立候補者数_日本維新の会,立候補者数_松本市行革110番,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_公共,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本社会党,当選者数_日本維新の会,当選者数_松本市行革110番,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
大桑村議会議員選挙（2011年04月24日投票）,大桑村議会議員選挙,長野県,大桑村,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,10.0,10.0,1.0,3565.0,,,-122.0,任期満了,82.45,,,,大桑村議会議員選挙（2011年04月24日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.1,0.1,0.6,0.3,0.1,0.6,0.3,0.1,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,8.0,,,,,,,,2.0,,,,,,8.0,,,
大桑村議会議員選挙（2015年04月26日投票）,大桑村議会議員選挙,長野県,大桑村,20150426.0,2015.0,4.0,26.0,20150421.0,76.54,10.0,11.0,1.1,,,,,任期満了,,,,,大桑村議会議員選挙（2015年04月26日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.8181818181818182,0.18181818181818182,0.0,0.9,0.1,0.0,0.884917517674784,0.11508248232521602,,0.09832416863053156,0.05754124116260801,,2546.0,2.0,67.0,4.067610422035836,60.0,64.5,67.0,69.5,76.0,67.0,4.266145801540309,60.0,64.25,66.5,69.75,76.0,,,,,481.0,,,,,,2065.0,,,,2546.0,,,,,0.1889238020424195,,,,,,0.8110761979575806,,,,1.0,,,,,0.09446190102120974,,,,,,0.09011957755084228,,,,,,,,2.0,,,,,,9.0,,,,,,,,2.0,,,,,,8.0,,,
大桑村議会議員選挙（2019年04月21日投票）,大桑村議会議員選挙,長野県,大桑村,20190421.0,2019.0,4.0,21.0,20190416.0,75.17,10.0,11.0,1.1,3198.0,,,,任期満了,76.54,,,,大桑村議会議員選挙（2019年04月21日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.18181818181818182,0.2,0.5454545454545454,0.45454545454545453,0.0,0.6,0.4,0.0,0.40794979079497906,0.5920502092050209,,0.06799163179916318,0.11841004184100419,,2390.0,2.0,67.63636363636364,3.9605492565076297,62.0,64.5,67.0,70.5,74.0,68.2,3.709447398198282,62.0,65.5,68.0,70.75,74.0,,,,,195.0,,,,,,2195.0,,,,2390.0,,,,,0.08158995815899582,,,,,,0.9184100418410042,,,,1.0,,,,,0.08158995815899582,,,,,,0.09184100418410042,,,,,,,,1.0,,,,,,10.0,,,,,,,,1.0,,,,,,9.0,,,
大町市議会議員増員選挙（2006年01月29日投票）,大町市議会議員増員選挙,長野県,大町市,20060129.0,2006.0,1.0,29.0,20060122.0,,2.0,4.0,2.0,1817.0,,,,その他,,,,,大町市議会議員増員選挙（2006年01月29日投票）,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,1441.0,2.0,60.25,6.7592529172978875,49.0,58.75,62.5,64.0,67.0,65.0,2.0,63.0,64.0,65.0,66.0,67.0,,,,,436.0,,,,,,1005.0,,,,1441.0,,,,,0.3025676613462873,,,,,,0.6974323386537127,,,,1.0,,,,,0.15128383067314366,,,,,,0.34871616932685634,,,,,,,,2.0,,,,,,2.0,,,,,,,,0.0,,,,,,2.0,,,
大町市議会議員補欠選挙（2006年07月02日投票）,大町市議会議員補欠選挙,長野県,大町市,20060702.0,2006.0,7.0,2.0,20060625.0,無投票,1.0,1.0,1.0,26142.0,,,,その他,,,,,大町市議会議員補欠選挙（2006年07月02日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
大町市議会議員補欠選挙（2010年06月27日投票）,大町市議会議員補欠選挙,長野県,大町市,20100627.0,2010.0,6.0,27.0,20100620.0,無投票,1.0,1.0,1.0,24792.0,,,-1350.0,その他,,,,,大町市議会議員補欠選挙（2010年06月27日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
大町市議会議員選挙（2007年04月22日投票）,大町市議会議員選挙,長野県,大町市,20070422.0,2007.0,4.0,22.0,20070415.0,,0.0,22.0,,25467.0,,,,任期満了,,,,,大町市議会議員選挙（2007年04月22日投票）,3.0,22.0,20.0,1.1,0.045454545454545456,0.3333333333333333,0.3333333333333333,0.13636363636363635,0.15,0.8636363636363636,0.13636363636363635,0.0,0.9,0.1,0.0,0.8696629213483146,0.1303370786516854,,0.048314606741573035,0.04344569288389513,,17355.0,3.0,59.59090909090909,8.260855617742637,34.0,56.5,60.5,65.75,70.0,59.7,8.40892383126402,34.0,57.5,60.5,66.25,70.0,,,1200.0,,1391.0,,,,,,,,,,2591.0,,,0.46314164415283676,,0.5368583558471632,,,,,,,,,,1.0,,,0.46314164415283676,,0.2684291779235816,,,,,,,,,,,,1.0,,2.0,,,,,,19.0,,,,,,1.0,,2.0,,,,,,17.0,,,
大町市議会議員選挙（2011年04月24日投票）,大町市議会議員選挙,長野県,大町市,20110424.0,2011.0,4.0,24.0,20110417.0,68.3,18.0,22.0,1.2222222222222223,24661.0,,,-806.0,任期満了,,,,,大町市議会議員選挙（2011年04月24日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.09090909090909091,0.1111111111111111,0.5909090909090909,0.36363636363636365,0.045454545454545456,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.6072999759730898,0.3305303940413263,0.062169629985583855,0.04671538276716076,0.041316299255165785,0.062169629985583855,16648.0,3.0,59.13636363636363,7.168716472826122,38.0,56.25,62.0,64.0,69.0,59.0,7.760297817881877,38.0,56.0,62.0,64.0,69.0,,,1356.0,,1710.0,,,,,,13582.0,,,,16648.0,,,0.08145122537241711,,0.10271504084574724,,,,,,0.8158337337818357,,,,1.0,,,0.08145122537241711,,0.05135752042287362,,,,,,0.04293861756746503,,,,,,1.0,,2.0,,,,,,19.0,,,,,,1.0,,2.0,,,,,,15.0,,,
大町市議会議員選挙（2015年04月26日投票）,大町市議会議員選挙,長野県,大町市,20150426.0,2015.0,4.0,26.0,20150419.0,60.97,16.0,18.0,1.125,23836.0,,,-825.0,任期満了,68.3,,,,大町市議会議員選挙（2015年04月26日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.8333333333333334,0.16666666666666666,0.0,0.8125,0.1875,0.0,0.797264458793307,0.20273554120669304,,0.0531509639195538,0.06757851373556435,,14403.0,3.0,60.22222222222222,8.835254857391591,42.0,58.0,64.5,66.0,69.0,59.9375,9.249788848941364,42.0,55.75,64.5,66.5,69.0,,,1212.0,,1703.0,,,,,,11488.0,,,,14403.0,,,0.08414913559675068,,0.11823925571061585,,,,,,0.7976116086926335,,,,1.0,,,0.08414913559675068,,0.05911962785530792,,,,,,0.053174107246175564,,,,,,1.0,,2.0,,,,,,15.0,,,,,,1.0,,2.0,,,,,,13.0,,,
大町市議会議員選挙（2019年04月21日投票）,大町市議会議員選挙,長野県,大町市,20190421.0,2019.0,4.0,21.0,20190414.0,57.32,16.0,19.0,1.1875,23300.0,,,-536.0,任期満了,60.97,,,,大町市議会議員選挙（2019年04月21日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.15789473684210525,0.1875,,,,,,,,,,,,,13186.999,3.0,59.8421052631579,12.170988620030817,34.0,49.0,65.0,70.0,74.0,58.9375,12.507341594039879,34.0,47.5,63.5,70.0,73.0,,,1348.0,,1468.0,,,,,,10370.999,,,,13186.999,,,0.10222189294167687,,0.11132176471690033,,,,,,0.7864563423414228,,,,1.0,,,0.10222189294167687,,0.05566088235845017,,,,,,0.049153521396338926,,,,,,1.0,,2.0,,,,,,16.0,,,,,,1.0,,2.0,,,,,,13.0,,,
大鹿村議会議員補欠選挙（2021年01月17日投票）,大鹿村議会議員補欠選挙,長野県,大鹿村,20210117.0,2021.0,1.0,17.0,20210112.0,無投票,1.0,1.0,1.0,,,,,辞職/　現職議員の辞職,,,,,大鹿村議会議員補欠選挙（2021年01月17日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,71.0,0.0,71.0,71.0,71.0,71.0,71.0,71.0,0.0,71.0,71.0,71.0,71.0,71.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
大鹿村議会議員選挙（2003年04月27日投票）,大鹿村議会議員選挙,長野県,大鹿村,20030427.0,2003.0,4.0,27.0,20030422.0,94.05,10.0,13.0,1.3,1227.0,,,,任期満了,,,,,大鹿村議会議員選挙（2003年04月27日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.0,0.5384615384615384,0.46153846153846156,0.0,0.6,0.4,0.0,0.5227272727272727,0.4772727272727273,,0.07467532467532467,0.07954545454545454,,1144.0,2.0,62.92307692307692,10.328910423299469,38.0,63.0,65.0,71.0,72.0,61.9,11.431972708154966,38.0,53.25,66.5,71.5,72.0,,,,,73.0,,,,,,1071.0,,,,1144.0,,,,,0.06381118881118882,,,,,,0.9361888111888111,,,,1.0,,,,,0.06381118881118882,,,,,,0.07801573426573426,,,,,,,,1.0,,,,,,12.0,,,,,,,,1.0,,,,,,9.0,,,
大鹿村議会議員選挙（2007年04月22日投票）,大鹿村議会議員選挙,長野県,大鹿村,20070422.0,2007.0,4.0,22.0,20070417.0,89.5,8.0,10.0,1.25,1114.0,,,-113.0,任期満了,94.05,,,,大鹿村議会議員選挙（2007年04月22日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5283350253807106,0.47166497461928936,,0.10566700507614213,0.09433299492385787,,985.0,2.0,64.9,9.364293886887577,42.0,65.5,67.5,68.75,76.0,63.5,9.604686356149273,42.0,63.75,67.5,68.25,73.0,,,,,71.0,,,,,,914.0,,,,985.0,,,,,0.07208121827411168,,,,,,0.9279187817258884,,,,1.0,,,,,0.07208121827411168,,,,,,0.10310208685843204,,,,,,,,1.0,,,,,,9.0,,,,,,,,1.0,,,,,,7.0,,,
大鹿村議会議員選挙（2011年04月24日投票）,大鹿村議会議員選挙,長野県,大鹿村,20110424.0,2011.0,4.0,24.0,20110419.0,89.44,8.0,10.0,1.25,1032.0,,,-82.0,任期満了,89.5,,,,大鹿村議会議員選挙（2011年04月24日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.3,0.375,0.6,0.4,0.0,0.625,0.375,0.0,0.6058951965065502,0.3941048034934498,,0.1009825327510917,0.09852620087336245,,916.0,2.0,,,,,,,,,,,,,,,,,,,110.0,,,,,,806.0,,,,916.0,,,,,0.12008733624454149,,,,,,0.8799126637554585,,,,1.0,,,,,0.12008733624454149,,,,,,0.0977680737506065,,,,,,,,1.0,,,,,,9.0,,,,,,,,1.0,,,,,,7.0,,,
大鹿村議会議員選挙（2015年04月26日投票）,大鹿村議会議員選挙,長野県,大鹿村,20150426.0,2015.0,4.0,26.0,20150421.0,87.45,8.0,9.0,1.125,932.0,,,-100.0,任期満了,89.44,,,,大鹿村議会議員選挙（2015年04月26日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.3333333333333333,0.375,0.6666666666666666,0.3333333333333333,0.0,0.75,0.25,0.0,0.6919254658385093,0.30807453416149067,,0.11532091097308489,0.10269151138716355,,805.0,2.0,62.666666666666664,10.121484300459318,48.0,56.0,63.0,73.0,77.0,64.5,9.219544457292887,50.0,56.75,64.0,73.5,77.0,,,,,92.0,,,,,,713.0,,,,805.0,,,,,0.11428571428571428,,,,,,0.8857142857142857,,,,1.0,,,,,0.11428571428571428,,,,,,0.11071428571428571,,,,,,,,1.0,,,,,,8.0,,,,,,,,1.0,,,,,,7.0,,,
大鹿村議会議員選挙（2019年04月21日投票）,大鹿村議会議員選挙,長野県,大鹿村,20190421.0,2019.0,4.0,21.0,20190416.0,86.0,8.0,9.0,1.125,864.0,,,-68.0,任期満了,87.45,,,,大鹿村議会議員選挙（2019年04月21日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.3333333333333333,0.375,0.6666666666666666,0.3333333333333333,0.0,0.625,0.375,0.0,0.561141304347826,0.4388586956521739,,0.09352355072463768,0.14628623188405795,,736.0,2.0,62.888888888888886,9.206814438162933,53.0,54.0,61.0,67.0,79.0,60.875,7.671986379028576,53.0,53.75,60.5,63.25,77.0,,,,,46.0,,,,,,690.0,,,,736.0,,,,,0.0625,,,,,,0.9375,,,,1.0,,,,,0.0625,,,,,,0.1171875,,,,,,,,1.0,,,,,,8.0,,,,,,,,0.0,,,,,,8.0,,,
天龍村議会議員選挙（2005年04月24日投票）,天龍村議会議員選挙,長野県,天龍村,20050424.0,2005.0,4.0,24.0,20050415.0,無投票,10.0,10.0,1.0,1805.0,,,,任期満了,,,,,天龍村議会議員選挙（2005年04月24日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.2,0.1,0.7,0.2,0.1,,,,,,,0.0,2.0,60.3,8.31925477431723,50.0,54.0,58.5,67.25,75.0,60.3,8.31925477431723,50.0,54.0,58.5,67.25,75.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,9.0,,,,,,,,1.0,,,,,,9.0,,,
天龍村議会議員選挙（2009年04月26日投票）,天龍村議会議員選挙,長野県,天龍村,20090426.0,2009.0,4.0,26.0,20090421.0,87.72,8.0,11.0,1.375,1612.0,,,-193.0,任期満了,,,,,天龍村議会議員選挙（2009年04月26日投票）,1.0,11.0,8.0,1.375,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.75,0.25,0.0,0.6719538572458543,0.28334534967555874,0.044700793078586876,0.09599340817797919,0.09444844989185291,0.044700793078586876,1387.0,2.0,60.09090909090909,7.621197060048978,44.0,56.5,58.0,66.5,72.0,61.125,8.57959060794861,44.0,57.25,62.0,67.5,72.0,,,,,101.0,,,,,,1286.0,,,,1387.0,,,,,0.07281903388608507,,,,,,0.9271809661139149,,,,1.0,,,,,0.07281903388608507,,,,,,0.09271809661139149,,,,,,,,1.0,,,,,,10.0,,,,,,,,1.0,,,,,,7.0,,,
天龍村議会議員選挙（2013年04月21日投票）,天龍村議会議員選挙,長野県,天龍村,20130421.0,2013.0,4.0,21.0,20130416.0,86.16,8.0,9.0,1.125,1416.0,,,-196.0,任期満了,87.72,,,,天龍村議会議員選挙（2013年04月21日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.375,0.5,0.125,0.3540033222591362,0.5454983388704319,0.1004983388704319,0.08850083056478406,0.13637458471760797,0.1004983388704319,1204.0,1.0,58.22222222222222,10.411294911219981,43.0,48.0,58.0,64.0,76.0,59.5,10.35615758860399,43.0,55.25,58.5,65.75,76.0,,,,,,,,,,,1204.0,,,,1204.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,8.0,,,
天龍村議会議員選挙（2017年04月23日投票）,天龍村議会議員選挙,長野県,天龍村,20170423.0,2017.0,4.0,23.0,20170418.0,無投票,8.0,8.0,1.0,,,,,任期満了,86.16,,,,天龍村議会議員選挙（2017年04月23日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.125,0.125,0.625,0.25,0.125,0.625,0.25,0.125,,,,,,,0.0,0.0,60.0,6.892024376045111,47.0,57.75,62.0,64.0,68.0,60.0,6.892024376045111,47.0,57.75,62.0,64.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天龍村議会議員選挙（2021年04月25日投票）,天龍村議会議員選挙,長野県,天龍村,20210425.0,2021.0,4.0,25.0,20210420.0,75.05,8.0,9.0,1.125,1090.0,516.0,574.0,,任期満了,,,,,天龍村議会議員選挙（2021年04月25日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.8888888888888888,0.1111111111111111,0.0,0.875,0.125,0.0,0.9102091020910209,0.0897908979089791,,0.11377613776137761,0.0897908979089791,,813.0,1.0,62.77777777777778,7.3602200718574196,51.0,55.0,66.0,67.0,72.0,61.75,7.171994143890526,51.0,54.5,65.0,66.25,72.0,,,,,,,,,,,813.0,,,,813.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,8.0,,,
安曇野市議会議員選挙（2005年10月23日投票）,安曇野市議会議員選挙,長野県,安曇野市,20051023.0,2005.0,10.0,23.0,20051016.0,,0.0,46.0,,77363.0,,,,その他,,,,,安曇野市議会議員選挙（2005年10月23日投票）,5.0,46.0,28.0,1.6428571428571428,0.0,0.0,0.0,0.10869565217391304,0.07142857142857142,0.021739130434782608,0.9782608695652174,0.0,0.0,1.0,0.0,0.016973472387485127,0.9830265276125149,,0.016973472387485127,0.021845033946944776,,57148.0,3.0,61.47826086956522,8.184659910160628,33.0,59.0,62.5,66.0,74.0,61.142857142857146,7.0240112965368695,42.0,58.0,62.0,66.0,74.0,,,2230.0,,7108.0,,,,,,47810.0,,,,57148.0,,,0.039021488066074056,,0.12437880590746833,,,,,,0.8365997060264576,,,,1.0,,,0.039021488066074056,,0.024875761181493667,,,,,,0.02091499265066144,,,,,,1.0,,5.0,,,,,,40.0,,,,,,1.0,,4.0,,,,,,23.0,,,
安曇野市議会議員選挙（2009年10月11日投票）,安曇野市議会議員選挙,長野県,安曇野市,20091011.0,2009.0,10.0,11.0,20091004.0,69.29,28.0,32.0,1.1428571428571428,78515.0,,,1152.0,任期満了,,,,,安曇野市議会議員選挙（2009年10月11日投票）,1.0,32.0,28.0,1.1428571428571428,0.0,0.0,0.0,0.15625,0.17857142857142858,0.5,0.5,0.0,0.5714285714285714,0.42857142857142855,0.0,0.6115712834405689,0.3884287165594311,,0.038223205215035555,0.024276794784964445,,53154.0,4.0,60.65625,7.020547410102719,41.0,57.75,62.0,65.0,71.0,62.17857142857143,5.819017905777152,46.0,58.75,63.0,65.25,71.0,,,5176.85,,7022.0,,,,1547.0,,39408.15,,,,53154.0,,,0.09739342288444897,,0.13210670880836814,,,,0.02910411257854536,,0.7413957557286376,,,,1.0,,,0.032464474294816324,,0.04403556960278938,,,,0.02910411257854536,,0.029655830229145502,,,,,,3.0,,3.0,,,,1.0,,25.0,,,,,,3.0,,3.0,,,,1.0,,21.0,,,
安曇野市議会議員選挙（2013年10月06日投票）,安曇野市議会議員選挙,長野県,安曇野市,20131006.0,2013.0,10.0,6.0,20130929.0,64.64,25.0,29.0,1.16,,,,,任期満了,69.29,,,,安曇野市議会議員選挙（2013年10月06日投票）,1.0,29.0,25.0,1.16,0.0,0.0,0.0,0.20689655172413793,0.2,0.4827586206896552,0.5172413793103449,0.0,0.48,0.52,0.0,0.45230297705808353,0.5476970229419164,,0.03230735550414882,0.03651313486279442,,50083.0,3.0,,,,,,,,,,,,,,,,,5617.05,,5903.0,,,,,,38562.95,,,,50083.0,,,0.11215482299383024,,0.1178643451869896,,,,,,0.7699808318191801,,,,1.0,,,0.037384940997943414,,0.03928811506232987,,,,,,0.03347742747039913,,,,,,3.0,,3.0,,,,,,23.0,,,,,,3.0,,3.0,,,,,,19.0,,,
安曇野市議会議員選挙（2017年10月15日投票）,安曇野市議会議員選挙,長野県,安曇野市,20171015.0,2017.0,10.0,15.0,20171008.0,,22.0,26.0,1.181818181818182,81295.0,,,,任期満了,64.64,,,,安曇野市議会議員選挙（2017年10月15日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.23076923076923078,0.2727272727272727,0.8076923076923077,0.19230769230769232,0.0,0.8636363636363636,0.13636363636363635,0.0,0.8386090870556889,0.161390912944311,,0.0399337660502709,0.0322781825888622,,49543.0,0.0,62.5,9.783227405183755,32.0,59.0,66.0,67.75,76.0,63.68181818181818,7.73061425077043,46.0,62.0,66.0,67.75,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮田村議会議員選挙（2008年03月30日投票）,宮田村議会議員選挙,長野県,宮田村,20080330.0,2008.0,3.0,30.0,20080325.0,75.87,12.0,13.0,1.0833333333333333,7054.0,,,,任期満了,,,,,宮田村議会議員選挙（2008年03月30日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.3076923076923077,0.0,0.75,0.25,0.0,0.7997739687323413,0.2002260312676587,,0.08886377430359348,0.050056507816914675,,5309.0,2.0,50.61538461538461,13.19404563569061,25.0,46.0,57.0,59.0,67.0,52.75,11.373397322993101,29.0,47.5,57.0,59.75,67.0,,,,,549.0,,,,,,4760.0,,,,5309.0,,,,,0.10340930495385195,,,,,,0.8965906950461481,,,,1.0,,,,,0.10340930495385195,,,,,,0.07471589125384567,,,,,,,,1.0,,,,,,12.0,,,,,,,,1.0,,,,,,11.0,,,
宮田村議会議員選挙（2012年03月25日投票）,宮田村議会議員選挙,長野県,宮田村,20120325.0,2012.0,3.0,25.0,20120320.0,無投票,12.0,12.0,1.0,,,,,任期満了,75.87,,,,宮田村議会議員選挙（2012年03月25日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,,,,,,,0.0,2.0,53.25,12.820068902570947,29.0,46.75,58.5,63.0,68.0,53.25,12.820068902570947,29.0,46.75,58.5,63.0,68.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,11.0,,,,,,,,1.0,,,,,,11.0,,,
宮田村議会議員選挙（2016年03月27日投票）,宮田村議会議員選挙,長野県,宮田村,20160327.0,2016.0,3.0,27.0,20160322.0,67.36,12.0,13.0,1.0833333333333333,7031.0,,,,任期満了,,,,,宮田村議会議員選挙（2016年03月27日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.6153846153846154,0.38461538461538464,0.0,0.5833333333333334,0.4166666666666667,0.0,0.6310285958173282,0.36897140418267177,,0.07887857447716602,0.07379428083653436,,4686.0,0.0,54.92307692307692,10.723529402218128,33.0,53.0,59.0,63.0,67.0,56.75,9.01041064547005,37.0,53.75,59.5,63.5,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮田村議会議員選挙（2020年03月29日投票）,宮田村議会議員選挙,長野県,宮田村,20200329.0,2020.0,3.0,29.0,20200324.0,無投票,12.0,12.0,1.0,,,,,任期満了,67.36,,,,宮田村議会議員選挙（2020年03月29日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.75,0.16666666666666666,0.08333333333333333,0.75,0.16666666666666666,0.08333333333333333,,,,,,,0.0,2.0,62.583333333333336,7.983924821512008,41.0,59.5,64.0,68.25,71.0,62.583333333333336,7.983924821512008,41.0,59.5,64.0,68.25,71.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,11.0,,,,,,,,1.0,,,,,,11.0,,,
富士見町議会議員選挙（2003年04月27日投票）,富士見町議会議員選挙,長野県,富士見町,20030427.0,2003.0,4.0,27.0,20030422.0,77.36,16.0,17.0,1.0625,12317.0,,,,任期満了,,,,,富士見町議会議員選挙（2003年04月27日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.17647058823529413,0.1875,0.29411764705882354,0.6470588235294118,0.058823529411764705,0.3125,0.6875,0.0,0.288660755257265,0.6781683744895871,0.033170870253147786,0.057732151051453,0.06165167040814428,0.033170870253147786,9435.99,2.0,58.76470588235294,7.149902605381138,42.0,58.0,61.0,64.0,68.0,58.3125,7.130206431093002,42.0,56.5,61.0,62.5,68.0,,,,,529.0,,,,,,8906.99,,,,9435.99,,,,,0.056061950044457444,,,,,,0.9439380499555425,,,,1.0,,,,,0.056061950044457444,,,,,,0.05899612812222141,,,,,,,,1.0,,,,,,16.0,,,,,,,,1.0,,,,,,15.0,,,
