,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
小国町議会議員選挙（2015年04月26日投票）,小国町議会議員選挙,山形県,小国町,20150426.0,2015.0,4.0,26.0,20150421.0,83.85,10.0,11.0,1.1,,,,,任期満了,84.92,,,,小国町議会議員選挙（2015年04月26日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.18181818181818182,0.2,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.7393448397323001,0.2606551602676999,,0.09241810496653752,0.08688505342256664,,5678.0,2.0,61.63636363636363,7.865606689572097,49.0,56.5,62.0,66.5,77.0,61.7,8.246817568007675,49.0,56.25,64.0,66.75,77.0,,,,,,,279.0,,5399.0,,,,5678.0,,,,,,,0.04913702007749207,,0.9508629799225079,,,,1.0,,,,,,,0.04913702007749207,,0.0950862979922508,,,,,,,,,,1.0,,10.0,,,,,,,,,,0.0,,10.0,,,
小国町議会議員選挙（2019年04月21日投票）,小国町議会議員選挙,山形県,小国町,20190421.0,2019.0,4.0,21.0,20190416.0,83.04,10.0,13.0,1.3,,,,,任期満了,83.85,,,,小国町議会議員選挙（2019年04月21日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.15384615384615385,0.1,0.6153846153846154,0.38461538461538464,0.0,0.6,0.4,0.0,0.6135593220338983,0.3864406779661017,,0.07669491525423729,0.07728813559322034,,5310.0,1.0,61.38461538461539,7.529822365240166,48.0,54.0,61.0,70.0,71.0,60.9,7.542545989253232,48.0,54.75,60.5,68.25,71.0,,,,,,,,,5310.0,,,,5310.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.07692307692307693,,,,,,,,,,,,13.0,,,,,,,,,,,,10.0,,,
尾花沢市議会議員補欠選挙（2018年07月15日投票）,尾花沢市議会議員補欠選挙,山形県,尾花沢市,20180715.0,2018.0,7.0,15.0,20180708.0,無投票,2.0,2.0,1.0,,,,,辞職/菅根光雄氏の市長選出馬による辞職、及び、鈴木敏正氏の辞職による,,,,,尾花沢市議会議員補欠選挙（2018年07月15日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,41.0,6.0,35.0,38.0,41.0,44.0,47.0,41.0,6.0,35.0,38.0,41.0,44.0,47.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,
尾花沢市議会議員選挙（2007年07月01日投票）,尾花沢市議会議員選挙,山形県,尾花沢市,20070701.0,2007.0,7.0,1.0,20070624.0,85.09,16.0,18.0,1.125,16910.0,,,,任期満了,,,,,尾花沢市議会議員選挙（2007年07月01日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.8333333333333334,0.16666666666666666,0.0,0.875,0.125,0.0,0.8198788391096083,0.18012116089039165,,0.05465858927397389,0.060040386963463886,,14196.0,4.0,58.888888888888886,10.202880251776884,38.0,56.0,59.0,63.5,80.0,59.5,9.041570660012562,39.0,56.0,59.0,62.5,80.0,,,786.0,,,,626.0,,11998.0,786.0,,,14196.0,,,0.05536770921386306,,,,0.04409692871231333,,0.8451676528599605,0.05536770921386306,,,1.0,,,0.05536770921386306,,,,0.04409692871231333,,0.056344510190664034,0.05536770921386306,,,,,1.0,,,,1.0,,15.0,1.0,,,,,1.0,,,,1.0,,13.0,1.0,,
尾花沢市議会議員選挙（2011年07月10日投票）,尾花沢市議会議員選挙,山形県,尾花沢市,20110710.0,2011.0,7.0,10.0,20110703.0,81.96,16.0,17.0,1.0625,15946.0,,,-964.0,任期満了,85.09,,,,尾花沢市議会議員選挙（2011年07月10日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.23529411764705882,0.25,0.7058823529411765,0.29411764705882354,0.0,0.6875,0.3125,0.0,0.6870659052322889,0.31293409476771106,,0.05725549210269074,0.0625868189535422,,12958.0,4.0,,,,,,,,,,,,,,,,,741.0,,,,688.0,,10796.0,733.0,,,12958.0,,,0.05718475073313783,,,,0.05309461336626022,,0.8331532643926531,0.05656737150794876,,,1.0,,,0.05718475073313783,,,,0.05309461336626022,,0.05951094745661808,0.05656737150794876,,,,,1.0,,,,1.0,,14.0,1.0,,,,,1.0,,,,1.0,,13.0,1.0,,
尾花沢市議会議員選挙（2015年07月12日投票）,尾花沢市議会議員選挙,山形県,尾花沢市,20150712.0,2015.0,7.0,12.0,20150705.0,78.31,16.0,17.0,1.0625,,,,,任期満了,81.96,,,,尾花沢市議会議員選挙（2015年07月12日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.23529411764705882,0.25,0.7058823529411765,0.29411764705882354,0.0,0.75,0.25,0.0,0.767365833724696,0.2326341662753039,,0.06394715281039133,0.04652683325506078,,11476.990000000002,4.0,60.88235294117647,8.64245575762418,38.0,56.0,63.0,65.0,73.0,60.125,8.34322329798262,38.0,55.25,62.5,64.25,72.0,,,684.0,,,,617.47,,8760.52,,,1415.0,11476.99,,,0.05959750770890277,,,,0.05380069164476052,,0.7633116348450247,,,0.12329016580131202,1.0,,,0.05959750770890277,,,,0.05380069164476052,,0.05871627960346344,,,0.06164508290065601,,,1.0,,,,1.0,,13.0,,,2.0,,,1.0,,,,1.0,,12.0,,,2.0
尾花沢市議会議員選挙（2019年07月07日投票）,尾花沢市議会議員選挙,山形県,尾花沢市,20190707.0,2019.0,7.0,7.0,20190630.0,76.25,14.0,16.0,1.1428571428571428,,,,,任期満了,78.31,,,,尾花沢市議会議員選挙（2019年07月07日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.3125,0.21428571428571427,0.6875,0.25,0.0625,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.7484298251016548,0.20416158944005935,0.047408585458285774,0.06803907500924135,0.05104039736001484,0.047408585458285774,10423.998,4.0,57.125,10.246188315661586,36.0,51.75,58.0,65.25,72.0,57.07142857142857,9.482798605251253,36.0,53.0,58.0,65.0,68.0,,,575.0,,,,494.18699999999995,,6731.18,,,2623.631,10423.998,,,0.05516117712225194,,,,0.047408585458285774,,0.6457388038639302,,,0.25169143355553214,1.0,,,0.05516117712225194,,,,0.047408585458285774,,0.05870352762399366,,,0.08389714451851071,,,1.0,,,,1.0,,11.0,,,3.0,,,1.0,,,,1.0,,9.0,,,3.0
山形市議会議員選挙（2007年04月22日投票）,山形市議会議員選挙,山形県,山形市,20070422.0,2007.0,4.0,22.0,20070415.0,54.94,35.0,39.0,1.1142857142857143,199580.0,,,,任期満了,,,,,山形市議会議員選挙（2007年04月22日投票）,1.0,39.0,35.0,1.1142857142857143,0.0,0.0,0.0,0.02564102564102564,0.02857142857142857,0.7435897435897436,0.2564102564102564,0.0,0.8285714285714286,0.17142857142857143,0.0,0.7794143608738519,0.22058563912614826,,0.026876357271512132,0.022058563912614827,,108531.00000000001,6.0,55.12820512820513,10.744538236082569,25.0,49.5,57.0,61.5,73.0,54.51428571428571,10.926694516697378,25.0,47.5,57.0,61.5,73.0,,,6904.13,,,,8014.31,3512.95,72157.61000000002,10766.0,,7176.0,108531.00000000001,,,0.06361435903106025,,,,0.07384351014917397,0.032368171305894165,0.6648571375920245,0.09919746431895034,,0.06611935760289686,1.0,,,0.03180717951553012,,,,0.024614503383057987,0.032368171305894165,0.02462433842933424,0.024799366079737584,,0.03305967880144843,,,2.0,,,,3.0,1.0,27.0,4.0,,2.0,,,2.0,,,,3.0,1.0,23.0,4.0,,2.0
山形市議会議員選挙（2011年04月24日投票）,山形市議会議員選挙,山形県,山形市,20110424.0,2011.0,4.0,24.0,20110417.0,50.52,35.0,44.0,1.2571428571428571,201067.0,,,1487.0,任期満了,54.94,,,,山形市議会議員選挙（2011年04月24日投票）,1.0,44.0,35.0,1.2571428571428571,0.0,0.0,0.0,0.13636363636363635,0.14285714285714285,0.5681818181818182,0.4090909090909091,0.022727272727272728,0.7142857142857143,0.2571428571428571,0.02857142857142857,0.723859229411864,0.2551569443630883,0.02098382622504777,0.028954369176474558,0.01417538579794935,0.02098382622504777,100210.98999999999,7.0,,,,,,,,,,,,,,,,1331.0,6692.01,,,,6532.2300000000005,9253.55,63711.2,5080.0,,7611.0,100210.98999999999,,0.013281976358082084,0.06677920256051757,,,,0.06518476666082235,0.09234067041948193,0.6357705876371444,0.05069304274910367,,0.07594975361484804,1.0,,0.013281976358082084,0.033389601280258786,,,,0.02172825555360745,0.030780223473160645,0.020508728633456274,0.025346521374551834,,0.03797487680742402,,1.0,2.0,,,,3.0,3.0,31.0,2.0,,2.0,,1.0,2.0,,,,3.0,3.0,22.0,2.0,,2.0
山形市議会議員選挙（2015年04月26日投票）,山形市議会議員選挙,山形県,山形市,20150426.0,2015.0,4.0,26.0,20150419.0,48.05,33.0,43.0,1.303030303030303,,,,,任期満了,50.52,,,,山形市議会議員選挙（2015年04月26日投票）,1.0,43.0,33.0,1.303030303030303,0.0,0.0,0.0,0.13953488372093023,0.15151515151515152,0.7209302325581395,0.27906976744186046,0.0,0.9090909090909091,0.09090909090909091,0.0,0.843715189944497,0.15628481005550293,,0.027216619030467647,0.013023734171291912,,95275.99,6.0,,,,,,,,,,,,,,,,,7140.38,,,,8551.94,7195.5599999999995,38611.64,4675.0,,29101.47,95275.99,,,0.07494417008944226,,,,0.08975965508204113,0.07552332964475099,0.4052609686868643,0.04906797609765062,,0.3054439003992506,1.0,,,0.024981390029814088,,,,0.022439913770510283,0.025174443214916995,0.019298141366041157,0.02453398804882531,,0.03054439003992506,,,3.0,,,,4.0,3.0,21.0,2.0,,10.0,,,3.0,,,,3.0,3.0,12.0,2.0,,10.0
