,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
山形市議会議員選挙（2019年04月21日投票）,山形市議会議員選挙,山形県,山形市,20190421.0,2019.0,4.0,21.0,20190414.0,47.15,33.0,41.0,1.2424242424242424,203603.0,,,,任期満了,48.05,,,,山形市議会議員選挙（2019年04月21日投票）,1.0,41.0,33.0,1.2424242424242424,0.0,0.0,0.0,0.14634146341463414,0.15151515151515152,,,,,,,,,,,,,94903.995,6.0,56.926829268292686,11.582977931056352,31.0,48.0,59.0,66.0,81.0,57.15151515151515,11.959834832449294,31.0,47.0,59.0,66.0,81.0,,,6470.433,,,,7395.7,,40170.08899999999,1744.0,6367.0,32756.773,94903.995,,,0.0681787210327658,,,,0.07792822630912428,,0.42327079065533535,0.01837646560611068,0.06708885121221715,0.3451569451844467,1.0,,,0.02272624034425527,,,,0.01948205657728107,,0.022277410034491334,0.01837646560611068,0.033544425606108576,0.028763078765370556,,,3.0,,,,4.0,,19.0,1.0,2.0,12.0,,,3.0,,,,3.0,,12.0,1.0,2.0,12.0
山辺町議会議員補欠選挙（2010年10月24日投票）,山辺町議会議員補欠選挙,山形県,山辺町,20101024.0,2010.0,10.0,24.0,20101019.0,,2.0,3.0,1.5,12585.0,,,,その他,,,,,山辺町議会議員補欠選挙（2010年10月24日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.8182722050375607,0.18172779496243924,,0.40913610251878035,0.18172779496243924,9052.0,1.0,,,,,,,,,,,,,,,,,,,,,,,9052.0,,,,9052.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,
山辺町議会議員補欠選挙（2018年10月21日投票）,山辺町議会議員補欠選挙,山形県,山辺町,20181021.0,2018.0,10.0,21.0,20181016.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,山辺町議会議員補欠選挙（2018年10月21日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,73.0,0.0,73.0,73.0,73.0,73.0,73.0,73.0,0.0,73.0,73.0,73.0,73.0,73.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
山辺町議会議員選挙（2007年08月26日投票）,山辺町議会議員選挙,山形県,山辺町,20070826.0,2007.0,8.0,26.0,20070821.0,73.79,12.0,13.0,1.0833333333333333,12632.0,,,,任期満了,,,,,山辺町議会議員選挙（2007年08月26日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.7692307692307693,0.23076923076923078,0.0,0.75,0.25,0.0,0.7401221357544315,0.2598778642455685,,0.07401221357544316,0.08662595474852285,,9252.0,2.0,60.92307692307692,9.152229980145139,42.0,56.0,60.0,68.0,75.0,60.833333333333336,9.520445834565148,42.0,56.0,60.0,68.5,75.0,,,,,,,444.39,,8807.61,,,,9252.0,,,,,,,0.04803177691309987,,0.9519682230869002,,,,1.0,,,,,,,0.04803177691309987,,0.07933068525724168,,,,,,,,,,1.0,,12.0,,,,,,,,,,1.0,,11.0,,,
山辺町議会議員選挙（2011年08月28日投票）,山辺町議会議員選挙,山形県,山辺町,20110828.0,2011.0,8.0,28.0,20110823.0,70.72,12.0,13.0,1.0833333333333333,12567.0,,,-65.0,任期満了,73.79,,,,山辺町議会議員選挙（2011年08月28日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.5384615384615384,0.38461538461538464,0.0,0.5833333333333334,0.3333333333333333,0.0,0.5071866137266025,0.4439194554736245,,0.07245523053237178,0.0887838910947249,,8815.0,2.0,,,,,,,,,,,,,,,,,,,,,329.34,,8485.66,,,,8815.0,,,,,,,0.03736131593874078,,0.9626386840612592,,,,1.0,,,,,,,0.03736131593874078,,0.08021989033843827,,,,,,,,,,1.0,,12.0,,,,,,,,,,1.0,,11.0,,,
山辺町議会議員選挙（2015年08月23日投票）,山辺町議会議員選挙,山形県,山辺町,20150823.0,2015.0,8.0,23.0,20150818.0,69.35,12.0,15.0,1.25,,,,,任期満了,70.72,,,,山辺町議会議員選挙（2015年08月23日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.2,0.16666666666666666,0.5333333333333333,0.4666666666666667,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6034469606674613,0.3965530393325387,,0.07543087008343266,0.056650434190362677,,8390.0,2.0,60.266666666666666,8.282243389055623,41.0,55.0,62.0,66.0,72.0,58.5,8.04673846971554,41.0,52.25,61.0,66.0,68.0,,,,,,,384.93,,8005.070000000001,,,,8390.0,,,,,,,0.045879618593563765,,0.9541203814064363,,,,1.0,,,,,,,0.045879618593563765,,0.06815145581474545,,,,,,,,,,1.0,,14.0,,,,,,,,,,1.0,,11.0,,,
山辺町議会議員選挙（2019年08月25日投票）,山辺町議会議員選挙,山形県,山辺町,20190825.0,2019.0,8.0,25.0,20190820.0,61.63,12.0,14.0,1.1666666666666667,,,,,任期満了,69.35,,,,山辺町議会議員選挙（2019年08月25日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.21428571428571427,0.25,0.6428571428571429,0.35714285714285715,0.0,0.75,0.25,0.0,0.7754629629629629,0.22453703703703703,,0.08616255144032921,0.04490740740740741,,7344.0,2.0,62.42857142857143,7.60370478981215,45.0,57.0,62.5,69.75,73.0,62.333333333333336,7.8351061823621055,45.0,57.0,62.5,70.0,73.0,,,,,,,386.0,,6958.0,,,,7344.0,,,,,,,0.0525599128540305,,0.9474400871459695,,,,1.0,,,,,,,0.0525599128540305,,0.07288000670353612,,,,,,,,,,1.0,,13.0,,,,,,,,,,1.0,,11.0,,,
川西町議会議員選挙（2007年04月22日投票）,川西町議会議員選挙,山形県,川西町,20070422.0,2007.0,4.0,22.0,20070417.0,79.08,15.0,18.0,1.2,15276.0,,,,任期満了,,,,,川西町議会議員選挙（2007年04月22日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7333333333333333,0.2,0.06666666666666667,0.7030121526832183,0.2239066732920004,0.07308117402478131,0.050215153763087016,0.07463555776400013,0.07308117402478131,11933.99,2.0,58.166666666666664,6.066758241067099,49.0,54.25,57.5,59.0,71.0,56.8,5.2179178478265325,49.0,54.0,57.0,58.5,71.0,,,,,,,655.0,,11278.99,,,,11933.99,,,,,,,0.05488524793468069,,0.9451147520653194,,,,1.0,,,,,,,0.05488524793468069,,0.05559498541560702,,,,,,,,,,1.0,,17.0,,,,,,,,,,1.0,,14.0,,,
川西町議会議員選挙（2011年04月24日投票）,川西町議会議員選挙,山形県,川西町,20110424.0,2011.0,4.0,24.0,20110419.0,67.28,15.0,16.0,1.0666666666666669,14572.0,,,-704.0,任期満了,79.08,,,,川西町議会議員選挙（2011年04月24日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.9375,0.0625,0.0,1.0,0.0,0.0,0.9641421947449769,0.03585780525502318,,0.06427614631633179,0.03585780525502318,,9705.0,2.0,,,,,,,,,,,,,,,,,,,,,442.0,,9263.0,,,,9705.0,,,,,,,0.04554353426069037,,0.9544564657393096,,,,1.0,,,,,,,0.04554353426069037,,0.06363043104928731,,,,,,,,,,1.0,,15.0,,,,,,,,,,1.0,,14.0,,,
川西町議会議員選挙（2015年04月26日投票）,川西町議会議員選挙,山形県,川西町,20150426.0,2015.0,4.0,26.0,20150421.0,68.61,15.0,16.0,1.0666666666666669,,,,,任期満了,67.28,,,,川西町議会議員選挙（2015年04月26日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6352675207234363,0.36473247927656366,,0.06352675207234362,0.060788746546093946,,9289.0,2.0,62.25,7.084313657652377,49.0,57.0,62.0,66.0,79.0,62.666666666666664,7.1242933372760255,49.0,57.5,62.0,66.0,79.0,,,,,,,431.0,,8858.0,,,,9289.0,,,,,,,0.04639896651953924,,0.9536010334804608,,,,1.0,,,,,,,0.04639896651953924,,0.06357340223203072,,,,,,,,,,1.0,,15.0,,,,,,,,,,1.0,,14.0,,,
川西町議会議員選挙（2019年04月21日投票）,川西町議会議員選挙,山形県,川西町,20190421.0,2019.0,4.0,21.0,20190416.0,58.1,12.0,15.0,1.25,,,,,任期満了,68.61,,,,川西町議会議員選挙（2019年04月21日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.06666666666666667,0.08333333333333333,,,,,,,,,,,,,7419.998,2.0,66.13333333333334,8.785341326449544,53.0,59.5,62.0,70.5,83.0,64.75,8.053208470334459,53.0,59.0,62.0,68.25,83.0,,,,,,,1143.0,,6276.998,,,,7419.998,,,,,,,0.1540431682057057,,0.8459568317942943,,,,1.0,,,,,,,0.07702158410285286,,0.06507360244571495,,,,,,,,,,2.0,,13.0,,,,,,,,,,2.0,,10.0,,,
庄内町議会議員補欠選挙（2009年07月19日投票）,庄内町議会議員補欠選挙,山形県,庄内町,20090719.0,2009.0,7.0,19.0,20090714.0,無投票,1.0,1.0,1.0,19742.0,,,,その他,,,,,庄内町議会議員補欠選挙（2009年07月19日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
庄内町議会議員補欠選挙（2017年07月23日投票）,庄内町議会議員補欠選挙,山形県,庄内町,20170723.0,2017.0,7.0,23.0,20170718.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,庄内町議会議員補欠選挙（2017年07月23日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,1.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
庄内町議会議員補欠選挙（2021年07月18日投票）,庄内町議会議員補欠選挙,山形県,庄内町,20210718.0,2021.0,7.0,18.0,20210713.0,63.14,1.0,2.0,2.0,17552.0,8402.0,9150.0,,その他/2018年選挙での定員割れ,,,,,庄内町議会議員補欠選挙（2021年07月18日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,9927.0,1.0,54.5,5.5,49.0,51.75,54.5,57.25,60.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0,,,,,,,,,9927.0,,,,9927.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,
庄内町議会議員選挙（2006年06月25日投票）,庄内町議会議員選挙,山形県,庄内町,20060625.0,2006.0,6.0,25.0,20060620.0,80.62,20.0,26.0,1.3,19985.0,,,,任期満了,,,,,庄内町議会議員選挙（2006年06月25日投票）,1.0,26.0,20.0,1.3,0.0,0.0,0.0,0.11538461538461539,0.1,0.8461538461538461,0.15384615384615385,0.0,0.9,0.1,0.0,0.8682878039632431,0.13171219603675688,,0.03946762745287469,0.03292804900918922,,15997.0,2.0,55.73076923076923,6.254584117685771,43.0,51.5,57.0,61.0,66.0,56.4,6.272160712226689,43.0,53.25,57.5,61.0,66.0,,,,,,,1055.4,,14941.6,,,,15997.0,,,,,,,0.06597487028817904,,0.934025129711821,,,,1.0,,,,,,,0.03298743514408952,,0.03891771373799254,,,,,,,,,,2.0,,24.0,,,,,,,,,,2.0,,18.0,,,
庄内町議会議員選挙（2010年06月20日投票）,庄内町議会議員選挙,山形県,庄内町,20100620.0,2010.0,6.0,20.0,20100615.0,72.31,18.0,19.0,1.0555555555555556,19338.0,,,-647.0,任期満了,80.62,,,,庄内町議会議員選挙（2010年06月20日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.21052631578947367,0.2222222222222222,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.7651526084133055,0.10888231474132333,0.12596507684537123,0.05885789295486965,0.036294104913774446,0.04198835894845707,13859.0,2.0,56.94736842105263,6.731494588171465,45.0,50.5,58.0,62.0,67.0,56.5,6.635343079131461,45.0,50.25,57.5,61.75,67.0,,,,,,,1301.25,,12557.75,,,,13859.0,,,,,,,0.09389205570387474,,0.9061079442961253,,,,1.0,,,,,,,0.04694602785193737,,0.05330046731153678,,,,,,,,,,2.0,,17.0,,,,,,,,,,2.0,,16.0,,,
庄内町議会議員選挙（2014年06月22日投票）,庄内町議会議員選挙,山形県,庄内町,20140622.0,2014.0,6.0,22.0,20140617.0,67.21,16.0,18.0,1.125,18606.0,,,-732.0,任期満了,72.31,,,,庄内町議会議員選挙（2014年06月22日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.16666666666666666,0.1875,0.7777777777777778,0.2222222222222222,0.0,0.8125,0.1875,0.0,0.8312893063239158,0.16871069367608418,,0.059377807594565415,0.042177673419021046,,12393.998,2.0,58.72222222222222,7.30148809456413,45.0,53.0,58.0,65.0,71.0,59.6875,7.147715981346769,45.0,53.75,60.5,65.25,71.0,,,,,,,906.5930000000001,,11487.405,,,,12393.998000000001,,,,,,,0.07314774457765767,,0.9268522554223423,,,,1.0,,,,,,,0.07314774457765767,,0.054520720907196604,,,,,,,,,,1.0,,17.0,,,,,,,,,,1.0,,15.0,,,
庄内町議会議員選挙（2018年06月24日投票）,庄内町議会議員選挙,山形県,庄内町,20180624.0,2018.0,6.0,24.0,20180619.0,無投票,16.0,15.0,0.9375,,,,,任期満了/定数１６名のところ、１５名立候補で定数割れしています。,67.21,,,,庄内町議会議員選挙（2018年06月24日投票）,1.0,15.0,15.0,1.0,1.0,1.0,0.0,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.26666666666666666,0.0,0.7333333333333333,0.26666666666666666,0.0,,,,,,,0.0,2.0,61.86666666666667,6.955733047078663,49.0,57.5,61.0,68.5,73.0,61.86666666666667,6.955733047078663,49.0,57.5,61.0,68.5,73.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14.0,,,,,,,,,,1.0,,14.0,,,
戸沢村議会議員選挙（2007年08月05日投票）,戸沢村議会議員選挙,山形県,戸沢村,20070805.0,2007.0,8.0,5.0,20070731.0,90.46,10.0,12.0,1.2,4842.0,,,,任期満了,,,,,戸沢村議会議員選挙（2007年08月05日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9,0.1,0.0,0.9252185918085596,0.0747814081914404,,0.08411078107350542,0.0747814081914404,,4346.0,3.0,59.416666666666664,5.894324011755339,48.0,56.25,61.0,63.5,68.0,60.2,6.128621378417824,48.0,57.75,62.0,64.5,68.0,,,,,,,266.23,,3698.0,381.77,,,4346.0,,,,,,,0.06125862862402209,,0.8508973768982973,0.08784399447768063,,,1.0,,,,,,,0.06125862862402209,,0.08508973768982972,0.08784399447768063,,,,,,,,,1.0,,10.0,1.0,,,,,,,,,0.0,,9.0,1.0,,
戸沢村議会議員選挙（2011年08月07日投票）,戸沢村議会議員選挙,山形県,戸沢村,20110807.0,2011.0,8.0,7.0,20110802.0,89.86,10.0,12.0,1.2,4528.0,,,-314.0,任期満了,90.46,,,,戸沢村議会議員選挙（2011年08月07日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5,0.4166666666666667,0.08333333333333333,0.5,0.4,0.1,0.4785944073249196,0.4229151200197971,0.09849047265528335,0.07976573455415327,0.08458302400395942,0.09849047265528335,4041.0,2.0,,,,,,,,,,,,,,,,,,,,,,,3848.0,193.0,,,4041.0,,,,,,,,,0.9522395446671615,0.0477604553328384,,,1.0,,,,,,,,,0.08656723133337832,0.0477604553328384,,,,,,,,,,,11.0,1.0,,,,,,,,,,,10.0,0.0,,
戸沢村議会議員選挙（2015年08月09日投票）,戸沢村議会議員選挙,山形県,戸沢村,20150809.0,2015.0,8.0,9.0,20150804.0,,9.0,12.0,1.3333333333333333,,,,,任期満了,89.86,,,,戸沢村議会議員選挙（2015年08月09日投票）,1.0,12.0,9.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.699377349911925,0.19172014233557766,0.10890250775249728,0.08742216873899063,0.09586007116778883,0.05445125387624864,3673.01,1.0,63.0,5.32290647422377,54.0,59.75,63.0,65.75,73.0,62.77777777777778,5.864730320176288,54.0,59.0,64.0,65.0,73.0,,,,,,,,,3673.01,,,,3673.01,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.08333333333333333,,,,,,,,,,,,12.0,,,,,,,,,,,,9.0,,,
戸沢村議会議員選挙（2019年08月04日投票）,戸沢村議会議員選挙,山形県,戸沢村,20190804.0,2019.0,8.0,4.0,20190730.0,84.55,9.0,10.0,1.1111111111111112,3923.0,,,,任期満了,,,,,戸沢村議会議員選挙（2019年08月04日投票）,1.0,10.0,9.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.632714887634471,0.25144436086613614,0.11584075149939282,0.09038784109063872,0.12572218043306807,0.11584075149939282,3288.998,1.0,63.4,8.224354077980836,43.0,60.75,64.5,67.5,77.0,61.888888888888886,7.233324799448798,43.0,60.0,64.0,66.0,68.0,,,,,,,,,3288.998,,,,3288.998,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.1,,,,,,,,,,,,10.0,,,,,,,,,,,,9.0,,,
新庄市議会議員補欠選挙（2005年11月13日投票）,新庄市議会議員補欠選挙,山形県,新庄市,20051113.0,2005.0,11.0,13.0,20051106.0,無投票,1.0,1.0,1.0,32354.0,,,,その他,,,,,新庄市議会議員補欠選挙（2005年11月13日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
新庄市議会議員選挙（2003年04月27日投票）,新庄市議会議員選挙,山形県,新庄市,20030427.0,2003.0,4.0,27.0,20030420.0,75.4,24.0,26.0,1.0833333333333333,32277.0,,,,任期満了,,,,,新庄市議会議員選挙（2003年04月27日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.19230769230769232,0.0,0.7916666666666666,0.20833333333333334,0.0,0.7913968135915271,0.2086031864084729,,0.03768556255197748,0.041720637281694575,,24040.86,3.0,60.57692307692308,7.820943661944741,45.0,54.5,59.5,67.0,77.0,60.041666666666664,7.716212189640429,45.0,54.0,59.0,67.0,77.0,,,1427.0,,,,1407.06,,21206.8,,,,24040.86,,,0.059357277568273345,,,,0.05852785632460735,,0.8821148661071192,,,,1.0,,,0.059357277568273345,,,,0.029263928162303676,,0.03835282026552692,,,,,,1.0,,,,2.0,,23.0,,,,,,1.0,,,,1.0,,22.0,,,
新庄市議会議員選挙（2007年04月22日投票）,新庄市議会議員選挙,山形県,新庄市,20070422.0,2007.0,4.0,22.0,20070415.0,71.2,20.0,21.0,1.05,31809.0,,,-468.0,任期満了,75.4,,,,新庄市議会議員選挙（2007年04月22日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0,0.95,0.05,0.0,0.8894904031139547,0.11050959688604536,,0.044474520155697736,0.11050959688604536,,22351.0,4.0,62.523809523809526,7.416962846642872,49.0,58.0,62.0,66.0,76.0,62.55,7.599177587081381,49.0,57.75,61.5,67.25,76.0,,,1472.0,,,,1370.0,,18334.0,1175.0,,,22351.0,,,0.06585835085678493,,,,0.06129479665339358,,0.8202764976958525,0.05257035479396895,,,1.0,,,0.06585835085678493,,,,0.06129479665339358,,0.045570916538658475,0.05257035479396895,,,,,1.0,,,,1.0,,18.0,1.0,,,,,1.0,,,,1.0,,17.0,1.0,,
新庄市議会議員選挙（2011年04月24日投票）,新庄市議会議員選挙,山形県,新庄市,20110424.0,2011.0,4.0,24.0,20110417.0,66.69,18.0,19.0,1.0555555555555556,31042.0,,,-767.0,任期満了,71.2,,,,新庄市議会議員選挙（2011年04月24日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.15789473684210525,0.16666666666666666,0.7368421052631579,0.2631578947368421,0.0,0.7222222222222222,0.2777777777777778,0.0,0.7015832557227587,0.2984167442772413,,0.05011308969448276,0.05968334885544826,,20401.0,3.0,,,,,,,,,,,,,,,,,1704.0,,,,1439.0,,17258.0,,,,20401.0,,,0.08352531738640263,,,,0.07053575805107593,,0.8459389245625214,,,,1.0,,,0.08352531738640263,,,,0.07053575805107593,,0.04976111320956008,,,,,,1.0,,,,1.0,,17.0,,,,,,1.0,,,,1.0,,16.0,,,
新庄市議会議員選挙（2015年04月26日投票）,新庄市議会議員選挙,山形県,新庄市,20150426.0,2015.0,4.0,26.0,20150419.0,62.02,18.0,19.0,1.0555555555555556,,,,,任期満了,66.69,,,,新庄市議会議員選挙（2015年04月26日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.8136600860777933,0.1484495241589453,0.037890389763261506,0.05424400573851955,0.049483174719648436,0.037890389763261506,18315.989999999998,3.0,61.89473684210526,9.834925610946591,42.0,55.0,64.0,68.5,81.0,60.833333333333336,8.983008652141242,42.0,54.0,63.5,67.5,74.0,,,1480.0,,,,1474.96,,15361.029999999999,,,,18315.989999999998,,,0.08080371303980839,,,,0.08052854363864581,,0.8386677433215458,,,,1.0,,,0.08080371303980839,,,,0.08052854363864581,,0.049333396665973285,,,,,,1.0,,,,1.0,,17.0,,,,,,1.0,,,,1.0,,16.0,,,
新庄市議会議員選挙（2019年04月21日投票）,新庄市議会議員選挙,山形県,新庄市,20190421.0,2019.0,4.0,21.0,20190414.0,60.73,18.0,20.0,1.1111111111111112,29527.0,,,,任期満了,62.02,,,,新庄市議会議員選挙（2019年04月21日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,,0.2777777777777778,,,,,,,,,,,,,17680.998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最上町議会議員選挙（2007年08月05日投票）,最上町議会議員選挙,山形県,最上町,20070805.0,2007.0,8.0,5.0,20070731.0,87.19,12.0,13.0,1.0833333333333333,8807.0,,,,任期満了,,,,,最上町議会議員選挙（2007年08月05日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8301564348626266,0.16984356513737348,,0.07546876680569332,0.08492178256868674,,7607.0,1.0,57.07692307692308,5.045356409786641,46.0,55.0,57.0,59.0,69.0,56.083333333333336,3.8396686778360913,46.0,54.75,57.0,59.0,60.0,,,,,,,,,7607.0,,,,7607.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.07692307692307693,,,,,,,,,,,,13.0,,,,,,,,,,,,12.0,,,
最上町議会議員選挙（2011年08月07日投票）,最上町議会議員選挙,山形県,最上町,20110807.0,2011.0,8.0,7.0,20110802.0,無投票,12.0,12.0,1.0,8453.0,,,-354.0,任期満了,87.19,,,,最上町議会議員選挙（2011年08月07日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,,,,,,,0.0,1.0,58.416666666666664,5.6782968886414835,44.0,57.5,60.5,62.25,64.0,58.416666666666664,5.6782968886414835,44.0,57.5,60.5,62.25,64.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,12.0,,,
