,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_プロジェク：くまもと再生,得票数_公明党,得票数_国の冨源党,得票数_国民新党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共和党,得票数_日本共産党,得票数_日本森海党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_プロジェク：くまもと再生,得票率_公明党,得票率_国の冨源党,得票率_国民新党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共和党,得票率_日本共産党,得票率_日本森海党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_プロジェク：くまもと再生,一人あたり得票率_公明党,一人あたり得票率_国の冨源党,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共和党,一人あたり得票率_日本共産党,一人あたり得票率_日本森海党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_プロジェク：くまもと再生,立候補者数_公明党,立候補者数_国の冨源党,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共和党,立候補者数_日本共産党,立候補者数_日本森海党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_プロジェク：くまもと再生,当選者数_公明党,当選者数_国の冨源党,当選者数_国民新党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共和党,当選者数_日本共産党,当選者数_日本森海党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
小国町議会議員選挙（2015年04月26日投票）,小国町議会議員選挙,熊本県,小国町,20150426.0,2015.0,4.0,26.0,20150421.0,81.25,12.0,13.0,1.0833333333333333,,,,,任期満了,86.48,,,,小国町議会議員選挙（2015年04月26日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.07692307692307693,,,5118.0,2.0,,,,,,,,56.666666666666664,10.10225497379449,31.0,54.0,59.5,63.25,68.0,,,,,,,,,476.0,,,,,,4642.0,,,,,5118.0,,,,,,,,,0.09300508010941774,,,,,,0.9069949198905822,,,,,1.0,,,,,,,,,0.09300508010941774,,,,,,0.07558290999088185,,,,,,,,,,,,,1.0,,,,,,12.0,,,,,,,,,,,,,1.0,,,,,,11.0,,,,
小国町議会議員選挙（2019年04月21日投票）,小国町議会議員選挙,熊本県,小国町,20190421.0,2019.0,4.0,21.0,20190416.0,81.07,10.0,12.0,1.2,6042.0,,,,任期満了,81.25,,,,小国町議会議員選挙（2019年04月21日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.16666666666666666,0.2,0.6666666666666666,0.3333333333333333,0.0,0.7,0.3,0.0,0.6376811594202898,0.36231884057971014,,0.07971014492753623,0.09057971014492754,,4830.0,2.0,59.75,10.763557342564152,35.0,59.75,62.5,65.5,72.0,58.6,11.394735626595292,35.0,59.25,62.0,65.0,72.0,,,,,,,,,508.0,,,,,,4322.0,,,,,4830.0,,,,,,,,,0.105175983436853,,,,,,0.894824016563147,,,,,1.0,,,,,,,,,0.105175983436853,,,,,,0.081347637869377,,,,,,,,,,,,,1.0,,,,,,11.0,,,,,,,,,,,,,1.0,,,,,,9.0,,,,
山江村議会議員補欠選挙（2006年07月16日投票）,山江村議会議員補欠選挙,熊本県,山江村,20060716.0,2006.0,7.0,16.0,20060711.0,45.01,1.0,2.0,2.0,3119.0,,,,その他,,,,,山江村議会議員補欠選挙（2006年07月16日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,1160.0,1.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,,,1160.0,,,,,1160.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,
山江村議会議員補欠選挙（2014年07月20日投票）,山江村議会議員補欠選挙,熊本県,山江村,20140720.0,2014.0,7.0,20.0,20140715.0,,1.0,2.0,2.0,,,,,その他,45.01,,,,山江村議会議員補欠選挙（2014年07月20日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,2628.0,1.0,57.0,1.0,56.0,56.5,57.0,57.5,58.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,2628.0,,,,,2628.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,
山江村議会議員選挙（2007年04月22日投票）,山江村議会議員選挙,熊本県,山江村,20070422.0,2007.0,4.0,22.0,20070417.0,87.63,10.0,12.0,1.2,3105.0,,,,任期満了,,,,,山江村議会議員選挙（2007年04月22日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.0,0.5833333333333334,0.4166666666666667,0.0,0.6,0.4,0.0,0.6153846153846154,0.38461538461538464,,0.08791208791208792,0.07692307692307693,,2704.0,1.0,59.166666666666664,5.335936864527374,54.0,55.0,57.0,61.0,71.0,60.0,5.477225575051661,54.0,56.25,57.5,63.0,71.0,,,,,,,,,,,,,,,2704.0,,,,,2704.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,10.0,,,,
山江村議会議員選挙（2011年04月24日投票）,山江村議会議員選挙,熊本県,山江村,20110424.0,2011.0,4.0,24.0,20110419.0,89.77,10.0,12.0,1.2,2971.0,,,-134.0,任期満了,87.63,,,,山江村議会議員選挙（2011年04月24日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.6,0.4,0.0,0.5755395683453237,0.4244604316546763,,0.08221993833504625,0.08489208633093526,,2641.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641.0,,,,,2641.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,10.0,,,,
山江村議会議員選挙（2015年04月26日投票）,山江村議会議員選挙,熊本県,山江村,20150426.0,2015.0,4.0,26.0,20150421.0,88.34,10.0,12.0,1.2,,,,,任期満了,89.77,,,,山江村議会議員選挙（2015年04月26日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.08333333333333333,0.6,0.3,0.1,0.5739301310043669,0.35847558554982134,0.06759428344581184,0.07174126637554586,0.11949186184994044,0.06759428344581184,2519.0,1.0,63.166666666666664,3.8260800944163322,56.0,61.25,64.5,66.0,68.0,62.7,4.026164427839479,56.0,59.75,63.0,66.0,68.0,,,,,,,,,,,,,,,2519.0,,,,,2519.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,10.0,,,,
山江村議会議員選挙（2019年04月21日投票）,山江村議会議員選挙,熊本県,山江村,20190421.0,2019.0,4.0,21.0,20190416.0,88.34,10.0,12.0,1.2,2766.0,,,,任期満了,88.34,,,,山江村議会議員選挙（2019年04月21日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.7,0.2,0.1,0.6661015534328617,0.1805085510629454,0.15338989550419302,0.08326269417910771,0.0902542755314727,0.07669494775209651,2359.9990000000003,1.0,65.16666666666667,5.4594464513864,54.0,60.75,66.5,70.0,72.0,64.1,5.337602458033007,54.0,60.25,64.5,69.25,71.0,,,,,,,,,,,,,,,2359.9990000000003,,,,,2359.9990000000003,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,10.0,,,,
山都町議会議員補欠選挙（2009年02月22日投票）,山都町議会議員補欠選挙,熊本県,山都町,20090222.0,2009.0,2.0,22.0,20090217.0,83.38,2.0,3.0,1.5,15908.0,,,,その他,,,,,山都町議会議員補欠選挙（2009年02月22日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,11916.0,1.0,63.666666666666664,3.091206165165235,61.0,61.5,62.0,65.0,68.0,64.5,3.5,61.0,62.75,64.5,66.25,68.0,,,,,,,,,,,,,,,11916.0,,,,,11916.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,
山都町議会議員補欠選挙（2013年02月24日投票）,山都町議会議員補欠選挙,熊本県,山都町,20130224.0,2013.0,2.0,24.0,20130219.0,83.8,1.0,3.0,3.0,14973.0,,,-935.0,死亡,83.38,,,,山都町議会議員補欠選挙（2013年02月24日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,10891.0,1.0,63.666666666666664,1.699673171197595,62.0,62.5,63.0,64.5,66.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,10891.0,,,,,10891.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,
