,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_たちあがれ日本,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_たちあがれ日本,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
直島町議会議員選挙（2007年04月22日投票）,直島町議会議員選挙,香川県,直島町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,10.0,10.0,1.0,2873.0,,,,任期満了,,,,,直島町議会議員選挙（2007年04月22日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.1,0.1,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,2.0,62.2,6.705221845696084,47.0,60.0,64.5,65.75,70.0,62.2,6.705221845696084,47.0,60.0,64.5,65.75,70.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,,1.0,,,,,,,9.0,,,
直島町議会議員選挙（2011年04月24日投票）,直島町議会議員選挙,香川県,直島町,20110424.0,2011.0,4.0,24.0,20110419.0,87.52,10.0,13.0,1.3,2708.0,,,-165.0,任期満了,,,,,直島町議会議員選挙（2011年04月24日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.15384615384615385,0.1,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.6,0.3,0.1,0.6245704467353952,0.3011168384879725,0.0743127147766323,0.08922434953362789,0.060223367697594496,0.0743127147766323,2328.0,2.0,63.23076923076923,6.600161375111581,51.0,60.0,63.0,69.0,74.0,64.5,6.74166151627327,51.0,60.25,65.5,69.75,74.0,,,202.0,,,,,,,2126.0,,,,2328.0,,,0.08676975945017182,,,,,,,0.9132302405498282,,,,1.0,,,0.08676975945017182,,,,,,,0.07610252004581901,,,,,,1.0,,,,,,,12.0,,,,,,1.0,,,,,,,9.0,,,
直島町議会議員選挙（2015年04月26日投票）,直島町議会議員選挙,香川県,直島町,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,10.0,10.0,1.0,,,,,任期満了,87.52,,,,直島町議会議員選挙（2015年04月26日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,0.1,0.0,0.9,0.1,0.0,,,,,,,0.0,1.0,65.8,7.884161337770809,51.0,62.5,66.0,71.75,78.0,65.8,7.884161337770809,51.0,62.5,66.0,71.75,78.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,10.0,,,
直島町議会議員選挙（2019年04月21日投票）,直島町議会議員選挙,香川県,直島町,20190421.0,2019.0,4.0,21.0,20190416.0,,9.0,10.0,1.1111111111111112,,,,,任期満了,,,,,直島町議会議員選挙（2019年04月21日投票）,1.0,10.0,9.0,1.1111111111111112,0.0,0.0,0.0,0.1,0.1111111111111111,0.7,0.3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5901981230448383,0.4098018769551616,,0.08431401757783405,0.13660062565172054,,1918.0,1.0,63.1,6.640030120413611,55.0,56.75,62.0,68.25,75.0,62.44444444444444,6.685159536218365,55.0,56.0,60.0,66.0,75.0,,,,,,,,,,1918.0,,,,1918.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.1,,,,,,,,,,,,,10.0,,,,,,,,,,,,,9.0,,,
綾川町議会議員選挙（2006年04月23日投票）,綾川町議会議員選挙,香川県,綾川町,20060423.0,2006.0,4.0,23.0,20060418.0,73.06,18.0,19.0,1.0555555555555556,21410.0,,,,その他,,,,,綾川町議会議員選挙（2006年04月23日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.05263157894736842,,15419.0,3.0,61.8421052631579,7.603760550887663,44.0,56.5,63.0,66.5,75.0,62.22222222222222,7.63439261613417,44.0,58.0,63.0,66.75,75.0,,,1071.0,,,,992.0,,,13356.0,,,,15419.0,,,0.06945975744211687,,,,0.06433620857383747,,,0.8662040339840457,,,,1.0,,,0.06945975744211687,,,,0.06433620857383747,,,0.050953178469649744,,,,,,1.0,,,,1.0,,,17.0,,,,,,1.0,,,,1.0,,,16.0,,,
綾川町議会議員選挙（2010年04月18日投票）,綾川町議会議員選挙,香川県,綾川町,20100418.0,2010.0,4.0,18.0,20100413.0,69.7,16.0,17.0,1.0625,21387.0,,,-23.0,任期満了,73.06,,,,綾川町議会議員選挙（2010年04月18日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.75,0.25,0.0,0.7645940809122997,0.23540591908770025,,0.06371617340935831,0.04708118381754005,,14732.0,3.0,,,,,,,,,,,,,,,,,1073.0,,,,1129.0,,,12530.0,,,,14732.0,,,0.07283464566929133,,,,0.07663589465109964,,,0.850529459679609,,,,1.0,,,0.07283464566929133,,,,0.07663589465109964,,,0.0567019639786406,,,,,,1.0,,,,1.0,,,15.0,,,,,,1.0,,,,1.0,,,14.0,,,
綾川町議会議員選挙（2014年04月13日投票）,綾川町議会議員選挙,香川県,綾川町,20140413.0,2014.0,4.0,13.0,20140408.0,69.37,16.0,17.0,1.0625,,,,,任期満了,69.7,,,,綾川町議会議員選挙（2014年04月13日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.7058823529411765,0.29411764705882354,0.0,0.75,0.25,0.0,0.6963736282364372,0.30362637176356283,,0.05803113568636977,0.06072527435271256,,13980.999,3.0,,,,,,,,,,,,,,,,,1124.0,,,,1091.0,,,11765.999,,,,13980.999,,,0.08039482729381499,,,,0.0780344809408827,,,0.8415706917653023,,,,1.0,,,0.08039482729381499,,,,0.0780344809408827,,,0.056104712784353486,,,,,,1.0,,,,1.0,,,15.0,,,,,,1.0,,,,1.0,,,14.0,,,
綾川町議会議員選挙（2018年04月15日投票）,綾川町議会議員選挙,香川県,綾川町,20180415.0,2018.0,4.0,15.0,20180410.0,無投票,16.0,16.0,1.0,,,,,任期満了,69.37,,,,綾川町議会議員選挙（2018年04月15日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0625,0.0625,0.6875,0.3125,0.0,0.6875,0.3125,0.0,,,,,,,0.0,3.0,56.4375,12.23707864443144,39.0,44.5,59.5,65.25,75.0,56.4375,12.23707864443144,39.0,44.5,59.5,65.25,75.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,14.0,,,,,,1.0,,,,1.0,,,14.0,,,
観音寺市議会議員選挙（2005年11月20日投票）,観音寺市議会議員選挙,香川県,観音寺市,20051120.0,2005.0,11.0,20.0,20051113.0,100.0,24.0,34.0,1.4166666666666667,53518.0,,,,その他,,,,,観音寺市議会議員選挙（2005年11月20日投票）,1.0,34.0,24.0,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.029411764705882353,,39340.98,4.0,59.55882352941177,7.4958466008167335,41.0,57.0,60.0,65.75,70.0,57.958333333333336,8.028486608460042,41.0,54.25,59.5,65.25,70.0,,,3810.23,,,,2834.27,,,30729.48,1967.0,,,39340.979999999996,,,0.09685142566351933,,,,0.07204370607951302,,,0.7811061137775419,0.04999875447942578,,,1.0,,,0.048425712831759664,,,,0.03602185303975651,,,0.026934693578535927,0.04999875447942578,,,,,2.0,,,,2.0,,,29.0,1.0,,,,,2.0,,,,2.0,,,19.0,1.0,,
観音寺市議会議員選挙（2009年11月08日投票）,観音寺市議会議員選挙,香川県,観音寺市,20091108.0,2009.0,11.0,8.0,20091101.0,72.73,24.0,26.0,1.0833333333333333,52569.0,,,-949.0,任期満了,100.0,,,,観音寺市議会議員選挙（2009年11月08日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.7307692307692307,0.2692307692307692,0.0,0.75,0.25,0.0,0.6990740282618888,0.30092597173811125,,0.03679336990852047,0.04298942453401589,,37390.990000000005,5.0,58.11538461538461,11.352149654367139,29.0,51.25,62.5,65.0,71.0,58.375,11.419327548794923,29.0,51.75,62.5,65.5,71.0,,,3533.3,,,,2055.34,4987.0,,24784.35,2031.0,,,37390.99,,,0.09449602698404082,,,,0.05496885747074363,0.13337437708923996,,0.662842839946201,0.054317898509774684,,,1.0,,,0.04724801349202041,,,,0.05496885747074363,0.044458125696413324,,0.03488646526032637,0.054317898509774684,,,,,2.0,,,,1.0,3.0,,19.0,1.0,,,,,2.0,,,,1.0,3.0,,17.0,1.0,,
