,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_かりゆしクラブ,得票数_公務員を変える,得票数_公明党,得票数_命どぅ宝！琉球の自己決定権の会,得票数_幸福実現党,得票数_政党そうぞう,得票数_新しい風・にぬふぁぶし,得票数_日本共産党,得票数_日本社会党,得票数_日本維新の会,得票数_民主党,得票数_沖縄社会大衆党,得票数_無所属,得票数_社会民主党,得票数_社会民主党（沖縄県連合）,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_　,得票率_かりゆしクラブ,得票率_公務員を変える,得票率_公明党,得票率_命どぅ宝！琉球の自己決定権の会,得票率_幸福実現党,得票率_政党そうぞう,得票率_新しい風・にぬふぁぶし,得票率_日本共産党,得票率_日本社会党,得票率_日本維新の会,得票率_民主党,得票率_沖縄社会大衆党,得票率_無所属,得票率_社会民主党,得票率_社会民主党（沖縄県連合）,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_かりゆしクラブ,一人あたり得票率_公務員を変える,一人あたり得票率_公明党,一人あたり得票率_命どぅ宝！琉球の自己決定権の会,一人あたり得票率_幸福実現党,一人あたり得票率_政党そうぞう,一人あたり得票率_新しい風・にぬふぁぶし,一人あたり得票率_日本共産党,一人あたり得票率_日本社会党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_沖縄社会大衆党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_社会民主党（沖縄県連合）,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_　,立候補者数_かりゆしクラブ,立候補者数_公務員を変える,立候補者数_公明党,立候補者数_命どぅ宝！琉球の自己決定権の会,立候補者数_幸福実現党,立候補者数_政党そうぞう,立候補者数_新しい風・にぬふぁぶし,立候補者数_日本共産党,立候補者数_日本社会党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_沖縄社会大衆党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_社会民主党（沖縄県連合）,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_　,当選者数_かりゆしクラブ,当選者数_公務員を変える,当選者数_公明党,当選者数_命どぅ宝！琉球の自己決定権の会,当選者数_幸福実現党,当選者数_政党そうぞう,当選者数_新しい風・にぬふぁぶし,当選者数_日本共産党,当選者数_日本社会党,当選者数_日本維新の会,当選者数_民主党,当選者数_沖縄社会大衆党,当選者数_無所属,当選者数_社会民主党,当選者数_社会民主党（沖縄県連合）,当選者数_立憲民主党,当選者数_自由民主党
恩納村議会議員選挙（2002年09月08日投票）,恩納村議会議員選挙,沖縄県,恩納村,20020908.0,2002.0,9.0,8.0,20020903.0,82.97,16.0,21.0,1.3125,7488.0,,,426.0,任期満了,86.53,,,,恩納村議会議員選挙（2002年09月08日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.09523809523809523,0.1111111111111111,0.5714285714285714,0.42857142857142855,0.0,0.5555555555555556,0.4444444444444444,0.0,0.546638941925412,0.45336105807458793,,0.045553245160451,0.05037345089717644,,6174.99,2.0,54.095238095238095,6.186812102442558,42.0,51.0,54.0,59.0,65.0,54.666666666666664,6.119186583561939,42.0,51.0,53.5,59.0,65.0,,,,,,,,,327.0,,,,,5847.990000000001,,,,,6174.990000000001,,,,,,,,,0.05295555134502242,,,,,0.9470444486549776,,,,,1.0,,,,,,,,,0.05295555134502242,,,,,0.04735222243274888,,,,,,,,,,,,,1.0,,,,,20.0,,,,,,,,,,,,,1.0,,,,,17.0,,,,
恩納村議会議員選挙（2006年09月10日投票）,恩納村議会議員選挙,沖縄県,恩納村,20060910.0,2006.0,9.0,10.0,20060905.0,77.26,16.0,18.0,1.125,7950.0,,,462.0,任期満了,82.97,,,,恩納村議会議員選挙（2006年09月10日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.625,0.3125,0.0625,0.6342287495897604,0.28470790941910074,0.08106334099113882,0.05765715905361458,0.05694158188382015,0.04053167049556941,6094.0,2.0,54.666666666666664,7.461009761866464,41.0,50.5,55.5,58.0,69.0,53.75,6.995534289816611,41.0,49.5,55.5,58.0,67.0,,,,,,,,,295.0,,,,,5799.0,,,,,6094.0,,,,,,,,,0.04840827042993108,,,,,0.9515917295700689,,,,,1.0,,,,,,,,,0.04840827042993108,,,,,0.05597598409235699,,,,,,,,,,,,,1.0,,,,,17.0,,,,,,,,,,,,,1.0,,,,,15.0,,,,
恩納村議会議員選挙（2010年09月12日投票）,恩納村議会議員選挙,沖縄県,恩納村,20100912.0,2010.0,9.0,12.0,20100907.0,71.45,16.0,17.0,1.0625,8174.0,,,224.0,任期満了,77.26,,,,恩納村議会議員選挙（2010年09月12日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.8235294117647058,0.11764705882352941,0.0,0.8125,0.125,0.0,0.7927166033828098,0.16689678978253367,,0.05662261452734356,0.08344839489126683,,5794.0,2.0,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,,5568.0,,,,,5794.0,,,,,,,,,0.03900586813945461,,,,,0.9609941318605454,,,,,1.0,,,,,,,,,0.03900586813945461,,,,,0.06006213324128409,,,,,,,,,,,,,1.0,,,,,16.0,,,,,,,,,,,,,0.0,,,,,16.0,,,,
恩納村議会議員選挙（2014年09月07日投票）,恩納村議会議員選挙,沖縄県,恩納村,20140907.0,2014.0,9.0,7.0,20140902.0,68.53,16.0,17.0,1.0625,,,,,任期満了,71.45,,,,恩納村議会議員選挙（2014年09月07日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.6470588235294118,0.35294117647058826,0.0,0.625,0.375,0.0,0.5761457957416095,0.4238542042583905,,0.0523768905219645,0.07064236737639841,,5542.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5542.0,,,,,5542.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,16.0,,,,
恩納村議会議員選挙（2018年09月09日投票）,恩納村議会議員選挙,沖縄県,恩納村,20180909.0,2018.0,9.0,9.0,20180904.0,68.13,16.0,19.0,1.1875,8252.0,,,,任期満了,68.53,,,,恩納村議会議員選挙（2018年09月09日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0,0.7894736842105263,0.21052631578947367,0.0,0.8125,0.1875,0.0,0.7772971367907292,0.22270286320927077,,0.05181980911938195,0.05567571580231769,,5549.995999999999,1.0,59.21052631578947,8.507451516284949,38.0,56.0,59.0,65.5,71.0,60.1875,7.843936750764886,38.0,56.75,59.5,66.25,71.0,,,,,,,,,,,,,,5549.995999999999,,,,,5549.995999999999,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,0.05263157894736842,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,16.0,,,,
本部町議会議員選挙（2009年03月08日投票）,本部町議会議員選挙,沖縄県,本部町,20090308.0,2009.0,3.0,8.0,20090303.0,80.28,14.0,17.0,1.2142857142857142,11216.0,,,,任期満了,,,,,本部町議会議員選挙（2009年03月08日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.0,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6476689113355779,0.27575757575757576,0.07657351290684623,0.053972409277964824,0.06893939393939394,0.07657351290684623,8910.0,1.0,60.11764705882353,8.950072973354668,36.0,54.0,64.0,67.0,71.0,58.57142857142857,9.100347604933134,36.0,51.75,61.0,65.5,71.0,,,,,,,,,,,,,,8910.0,,,,,8910.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,14.0,,,,
本部町議会議員選挙（2013年03月03日投票）,本部町議会議員選挙,沖縄県,本部町,20130303.0,2013.0,3.0,3.0,20130226.0,70.81,14.0,16.0,1.1428571428571428,11127.0,,,-89.0,任期満了,80.28,,,,本部町議会議員選挙（2013年03月03日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.7142857142857143,0.2857142857142857,0.0,0.6333803358543777,0.36661966414562236,,0.06333803358543777,0.06110327735760373,,7801.0,1.0,,,,,,,,59.857142857142854,9.272518095789012,40.0,55.0,61.5,67.25,71.0,,,,,,,,,,,,,,7801.0,,,,,7801.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,14.0,,,,
本部町議会議員選挙（2017年03月05日投票）,本部町議会議員選挙,沖縄県,本部町,20170305.0,2017.0,3.0,5.0,20170228.0,74.2,14.0,19.0,1.3571428571428572,11000.0,,,-127.0,任期満了,70.81,,,,本部町議会議員選挙（2017年03月05日投票）,1.0,19.0,14.0,1.3571428571428572,0.0,0.0,0.0,0.15789473684210525,0.07142857142857142,0.3684210526315789,0.631578947368421,0.0,0.5,0.5,0.0,0.443080139654731,0.556919860345269,,0.0632971628078187,0.04640998836210575,,8107.996000000001,0.0,56.578947368421055,11.975043300542236,26.0,48.0,61.0,65.5,75.0,56.92857142857143,10.525236921081538,36.0,47.5,60.5,64.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本部町議会議員選挙（2021年02月28日投票）,本部町議会議員選挙,沖縄県,本部町,20210228.0,2021.0,2.0,28.0,20210223.0,69.33,14.0,17.0,1.2142857142857142,10766.0,5431.0,5335.0,-234.0,任期満了,74.2,,,,本部町議会議員選挙（2021年02月28日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.11764705882352941,0.07142857142857142,0.6470588235294118,0.35294117647058826,0.0,0.7142857142857143,0.2857142857142857,0.0,0.6653833782220892,0.33461662177791085,,0.060489398020189926,0.05576943696298514,,7339.997,2.0,56.411764705882355,12.117361504345311,30.0,50.0,60.0,65.0,72.0,56.142857142857146,13.032142367771984,30.0,48.75,60.0,66.5,72.0,,,,,,,,,172.085,,,,,7167.912,,,,,7339.997,,,,,,,,,0.023444832470639974,,,,,0.97655516752936,,,,,1.0,,,,,,,,,0.023444832470639974,,,,,0.061034697970585,,,,,,,,,,,,,1.0,,,,,16.0,,,,,,,,,,,,,0.0,,,,,14.0,,,,
東村議会議員選挙（2006年09月10日投票）,東村議会議員選挙,沖縄県,東村,20060910.0,2006.0,9.0,10.0,20060905.0,88.15,8.0,10.0,1.25,1586.0,,,,任期満了,,,,,東村議会議員選挙（2006年09月10日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.9006874095513748,0.09931259044862518,,0.11258592619392185,0.04965629522431259,,1382.0,2.0,57.6,7.722693830523129,44.0,53.25,56.5,64.5,70.0,58.125,6.333196270446701,51.0,53.75,56.5,59.5,70.0,,,,,,,,,98.0,,,,,1284.0,,,,,1382.0,,,,,,,,,0.07091172214182344,,,,,0.9290882778581766,,,,,1.0,,,,,,,,,0.07091172214182344,,,,,0.10323203087313074,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,,,,,,,0.0,,,,,8.0,,,,
