,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_上野原市民オンブズマン,得票数_全国市民連合会,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_甲斐市の明日を考える会,得票数_社会民主党,得票数_自由民主党,得票数_通信・放送と医療を考える市民の会,得票数_sum_v,得票率_みんなの党,得票率_上野原市民オンブズマン,得票率_全国市民連合会,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_甲斐市の明日を考える会,得票率_社会民主党,得票率_自由民主党,得票率_通信・放送と医療を考える市民の会,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_上野原市民オンブズマン,一人あたり得票率_全国市民連合会,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_甲斐市の明日を考える会,一人あたり得票率_社会民主党,一人あたり得票率_自由民主党,一人あたり得票率_通信・放送と医療を考える市民の会,立候補者数_みんなの党,立候補者数_上野原市民オンブズマン,立候補者数_全国市民連合会,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_甲斐市の明日を考える会,立候補者数_社会民主党,立候補者数_自由民主党,立候補者数_通信・放送と医療を考える市民の会,当選者数_みんなの党,当選者数_上野原市民オンブズマン,当選者数_全国市民連合会,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_甲斐市の明日を考える会,当選者数_社会民主党,当選者数_自由民主党,当選者数_通信・放送と医療を考える市民の会
上野原市議会議員補欠選挙（2017年02月19日投票）,上野原市議会議員補欠選挙,山梨県,上野原市,20170219.0,2017.0,2.0,19.0,20170212.0,68.59,1.0,2.0,2.0,20970.0,,,,その他,,,,,上野原市議会議員補欠選挙（2017年02月19日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,13508.0,0.0,56.0,3.0,53.0,54.5,56.0,57.5,59.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上野原市議会議員選挙（2007年01月21日投票）,上野原市議会議員選挙,山梨県,上野原市,20070121.0,2007.0,1.0,21.0,20070114.0,80.98,20.0,21.0,1.05,22774.0,,,,任期満了,,,,,上野原市議会議員選挙（2007年01月21日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.047619047619047616,,18216.0,4.0,62.23809523809524,5.639189083080937,53.0,58.0,64.0,66.0,73.0,62.05,5.713799086422273,53.0,57.5,62.5,66.25,73.0,,,,970.0,,777.0,,14168.380000000001,,,,2300.62,18216.0,,,,0.053249890206411944,,0.042654808959156784,,0.7777986385595081,,,,0.12629666227492314,1.0,,,,0.053249890206411944,,0.042654808959156784,,0.04321103547552823,,,,0.12629666227492314,,,,1.0,,1.0,,18.0,,,,1.0,,,,1.0,,1.0,,17.0,,,,1.0
上野原市議会議員選挙（2011年01月30日投票）,上野原市議会議員選挙,山梨県,上野原市,20110130.0,2011.0,1.0,30.0,20110123.0,79.4,18.0,23.0,1.2777777777777777,22114.0,,,-660.0,任期満了,80.98,,,,上野原市議会議員選挙（2011年01月30日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.5217391304347826,0.4782608695652174,0.0,0.6111111111111112,0.3888888888888889,0.0,0.5607127604316963,0.43928723956830384,,0.04672606336930802,0.03993520359711853,,17327.0,4.0,,,,,,,,,,,,,,,,749.89,,916.47,,446.0,,15214.64,,,,,17327.0,,0.04327869798580251,,0.0528925953713857,,0.025740174294453744,,0.878088532348358,,,,,1.0,,0.04327869798580251,,0.0528925953713857,,0.025740174294453744,,0.043904426617417905,,,,,,1.0,,1.0,,1.0,,20.0,,,,,,1.0,,1.0,,0.0,,16.0,,,,
上野原市議会議員選挙（2015年01月25日投票）,上野原市議会議員選挙,山梨県,上野原市,20150125.0,2015.0,1.0,25.0,20150118.0,72.6,16.0,17.0,1.0625,,,,,任期満了,79.4,,,,上野原市議会議員選挙（2015年01月25日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.8823529411764706,0.11764705882352941,0.0,0.875,0.125,0.0,0.8729605263157895,0.12703947368421054,,0.05819736842105263,0.06351973684210527,,15200.0,4.0,67.05882352941177,6.235294117647058,55.0,63.0,66.0,72.0,78.0,66.75,6.299801584177076,55.0,62.5,66.0,72.25,78.0,,663.05,,776.0,,1155.0,,12605.949999999999,,,,,15199.999999999998,,0.04362171052631579,,0.05105263157894738,,0.07598684210526317,,0.8293388157894737,,,,,1.0,,0.04362171052631579,,0.05105263157894738,,0.07598684210526317,,0.05923848684210526,,,,,,1.0,,1.0,,1.0,,14.0,,,,,,1.0,,1.0,,1.0,,13.0,,,,
上野原市議会議員選挙（2019年01月27日投票）,上野原市議会議員選挙,山梨県,上野原市,20190127.0,2019.0,1.0,27.0,20190120.0,無投票,16.0,16.0,1.0,,,,,任期満了,72.6,,,,上野原市議会議員選挙（2019年01月27日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0625,0.0625,0.8125,0.1875,0.0,0.8125,0.1875,0.0,,,,,,,0.0,4.0,68.1875,9.850245872565822,41.0,64.0,68.5,76.25,82.0,68.1875,9.850245872565822,41.0,64.0,68.5,76.25,82.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,13.0,,,,,,1.0,,1.0,,1.0,,13.0,,,,
中央市議会議員補欠選挙（2010年03月21日投票）,中央市議会議員補欠選挙,山梨県,中央市,20100321.0,2010.0,3.0,21.0,20100314.0,26.58,1.0,2.0,2.0,23549.0,,,,その他,,,,,中央市議会議員補欠選挙（2010年03月21日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,6130.0,2.0,46.5,20.5,26.0,36.25,46.5,56.75,67.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,,,,,,1885.0,,4245.0,,,,,6130.0,,,,,,0.3075040783034258,,0.6924959216965743,,,,,1.0,,,,,,0.3075040783034258,,0.6924959216965743,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,,1.0,,,,
中央市議会議員補欠選挙（2014年03月23日投票）,中央市議会議員補欠選挙,山梨県,中央市,20140323.0,2014.0,3.0,23.0,20140316.0,,3.0,4.0,1.3333333333333333,,,,,その他,26.58,,,,中央市議会議員補欠選挙（2014年03月23日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,,0.5594490274729433,0.44055097252705666,,0.27972451373647167,0.22027548626352833,13213.0,1.0,,,,,,,,,,,,,,,,,,,,,,13213.0,,,,,13213.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.25,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,
中央市議会議員選挙（2007年01月21日投票）,中央市議会議員選挙,山梨県,中央市,20070121.0,2007.0,1.0,21.0,20070114.0,76.58,22.0,28.0,1.2727272727272727,23404.0,,,,任期満了,,,,,中央市議会議員選挙（2007年01月21日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.14285714285714285,0.13636363636363635,0.9285714285714286,0.07142857142857142,0.0,0.9545454545454546,0.045454545454545456,0.0,0.9369589259213279,0.06304107407867207,,0.03603688176620492,0.031520537039336036,,17559.98,2.0,60.285714285714285,7.8004447806205395,42.0,54.75,58.5,66.5,74.0,60.77272727272727,7.147356906143813,50.0,54.25,59.0,65.75,74.0,,,,2000.0,,,,15559.98,,,,,17559.98,,,,0.1138953461222621,,,,0.8861046538777378,,,,,1.0,,,,0.05694767306113105,,,,0.03408094822606684,,,,,,,,2.0,,,,26.0,,,,,,,,2.0,,,,20.0,,,,
中央市議会議員選挙（2011年01月30日投票）,中央市議会議員選挙,山梨県,中央市,20110130.0,2011.0,1.0,30.0,20110123.0,64.91,18.0,19.0,1.0555555555555556,23673.0,,,269.0,任期満了,76.58,,,,中央市議会議員選挙（2011年01月30日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.15789473684210525,0.16666666666666666,0.8421052631578947,0.15789473684210525,0.0,0.8333333333333334,0.16666666666666666,0.0,0.785841878928217,0.214158121071783,,0.04911511743301356,0.071386040357261,,15115.0,3.0,61.8421052631579,10.403760240740576,27.0,58.0,62.0,68.0,78.0,60.94444444444444,9.94692706440996,27.0,58.0,61.5,67.75,73.0,,,,2183.0,,961.0,,11971.0,,,,,15115.0,,,,0.1444260668210387,,0.06357922593450215,,0.7919947072444592,,,,,1.0,,,,0.07221303341051935,,0.06357922593450215,,0.0494996692027787,,,,,,,,2.0,,1.0,,16.0,,,,,,,,2.0,,1.0,,15.0,,,,
中央市議会議員選挙（2015年01月25日投票）,中央市議会議員選挙,山梨県,中央市,20150125.0,2015.0,1.0,25.0,20150118.0,61.06,18.0,19.0,1.0555555555555556,23886.0,,,213.0,任期満了,64.91,,,,中央市議会議員選挙（2015年01月25日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,0.7368421052631579,0.10526315789473684,0.15789473684210525,0.7222222222222222,0.1111111111111111,0.16666666666666666,0.7280933417173199,0.1224620973939775,0.1494445608887026,0.052006667265522846,0.06123104869698875,0.04981485362956753,14313.0,3.0,61.94736842105263,10.070664454169668,31.0,58.0,63.0,71.0,73.0,61.388888888888886,10.056169410360814,31.0,58.0,62.5,70.0,73.0,,,,1761.29,,681.0,,11870.71,,,,,14313.0,,,,0.12305526444491022,,0.0475791238734018,,0.8293656116816879,,,,,1.0,,,,0.06152763222245511,,0.0475791238734018,,0.05183535073010549,,,,,,,,2.0,,1.0,,16.0,,,,,,,,2.0,,1.0,,15.0,,,,
中央市議会議員選挙（2019年01月27日投票）,中央市議会議員選挙,山梨県,中央市,20190127.0,2019.0,1.0,27.0,20190120.0,65.54,18.0,20.0,1.1111111111111112,,,,,任期満了,61.06,,,,中央市議会議員選挙（2019年01月27日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.15,0.16666666666666666,0.65,0.3,0.05,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.6278151751086178,0.3323511208874672,0.03983370400391493,0.04829347500835522,0.055391853481244535,0.03983370400391493,15609.997,3.0,62.35,9.587882978009274,35.0,60.25,64.0,68.0,76.0,62.666666666666664,10.022197585581939,35.0,61.25,65.0,68.0,76.0,,,,2015.199,,638.0,,12956.797999999999,,,,,15609.997,,,,0.12909669361243312,,0.040871244241750974,,0.8300320621458159,,,,,1.0,,,,0.06454834680621656,,0.040871244241750974,,0.04882541542034211,,,,,,,,2.0,,1.0,,17.0,,,,,,,,2.0,,1.0,,15.0,,,,
丹波山村議会議員補欠選挙（2013年04月21日投票）,丹波山村議会議員補欠選挙,山梨県,丹波山村,20130421.0,2013.0,4.0,21.0,20130416.0,,1.0,2.0,2.0,,,,,その他,,,,,丹波山村議会議員補欠選挙（2013年04月21日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.48514851485148514,0.5148514851485149,,0.48514851485148514,0.5148514851485149,505.0,1.0,46.0,14.0,32.0,39.0,46.0,53.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,505.0,,,,,505.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
丹波山村議会議員選挙（2007年04月22日投票）,丹波山村議会議員選挙,山梨県,丹波山村,20070422.0,2007.0,4.0,22.0,20070417.0,93.82,8.0,10.0,1.25,712.0,,,,任期満了,,,,,丹波山村議会議員選挙（2007年04月22日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.2,0.25,0.9,0.1,0.0,0.875,0.125,0.0,0.8873873873873874,0.11261261261261261,,0.0985985985985986,0.11261261261261261,,666.0,1.0,63.8,9.293008124391154,51.0,55.0,64.0,70.5,81.0,64.0,9.354143466934854,51.0,57.0,64.0,69.5,81.0,,,,,,,,666.0,,,,,666.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.1,,,,,,,,,,,,10.0,,,,,,,,,,,,8.0,,,,
丹波山村議会議員選挙（2011年04月24日投票）,丹波山村議会議員選挙,山梨県,丹波山村,20110424.0,2011.0,4.0,24.0,20110419.0,94.42,8.0,9.0,1.125,627.0,,,-85.0,任期満了,93.82,,,,丹波山村議会議員選挙（2011年04月24日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.875,0.125,0.0,0.7849829351535836,0.12627986348122866,0.08873720136518772,0.11214041930765481,0.12627986348122866,0.08873720136518772,586.0,1.0,,,,,,,,,,,,,,,,,,,,,,586.0,,,,,586.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.1111111111111111,,,,,,,,,,,,9.0,,,,,,,,,,,,8.0,,,,
丹波山村議会議員選挙（2015年04月26日投票）,丹波山村議会議員選挙,山梨県,丹波山村,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,8.0,8.0,1.0,,,,,任期満了,94.42,,,,丹波山村議会議員選挙（2015年04月26日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.75,0.25,0.0,,,,,,,0.0,1.0,62.25,13.709029870855195,33.0,57.75,62.0,75.25,77.0,62.25,13.709029870855195,33.0,57.75,62.0,75.25,77.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,8.0,,,,
丹波山村議会議員選挙（2019年04月21日投票）,丹波山村議会議員選挙,山梨県,丹波山村,20190421.0,2019.0,4.0,21.0,20190416.0,,6.0,7.0,1.1666666666666667,,,,,任期満了,,,,,丹波山村議会議員選挙（2019年04月21日投票）,1.0,7.0,6.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5995575221238938,0.4004424778761062,,0.14988938053097345,0.13348082595870206,,452.0,1.0,55.0,11.36410388648648,37.0,48.0,59.0,63.5,66.0,53.5,11.615363389350618,37.0,43.0,58.5,62.0,66.0,,,,,,,,452.0,,,,,452.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.14285714285714285,,,,,,,,,,,,7.0,,,,,,,,,,,,6.0,,,,
北杜市議会議員増員選挙（2006年04月23日投票）,北杜市議会議員増員選挙,山梨県,北杜市,20060423.0,2006.0,4.0,23.0,20060416.0,76.66,5.0,7.0,1.4,4923.0,,,,その他,,,,,北杜市議会議員増員選挙（2006年04月23日投票）,1.0,7.0,5.0,1.4,0.0,0.0,0.0,0.14285714285714285,0.2,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.14285714285714285,,3742.99,1.0,64.0,9.16515138991168,47.0,59.0,65.0,72.0,74.0,60.8,9.019977827023745,47.0,56.0,62.0,65.0,74.0,,,,,,,,3742.99,,,,,3742.99,,,,,,,,1.0,,,,,1.0,,,,,,,,0.14285714285714285,,,,,,,,,,,,7.0,,,,,,,,,,,,5.0,,,,
北杜市議会議員選挙（2008年11月16日投票）,北杜市議会議員選挙,山梨県,北杜市,20081116.0,2008.0,11.0,16.0,20081109.0,79.06,22.0,30.0,1.3636363636363635,40946.0,,,,任期満了,,,,,北杜市議会議員選挙（2008年11月16日投票）,1.0,30.0,23.0,1.3043478260869565,0.0,0.0,0.0,0.13333333333333333,0.17391304347826086,0.7333333333333333,0.26666666666666666,0.0,0.8260869565217391,0.17391304347826086,0.0,0.7508925417879369,0.2491074582120631,,0.03413147917217895,0.031138432276507887,,31681.99,4.0,59.56666666666667,6.354438518774802,47.0,55.25,58.5,64.75,71.0,59.608695652173914,6.812642534191615,47.0,54.5,58.0,65.5,71.0,,,,1348.0,,2132.2200000000003,565.0,27636.77,,,,,31681.99,,,,0.04254783238047862,,0.06730069670497339,0.01783347573810862,0.8723179951764394,,,,,1.0,,,,0.04254783238047862,,0.033650348352486696,0.01783347573810862,0.033550692122170746,,,,,,,,1.0,,2.0,1.0,26.0,,,,,,,,1.0,,2.0,0.0,20.0,,,,
北杜市議会議員選挙（2012年11月18日投票）,北杜市議会議員選挙,山梨県,北杜市,20121118.0,2012.0,11.0,18.0,20121111.0,69.94,22.0,24.0,1.0909090909090908,40900.0,,,-46.0,任期満了,79.06,,,,北杜市議会議員選挙（2012年11月18日投票）,1.0,24.0,22.0,1.0909090909090908,0.0,0.0,0.0,0.125,0.13636363636363635,0.5833333333333334,0.375,0.041666666666666664,0.6363636363636364,0.3181818181818182,0.045454545454545456,0.577147119414648,0.382894082545997,0.039958798039354974,0.04122479424390343,0.04254378694955522,0.039958798039354974,28154.0,3.0,59.208333333333336,6.720485886865291,42.0,57.0,60.5,62.25,73.0,59.90909090909091,6.185827576801454,42.0,57.0,61.0,62.75,73.0,,,,2624.0,,1771.0,,23759.000000000004,,,,,28154.000000000004,,,,0.09320167649357106,,0.06290402784684236,,0.8438942956595866,,,,,1.0,,,,0.04660083824678553,,0.03145201392342118,,0.04219471478297933,,,,,,,,2.0,,2.0,,20.0,,,,,,,,2.0,,2.0,,18.0,,,,
北杜市議会議員選挙（2016年11月13日投票）,北杜市議会議員選挙,山梨県,北杜市,20161113.0,2016.0,11.0,13.0,20161106.0,71.98,22.0,23.0,1.0454545454545454,41170.0,,,270.0,任期満了,69.94,,,,北杜市議会議員選挙（2016年11月13日投票）,1.0,23.0,22.0,1.0454545454545454,0.0,0.0,0.0,0.08695652173913043,0.09090909090909091,0.6086956521739131,0.391304347826087,0.0,0.6363636363636364,0.36363636363636365,0.0,0.6824184314855741,0.3175815685144258,,0.04874417367754101,0.03528684094604731,,28915.997999999996,3.0,59.608695652173914,8.830476526778218,34.0,57.5,61.0,65.0,72.0,60.0,8.831760866327848,34.0,58.0,62.0,65.0,72.0,,,,2996.0,,2769.732,,23150.266,,,,,28915.998,,,,0.10361046504429831,,0.09578545412819575,,0.8006040808275059,,,,,1.0,,,,0.05180523252214916,,0.047892727064097876,,0.042137056885658206,,,,,,,,2.0,,2.0,,19.0,,,,,,,,2.0,,2.0,,18.0,,,,
北杜市議会議員選挙（2020年11月15日投票）,北杜市議会議員選挙,山梨県,北杜市,20201115.0,2020.0,11.0,15.0,20201108.0,73.17,20.0,21.0,1.05,,,,,任期満了,71.98,,,,北杜市議会議員選挙（2020年11月15日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.09523809523809523,0.1,0.6666666666666666,0.2857142857142857,0.047619047619047616,0.65,0.3,0.05,0.6336329725812073,0.327058017067373,0.03930901035141973,0.04525949804151481,0.05450966951122883,0.03930901035141973,28364.998,3.0,60.80952380952381,10.205596259471461,35.0,59.0,64.0,68.0,73.0,60.75,10.454066194548416,35.0,58.5,64.0,68.25,73.0,,,,2676.0,,2672.5950000000003,,23016.403,,,,,28364.998,,,,0.09434162484340736,,0.09422158252928486,,0.8114367926273077,,,,,1.0,,,,0.04717081242170368,,0.04711079126464243,,0.04773157603690045,,,,,,,,2.0,,2.0,,17.0,,,,,,,,2.0,,2.0,,16.0,,,,
南アルプス市議会議員補欠選挙（2007年04月22日投票）,南アルプス市議会議員補欠選挙,山梨県,南アルプス市,20070422.0,2007.0,4.0,22.0,20070415.0,71.52,1.0,2.0,2.0,56078.0,,,,任期満了,,,,,南アルプス市議会議員補欠選挙（2007年04月22日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.5,,,35093.0,1.0,55.0,1.0,54.0,54.5,55.0,55.5,56.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0,,,,,,,,35093.0,,,,,35093.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
南アルプス市議会議員補欠選挙（2011年04月24日投票）,南アルプス市議会議員補欠選挙,山梨県,南アルプス市,20110424.0,2011.0,4.0,24.0,20110417.0,61.15,2.0,4.0,2.0,57673.0,,,1595.0,その他,71.52,,,,南アルプス市議会議員補欠選挙（2011年04月24日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.25,0.0,0.5,0.5,,0.6687758503611334,0.3312241496388666,,0.22292528345371113,0.3312241496388666,32398.0,2.0,49.25,14.686303142724515,27.0,41.25,52.0,60.0,66.0,52.0,6.0,46.0,49.0,52.0,55.0,58.0,,,,,,7872.0,,24526.0,,,,,32398.0,,,,,,0.24297796160256807,,0.757022038397432,,,,,1.0,,,,,,0.24297796160256807,,0.2523406794658107,,,,,,,,,,1.0,,3.0,,,,,,,,,,0.0,,2.0,,,,
南アルプス市議会議員補欠選挙（2015年04月26日投票）,南アルプス市議会議員補欠選挙,山梨県,南アルプス市,20150426.0,2015.0,4.0,26.0,20150419.0,無投票,2.0,2.0,1.0,,,,,その他,61.15,,,,南アルプス市議会議員補欠選挙（2015年04月26日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,67.5,0.5,67.0,67.25,67.5,67.75,68.0,67.5,0.5,67.0,67.25,67.5,67.75,68.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
南アルプス市議会議員選挙（2004年11月28日投票）,南アルプス市議会議員選挙,山梨県,南アルプス市,20041128.0,2004.0,11.0,28.0,20041121.0,77.97,28.0,45.0,1.6071428571428572,55748.0,,,,解散,,,,,南アルプス市議会議員選挙（2004年11月28日投票）,1.0,45.0,28.0,1.6071428571428572,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.0,0.2,0.022222222222222223,0.0,0.17857142857142858,0.0,,0.18648515274200855,0.010164497478943109,,0.02072057252688984,0.010164497478943109,42979.99,3.0,58.644444444444446,7.528185720803757,37.0,55.0,59.0,64.0,70.0,58.857142857142854,6.957597521077668,40.0,55.75,59.0,64.0,70.0,,,,3317.6800000000003,,2249.0,,37413.31,,,,,42979.99,,,,0.07719126970480915,,0.05232667573910557,,0.8704820545560853,,,,,1.0,,,,0.02573042323493638,,0.026163337869552786,,0.02176205136390213,,,,,,,,3.0,,2.0,,40.0,,,,,,,,3.0,,2.0,,23.0,,,,
南アルプス市議会議員選挙（2008年11月16日投票）,南アルプス市議会議員選挙,山梨県,南アルプス市,20081116.0,2008.0,11.0,16.0,20081109.0,69.71,24.0,27.0,1.125,56809.0,,,1061.0,任期満了,77.97,,,,南アルプス市議会議員選挙（2008年11月16日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.7037037037037037,0.14814814814814814,0.14814814814814814,0.75,0.16666666666666666,0.08333333333333333,0.7235714285714285,0.18388758363552787,0.09254098779304358,0.038082706766917294,0.04597189590888197,0.023135246948260895,39158.00000000001,3.0,58.370370370370374,10.27816148766546,28.0,58.0,60.0,64.0,70.0,58.25,10.833012815771367,28.0,58.0,60.5,65.25,70.0,,,,4962.95,,3327.0,,30868.05,,,,,39158.0,,,,0.1267416619847796,,0.0849634812809643,,0.788294856734256,,,,,1.0,,,,0.0422472206615932,,0.04248174064048215,,0.03583158439701164,,,,,,,,3.0,,2.0,,22.0,,,,,,,,3.0,,2.0,,19.0,,,,
南アルプス市議会議員選挙（2012年11月18日投票）,南アルプス市議会議員選挙,山梨県,南アルプス市,20121118.0,2012.0,11.0,18.0,20121111.0,60.88,22.0,23.0,1.0454545454545454,57246.0,,,437.0,任期満了,69.71,,,,南アルプス市議会議員選挙（2012年11月18日投票）,1.0,23.0,22.0,1.0454545454545454,0.0,0.0,0.0,0.13043478260869565,0.09090909090909091,0.6086956521739131,0.391304347826087,0.0,0.6363636363636364,0.36363636363636365,0.0,0.5900566761611347,0.40994332383886534,,0.042146905440081046,0.04554925820431837,,34406.0,3.0,58.130434782608695,12.195167780816648,29.0,55.0,62.0,64.0,74.0,57.90909090909091,12.423983737144315,29.0,54.5,62.0,64.5,74.0,,,,5758.0599999999995,,3867.91,,24780.03,,,,,34406.0,,,,0.16735627506830203,,0.11241963610998082,,0.7202240888217171,,,,,1.0,,,,0.05578542502276734,,0.05620981805499041,,0.04001244937898428,,,,,,,,3.0,,2.0,,18.0,,,,,,,,3.0,,2.0,,17.0,,,,
南アルプス市議会議員選挙（2016年11月20日投票）,南アルプス市議会議員選挙,山梨県,南アルプス市,20161120.0,2016.0,11.0,20.0,20161113.0,58.19,22.0,25.0,1.1363636363636365,58817.0,,,1571.0,任期満了,60.88,,,,南アルプス市議会議員選挙（2016年11月20日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.13636363636363635,0.6,0.36,0.04,0.5909090909090909,0.4090909090909091,0.0,0.6082869988653181,0.37139703950373776,0.020315961630944138,0.040552466591021206,0.041266337722637526,0.020315961630944138,33864.998,3.0,62.88,9.078854553301316,37.0,63.0,66.0,68.0,78.0,62.5,9.585737511342757,37.0,60.0,65.5,68.5,78.0,,,,5107.273999999999,,3537.0,,25220.724000000002,,,,,33864.998,,,,0.15081276543999794,,0.10444412251257183,,0.7447431120474303,,,,,1.0,,,,0.05027092181333265,,0.052222061256285916,,0.037237155602371515,,,,,,,,3.0,,2.0,,20.0,,,,,,,,3.0,,2.0,,17.0,,,,
