,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_上野原市民オンブズマン,得票数_全国市民連合会,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_甲斐市の明日を考える会,得票数_社会民主党,得票数_自由民主党,得票数_通信・放送と医療を考える市民の会,得票数_sum_v,得票率_みんなの党,得票率_上野原市民オンブズマン,得票率_全国市民連合会,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_甲斐市の明日を考える会,得票率_社会民主党,得票率_自由民主党,得票率_通信・放送と医療を考える市民の会,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_上野原市民オンブズマン,一人あたり得票率_全国市民連合会,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_甲斐市の明日を考える会,一人あたり得票率_社会民主党,一人あたり得票率_自由民主党,一人あたり得票率_通信・放送と医療を考える市民の会,立候補者数_みんなの党,立候補者数_上野原市民オンブズマン,立候補者数_全国市民連合会,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_甲斐市の明日を考える会,立候補者数_社会民主党,立候補者数_自由民主党,立候補者数_通信・放送と医療を考える市民の会,当選者数_みんなの党,当選者数_上野原市民オンブズマン,当選者数_全国市民連合会,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_甲斐市の明日を考える会,当選者数_社会民主党,当選者数_自由民主党,当選者数_通信・放送と医療を考える市民の会
都留市議会議員選挙（2011年04月24日投票）,都留市議会議員選挙,山梨県,都留市,20110424.0,2011.0,4.0,24.0,20110417.0,77.4,18.0,20.0,1.1111111111111112,25276.0,,,-382.0,任期満了,80.41,,,,都留市議会議員選挙（2011年04月24日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.1,0.1111111111111111,0.8,0.2,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8344236727948771,0.1655763272051229,,0.052151479549679816,0.04139408180128072,,19364.0,3.0,61.3,10.368702908271603,36.0,56.0,62.0,68.5,76.0,62.888888888888886,8.986959001729417,47.0,57.75,63.5,69.5,76.0,,,,1179.0,,871.96,,17313.04,,,,,19364.0,,,,0.06088618054121049,,0.04502995248915514,,0.8940838669696344,,,,,1.0,,,,0.06088618054121049,,0.04502995248915514,,0.049671325942757465,,,,,,,,1.0,,1.0,,18.0,,,,,,,,1.0,,1.0,,16.0,,,,
都留市議会議員選挙（2015年04月26日投票）,都留市議会議員選挙,山梨県,都留市,20150426.0,2015.0,4.0,26.0,20150419.0,73.41,16.0,19.0,1.1875,,,,,任期満了,77.4,,,,都留市議会議員選挙（2015年04月26日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.0625,0.7368421052631579,0.2631578947368421,0.0,0.75,0.25,0.0,0.7301230553166052,0.26987694468339485,,0.05215164680832894,0.05397538893667897,,18099.99,3.0,61.05263157894737,11.213120530082636,31.0,58.5,64.0,66.5,80.0,60.8125,12.120327708028361,31.0,56.25,64.0,67.0,80.0,,,,1088.0,,782.0,,16229.99,,,,,18099.989999999998,,,,0.060110530447806884,,0.0432044437593612,,0.896685025792832,,,,,1.0,,,,0.060110530447806884,,0.0432044437593612,,0.05274617798781365,,,,,,,,1.0,,1.0,,17.0,,,,,,,,1.0,,1.0,,14.0,,,,
都留市議会議員選挙（2019年04月21日投票）,都留市議会議員選挙,山梨県,都留市,20190421.0,2019.0,4.0,21.0,20190414.0,69.55,16.0,19.0,1.1875,25071.0,,,,任期満了,73.41,,,,都留市議会議員選挙（2019年04月21日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.0625,0.7894736842105263,0.21052631578947367,0.0,0.875,0.125,0.0,0.8064148036119678,0.1935851963880322,,0.053760986907464524,0.04839629909700805,,17279.999,4.0,62.526315789473685,10.941800203337234,35.0,54.5,67.0,69.0,78.0,61.5,11.635076278220096,35.0,51.0,65.0,69.25,78.0,,,,1032.0,369.0,695.0,,15183.999,,,,,17279.999,,,,0.059722225678369545,0.021354167902440272,0.04021990973494848,,0.8787036966842418,,,,,1.0,,,,0.059722225678369545,0.021354167902440272,0.04021990973494848,,0.05491898104276511,,,,,,,,1.0,1.0,1.0,,16.0,,,,,,,,1.0,0.0,0.0,,15.0,,,,
韮崎市議会議員補欠選挙（2006年11月19日投票）,韮崎市議会議員補欠選挙,山梨県,韮崎市,20061119.0,2006.0,11.0,19.0,20061112.0,74.95,2.0,3.0,1.5,25246.0,,,,その他,,,,,韮崎市議会議員補欠選挙（2006年11月19日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,,0.634198882161155,0.3658011178388449,,0.3170994410805775,0.3658011178388449,17176.0,1.0,58.333333333333336,15.627610892974722,38.0,49.5,61.0,68.5,76.0,68.5,7.5,61.0,64.75,68.5,72.25,76.0,,,,,,,,17176.0,,,,,17176.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,
韮崎市議会議員補欠選挙（2014年11月16日投票）,韮崎市議会議員補欠選挙,山梨県,韮崎市,20141116.0,2014.0,11.0,16.0,20141109.0,29.74,1.0,2.0,2.0,,,,,その他,74.95,,,,韮崎市議会議員補欠選挙（2014年11月16日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,7122.0,2.0,,,,,,,,,,,,,,,,,,,,2486.0,,4636.0,,,,,7122.0,,,,,,0.34905925301881496,,0.6509407469811851,,,,,1.0,,,,,,0.34905925301881496,,0.6509407469811851,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,,1.0,,,,
韮崎市議会議員補欠選挙（2018年11月11日投票）,韮崎市議会議員補欠選挙,山梨県,韮崎市,20181111.0,2018.0,11.0,11.0,20181104.0,無投票,2.0,2.0,1.0,,,,,死亡/小林伸吉氏の死去、高添秀明氏の死去による,29.74,,,,韮崎市議会議員補欠選挙（2018年11月11日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,54.5,2.5,52.0,53.25,54.5,55.75,57.0,54.5,2.5,52.0,53.25,54.5,55.75,57.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
韮崎市議会議員選挙（2007年09月30日投票）,韮崎市議会議員選挙,山梨県,韮崎市,20070930.0,2007.0,9.0,30.0,20070923.0,68.02,20.0,21.0,1.05,25320.0,,,,任期満了,,,,,韮崎市議会議員選挙（2007年09月30日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.14285714285714285,0.15,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.65,0.3,0.05,0.6029215133356832,0.3537780519327929,0.04330043473152391,0.04637857794889871,0.050539721704684695,0.04330043473152391,17022.0,3.0,60.42857142857143,8.915323504914385,39.0,59.0,61.0,66.0,77.0,61.5,7.703895118704564,45.0,59.0,61.5,66.5,77.0,,,,2409.01,,1952.99,,12660.0,,,,,17022.0,,,,0.14152332275878277,,0.11473328633533075,,0.7437433909058865,,,,,1.0,,,,0.07076166137939138,,0.057366643167665377,,0.043749611229758026,,,,,,,,2.0,,2.0,,17.0,,,,,,,,2.0,,2.0,,16.0,,,,
韮崎市議会議員選挙（2011年10月02日投票）,韮崎市議会議員選挙,山梨県,韮崎市,20111002.0,2011.0,10.0,2.0,20110925.0,68.24,18.0,21.0,1.1666666666666667,24972.0,,,-348.0,任期満了,68.02,,,,韮崎市議会議員選挙（2011年10月02日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.09523809523809523,0.1111111111111111,0.8095238095238095,0.19047619047619047,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7881639053254439,0.2118360946745562,,0.04636258266620258,0.05295902366863905,,16900.0,4.0,,,,,,,,,,,,,,,,,,2323.98,,1734.02,,12316.0,,,526.0,,16900.0,,,,0.1375136094674556,,0.10260473372781065,,0.7287573964497042,,,0.031124260355029586,,1.0,,,,0.0687568047337278,,0.051302366863905324,,0.04554733727810651,,,0.031124260355029586,,,,,2.0,,2.0,,16.0,,,1.0,,,,,2.0,,2.0,,14.0,,,0.0,
韮崎市議会議員選挙（2015年10月04日投票）,韮崎市議会議員選挙,山梨県,韮崎市,20151004.0,2015.0,10.0,4.0,20150927.0,62.66,18.0,19.0,1.0555555555555556,,,,,任期満了,68.24,,,,韮崎市議会議員選挙（2015年10月04日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.5717948717948718,0.30854700854700856,0.11965811965811966,0.05198135198135198,0.051424501424501425,0.05982905982905983,15210.0,3.0,59.0,9.787209698591857,38.0,53.0,60.0,66.5,71.0,58.666666666666664,9.949874371066201,38.0,53.0,60.0,66.75,71.0,,,,2176.1800000000003,,1488.8200000000002,,11545.0,,,,,15210.0,,,,0.14307560815253126,,0.09788428665351744,,0.7590401051939514,,,,,1.0,,,,0.07153780407626563,,0.04894214332675872,,0.05060267367959676,,,,,,,,2.0,,2.0,,15.0,,,,,,,,2.0,,2.0,,14.0,,,,
韮崎市議会議員選挙（2019年09月29日投票）,韮崎市議会議員選挙,山梨県,韮崎市,20190929.0,2019.0,9.0,29.0,20190922.0,57.24,16.0,18.0,1.125,,,,,任期満了,62.66,,,,韮崎市議会議員選挙（2019年09月29日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.8888888888888888,0.1111111111111111,0.0,0.9375,0.0625,0.0,0.8726644343563135,0.1273355656436866,,0.05454152714726959,0.0636677828218433,,13943.999,3.0,60.44444444444444,11.051506796321297,41.0,53.5,61.0,70.75,75.0,61.0,10.319883720275147,42.0,54.5,61.0,70.25,75.0,,,,1415.0,,1424.0,,11104.999,,,,,13943.999,,,,0.10147734520061283,,0.10212278414535171,,0.7963998706540355,,,,,1.0,,,,0.10147734520061283,,0.051061392072675856,,0.053093324710269035,,,,,,,,1.0,,2.0,,15.0,,,,,,,,1.0,,2.0,,13.0,,,,
鳴沢村議会議員選挙（2007年04月22日投票）,鳴沢村議会議員選挙,山梨県,鳴沢村,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,10.0,10.0,1.0,,,,,任期満了,,,,,鳴沢村議会議員選挙（2007年04月22日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.1,0.1,0.8,0.1,0.1,,,,,,,0.0,1.0,61.5,4.759201613716317,49.0,60.25,62.5,63.75,68.0,61.5,4.759201613716317,49.0,60.25,62.5,63.75,68.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,,,
鳴沢村議会議員選挙（2011年04月24日投票）,鳴沢村議会議員選挙,山梨県,鳴沢村,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,10.0,10.0,1.0,,,,,任期満了,,,,,鳴沢村議会議員選挙（2011年04月24日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.6,0.4,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,,,
鳴沢村議会議員選挙（2015年04月26日投票）,鳴沢村議会議員選挙,山梨県,鳴沢村,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,10.0,10.0,1.0,,,,,任期満了,,,,,鳴沢村議会議員選挙（2015年04月26日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.7,0.3,0.0,,,,,,,0.0,1.0,63.4,7.102112361825882,49.0,57.75,65.5,68.0,72.0,63.4,7.102112361825882,49.0,57.75,65.5,68.0,72.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,,,
鳴沢村議会議員選挙（2019年04月21日投票）,鳴沢村議会議員選挙,山梨県,鳴沢村,20190421.0,2019.0,4.0,21.0,20190416.0,73.58,10.0,11.0,1.1,2627.0,,,,任期満了,,,,,鳴沢村議会議員選挙（2019年04月21日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5454545454545454,0.0,0.5,0.5,0.0,0.4510991416445297,0.5489008583554703,,0.09021982832890593,0.09148347639257838,,1920.9990000000003,1.0,62.90909090909091,7.925270806437588,45.0,59.0,65.0,69.0,72.0,62.2,7.9724525711979,45.0,58.5,64.5,67.5,72.0,,,,,,,,1920.9990000000003,,,,,1920.9990000000003,,,,,,,,1.0,,,,,1.0,,,,,,,,0.09090909090909091,,,,,,,,,,,,11.0,,,,,,,,,,,,10.0,,,,
政党名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,みんなの党,上野原市民オンブズマン,全国市民連合会,公明党,幸福実現党,日本共産党,民主党,無所属,甲斐市の明日を考える会,社会民主党,自由民主党,通信・放送と医療を考える市民の会,sum_v,みんなの党,上野原市民オンブズマン,全国市民連合会,公明党,幸福実現党,日本共産党,民主党,無所属,甲斐市の明日を考える会,社会民主党,自由民主党,通信・放送と医療を考える市民の会,sum_v,みんなの党,上野原市民オンブズマン,全国市民連合会,公明党,幸福実現党,日本共産党,民主党,無所属,甲斐市の明日を考える会,社会民主党,自由民主党,通信・放送と医療を考える市民の会,みんなの党,上野原市民オンブズマン,全国市民連合会,公明党,幸福実現党,日本共産党,民主党,無所属,甲斐市の明日を考える会,社会民主党,自由民主党,通信・放送と医療を考える市民の会,みんなの党,上野原市民オンブズマン,全国市民連合会,公明党,幸福実現党,日本共産党,民主党,無所属,甲斐市の明日を考える会,社会民主党,自由民主党,通信・放送と医療を考える市民の会
