,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_公明政治連,得票数_国民民主党,得票数_希望の風那須,得票数_幸福実現党,得票数_政治結社憂思会総本部,得票数_日本共産党,得票数_日本民主,得票数_日本社会党,得票数_民主党,得票数_民主社会,得票数_民社,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由党,得票数_自由民主党,得票数_諸,得票数_足利市政刷新連盟,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_公明政治連,得票率_国民民主党,得票率_希望の風那須,得票率_幸福実現党,得票率_政治結社憂思会総本部,得票率_日本共産党,得票率_日本民主,得票率_日本社会党,得票率_民主党,得票率_民主社会,得票率_民社,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由党,得票率_自由民主党,得票率_諸,得票率_足利市政刷新連盟,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_公明政治連,一人あたり得票率_国民民主党,一人あたり得票率_希望の風那須,一人あたり得票率_幸福実現党,一人あたり得票率_政治結社憂思会総本部,一人あたり得票率_日本共産党,一人あたり得票率_日本民主,一人あたり得票率_日本社会党,一人あたり得票率_民主党,一人あたり得票率_民主社会,一人あたり得票率_民社,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_諸,一人あたり得票率_足利市政刷新連盟,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_公明政治連,立候補者数_国民民主党,立候補者数_希望の風那須,立候補者数_幸福実現党,立候補者数_政治結社憂思会総本部,立候補者数_日本共産党,立候補者数_日本民主,立候補者数_日本社会党,立候補者数_民主党,立候補者数_民主社会,立候補者数_民社,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由党,立候補者数_自由民主党,立候補者数_諸,立候補者数_足利市政刷新連盟,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_公明政治連,当選者数_国民民主党,当選者数_希望の風那須,当選者数_幸福実現党,当選者数_政治結社憂思会総本部,当選者数_日本共産党,当選者数_日本民主,当選者数_日本社会党,当選者数_民主党,当選者数_民主社会,当選者数_民社,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由党,当選者数_自由民主党,当選者数_諸,当選者数_足利市政刷新連盟
野木町議会議員選挙（2015年04月26日投票）,野木町議会議員選挙,栃木県,野木町,20150426.0,2015.0,4.0,26.0,20150421.0,51.43,14.0,18.0,1.2857142857142858,21282.0,,,-146.0,任期満了,49.77,,,,野木町議会議員選挙（2015年04月26日投票）,1.0,18.0,14.0,1.2857142857142858,0.0,0.0,0.0,0.05555555555555555,0.07142857142857142,0.5,0.5,0.0,0.6428571428571429,0.35714285714285715,0.0,0.5913140311804009,0.4086859688195991,,0.06570155902004454,0.04540955209106657,,10776.0,2.0,65.88888888888889,5.829893165486625,54.0,63.0,64.5,70.75,78.0,64.14285714285714,5.138887356744271,54.0,62.25,64.0,67.25,72.0,,,1031.0,,,,,,,,,,,,9745.0,,,,,,,10776.0,,,0.09567557535263549,,,,,,,,,,,,0.9043244246473645,,,,,,,1.0,,,0.09567557535263549,,,,,,,,,,,,0.05319555439102144,,,,,,,,,1.0,,,,,,,,,,,,17.0,,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,
野木町議会議員選挙（2019年04月21日投票）,野木町議会議員選挙,栃木県,野木町,20190421.0,2019.0,4.0,21.0,20190416.0,48.73,14.0,20.0,1.4285714285714286,21364.0,,,82.0,任期満了,51.43,,,,野木町議会議員選挙（2019年04月21日投票）,1.0,20.0,14.0,1.4285714285714286,0.0,0.0,0.0,0.1,0.14285714285714285,0.6,0.35,0.05,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.6575709443933264,0.22983298847321032,0.11259606713346332,0.05479757869944387,0.03283328406760148,0.11259606713346332,10265.998,3.0,66.75,7.873214083206426,43.0,65.25,68.0,71.25,81.0,64.21428571428571,7.682806141253445,43.0,60.0,66.5,68.0,75.0,,,953.0,,,,,,325.0,,,,,,8987.998,,,,,,,10265.998,,,0.0928307213775027,,,,,,0.03165790603115255,,,,,,0.8755113725913447,,,,,,,1.0,,,0.0928307213775027,,,,,,0.03165790603115255,,,,,,0.04863952069951915,,,,,,,,,1.0,,,,,,1.0,,,,,,18.0,,,,,,,,,1.0,,,,,,0.0,,,,,,13.0,,,,,,
高根沢町議会議員補欠選挙（2013年04月21日投票）,高根沢町議会議員補欠選挙,栃木県,高根沢町,20130421.0,2013.0,4.0,21.0,20130416.0,40.76,1.0,3.0,3.0,,,,,その他,,,,,高根沢町議会議員補欠選挙（2013年04月21日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,9216.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216.0,,,,,,,9216.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
高根沢町議会議員補欠選挙（2017年03月26日投票）,高根沢町議会議員補欠選挙,栃木県,高根沢町,20170326.0,2017.0,3.0,26.0,20170321.0,43.7,1.0,2.0,2.0,24469.0,,,,退職,40.76,,,,高根沢町議会議員補欠選挙（2017年03月26日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.24960676366496265,0.7503932363350374,,0.24960676366496265,0.7503932363350374,10172.0,0.0,,,,,,,,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高根沢町議会議員選挙（2006年04月09日投票）,高根沢町議会議員選挙,栃木県,高根沢町,20060409.0,2006.0,4.0,9.0,20060405.0,無投票,17.0,17.0,1.0,24589.0,,,,任期満了,,,,,高根沢町議会議員選挙（2006年04月09日投票）,1.0,17.0,17.0,1.0,1.0,1.0,0.0,0.058823529411764705,0.058823529411764705,0.9411764705882353,0.058823529411764705,0.0,0.9411764705882353,0.058823529411764705,0.0,,,,,,,0.0,3.0,58.529411764705884,6.0983859683267925,46.0,56.0,57.0,63.0,70.0,58.529411764705884,6.0983859683267925,46.0,56.0,57.0,63.0,70.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,
高根沢町議会議員選挙（2010年04月11日投票）,高根沢町議会議員選挙,栃木県,高根沢町,20100411.0,2010.0,4.0,11.0,20100406.0,59.35,17.0,19.0,1.1176470588235294,24185.0,,,-404.0,任期満了,,,,,高根沢町議会議員選挙（2010年04月11日投票）,1.0,19.0,17.0,1.1176470588235294,0.0,0.0,0.0,0.15789473684210525,0.17647058823529413,0.6842105263157895,0.3157894736842105,0.0,0.7058823529411765,0.29411764705882354,0.0,0.7121833875760577,0.28781661242394224,,0.05478333750585059,0.047969435403990374,,14134.0,3.0,,,,,,,,58.0,8.310163868986686,43.0,52.0,60.0,61.0,74.0,,,1666.0,,,,,,810.0,,,,,,11658.0,,,,,,,14134.0,,,0.11787179850007075,,,,,,0.0573086175180416,,,,,,0.8248195839818876,,,,,,,1.0,,,0.11787179850007075,,,,,,0.0573086175180416,,,,,,0.04851879905775809,,,,,,,,,1.0,,,,,,1.0,,,,,,17.0,,,,,,,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,
高根沢町議会議員選挙（2014年04月13日投票）,高根沢町議会議員選挙,栃木県,高根沢町,20140413.0,2014.0,4.0,13.0,20140408.0,55.44,17.0,23.0,1.3529411764705883,,,,,任期満了,59.35,,,,高根沢町議会議員選挙（2014年04月13日投票）,1.0,23.0,17.0,1.3529411764705883,0.0,0.0,0.0,0.13043478260869565,0.11764705882352941,0.6086956521739131,0.30434782608695654,0.08695652173913043,0.7058823529411765,0.29411764705882354,0.0,0.7308711249988125,0.2606126296698222,0.00851624533136541,0.05220508035705803,0.037230375667117455,0.004258122665682705,13051.996000000001,3.0,60.30434782608695,10.828443955052483,34.0,53.0,62.0,64.5,88.0,59.705882352941174,9.259428936033437,34.0,55.0,62.0,64.0,72.0,,,1533.0,,,,,,711.0,,,,,,10807.996000000001,,,,,,,13051.996000000001,,,0.11745329986310139,,,,,,0.054474426746683034,,,,,,0.8280722733902156,,,,,,,1.0,,,0.11745329986310139,,,,,,0.054474426746683034,,,,,,0.039432013018581694,,,,,,,,,1.0,,,,,,1.0,,,,,,21.0,,,,,,,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,
高根沢町議会議員選挙（2018年04月15日投票）,高根沢町議会議員選挙,栃木県,高根沢町,20180415.0,2018.0,4.0,15.0,20180410.0,47.22,16.0,17.0,1.0625,,,,,任期満了,55.44,,,,高根沢町議会議員選挙（2018年04月15日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,,,,,,,,,,,,,11253.997,3.0,63.88235294117647,8.877482108194581,38.0,59.0,66.0,69.0,76.0,64.1875,9.063793011206732,38.0,59.5,66.5,69.0,76.0,,,953.0,,,,,,841.0,,,,,,9459.997,,,,,,,11253.997,,,0.08468102488387015,,,,,,0.07472900517034081,,,,,,0.840589969945789,,,,,,,1.0,,,0.08468102488387015,,,,,,0.07472900517034081,,,,,,0.05603933132971927,,,,,,,,,1.0,,,,,,1.0,,,,,,15.0,,,,,,,,,1.0,,,,,,1.0,,,,,,14.0,,,,,,
鹿沼市議会議員増員選挙（2006年02月05日投票）,鹿沼市議会議員増員選挙,栃木県,鹿沼市,20060205.0,2006.0,2.0,5.0,20060129.0,77.83,3.0,6.0,2.0,8423.0,,,,その他,,,,,鹿沼市議会議員増員選挙（2006年02月05日投票）,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.16666666666666666,,6508.0,2.0,59.833333333333336,5.871304984602846,55.0,55.25,57.0,62.5,71.0,61.333333333333336,6.944222218666553,55.0,56.5,58.0,64.5,71.0,,,,,,,,,905.0,,,,,,5603.0,,,,,,,6508.0,,,,,,,,,0.13905961893054702,,,,,,0.860940381069453,,,,,,,1.0,,,,,,,,,0.13905961893054702,,,,,,0.1721880762138906,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,3.0,,,,,,
鹿沼市議会議員選挙（2007年09月09日投票）,鹿沼市議会議員選挙,栃木県,鹿沼市,20070909.0,2007.0,9.0,9.0,20070902.0,62.85,28.0,29.0,1.0357142857142858,83918.0,,,,任期満了,,,,,鹿沼市議会議員選挙（2007年09月09日投票）,1.0,29.0,28.0,1.0357142857142858,0.0,0.0,0.0,0.10344827586206896,0.10714285714285714,0.8275862068965517,0.1724137931034483,0.0,0.8214285714285714,0.17857142857142858,0.0,0.8254289420699625,0.17457105793003744,,0.03439287258624844,0.034914211586007486,,52333.99,5.0,56.10344827586207,6.320982178079643,38.0,54.0,58.0,60.0,66.0,56.17857142857143,6.420133351021453,38.0,55.0,58.0,60.0,66.0,,,4121.0,,,,,,4062.0,,,3199.96,,,34906.549999999996,,,,6044.48,,,52333.98999999999,,,0.07874423486533323,,,,,,0.07761686047633672,,,0.06114496525107298,,,0.666995770817398,,,,0.1154981685898591,,,1.0,,,0.039372117432666616,,,,,,0.03880843023816836,,,0.03057248262553649,,,0.03510504056933674,,,,0.028874542147464776,,,,,2.0,,,,,,2.0,,,2.0,,,19.0,,,,4.0,,,,,2.0,,,,,,2.0,,,2.0,,,18.0,,,,4.0,,
