,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公共,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_福井県をよくする会,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_公共,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_福井県をよくする会,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公共,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_福井県をよくする会,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_公共,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_福井県をよくする会,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_公共,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_福井県をよくする会,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
永平寺町議会議員選挙（2006年07月23日投票）,永平寺町議会議員選挙,福井県,永平寺町,20060723.0,2006.0,7.0,23.0,20060718.0,77.91,20.0,22.0,1.1,15979.0,,,10971.0,任期満了,87.92,,,,永平寺町議会議員選挙（2006年07月23日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.22727272727272727,0.0,0.8,0.2,0.0,0.745377878689588,0.25462212131041195,,0.04384575756997577,0.05092442426208239,,12332.0,2.0,60.18181818181818,8.616244507991146,33.0,57.0,62.0,65.75,72.0,60.2,8.340263784797218,33.0,57.0,62.0,65.25,72.0,,,,,878.0,,,,11454.0,,,,,12332.0,,,,,0.07119688614985403,,,,0.9288031138501459,,,,,1.0,,,,,0.07119688614985403,,,,0.044228719707149804,,,,,,,,,1.0,,,,21.0,,,,,,,,,1.0,,,,19.0,,,,
永平寺町議会議員選挙（2010年07月11日投票）,永平寺町議会議員選挙,福井県,永平寺町,20100711.0,2010.0,7.0,11.0,20100706.0,80.36,18.0,19.0,1.0555555555555556,15809.0,,,-170.0,任期満了,77.91,,,,永平寺町議会議員選挙（2010年07月11日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.05263157894736842,0.05555555555555555,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05263157894736842,,,12487.99,2.0,,,,,,,,,,,,,,,,,,,779.0,,,,11708.99,,,,,12487.99,,,,,0.06237993464120327,,,,0.9376200653587967,,,,,1.0,,,,,0.06237993464120327,,,,0.05209000363104426,,,,,,,,,1.0,,,,18.0,,,,,,,,,1.0,,,,17.0,,,,
永平寺町議会議員選挙（2014年07月13日投票）,永平寺町議会議員選挙,福井県,永平寺町,20140713.0,2014.0,7.0,13.0,20140708.0,70.2,18.0,19.0,1.0555555555555556,,,,,任期満了,80.36,,,,永平寺町議会議員選挙（2014年07月13日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.05263157894736842,0.05555555555555555,0.7368421052631579,0.2631578947368421,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6663275686673449,0.3336724313326551,,0.04759482633338178,0.06673448626653103,,10813.0,2.0,65.05263157894737,7.315978793461008,42.0,63.5,65.0,70.5,74.0,64.61111111111111,7.265893604818558,42.0,63.25,65.0,69.25,74.0,,,,,596.0,,,,10217.0,,,,,10813.0,,,,,0.055118838435216866,,,,0.9448811615647831,,,,,1.0,,,,,0.055118838435216866,,,,0.05249339786471017,,,,,,,,,1.0,,,,18.0,,,,,,,,,1.0,,,,17.0,,,,
永平寺町議会議員選挙（2018年07月08日投票）,永平寺町議会議員選挙,福井県,永平寺町,20180708.0,2018.0,7.0,8.0,20180703.0,61.59,14.0,15.0,1.0714285714285714,,,,,任期満了,70.2,,,,永平寺町議会議員選挙（2018年07月08日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,0.8,0.13333333333333333,0.06666666666666667,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.731307003951176,0.18502427293203486,0.08366872311678915,0.06094225032926467,0.09251213646601743,0.08366872311678915,9441.999,2.0,63.4,10.922759114192104,41.0,61.5,67.0,69.5,78.0,62.92857142857143,11.157728171952554,41.0,60.25,66.5,69.0,78.0,,,,,651.0,,,,8790.999,,,,,9441.999,,,,,0.06894726423927815,,,,0.9310527357607219,,,,,1.0,,,,,0.06894726423927815,,,,0.06650376684005156,,,,,,,,,1.0,,,,14.0,,,,,,,,,1.0,,,,13.0,,,,
池田町議会議員補欠選挙（2017年01月22日投票）,池田町議会議員補欠選挙,福井県,池田町,20170122.0,2017.0,1.0,22.0,20170117.0,無投票,1.0,1.0,1.0,,,,,任期満了,,,,,池田町議会議員補欠選挙（2017年01月22日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
池田町議会議員選挙（2007年04月22日投票）,池田町議会議員選挙,福井県,池田町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,8.0,8.0,1.0,2963.0,,,,任期満了,,,,,池田町議会議員選挙（2007年04月22日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625,0.375,0.0,0.625,0.375,0.0,,,,,,,0.0,1.0,62.875,4.19635258289863,56.0,61.25,62.5,64.5,71.0,62.875,4.19635258289863,56.0,61.25,62.5,64.5,71.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,
池田町議会議員選挙（2011年04月24日投票）,池田町議会議員選挙,福井県,池田町,20110424.0,2011.0,4.0,24.0,20110419.0,88.71,8.0,10.0,1.25,2782.0,,,-181.0,任期満了,,,,,池田町議会議員選挙（2011年04月24日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.5,0.5,0.0,0.5797176889698616,0.4202823110301384,,0.09661961482831027,0.1050705777575346,,2458.99,1.0,,,,,,,,,,,,,,,,,,,,,,,2458.99,,,,,2458.99,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.1,,,,,,,,,,,,,10.0,,,,,,,,,,,,,8.0,,,,
池田町議会議員選挙（2015年04月26日投票）,池田町議会議員選挙,福井県,池田町,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,8.0,8.0,1.0,,,,,任期満了,88.71,,,,池田町議会議員選挙（2015年04月26日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.875,0.125,0.0,0.875,0.125,0.0,,,,,,,0.0,2.0,64.75,6.590713163232034,50.0,62.25,67.0,70.0,71.0,64.75,6.590713163232034,50.0,62.25,67.0,70.0,71.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,7.0,,,,,,,,,1.0,,,,7.0,,,,
池田町議会議員選挙（2019年04月21日投票）,池田町議会議員選挙,福井県,池田町,20190421.0,2019.0,4.0,21.0,20190416.0,85.28,8.0,11.0,1.375,2290.0,,,,任期満了,,,,,池田町議会議員選挙（2019年04月21日投票）,1.0,11.0,8.0,1.375,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.625,0.375,0.0,0.6062844280559672,0.39371557194403284,,0.08661206115085245,0.09842889298600821,,1944.9979999999998,2.0,58.36363636363637,14.486813610833865,32.0,49.5,65.0,69.0,74.0,60.0,14.0,32.0,51.75,66.5,71.0,74.0,,,,,211.22299999999998,,,,1733.775,,,,,1944.998,,,,,0.10859805511368134,,,,0.8914019448863186,,,,,1.0,,,,,0.10859805511368134,,,,0.08914019448863186,,,,,,,,,1.0,,,,10.0,,,,,,,,,1.0,,,,7.0,,,,
福井市議会議員増員選挙（2006年03月05日投票）,福井市議会議員増員選挙,福井県,福井市,20060305.0,2006.0,3.0,5.0,20060226.0,,0.0,7.0,,14293.0,,,,その他,,,,,福井市議会議員増員選挙（2006年03月05日投票）,3.0,7.0,3.0,2.3333333333333335,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.14285714285714285,,10644.0,1.0,62.0,6.697547525560595,53.0,59.0,59.0,65.5,73.0,61.333333333333336,7.408703590297623,53.0,56.5,60.0,65.5,71.0,,,,,,,,,10644.0,,,,,10644.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,7.0,,,,,,,,,,,,,3.0,,,,
