,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_ざおう民衆党,得票数_みんなの党,得票数_仙台市を福祉のまちにする会,得票数_公明党,得票数_国民民主党,得票数_地域政党富谷町民党 ,得票数_地域政党輝くまち ,得票数_幸福実現党,得票数_日本共産党,得票数_杜の市民・県民会議,得票数_民主党,得票数_清き碧の女川をつくる会,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_ざおう民衆党,得票率_みんなの党,得票率_仙台市を福祉のまちにする会,得票率_公明党,得票率_国民民主党,得票率_地域政党富谷町民党 ,得票率_地域政党輝くまち ,得票率_幸福実現党,得票率_日本共産党,得票率_杜の市民・県民会議,得票率_民主党,得票率_清き碧の女川をつくる会,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_ざおう民衆党,一人あたり得票率_みんなの党,一人あたり得票率_仙台市を福祉のまちにする会,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党富谷町民党 ,一人あたり得票率_地域政党輝くまち ,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_杜の市民・県民会議,一人あたり得票率_民主党,一人あたり得票率_清き碧の女川をつくる会,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_ざおう民衆党,立候補者数_みんなの党,立候補者数_仙台市を福祉のまちにする会,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党富谷町民党 ,立候補者数_地域政党輝くまち ,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_杜の市民・県民会議,立候補者数_民主党,立候補者数_清き碧の女川をつくる会,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由民主党,当選者数_ざおう民衆党,当選者数_みんなの党,当選者数_仙台市を福祉のまちにする会,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党富谷町民党 ,当選者数_地域政党輝くまち ,当選者数_幸福実現党,当選者数_日本共産党,当選者数_杜の市民・県民会議,当選者数_民主党,当選者数_清き碧の女川をつくる会,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由民主党
松島町議会議員選挙（2017年12月03日投票）,松島町議会議員選挙,宮城県,松島町,20171203.0,2017.0,12.0,3.0,20171128.0,,14.0,15.0,1.0714285714285714,12652.0,,,,任期満了,,,,,松島町議会議員選挙（2017年12月03日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.7825863618851933,0.1702838063439065,0.047129831770900216,0.06019895091424564,0.1702838063439065,0.047129831770900216,7787.000000000001,0.0,64.53333333333333,7.553071487076559,44.0,62.0,68.0,69.5,73.0,64.28571428571429,7.759128922285868,44.0,62.0,66.0,69.75,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柴田町議会議員選挙（2001年03月25日投票）,柴田町議会議員選挙,宮城県,柴田町,20010325.0,2001.0,3.0,25.0,20010320.0,73.57,24.0,32.0,1.3333333333333333,30409.0,,,,任期満了,,,,,柴田町議会議員選挙（2001年03月25日投票）,1.0,32.0,24.0,1.3333333333333333,0.0,0.0,0.0,0.09375,0.08333333333333333,0.625,0.375,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6657166489403226,0.3342833510596774,,0.03328583244701613,0.027856945921639783,,22160.989999999998,3.0,60.25,7.790218225441442,43.0,54.75,61.5,66.25,75.0,59.625,8.405417399907435,43.0,52.5,61.5,66.25,75.0,,,,1547.0,,,,,979.0,,,,19634.989999999998,,,,,,22160.989999999998,,,,0.0698073506643882,,,,,0.044176726761755686,,,,0.8860159225738561,,,,,,1.0,,,,0.0698073506643882,,,,,0.022088363380877843,,,,0.030552273192201933,,,,,,,,,1.0,,,,,2.0,,,,29.0,,,,,,,,,1.0,,,,,0.0,,,,23.0,,,,,
柴田町議会議員選挙（2005年03月27日投票）,柴田町議会議員選挙,宮城県,柴田町,20050327.0,2005.0,3.0,27.0,20050322.0,無投票,22.0,22.0,1.0,31655.0,,,1246.0,任期満了,73.57,,,,柴田町議会議員選挙（2005年03月27日投票）,1.0,22.0,22.0,1.0,1.0,1.0,0.0,0.18181818181818182,0.18181818181818182,0.7727272727272727,0.22727272727272727,0.0,0.7727272727272727,0.22727272727272727,0.0,,,,,,,0.0,3.0,59.90909090909091,8.867248681161128,37.0,53.5,60.0,67.0,73.0,59.90909090909091,8.867248681161128,37.0,53.5,60.0,67.0,73.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,20.0,,,,,,,,,1.0,,,,,1.0,,,,20.0,,,,,
柴田町議会議員選挙（2009年03月22日投票）,柴田町議会議員選挙,宮城県,柴田町,20090322.0,2009.0,3.0,22.0,20090317.0,62.43,18.0,22.0,1.2222222222222223,31215.0,,,-440.0,任期満了,,,,,柴田町議会議員選挙（2009年03月22日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.3181818181818182,0.3333333333333333,0.6818181818181818,0.2727272727272727,0.045454545454545456,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.670583363528133,0.284538537191366,0.044878099280501065,0.0447055575685422,0.047423089531894336,0.044878099280501065,19319.0,3.0,,,,,,,,,,,,,,,,,,1661.0,,,,,918.0,,,,16740.0,,,,,,19319.0,,,,0.08597753506910295,,,,,0.04751798747347171,,,,0.8665044774574253,,,,,,1.0,,,,0.08597753506910295,,,,,0.04751798747347171,,,,0.043325223872871264,,,,,,,,,1.0,,,,,1.0,,,,20.0,,,,,,,,,1.0,,,,,1.0,,,,16.0,,,,,
柴田町議会議員選挙（2013年03月24日投票）,柴田町議会議員選挙,宮城県,柴田町,20130324.0,2013.0,3.0,24.0,20130319.0,57.6,18.0,24.0,1.3333333333333333,31186.0,,,-29.0,任期満了,62.43,,,,柴田町議会議員選挙（2013年03月24日投票）,1.0,24.0,18.0,1.3333333333333333,0.0,0.0,0.0,0.25,0.2777777777777778,0.6666666666666666,0.3333333333333333,0.0,0.7222222222222222,0.2777777777777778,0.0,0.666299354114013,0.3337006458859871,,0.04164370963212581,0.041712580735748385,,17805.0,3.0,,,,,,,,,,,,,,,,,,2026.0,,,,,646.0,,,,15133.0,,,,,,17805.0,,,,0.11378826172423477,,,,,0.036281943274361135,,,,0.8499297950014041,,,,,,1.0,,,,0.056894130862117386,,,,,0.036281943274361135,,,,0.04047284738101924,,,,,,,,,2.0,,,,,1.0,,,,21.0,,,,,,,,,2.0,,,,,1.0,,,,15.0,,,,,
柴田町議会議員選挙（2017年03月26日投票）,柴田町議会議員選挙,宮城県,柴田町,20170326.0,2017.0,3.0,26.0,20170321.0,50.62,18.0,19.0,1.0555555555555556,,,,,任期満了,57.6,,,,柴田町議会議員選挙（2017年03月26日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.3157894736842105,0.3333333333333333,0.7368421052631579,0.15789473684210525,0.10526315789473684,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7231396096127086,0.1947651368606147,0.08209525352667674,0.05165282925805061,0.06492171228687156,0.04104762676333837,15959.997000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柴田町議会議員選挙（2021年03月21日投票）,柴田町議会議員選挙,宮城県,柴田町,20210321.0,2021.0,3.0,21.0,20210316.0,無投票,18.0,18.0,1.0,32085.0,15946.0,16139.0,,任期満了,50.62,,,,柴田町議会議員選挙（2021年03月21日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111,,,,,,,0.0,3.0,61.333333333333336,10.257788368952745,36.0,57.0,63.0,69.0,75.0,61.333333333333336,10.257788368952745,36.0,57.0,63.0,69.0,75.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,15.0,,,,,,,,,2.0,,,,,1.0,,,,15.0,,,,,
栗原市議会議員選挙（2005年05月01日投票）,栗原市議会議員選挙,宮城県,栗原市,20050501.0,2005.0,5.0,1.0,20050424.0,,0.0,99.0,,67808.0,,,,その他,,,,,栗原市議会議員選挙（2005年05月01日投票）,10.0,99.0,45.0,2.2,0.0,0.0,0.0,0.030303030303030304,0.022222222222222223,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.010101010101010102,,56485.0,3.0,58.323232323232325,5.96425087852494,44.0,55.0,57.0,61.5,73.0,56.666666666666664,4.908043285148256,45.0,54.0,57.0,60.0,67.0,,,,,,,,,4819.0,,,,49563.0,2103.0,,,,,56485.0,,,,,,,,,0.08531468531468532,,,,0.877454191378242,0.03723112330707267,,,,,1.0,,,,,,,,,0.012187812187812189,,,,0.009859035858182494,0.01241037443569089,,,,,,,,,,,,,7.0,,,,89.0,3.0,,,,,,,,,,,,,5.0,,,,38.0,2.0,,,,
栗原市議会議員選挙（2009年04月19日投票）,栗原市議会議員選挙,宮城県,栗原市,20090419.0,2009.0,4.0,19.0,20090412.0,79.3,30.0,43.0,1.4333333333333331,65433.0,,,-2375.0,任期満了,,,,,栗原市議会議員選挙（2009年04月19日投票）,1.0,43.0,30.0,1.4333333333333333,0.0,0.0,0.0,0.023255813953488372,0.03333333333333333,0.7209302325581395,0.27906976744186046,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7613007483649653,0.23869925163503472,,0.024558088656934363,0.01989160430291956,,51212.98,4.0,59.604651162790695,5.460809782712063,46.0,56.5,61.0,63.0,73.0,59.2,5.629683235612226,46.0,56.25,60.5,63.5,68.0,,,,1883.0,,,,,5457.96,,,,41641.420000000006,2230.6,,,,,51212.98,,,,0.03676802248180051,,,,,0.10657376313583002,,,,0.8131028500977683,0.04355536428460128,,,,,1.0,,,,0.03676802248180051,,,,,0.021314752627166002,,,,0.02323151000279338,0.02177768214230064,,,,,,,,1.0,,,,,5.0,,,,35.0,2.0,,,,,,,,1.0,,,,,4.0,,,,24.0,1.0,,,,
栗原市議会議員選挙（2013年04月21日投票）,栗原市議会議員選挙,宮城県,栗原市,20130421.0,2013.0,4.0,21.0,20130414.0,72.67,26.0,29.0,1.1153846153846154,62535.0,,,-2898.0,任期満了,79.3,,,,栗原市議会議員選挙（2013年04月21日投票）,1.0,29.0,26.0,1.1153846153846154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.034482758620689655,,,44531.990000000005,4.0,63.48275862068966,5.636217181243979,50.0,60.0,65.0,68.0,72.0,63.30769230769231,5.921078583977173,50.0,60.0,64.5,68.75,72.0,,,,1851.0,,,,,5850.73,,,,33505.65,3324.61,,,,,44531.990000000005,,,,0.04156562507087601,,,,,0.13138263077845833,,,,0.7523950759891933,0.07465666816147223,,,,,1.0,,,,0.04156562507087601,,,,,0.03284565769461458,,,,0.03419977618132697,0.03732833408073612,,,,,,,,1.0,,,,,4.0,,,,22.0,2.0,,,,,,,,1.0,,,,,4.0,,,,19.0,2.0,,,,
栗原市議会議員選挙（2017年04月23日投票）,栗原市議会議員選挙,宮城県,栗原市,20170423.0,2017.0,4.0,23.0,20170416.0,70.13,26.0,28.0,1.0769230769230769,60234.0,,,-2301.0,任期満了,72.67,,,,栗原市議会議員選挙（2017年04月23日投票）,1.0,28.0,26.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.8461538461538461,0.15384615384615385,0.0,0.812977117430231,0.1870228825697689,,0.03695350533773777,0.031170480428294817,,41537.992000000006,4.0,64.10714285714286,8.60373376470225,33.0,58.75,65.0,69.25,76.0,64.38461538461539,8.840801056103993,33.0,59.75,65.5,69.75,76.0,,,,2223.0,,,,,5731.272,,,,30545.261,3038.4590000000003,,,,,41537.992,,,,0.05351727161004798,,,,,0.13797662631356855,,,,0.7353571881856975,0.07314891389068591,,,,,1.0,,,,0.05351727161004798,,,,,0.02759532526271371,,,,0.03676785940928488,0.036574456945342955,,,,,,,,1.0,,,,,5.0,,,,20.0,2.0,,,,,,,,1.0,,,,,4.0,,,,19.0,2.0,,,,
栗原市議会議員選挙（2021年04月25日投票）,栗原市議会議員選挙,宮城県,栗原市,20210425.0,2021.0,4.0,25.0,20210418.0,68.73,24.0,27.0,1.125,56611.0,27251.0,29360.0,-3623.0,任期満了,70.13,,,,栗原市議会議員選挙（2021年04月25日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.037037037037037035,0.041666666666666664,0.8148148148148148,0.14814814814814814,0.037037037037037035,0.875,0.125,0.0,0.7988752071484956,0.18108554837183238,0.020039244479672126,0.03631250941584071,0.045271387092958096,0.020039244479672126,38224.994,4.0,67.4074074074074,9.246658092038238,37.0,63.5,69.0,73.0,80.0,67.16666666666667,9.753916592266355,37.0,62.75,68.5,73.25,80.0,,,,2120.0,,,,,3872.331,,,,29243.606999999996,,2989.0559999999996,,,,38224.994,,,,0.05546109438238238,,,,,0.10130363918435148,,,,0.765038890522782,,0.07819637591048412,,,,1.0,,,,0.05546109438238238,,,,,0.03376787972811716,,,,0.036430423358227715,,0.03909818795524206,,,,,,,1.0,,,,,3.0,,,,21.0,,2.0,,,,,,,1.0,,,,,3.0,,,,18.0,,2.0,,,
気仙沼市議会議員選挙（2005年06月19日投票）,気仙沼市議会議員選挙,宮城県,気仙沼市,20050619.0,2005.0,6.0,19.0,20050612.0,71.26,25.0,26.0,1.04,48083.0,,,,任期満了,,,,,気仙沼市議会議員選挙（2005年06月19日投票）,1.0,26.0,25.0,1.04,0.0,0.0,0.0,0.11538461538461539,0.08,0.8846153846153846,0.11538461538461539,0.0,0.88,0.12,0.0,0.882307634655815,0.117692365344185,,0.038361201506774564,0.03923078844806167,,33756.99,5.0,55.80769230769231,9.135809638531184,38.0,48.75,54.0,61.75,76.0,56.16,9.141903521696124,38.0,51.0,55.0,62.0,76.0,,,,1837.0,,,,,1440.0,,949.33,,25916.769999999997,3613.8900000000003,,,,,33756.99,,,,0.054418358982835854,,,,,0.04265783175573415,,0.028122471819910486,,0.7677452877167069,0.10705604972481257,,,,,1.0,,,,0.054418358982835854,,,,,0.04265783175573415,,0.028122471819910486,,0.03838726438583535,0.03568534990827086,,,,,,,,1.0,,,,,1.0,,1.0,,20.0,3.0,,,,,,,,1.0,,,,,1.0,,1.0,,19.0,3.0,,,,
気仙沼市議会議員選挙（2006年04月30日投票）,気仙沼市議会議員選挙,宮城県,気仙沼市,20060430.0,2006.0,4.0,30.0,20060423.0,78.39,30.0,35.0,1.1666666666666667,54520.0,,,6437.0,その他,71.26,,,,気仙沼市議会議員選挙（2006年04月30日投票）,1.0,35.0,30.0,1.1666666666666667,0.0,0.0,0.0,0.08571428571428572,0.1,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.02857142857142857,,42120.9,5.0,56.8,7.6673705681003455,39.0,52.0,56.0,62.0,77.0,56.46666666666667,7.965481083330051,39.0,52.0,56.0,61.75,77.0,,,,1463.0,,,,,1074.0,,1050.11,,34062.3,4471.49,,,,,42120.9,,,,0.03473335090180884,,,,,0.02549803066886035,,0.024930853804168474,,0.8086793017243221,0.10615846290084019,,,,,1.0,,,,0.03473335090180884,,,,,0.02549803066886035,,0.024930853804168474,,0.028881403633011504,0.026539615725210047,,,,,,,,1.0,,,,,1.0,,1.0,,28.0,4.0,,,,,,,,1.0,,,,,1.0,,1.0,,24.0,3.0,,,,
気仙沼市議会議員選挙（2010年04月25日投票）,気仙沼市議会議員選挙,宮城県,気仙沼市,20100425.0,2010.0,4.0,25.0,20100418.0,71.88,30.0,35.0,1.1666666666666667,61967.0,,,7447.0,任期満了,78.39,,,,気仙沼市議会議員選挙（2010年04月25日投票）,1.0,35.0,30.0,1.1666666666666667,0.0,0.0,0.0,0.05714285714285714,0.03333333333333333,0.8285714285714286,0.17142857142857143,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7662678944405422,0.2337321055594578,,0.026423030842777317,0.0389553509265763,,44176.43,5.0,,,,,,,,,,,,,,,,,,1878.41,,,,,2238.0,,1025.0,,35760.0,3275.02,,,,,44176.42999999999,,,,0.04252063826796326,,,,,0.05066049927529229,,0.023202418122061925,,0.8094814361413996,0.07413500819328317,,,,,1.0,,,,0.04252063826796326,,,,,0.05066049927529229,,0.023202418122061925,,0.02698271453804665,0.037067504096641585,,,,,,,,1.0,,,,,1.0,,1.0,,30.0,2.0,,,,,,,,1.0,,,,,1.0,,1.0,,25.0,2.0,,,,
気仙沼市議会議員選挙（2014年04月13日投票）,気仙沼市議会議員選挙,宮城県,気仙沼市,20140413.0,2014.0,4.0,13.0,20140406.0,,24.0,26.0,1.0833333333333333,,,,,任期満了,71.88,,,,気仙沼市議会議員選挙（2014年04月13日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.15384615384615385,0.038461538461538464,0.8333333333333334,0.16666666666666666,0.0,0.7799604243926784,0.19622058331519643,0.023818992292125172,0.037140972590127545,0.04905514582879911,0.023818992292125172,32704.994,5.0,58.19230769230769,7.529527673250728,39.0,51.75,59.5,64.75,68.0,57.916666666666664,7.761640004248816,39.0,51.0,58.5,65.0,68.0,,2219.0,,1636.884,,,,,1810.0,,,,24589.498,2449.612,,,,,32704.994,,0.06784896520696503,,0.05004997096162134,,,,,0.05534322984434732,,,,0.75185759092327,0.07490024306379632,,,,,1.0,,0.06784896520696503,,0.05004997096162134,,,,,0.05534322984434732,,,,0.03580274242491762,0.03745012153189816,,,,,,1.0,,1.0,,,,,1.0,,,,21.0,2.0,,,,,,1.0,,1.0,,,,,1.0,,,,19.0,2.0,,,,
気仙沼市議会議員選挙（2018年04月22日投票）,気仙沼市議会議員選挙,宮城県,気仙沼市,20180422.0,2018.0,4.0,22.0,20180415.0,61.31,24.0,24.0,1.0,,,,,任期満了,,,,,気仙沼市議会議員選挙（2018年04月22日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.037037037037037035,0.041666666666666664,0.7407407407407407,0.2222222222222222,0.037037037037037035,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.7520775185382478,0.21523634886444099,0.03268613259731127,0.03760387592691239,0.035872724810740164,0.03268613259731127,33527.98,4.0,58.81481481481482,9.50647746826317,37.0,53.5,60.0,66.5,72.0,58.333333333333336,9.445751543536502,37.0,53.75,60.0,66.0,72.0,,,,1663.29,,,,,1791.0,,,,27578.52,2495.17,,,,,33527.98,,,,0.04960901312873605,,,,,0.05341807051901128,,,,0.822552387587919,0.07442052876433354,,,,,1.0,,,,0.04960901312873605,,,,,0.05341807051901128,,,,0.03576314728643126,0.03721026438216677,,,,,,,,1.0,,,,,1.0,,,,23.0,2.0,,,,,,,,1.0,,,,,1.0,,,,20.0,2.0,,,,
涌谷町議会議員補欠選挙（2019年05月26日投票）,涌谷町議会議員補欠選挙,宮城県,涌谷町,20190526.0,2019.0,5.0,26.0,20190521.0,無投票,1.0,1.0,1.0,,,,,辞職/遠藤釈雄氏の町長選出馬による辞職のため,,,,,涌谷町議会議員補欠選挙（2019年05月26日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,83.0,0.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,83.0,83.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
涌谷町議会議員選挙（1999年12月19日投票）,涌谷町議会議員選挙,宮城県,涌谷町,19991219.0,1999.0,12.0,19.0,19991214.0,81.77,21.0,24.0,1.1428571428571428,15533.0,,,,任期満了,,,,,涌谷町議会議員選挙（1999年12月19日投票）,1.0,24.0,21.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0,0.8095238095238095,0.19047619047619047,0.0,0.7954727885695938,0.20452721143040617,,0.041866988872083885,0.040905442286081235,,12458.0,3.0,58.0,7.836878630339164,41.0,50.75,59.0,63.5,71.0,56.61904761904762,7.3838703909341055,41.0,50.0,59.0,61.0,71.0,,,,600.0,,,,,499.0,,,,11359.0,,,,,,12458.0,,,,0.04816182372772516,,,,,0.040054583400224754,,,,0.9117835928720501,,,,,,1.0,,,,0.04816182372772516,,,,,0.040054583400224754,,,,0.04144470876691137,,,,,,,,,1.0,,,,,1.0,,,,22.0,,,,,,,,,1.0,,,,,1.0,,,,19.0,,,,,
涌谷町議会議員選挙（2003年12月14日投票）,涌谷町議会議員選挙,宮城県,涌谷町,20031214.0,2003.0,12.0,14.0,20031209.0,72.61,19.0,20.0,1.0526315789473684,15544.0,,,11.0,任期満了,81.77,,,,涌谷町議会議員選挙（2003年12月14日投票）,1.0,20.0,19.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.86976034467283,0.08616820752176645,0.044071447805403466,0.04832001914849056,0.08616820752176645,0.044071447805403466,11141.0,2.0,59.6,7.644605941446556,45.0,53.5,62.0,64.25,75.0,60.36842105263158,7.05027454721699,49.0,54.0,63.0,64.5,75.0,,,,,,,,,439.0,,,,10702.0,,,,,,11141.0,,,,,,,,,0.039404003231307785,,,,0.9605959967686922,,,,,,1.0,,,,,,,,,0.039404003231307785,,,,0.05055768404045748,,,,,,,,,,,,,,1.0,,,,19.0,,,,,,,,,,,,,,1.0,,,,18.0,,,,,
涌谷町議会議員選挙（2007年12月16日投票）,涌谷町議会議員選挙,宮城県,涌谷町,20071216.0,2007.0,12.0,16.0,20071211.0,69.2,15.0,17.0,1.1333333333333333,15087.0,,,-457.0,任期満了,72.61,,,,涌谷町議会議員選挙（2007年12月16日投票）,1.0,17.0,15.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.35294117647058826,0.058823529411764705,0.6,0.3333333333333333,0.06666666666666667,0.6018348623853211,0.3504587155963303,0.047706422018348627,0.06018348623853211,0.05840978593272172,0.047706422018348627,10355.0,2.0,60.64705882352941,9.342761756131528,38.0,54.0,59.0,67.0,74.0,60.53333333333333,9.315697624022702,38.0,55.0,59.0,67.0,74.0,,,,,,,,,767.0,,,,9588.0,,,,,,10355.0,,,,,,,,,0.07407049734427813,,,,0.9259295026557218,,,,,,1.0,,,,,,,,,0.07407049734427813,,,,0.057870593915982614,,,,,,,,,,,,,,1.0,,,,16.0,,,,,,,,,,,,,,1.0,,,,14.0,,,,,
涌谷町議会議員選挙（2011年12月18日投票）,涌谷町議会議員選挙,宮城県,涌谷町,20111218.0,2011.0,12.0,18.0,20111213.0,62.08,15.0,16.0,1.0666666666666669,14833.0,,,-254.0,任期満了,69.2,,,,涌谷町議会議員選挙（2011年12月18日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.75,0.1875,0.0625,0.7333333333333333,0.2,0.06666666666666667,0.7423346473937801,0.21003066141042487,0.047634691195795005,0.06186122061614834,0.07001022047014162,0.047634691195795005,9132.0,2.0,,,,,,,,,,,,,,,,,,,,,,,577.0,,,,8555.0,,,,,,9132.0,,,,,,,,,0.0631844064826982,,,,0.9368155935173018,,,,,,1.0,,,,,,,,,0.0631844064826982,,,,0.06245437290115345,,,,,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,,,,,1.0,,,,14.0,,,,,
涌谷町議会議員選挙（2015年12月13日投票）,涌谷町議会議員選挙,宮城県,涌谷町,20151213.0,2015.0,12.0,13.0,20151208.0,65.61,13.0,21.0,1.6153846153846154,,,,,任期満了,62.08,,,,涌谷町議会議員選挙（2015年12月13日投票）,1.0,21.0,13.0,1.6153846153846154,0.0,0.0,0.0,0.09523809523809523,0.07692307692307693,0.5714285714285714,0.42857142857142855,0.0,0.6923076923076923,0.3076923076923077,0.0,0.6281499030799053,0.37185009692009474,,0.05234582525665877,0.04131667743556608,,9286.0,2.0,64.14285714285714,7.099870651308102,46.0,61.0,64.0,67.0,82.0,60.92307692307692,5.045356409786642,46.0,60.0,62.0,64.0,67.0,,,,,,,,,564.0,,,,8722.0,,,,,,9286.0,,,,,,,,,0.06073659272022399,,,,0.939263407279776,,,,,,1.0,,,,,,,,,0.06073659272022399,,,,0.046963170363988796,,,,,,,,,,,,,,1.0,,,,20.0,,,,,,,,,,,,,,1.0,,,,12.0,,,,,
涌谷町議会議員選挙（2019年12月15日投票）,涌谷町議会議員選挙,宮城県,涌谷町,20191215.0,2019.0,12.0,15.0,20191210.0,54.91,13.0,14.0,1.0769230769230769,,,,,任期満了,65.61,,,,涌谷町議会議員選挙（2019年12月15日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.07142857142857142,0.07692307692307693,0.7857142857142857,0.21428571428571427,0.0,0.8461538461538461,0.15384615384615385,0.0,0.80397118922857,0.19602881077143,,0.07308828992987,0.06534293692381,,7503.999,2.0,65.78571428571429,7.153206787653967,50.0,63.25,66.0,68.5,83.0,66.0,7.379806126283973,50.0,64.0,66.0,69.0,83.0,,,,,,,,,532.0,,,,6971.999,,,,,,7503.999,,,,,,,,,0.07089553183575852,,,,0.9291044681642415,,,,,,1.0,,,,,,,,,0.07089553183575852,,,,0.07146957447417243,,,,,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,,,,,1.0,,,,12.0,,,,,
登米市議会議員補欠選挙（2008年05月18日投票）,登米市議会議員補欠選挙,宮城県,登米市,20080518.0,2008.0,5.0,18.0,20080511.0,無投票,1.0,1.0,1.0,3328.0,,,,その他,,,,,登米市議会議員補欠選挙（2008年05月18日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
