,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_ざおう民衆党,得票数_みんなの党,得票数_仙台市を福祉のまちにする会,得票数_公明党,得票数_国民民主党,得票数_地域政党富谷町民党 ,得票数_地域政党輝くまち ,得票数_幸福実現党,得票数_日本共産党,得票数_杜の市民・県民会議,得票数_民主党,得票数_清き碧の女川をつくる会,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_ざおう民衆党,得票率_みんなの党,得票率_仙台市を福祉のまちにする会,得票率_公明党,得票率_国民民主党,得票率_地域政党富谷町民党 ,得票率_地域政党輝くまち ,得票率_幸福実現党,得票率_日本共産党,得票率_杜の市民・県民会議,得票率_民主党,得票率_清き碧の女川をつくる会,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_ざおう民衆党,一人あたり得票率_みんなの党,一人あたり得票率_仙台市を福祉のまちにする会,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党富谷町民党 ,一人あたり得票率_地域政党輝くまち ,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_杜の市民・県民会議,一人あたり得票率_民主党,一人あたり得票率_清き碧の女川をつくる会,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_ざおう民衆党,立候補者数_みんなの党,立候補者数_仙台市を福祉のまちにする会,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党富谷町民党 ,立候補者数_地域政党輝くまち ,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_杜の市民・県民会議,立候補者数_民主党,立候補者数_清き碧の女川をつくる会,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由民主党,当選者数_ざおう民衆党,当選者数_みんなの党,当選者数_仙台市を福祉のまちにする会,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党富谷町民党 ,当選者数_地域政党輝くまち ,当選者数_幸福実現党,当選者数_日本共産党,当選者数_杜の市民・県民会議,当選者数_民主党,当選者数_清き碧の女川をつくる会,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由民主党
東松島市議会議員選挙（2005年04月29日投票）,東松島市議会議員選挙,宮城県,東松島市,20050429.0,2005.0,4.0,29.0,20050422.0,75.12,26.0,31.0,1.1923076923076923,34167.0,,,,その他,,,,,東松島市議会議員選挙（2005年04月29日投票）,1.0,31.0,26.0,1.1923076923076923,0.0,0.0,0.0,0.06451612903225806,0.07692307692307693,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.03225806451612903,,25329.0,3.0,60.03225806451613,8.767549666766033,31.0,55.5,62.0,64.5,78.0,59.30769230769231,8.782715677656666,31.0,55.25,61.0,64.0,78.0,,,,1428.0,,,,,1016.0,,,,22885.0,,,,,,25329.0,,,,0.056378064668956535,,,,,0.040112124442338824,,,,0.9035098108887046,,,,,,1.0,,,,0.056378064668956535,,,,,0.040112124442338824,,,,0.03115551072030016,,,,,,,,,1.0,,,,,1.0,,,,29.0,,,,,,,,,1.0,,,,,1.0,,,,24.0,,,,,
東松島市議会議員選挙（2009年04月19日投票）,東松島市議会議員選挙,宮城県,東松島市,20090419.0,2009.0,4.0,19.0,20090412.0,67.1,22.0,25.0,1.1363636363636365,34430.0,,,263.0,任期満了,75.12,,,,東松島市議会議員選挙（2009年04月19日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.09090909090909091,0.84,0.16,0.0,0.8636363636363636,0.13636363636363635,0.0,0.8599693644766825,0.14003063552331754,,0.04095092211793726,0.035007658880829386,,22894.989999999998,3.0,60.08,10.676778540365065,35.0,54.0,62.0,68.0,82.0,59.31818181818182,10.069695145861097,35.0,54.25,61.5,67.5,72.0,,,,1575.42,,,,,1153.0,,,,20166.57,,,,,,22894.989999999998,,,,0.06881068740366343,,,,,0.05036036268196667,,,,0.88082894991437,,,,,,1.0,,,,0.06881068740366343,,,,,0.05036036268196667,,,,0.03829691086584217,,,,,,,,,1.0,,,,,1.0,,,,23.0,,,,,,,,,1.0,,,,,1.0,,,,20.0,,,,,
東松島市議会議員選挙（2013年04月21日投票）,東松島市議会議員選挙,宮城県,東松島市,20130421.0,2013.0,4.0,21.0,20130414.0,53.95,18.0,19.0,1.0555555555555556,32142.0,,,-2288.0,任期満了,67.1,,,,東松島市議会議員選挙（2013年04月21日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05263157894736842,,,17204.98,4.0,60.526315789473685,10.419457613182589,39.0,56.5,62.0,69.5,75.0,61.333333333333336,10.110500592068734,39.0,57.25,62.5,69.75,75.0,,,,1398.66,,,,,1005.0,,,,13712.32,,,,,1089.0,17204.98,,,,0.08129390443929607,,,,,0.058413319864364856,,,,0.7969971485000273,,,,,0.06329562719631177,1.0,,,,0.08129390443929607,,,,,0.058413319864364856,,,,0.04981232178125171,,,,,0.06329562719631177,,,,1.0,,,,,1.0,,,,16.0,,,,,1.0,,,,1.0,,,,,1.0,,,,15.0,,,,,1.0
東松島市議会議員選挙（2017年04月23日投票）,東松島市議会議員選挙,宮城県,東松島市,20170423.0,2017.0,4.0,23.0,20170416.0,62.64,18.0,20.0,1.1111111111111112,33060.0,,,918.0,任期満了,53.95,,,,東松島市議会議員選挙（2017年04月23日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.15,0.1111111111111111,0.65,0.35,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6913051523007621,0.3086948476992379,,0.05317731940775093,0.044099263957033986,,20412.997,3.0,60.9,12.477579893553076,32.0,57.75,61.5,68.5,79.0,62.166666666666664,12.20314167199032,32.0,60.25,62.5,71.5,79.0,,,,1811.0,,,,,1319.0,,,,17282.997,,,,,,20412.997,,,,0.08871798687865383,,,,,0.06461569557865511,,,,0.8466663175426911,,,,,,1.0,,,,0.08871798687865383,,,,,0.06461569557865511,,,,0.047037017641260614,,,,,,,,,1.0,,,,,1.0,,,,18.0,,,,,,,,,1.0,,,,,1.0,,,,16.0,,,,,
東松島市議会議員選挙（2021年04月25日投票）,東松島市議会議員選挙,宮城県,東松島市,20210425.0,2021.0,4.0,25.0,20210418.0,53.03,18.0,19.0,1.0555555555555556,32885.0,15986.0,16899.0,-175.0,任期満了,62.64,,,,東松島市議会議員選挙（2021年04月25日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.15789473684210525,0.16666666666666666,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.6311169708194121,0.29590973098931384,0.07297329819127411,0.04854745929380093,0.05918194619786277,0.07297329819127411,17293.997,4.0,61.05263157894737,10.440173845147287,36.0,58.5,65.0,67.0,78.0,61.94444444444444,9.997067471248322,36.0,60.25,65.0,67.0,78.0,,,,1567.0,,,,,925.0,,,,11286.997,,,,,3515.0,17293.997,,,,0.09060947564637603,,,,,0.053486767691702505,,,,0.6526540394334519,,,,,0.20324971722846952,1.0,,,,0.09060947564637603,,,,,0.053486767691702505,,,,0.046618145673817994,,,,,0.06774990574282318,,,,1.0,,,,,1.0,,,,14.0,,,,,3.0,,,,1.0,,,,,1.0,,,,13.0,,,,,3.0
松島町議会議員補欠選挙（2007年01月14日投票）,松島町議会議員補欠選挙,宮城県,松島町,20070114.0,2007.0,1.0,14.0,20070109.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,松島町議会議員補欠選挙（2007年01月14日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
松島町議会議員選挙（2001年12月09日投票）,松島町議会議員選挙,宮城県,松島町,20011209.0,2001.0,12.0,9.0,20011204.0,77.44,20.0,23.0,1.15,13726.0,,,,任期満了,,,,,松島町議会議員選挙（2001年12月09日投票）,1.0,23.0,20.0,1.15,0.0,0.0,0.0,0.043478260869565216,0.05,0.9565217391304348,0.043478260869565216,0.0,1.0,0.0,0.0,0.967059046895766,0.03294095310423391,,0.043957229404353,0.03294095310423391,,10534.0,3.0,56.47826086956522,7.082553980625126,46.0,52.0,55.0,61.5,73.0,56.1,6.876772498781676,46.0,52.0,55.5,61.25,73.0,,,,568.0,,,,,903.0,,,,9063.0,,,,,,10534.0,,,,0.05392063793430796,,,,,0.08572242263147901,,,,0.860356939434213,,,,,,1.0,,,,0.05392063793430796,,,,,0.04286121131573951,,,,0.04301784697171065,,,,,,,,,1.0,,,,,2.0,,,,20.0,,,,,,,,,1.0,,,,,2.0,,,,17.0,,,,,
松島町議会議員選挙（2005年12月04日投票）,松島町議会議員選挙,宮城県,松島町,20051204.0,2005.0,12.0,4.0,20051129.0,75.42,18.0,20.0,1.1111111111111112,13608.0,,,-118.0,任期満了,77.44,,,,松島町議会議員選挙（2005年12月04日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.05,0.05555555555555555,0.9,0.1,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8858855907214468,0.11411440927855318,,0.04921586615119149,0.05705720463927659,,10174.0,3.0,58.55,5.962172422867356,50.0,55.0,57.5,62.0,69.0,58.833333333333336,6.075908711186061,50.0,56.0,57.5,64.0,69.0,,,,622.0,,,,,957.0,,,,8595.0,,,,,,10174.0,,,,0.06113622960487517,,,,,0.09406329860428543,,,,0.8448004717908394,,,,,,1.0,,,,0.06113622960487517,,,,,0.047031649302142715,,,,0.04969414539946114,,,,,,,,,1.0,,,,,2.0,,,,17.0,,,,,,,,,1.0,,,,,2.0,,,,15.0,,,,,
松島町議会議員選挙（2009年11月29日投票）,松島町議会議員選挙,宮城県,松島町,20091129.0,2009.0,11.0,29.0,20091124.0,68.15,18.0,19.0,1.0555555555555556,13176.0,,,-432.0,任期満了,75.42,,,,松島町議会議員選挙（2009年11月29日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.21052631578947367,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8804860235044153,0.1195139764955846,,0.05869906823362769,0.02987849412389615,,8885.99,3.0,60.89473684210526,5.40851898049058,50.0,58.0,61.0,64.0,73.0,61.5,4.890466917040404,54.0,60.0,61.0,64.0,73.0,,,,666.0,,,,,608.0,,,,7611.99,,,,,,8885.99,,,,0.07494944288706154,,,,,0.06842231422722736,,,,0.856628242885711,,,,,,1.0,,,,0.07494944288706154,,,,,0.06842231422722736,,,,0.05038989664033594,,,,,,,,,1.0,,,,,1.0,,,,17.0,,,,,,,,,1.0,,,,,1.0,,,,16.0,,,,,
松島町議会議員選挙（2013年12月01日投票）,松島町議会議員選挙,宮城県,松島町,20131201.0,2013.0,12.0,1.0,20131126.0,,14.0,17.0,1.2142857142857142,,,,,任期満了,68.15,,,,松島町議会議員選挙（2013年12月01日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.7912059074819968,0.15692054192603444,0.051873550591968756,0.06086199288323053,0.05230684730867815,0.051873550591968756,8193.0,3.0,62.1764705882353,5.533165184143457,48.0,58.0,64.0,66.0,70.0,62.0,5.3718844791323335,48.0,58.25,64.0,65.75,69.0,,,,589.0,,,,,608.0,,,,6996.0,,,,,,8193.0,,,,0.07189063834981081,,,,,0.07420969119980471,,,,0.8538996704503845,,,,,,1.0,,,,0.07189063834981081,,,,,0.07420969119980471,,,,0.0569266446966923,,,,,,,,,1.0,,,,,1.0,,,,15.0,,,,,,,,,1.0,,,,,1.0,,,,12.0,,,,,
