,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_たちあがれ日本,得票数_みんなの党,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_たちあがれ日本,得票率_みんなの党,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
小松島市議会議員選挙（2003年04月27日投票）,小松島市議会議員選挙,徳島県,小松島市,20030427.0,2003.0,4.0,27.0,20030420.0,70.17,21.0,25.0,1.1904761904761905,34744.0,,,,任期満了,,,,,小松島市議会議員選挙（2003年04月27日投票）,1.0,25.0,21.0,1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8540367506443834,0.14596324935561653,,0.04270183753221917,0.029192649871123307,,24054.0,3.0,57.88,9.961204746414964,31.0,54.0,58.0,64.0,74.0,57.38095238095238,8.914814799113572,31.0,54.0,58.0,63.0,74.0,,,2359.0,,1904.0,,,19791.0,,,,24054.0,,,0.09807100690113911,,0.07915523405670574,,,0.8227737590421551,,,,1.0,,,0.049035503450569555,,0.03957761702835287,,,0.03917970281153119,,,,,,2.0,,2.0,,,21.0,,,,,,2.0,,2.0,,,17.0,,,
小松島市議会議員選挙（2007年04月22日投票）,小松島市議会議員選挙,徳島県,小松島市,20070422.0,2007.0,4.0,22.0,20070415.0,65.86,19.0,20.0,1.0526315789473684,34643.0,,,-101.0,任期満了,70.17,,,,小松島市議会議員選挙（2007年04月22日投票）,1.0,20.0,19.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.7368421052631579,0.2631578947368421,0.0,0.6978921677390726,0.30210783226092747,,0.0498494405527909,0.05035130537682125,,22535.0,3.0,56.1,10.295144486601439,34.0,52.0,58.5,63.5,70.0,55.89473684210526,10.52263093398477,34.0,51.0,58.0,64.0,70.0,,,1866.0,,2204.0,,,18465.0,,,,22535.0,,,0.082804526292434,,0.09780341690703351,,,0.8193920568005325,,,,1.0,,,0.082804526292434,,0.048901708453516754,,,0.0481995327529725,,,,,,1.0,,2.0,,,17.0,,,,,,1.0,,2.0,,,16.0,,,
小松島市議会議員選挙（2011年04月24日投票）,小松島市議会議員選挙,徳島県,小松島市,20110424.0,2011.0,4.0,24.0,20110417.0,59.4,17.0,20.0,1.1764705882352942,33847.0,,,-796.0,任期満了,65.86,,,,小松島市議会議員選挙（2011年04月24日投票）,1.0,20.0,17.0,1.1764705882352942,0.0,0.0,0.0,0.05,0.058823529411764705,0.65,0.3,0.05,0.7647058823529411,0.23529411764705882,0.0,0.7491564687515737,0.21992244548521933,0.03092108576320693,0.057627420673197975,0.036653740914203224,0.03092108576320693,19857.0,3.0,,,,,,,,,,,,,,,,,1803.0,,1716.0,,,16338.0,,,,19857.0,,,0.09079921438283729,,0.08641788789847409,,,0.8227828977186886,,,,1.0,,,0.09079921438283729,,0.04320894394923704,,,0.04839899398345227,,,,,,1.0,,2.0,,,17.0,,,,,,1.0,,2.0,,,14.0,,,
小松島市議会議員選挙（2015年04月26日投票）,小松島市議会議員選挙,徳島県,小松島市,20150426.0,2015.0,4.0,26.0,20150419.0,57.22,17.0,20.0,1.1764705882352942,32982.0,,,-865.0,任期満了,59.4,,,,小松島市議会議員選挙（2015年04月26日投票）,1.0,20.0,17.0,1.1764705882352942,0.0,0.0,0.0,0.05,0.058823529411764705,0.7,0.15,0.15,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.6947532355942215,0.15944363890231458,0.14580312550346383,0.049625231113872965,0.05314787963410486,0.04860104183448794,18621.0,3.0,60.8,12.12270596855339,27.0,56.25,63.5,70.0,76.0,60.0,12.774054586866118,27.0,54.0,64.0,70.0,76.0,,,1558.0,,1171.0,,,15892.0,,,,18621.0,,,0.0836689758874389,,0.06288598893722142,,,0.8534450351753397,,,,1.0,,,0.0836689758874389,,0.03144299446861071,,,0.05020264912796116,,,,,,1.0,,2.0,,,17.0,,,,,,1.0,,1.0,,,15.0,,,
小松島市議会議員選挙（2019年04月21日投票）,小松島市議会議員選挙,徳島県,小松島市,20190421.0,2019.0,4.0,21.0,20190414.0,56.26,17.0,19.0,1.1176470588235294,32264.0,,,-718.0,任期満了,57.22,,,,小松島市議会議員選挙（2019年04月21日投票）,1.0,19.0,17.0,1.1176470588235294,0.0,0.0,0.0,0.05263157894736842,0.058823529411764705,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.6422360940809274,0.31785754096533275,0.03990636495373983,0.04940277646776365,0.06357150819306655,0.03990636495373983,17942.0,3.0,58.21052631578947,13.252920025287859,31.0,48.5,61.0,70.0,77.0,57.294117647058826,13.718877959102464,31.0,48.0,58.0,71.0,77.0,,,1525.0,,716.0,,,15701.0,,,,17942.0,,,0.08499609853973916,,0.03990636495373983,,,0.875097536506521,,,,1.0,,,0.08499609853973916,,0.03990636495373983,,,0.05147632567685417,,,,,,1.0,,1.0,,,17.0,,,,,,1.0,,1.0,,,15.0,,,
徳島市議会議員選挙（2007年04月22日投票）,徳島市議会議員選挙,徳島県,徳島市,20070422.0,2007.0,4.0,22.0,20070415.0,49.23,34.0,41.0,1.2058823529411764,208991.0,,,,任期満了,,,,,徳島市議会議員選挙（2007年04月22日投票）,1.0,41.0,34.0,1.2058823529411764,0.0,0.0,0.0,0.0975609756097561,0.11764705882352941,0.6585365853658537,0.2926829268292683,0.04878048780487805,0.7941176470588235,0.17647058823529413,0.029411764705882353,0.7599968528717544,0.20174586939417785,0.03825727773406767,0.028148031587842758,0.016812155782848153,0.019128638867033834,101680.0,5.0,57.65853658536585,8.403279720058089,38.0,54.0,58.0,62.0,77.0,57.55882352941177,8.363756461383167,38.0,52.75,59.0,63.5,75.0,,,15378.42,,13690.43,,3503.0,55377.15,,,13731.0,101680.0,,,0.15124331235247837,,0.1346423092053501,,0.034451219512195125,0.5446218528717546,,,0.13504130605822187,1.0,,,0.030248662470495673,,0.026928461841070023,,0.034451219512195125,0.02094699434122133,,,0.03376032651455547,,,5.0,,5.0,,1.0,26.0,,,4.0,,,5.0,,5.0,,1.0,19.0,,,4.0
徳島市議会議員選挙（2011年04月24日投票）,徳島市議会議員選挙,徳島県,徳島市,20110424.0,2011.0,4.0,24.0,20110417.0,44.95,34.0,38.0,1.1176470588235294,208734.0,,,-257.0,任期満了,49.23,,,,徳島市議会議員選挙（2011年04月24日投票）,1.0,38.0,34.0,1.1176470588235294,0.0,0.0,0.0,0.07894736842105263,0.08823529411764706,0.631578947368421,0.3684210526315789,0.0,0.6470588235294118,0.35294117647058826,0.0,0.6494307423428213,0.35056925765717867,,0.02705961426428422,0.02504066126122705,,92617.99,8.0,,,,,,,,,,,,,,,2867.0,6180.0,13840.65,795.0,10690.0,,4844.0,38758.34,,,14643.0,92617.98999999999,0.030955109261170538,0.06672569767493336,0.14943803034378095,0.008583645574688029,0.11542034112379249,,0.052300854294073974,0.4184752875764201,,,0.15810103415114063,1.0,0.030955109261170538,0.03336284883746668,0.02988760606875619,0.008583645574688029,0.023084068224758496,,0.026150427147036987,0.026154705473526257,,,0.026350172358523438,1.0,2.0,5.0,1.0,5.0,,2.0,16.0,,,6.0,1.0,2.0,5.0,0.0,5.0,,2.0,14.0,,,5.0
徳島市議会議員選挙（2015年04月26日投票）,徳島市議会議員選挙,徳島県,徳島市,20150426.0,2015.0,4.0,26.0,20150419.0,39.92,30.0,37.0,1.2333333333333334,,,,,任期満了,44.95,,,,徳島市議会議員選挙（2015年04月26日投票）,1.0,37.0,30.0,1.2333333333333334,0.0,0.0,0.0,0.10810810810810811,0.13333333333333333,0.7297297297297297,0.24324324324324326,0.02702702702702703,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.7921057135173459,0.17441263477006577,0.033481651712588316,0.02933724864879059,0.019379181641118418,0.033481651712588316,81806.0,7.0,57.54054054054054,10.960850713172979,37.0,48.0,59.0,68.0,76.0,57.1,10.261091559868278,37.0,48.25,58.0,65.0,76.0,,,13112.0,671.0,11257.0,,2112.0,32285.0,,5754.0,16615.0,81806.0,,,0.16028164193335454,0.008202332347260591,0.13760604356648656,,0.025817177224164486,0.39465320392147274,,0.07033713908515268,0.2031024619221084,1.0,,,0.032056328386670906,0.008202332347260591,0.027521208713297312,,0.025817177224164486,0.024665825245092046,,0.03516856954257634,0.029014637417444058,,,5.0,1.0,5.0,,1.0,16.0,,2.0,7.0,,,5.0,0.0,5.0,,1.0,11.0,,2.0,6.0
徳島市議会議員選挙（2019年04月21日投票）,徳島市議会議員選挙,徳島県,徳島市,20190421.0,2019.0,4.0,21.0,20190414.0,41.86,30.0,40.0,1.3333333333333333,210604.0,,,,任期満了,39.92,,,,徳島市議会議員選挙（2019年04月21日投票）,1.0,40.0,30.0,1.3333333333333333,0.0,0.0,0.0,0.175,0.2,,,,,,,,,,,,,86952.999,7.0,58.725,10.742410111329766,36.0,51.75,59.5,68.25,76.0,58.5,10.445892334629276,37.0,51.25,59.5,67.0,76.0,,,12275.0,784.0,10146.0,5855.0,,36019.998999999996,2517.0,,19356.0,86952.999,,,0.14116821893630144,0.009016365266481493,0.11668372703280769,0.06733522785108309,,0.4142467702580333,0.02894667267313,,0.222603017982163,1.0,,,0.028233643787260287,0.009016365266481493,0.023336745406561537,0.033667613925541545,,0.02436745707400196,0.02894667267313,,0.02473366866468478,,,5.0,1.0,5.0,2.0,,17.0,1.0,,9.0,,,5.0,0.0,5.0,2.0,,11.0,1.0,,6.0
東みよし町議会議員補欠選挙（2013年03月31日投票）,東みよし町議会議員補欠選挙,徳島県,東みよし町,20130331.0,2013.0,3.0,31.0,20130326.0,40.6,3.0,4.0,1.3333333333333333,12585.0,,,,その他,,,,,東みよし町議会議員補欠選挙（2013年03月31日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,4954.0,1.0,60.75,4.656984002549289,54.0,58.5,61.0,63.25,67.0,61.0,5.354126134736337,54.0,58.0,62.0,64.5,67.0,,,,,,,,4954.0,,,,4954.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.25,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,
