,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_政策チーム光,得票数_日本から世界平和党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_政策チーム光,得票率_日本から世界平和党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_政策チーム光,一人あたり得票率_日本から世界平和党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_政策チーム光,立候補者数_日本から世界平和党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_政策チーム光,当選者数_日本から世界平和党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_自由党,当選者数_自由民主党
南砺市議会議員選挙（2008年11月16日投票）,南砺市議会議員選挙,富山県,南砺市,20081116.0,2008.0,11.0,16.0,20081109.0,85.75,0.0,35.0,,47558.0,,,,任期満了,,,,,南砺市議会議員選挙（2008年11月16日投票）,8.0,35.0,30.0,1.1666666666666667,0.2857142857142857,0.5,0.5,0.05714285714285714,0.06666666666666667,0.6285714285714286,0.37142857142857144,0.0,0.6333333333333333,0.36666666666666664,0.0,0.6246844220033425,0.37531557799665755,,0.04164562813355617,0.03753155779966576,,28123.0,3.0,58.77142857142857,6.024169008659863,43.0,54.5,60.0,63.5,70.0,58.56666666666667,6.227269778071999,43.0,54.25,59.5,63.0,70.0,,,,,,,1422.0,,,,,,,,1422.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,28.0,,,5.0,,,,,,,1.0,,,,24.0,,,5.0
南砺市議会議員選挙（2012年10月28日投票）,南砺市議会議員選挙,富山県,南砺市,20121028.0,2012.0,10.0,28.0,20121021.0,81.63,24.0,25.0,1.0416666666666667,45713.0,,,-1845.0,任期満了,85.75,,,,南砺市議会議員選挙（2012年10月28日投票）,1.0,25.0,24.0,1.0416666666666667,0.0,0.0,0.0,0.08,0.08333333333333333,0.84,0.16,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8174045221356641,0.18259547786433594,,0.03892402486360305,0.045648869466083986,,36841.0,3.0,60.28,5.820790324345999,50.0,54.0,61.0,64.0,70.0,60.375,5.921799416843949,50.0,54.0,62.0,64.25,70.0,,,,,,,1120.0,,,,30163.0,,,5558.0,36841.0,,,,,,,0.03040091202736082,,,,0.8187345620368611,,,0.15086452593577807,1.0,,,,,,,0.03040091202736082,,,,0.04093672810184305,,,0.037716131483944516,,,,,,,1.0,,,,20.0,,,4.0,,,,,,,1.0,,,,19.0,,,4.0
南砺市議会議員選挙（2016年11月13日投票）,南砺市議会議員選挙,富山県,南砺市,20161113.0,2016.0,11.0,13.0,20161106.0,76.81,20.0,26.0,1.3,44823.0,,,-890.0,任期満了,81.63,,,,南砺市議会議員選挙（2016年11月13日投票）,1.0,26.0,20.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.05,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.6,0.3,0.1,0.5845616848030092,0.3327455514975714,0.08269276369941932,0.036535105300188074,0.041593193937196425,0.04134638184970966,34112.997,3.0,59.30769230769231,8.374729528441872,37.0,56.0,60.5,64.75,74.0,60.25,7.4355564687520195,44.0,57.5,60.5,65.5,74.0,,,,,,,959.1,,,,32088.897,,,1065.0,34112.997,,,,,,,0.028115383705512594,,,,0.9406648439596204,,,0.031219772334866967,1.0,,,,,,,0.028115383705512594,,,,0.03919436849831751,,,0.031219772334866967,,,,,,,1.0,,,,24.0,,,1.0,,,,,,,0.0,,,,19.0,,,1.0
南砺市議会議員選挙（2020年11月15日投票）,南砺市議会議員選挙,富山県,南砺市,20201115.0,2020.0,11.0,15.0,20201108.0,無投票,18.0,18.0,1.0,,,,,任期満了,76.81,,,,南砺市議会議員選挙（2020年11月15日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.05555555555555555,,,,,,,0.0,2.0,64.11111111111111,5.98970309864158,50.0,62.0,63.5,66.75,75.0,64.11111111111111,5.98970309864158,50.0,62.0,63.5,66.75,75.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,17.0,,,,,,,,,,1.0,,,,17.0,,,
富山市議会議員補欠選挙（2002年01月20日投票）,富山市議会議員補欠選挙,富山県,富山市,20020120.0,2002.0,1.0,20.0,20020113.0,39.33,2.0,3.0,1.5,259094.0,,,,その他,,,,,富山市議会議員補欠選挙（2002年01月20日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.3333333333333333,,,94870.0,2.0,,,,,,,,,,,,,,,,,,,,,23803.0,,,,,,,71067.0,94870.0,,,,,,,0.2509012332665753,,,,,,,0.7490987667334247,1.0,,,,,,,0.2509012332665753,,,,,,,0.37454938336671234,,,,,,,1.0,,,,,,,2.0,,,,,,,0.0,,,,,,,2.0
富山市議会議員補欠選挙（2011年07月03日投票）,富山市議会議員補欠選挙,富山県,富山市,20110703.0,2011.0,7.0,3.0,20110626.0,24.81,2.0,4.0,2.0,78805.0,,,-180289.0,その他,39.33,,,,富山市議会議員補欠選挙（2011年07月03日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,18992.0,3.0,59.0,4.415880433163924,52.0,57.25,60.0,61.75,64.0,55.5,3.5,52.0,53.75,55.5,57.25,59.0,,,,,,,1746.0,,,,1537.0,,,15709.0,18992.0,,,,,,,0.09193344566133109,,,,0.08092881213142376,,,0.8271377422072451,1.0,,,,,,,0.09193344566133109,,,,0.08092881213142376,,,0.41356887110362256,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,0.0,,,,0.0,,,2.0
富山市議会議員補欠選挙（2016年11月06日投票）,富山市議会議員補欠選挙,富山県,富山市,20161106.0,2016.0,11.0,6.0,20161030.0,26.94,13.0,25.0,1.9230769230769231,346888.0,,,268083.0,"任期満了/政務活動費不正受領による議員12人の辞職県議会議員選挙出馬による議員1名の辞職",24.81,,,,富山市議会議員補欠選挙（2016年11月06日投票）,1.0,25.0,13.0,1.9230769230769231,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.04,,89543.0,0.0,52.68,10.33719497736209,32.0,45.0,54.0,60.0,71.0,52.0,10.677078252031311,32.0,49.0,53.0,58.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富山市議会議員選挙（2003年04月27日投票）,富山市議会議員選挙,富山県,富山市,20030427.0,2003.0,4.0,27.0,20030420.0,54.93,40.0,42.0,1.05,257371.0,,,,任期満了,,,,,富山市議会議員選挙（2003年04月27日投票）,1.0,42.0,40.0,1.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.023809523809523808,,,139821.0,6.0,,,,,,,,,,,,,,,,13208.0,,,,,9942.0,,7201.75,,15121.0,9057.0,,85291.25,139821.0,,0.09446363564843621,,,,,0.07110519878988135,,0.05150692671344076,,0.10814541449424621,0.06477567747334091,,0.6100031468806546,1.0,,0.023615908912109053,,,,,0.017776299697470337,,0.02575346335672038,,0.021629082898849242,0.021591892491113637,,0.02541679778669394,,4.0,,,,,4.0,,2.0,,5.0,3.0,,24.0,,4.0,,,,,3.0,,2.0,,4.0,3.0,,24.0
富山市議会議員選挙（2005年04月24日投票）,富山市議会議員選挙,富山県,富山市,20050424.0,2005.0,4.0,24.0,20050417.0,61.11,0.0,69.0,,335858.0,,,78487.0,その他,54.93,,,,富山市議会議員選挙（2005年04月24日投票）,5.0,69.0,48.0,1.4375,0.014492753623188406,0.2,0.2,0.07246376811594203,0.08333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.014705882352941176,,201391.0,6.0,55.84057971014493,7.404705101146881,32.0,53.0,55.0,61.0,76.0,55.479166666666664,8.020779220596685,32.0,52.75,55.0,59.0,76.0,,15833.0,,,,,12446.0,,11702.34,,37394.0,11565.0,,,88940.34,,0.1780182086104011,,,,,0.13993650125466128,,0.13157516600453742,,0.4204391393151859,0.13003098481521433,,,1.0,,0.044504552152600275,,,,,0.027987300250932257,,0.032893791501134355,,0.023357729961954773,0.03250774620380358,,,,4.0,,,,,5.0,,4.0,,18.0,4.0,,34.0,,4.0,,,,,1.0,,3.0,,9.0,3.0,,28.0
富山市議会議員選挙（2009年04月19日投票）,富山市議会議員選挙,富山県,富山市,20090419.0,2009.0,4.0,19.0,20090412.0,58.1,0.0,51.0,,337402.0,,,1544.0,任期満了,61.11,,,,富山市議会議員選挙（2009年04月19日投票）,2.0,51.0,42.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.7647058823529411,0.23529411764705882,0.0,0.8809523809523809,0.11904761904761904,0.0,0.8257569862686815,0.1742430137313185,,0.021173256058171323,0.014520251144276542,,192771.0,6.0,56.431372549019606,7.6318602105235085,36.0,53.0,58.0,62.0,72.0,57.07142857142857,7.202489176676077,36.0,54.0,58.0,62.0,72.0,,15791.0,,,,,9179.0,,14850.0,,19957.0,14997.0,,117997.0,192771.0,,0.08191584833818365,,,,,0.04761608333203646,,0.0770344087025538,,0.10352698279305497,0.07779697153617504,,0.612109705297996,1.0,,0.020478962084545912,,,,,0.015872027777345487,,0.01925860217563845,,0.012940872849131872,0.02593232384539168,,0.021107231217172277,,4.0,,,,,3.0,,4.0,,8.0,3.0,,29.0,,4.0,,,,,2.0,,4.0,,3.0,3.0,,26.0
