,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_政策チーム光,得票数_日本から世界平和党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_政策チーム光,得票率_日本から世界平和党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_政策チーム光,一人あたり得票率_日本から世界平和党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_政策チーム光,立候補者数_日本から世界平和党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_政策チーム光,当選者数_日本から世界平和党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_自由党,当選者数_自由民主党
富山市議会議員選挙（2013年04月14日投票）,富山市議会議員選挙,富山県,富山市,20130414.0,2013.0,4.0,14.0,20130407.0,53.05,40.0,44.0,1.1,337893.0,,,491.0,任期満了,58.1,,,,富山市議会議員選挙（2013年04月14日投票）,1.0,44.0,40.0,1.1,0.0,0.0,0.0,0.045454545454545456,0.05,0.7727272727272727,0.22727272727272727,0.0,0.825,0.175,0.0,0.8054367496267487,0.19456325037325128,,0.023689316165492608,0.01945632503732513,,175839.99,6.0,57.59090909090909,7.843115631553403,40.0,51.0,59.5,63.0,76.0,58.125,7.616388579897956,43.0,51.0,60.0,63.0,76.0,,17175.0,,,,,8306.0,,10261.05,,12266.0,8799.0,,119032.94,175839.99,,0.09767402739274497,,,,,0.04723612643517553,,0.05835447329131445,,0.06975660087332808,0.05003981176295563,,0.6769389602444814,1.0,,0.024418506848186243,,,,,0.015745375478391842,,0.014588618322828612,,0.02325220029110936,0.025019905881477816,,0.024176391437302908,,4.0,,,,,3.0,,4.0,,3.0,2.0,,28.0,,4.0,,,,,2.0,,2.0,,2.0,2.0,,28.0
富山市議会議員選挙（2017年04月16日投票）,富山市議会議員選挙,富山県,富山市,20170416.0,2017.0,4.0,16.0,20170409.0,47.83,38.0,58.0,1.5263157894736843,344585.0,,,6692.0,任期満了,53.05,,,,富山市議会議員選挙（2017年04月16日投票）,1.0,58.0,38.0,1.5263157894736843,0.0,0.0,0.0,0.13793103448275862,0.10526315789473684,0.6206896551724138,0.3620689655172414,0.017241379310344827,0.8157894736842105,0.18421052631578946,0.0,0.7225963477824673,0.2686370555392873,0.008766596678245316,0.020072120771735202,0.012792240739966062,0.008766596678245316,161179.994,10.0,56.6551724137931,9.66606528395716,32.0,50.25,56.5,64.75,80.0,56.10526315789474,10.417064627670491,32.0,50.0,55.5,64.75,80.0,,15343.035,,982.0,7061.572,,11234.0,7635.0,,2524.0,20061.427,9644.999,1644.0,85049.961,161179.994,,0.09519193182250646,,0.006092567542842817,0.043811715243022034,,0.06969847635060714,0.04736940243340622,,0.015659511688528787,0.12446598676508201,0.05983992653579575,0.010199777026918117,0.5276707045912906,1.0,,0.023797982955626615,,0.006092567542842817,0.021905857621511017,,0.017424619087651784,0.015789800811135405,,0.015659511688528787,0.010372165563756834,0.019946642178598584,0.010199777026918117,0.01954335942930706,,4.0,,1.0,2.0,,4.0,3.0,,1.0,12.0,3.0,1.0,27.0,,4.0,,0.0,2.0,,2.0,2.0,,1.0,2.0,3.0,0.0,22.0
富山市議会議員選挙（2021年04月18日投票）,富山市議会議員選挙,富山県,富山市,20210418.0,2021.0,4.0,18.0,20210411.0,47.96,38.0,48.0,1.263157894736842,342796.0,165343.0,177453.0,-1789.0,任期満了,47.83,,,,富山市議会議員選挙（2021年04月18日投票）,1.0,48.0,38.0,1.263157894736842,0.0,0.0,0.0,0.10416666666666667,0.10526315789473684,0.6458333333333334,0.3125,0.041666666666666664,0.7105263157894737,0.23684210526315788,0.05263157894736842,0.6994846412714405,0.26224194052514455,0.03827341820341489,0.0225640206861755,0.017482796035009636,0.019136709101707446,160084.99599999998,7.0,55.5625,9.848659490001673,30.0,50.75,56.0,61.25,76.0,56.78947368421053,8.392220378474724,36.0,53.0,57.0,61.75,72.0,,15330.812,3167.0,,,467.0,9760.0,8537.0,,,30078.999,,,92744.185,160084.99599999998,,0.09576670133408381,0.019783240647986776,,,0.00291720031026518,0.06096761248006029,0.05332792087523306,,,0.18789392979714353,,,0.5793433945552274,1.0,,0.023941675333520953,0.019783240647986776,,,0.00291720031026518,0.02032253749335343,0.02666396043761653,,,0.014453379215164886,,,0.02413930810646781,,4.0,1.0,,,1.0,3.0,2.0,,,13.0,,,24.0,,4.0,1.0,,,0.0,2.0,1.0,,,6.0,,,24.0
射水市議会議員選挙（2005年11月27日投票）,射水市議会議員選挙,富山県,射水市,20051127.0,2005.0,11.0,27.0,20051120.0,,0.0,49.0,,76147.0,,,,その他,,,,,射水市議会議員選挙（2005年11月27日投票）,5.0,49.0,35.0,1.4,0.0,0.0,0.0,0.10204081632653061,0.11428571428571428,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.02040816326530612,,61633.0,5.0,57.16326530612245,7.926568443971173,31.0,55.0,58.0,61.0,77.0,56.65714285714286,7.301439612032908,40.0,52.0,58.0,63.0,67.0,,,,,,,3028.0,,1348.0,,34851.86,6405.0,,16000.14,61633.0,,,,,,,0.04912952476757581,,0.02187140006165528,,0.5654740155436211,0.10392160044132202,,0.2596034591858258,1.0,,,,,,,0.024564762383787905,,0.02187140006165528,,0.018849133851454036,0.025980400110330506,,0.021633621598818816,,,,,,,2.0,,1.0,,30.0,4.0,,12.0,,,,,,,1.0,,1.0,,19.0,3.0,,11.0
射水市議会議員選挙（2009年11月15日投票）,射水市議会議員選挙,富山県,射水市,20091115.0,2009.0,11.0,15.0,20091108.0,78.22,26.0,31.0,1.1923076923076923,76318.0,,,171.0,任期満了,,,,,射水市議会議員選挙（2009年11月15日投票）,1.0,31.0,26.0,1.1923076923076923,0.0,0.0,0.0,0.0967741935483871,0.11538461538461539,0.8387096774193549,0.16129032258064516,0.0,0.8461538461538461,0.15384615384615385,0.0,0.8317564578157438,0.1682435421842562,,0.03199063299291322,0.033648708436851235,,58766.0,5.0,57.0,7.716760142493364,35.0,53.5,60.0,62.0,69.0,57.69230769230769,7.719950332488847,35.0,54.0,61.0,62.0,69.0,,1933.0,,,,,2541.0,,,,36558.7,5588.0,,12145.3,58766.0,,0.032893169519790356,,,,,0.043239288023687164,,,,0.6221063199809413,0.09508899703910424,,0.20667222543647687,1.0,,0.032893169519790356,,,,,0.043239288023687164,,,,0.03274243789373375,0.03169633234636808,,0.02952460363378241,,1.0,,,,,1.0,,,,19.0,3.0,,7.0,,1.0,,,,,1.0,,,,16.0,3.0,,5.0
射水市議会議員選挙（2013年11月17日投票）,射水市議会議員選挙,富山県,射水市,20131117.0,2013.0,11.0,17.0,20131110.0,67.4,22.0,26.0,1.181818181818182,,,,,任期満了,78.22,,,,射水市議会議員選挙（2013年11月17日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.11538461538461539,0.09090909090909091,,,,,,,,,,,,,50108.0,5.0,60.07692307692308,8.352443571163318,38.0,57.25,63.5,66.0,72.0,60.27272727272727,7.5989342445432815,38.0,57.25,61.5,66.0,72.0,,2278.0,,,,,3150.0,,,,29016.96,1735.0,,13928.04,50108.0,,0.045461802506585776,,,,,0.06286421329927357,,,,0.579088369122695,0.03462520954737766,,0.27796040552406803,1.0,,0.045461802506585776,,,,,0.03143210664963678,,,,0.038605891274846336,0.03462520954737766,,0.03970862936058115,,1.0,,,,,2.0,,,,15.0,1.0,,7.0,,1.0,,,,,1.0,,,,14.0,1.0,,5.0
射水市議会議員選挙（2017年11月19日投票）,射水市議会議員選挙,富山県,射水市,20171119.0,2017.0,11.0,19.0,20171112.0,無投票,22.0,22.0,1.0,,,,,任期満了,67.4,,,,射水市議会議員選挙（2017年11月19日投票）,1.0,22.0,22.0,1.0,1.0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.13636363636363635,0.045454545454545456,0.8181818181818182,0.13636363636363635,0.045454545454545456,,,,,,,0.0,0.0,61.36363636363637,10.447032873872304,31.0,58.5,63.5,69.0,76.0,61.36363636363637,10.447032873872304,31.0,58.5,63.5,69.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小矢部市議会議員補欠選挙（2006年11月19日投票）,小矢部市議会議員補欠選挙,富山県,小矢部市,20061119.0,2006.0,11.0,19.0,20061112.0,78.1,1.0,2.0,2.0,27854.0,,,,その他,,,,,小矢部市議会議員補欠選挙（2006年11月19日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,19841.0,2.0,58.0,3.0,55.0,56.5,58.0,59.5,61.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,5943.0,,,,13898.0,,,,19841.0,,,,,,,0.2995312736253213,,,,0.7004687263746787,,,,1.0,,,,,,,0.2995312736253213,,,,0.7004687263746787,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.0,,,,1.0,,,
小矢部市議会議員選挙（2002年08月04日投票）,小矢部市議会議員選挙,富山県,小矢部市,20020804.0,2002.0,8.0,4.0,20020728.0,81.36,20.0,21.0,1.05,28153.0,,,,任期満了,,,,,小矢部市議会議員選挙（2002年08月04日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.047619047619047616,,,22696.0,3.0,,,,,,,,,,,,,,,,,,,,,917.0,,,,18520.0,,,3259.0,22696.0,,,,,,,0.04040359534719774,,,,0.8160028198801551,,,0.14359358477264716,1.0,,,,,,,0.04040359534719774,,,,0.051000176242509694,,,0.03589839619316179,,,,,,,1.0,,,,16.0,,,4.0,,,,,,,1.0,,,,16.0,,,3.0
小矢部市議会議員選挙（2006年08月06日投票）,小矢部市議会議員選挙,富山県,小矢部市,20060806.0,2006.0,8.0,6.0,20060730.0,74.12,17.0,18.0,1.0588235294117647,27923.0,,,-230.0,任期満了,81.36,,,,小矢部市議会議員選挙（2006年08月06日投票）,1.0,18.0,17.0,1.0588235294117647,0.0,0.0,0.0,0.05555555555555555,0.058823529411764705,0.7777777777777778,0.2222222222222222,0.0,0.8235294117647058,0.17647058823529413,0.0,0.8163819390148553,0.1836180609851446,,0.05831299564391824,0.04590451524628615,,20464.0,0.0,58.22222222222222,7.714024425648792,41.0,55.0,57.0,63.25,74.0,57.294117647058826,6.892149889824381,41.0,55.0,57.0,61.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小矢部市議会議員選挙（2010年08月08日投票）,小矢部市議会議員選挙,富山県,小矢部市,20100808.0,2010.0,8.0,8.0,20100801.0,73.46,16.0,17.0,1.0625,27193.0,,,-730.0,任期満了,74.12,,,,小矢部市議会議員選挙（2010年08月08日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.5882352941176471,0.4117647058823529,0.0,0.625,0.375,0.0,0.6188825200275507,0.3811174799724494,,0.06188825200275507,0.054445354281778484,,19788.989999999998,2.0,58.05882352941177,7.024918573824049,44.0,56.0,59.0,61.0,73.0,57.9375,7.223821270629555,44.0,55.5,58.0,61.25,73.0,,,,,,,1258.0,,,,18530.989999999998,,,,19788.989999999998,,,,,,,0.06357070269882395,,,,0.9364292973011761,,,,1.0,,,,,,,0.06357070269882395,,,,0.058526831081323505,,,,,,,,,,1.0,,,,16.0,,,,,,,,,,1.0,,,,15.0,,,
小矢部市議会議員選挙（2014年08月03日投票）,小矢部市議会議員選挙,富山県,小矢部市,20140803.0,2014.0,8.0,3.0,20140727.0,無投票,16.0,16.0,1.0,,,,,任期満了,73.46,,,,小矢部市議会議員選挙（2014年08月03日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.125,0.125,0.75,0.1875,0.0625,0.75,0.1875,0.0625,,,,,,,0.0,4.0,59.8125,8.769398140693578,39.0,57.5,60.5,63.25,77.0,59.8125,8.769398140693578,39.0,57.5,60.5,63.25,77.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,13.0,,,1.0,,,,1.0,,,1.0,,,,13.0,,,1.0
小矢部市議会議員選挙（2018年08月05日投票）,小矢部市議会議員選挙,富山県,小矢部市,20180805.0,2018.0,8.0,5.0,20180729.0,70.39,16.0,21.0,1.3125,25948.0,,,,任期満了,,,,,小矢部市議会議員選挙（2018年08月05日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.09523809523809523,0.0625,0.6190476190476191,0.38095238095238093,0.0,0.75,0.25,0.0,0.6734295747171284,0.3265704252828716,,0.051802274978240644,0.04082130316035895,,17941.0,4.0,57.38095238095238,10.973891919226984,30.0,52.0,60.0,65.0,74.0,58.875,9.610378504512713,30.0,54.5,63.0,65.0,70.0,,,,199.0,,,1437.0,,,,14860.0,,,1445.0,17941.0,,,,0.011091912379466027,,,0.08009586979544062,,,,0.8282704420043476,,,0.08054177582074577,1.0,,,,0.011091912379466027,,,0.04004793489772031,,,,0.04872179070613809,,,0.08054177582074577,,,,1.0,,,2.0,,,,17.0,,,1.0,,,,0.0,,,1.0,,,,14.0,,,1.0
朝日町議会議員選挙（1998年08月09日投票）,朝日町議会議員選挙,富山県,朝日町,19980809.0,1998.0,8.0,9.0,19980804.0,86.01,16.0,19.0,1.1875,13676.0,,,,任期満了,,,,,朝日町議会議員選挙（1998年08月09日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.3157894736842105,0.05263157894736842,0.75,0.25,0.0,0.672284890894516,0.30739478852659596,0.020320320578888048,0.05602374090787634,0.05123246475443266,0.020320320578888048,11613.99,3.0,58.8421052631579,7.589904360362255,42.0,55.0,59.0,64.0,71.0,59.4375,6.954933051439101,46.0,55.0,58.0,64.25,71.0,,,,,,,1215.0,,,,5310.99,,,5088.0,11613.99,,,,,,,0.1046152097599533,,,,0.45729245504774846,,,0.4380923351922983,1.0,,,,,,,0.05230760487997665,,,,0.04572924550477485,,,0.06258461931318547,,,,,,,2.0,,,,10.0,,,7.0,,,,,,,2.0,,,,7.0,,,7.0
朝日町議会議員選挙（2002年08月04日投票）,朝日町議会議員選挙,富山県,朝日町,20020804.0,2002.0,8.0,4.0,20020730.0,82.01,16.0,17.0,1.0625,13207.0,,,-469.0,任期満了,86.01,,,,朝日町議会議員選挙（2002年08月04日投票）,1.0,17.0,15.0,1.1333333333333333,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.6470588235294118,0.35294117647058826,0.0,0.7333333333333333,0.26666666666666666,0.0,0.6904569348968864,0.30954306510311363,,0.0627688122633533,0.05159051085051894,,9892.0,3.0,58.411764705882355,6.695554482415152,46.0,53.0,59.0,63.0,69.0,58.86666666666667,6.91728912861743,46.0,53.5,61.0,64.0,69.0,,,,,,,1108.0,,,,5119.0,,,3665.0,9892.0,,,,,,,0.11200970481196927,,,,0.5174888799029519,,,0.37050141528507885,1.0,,,,,,,0.056004852405984636,,,,0.051748887990295186,,,0.07410028305701577,,,,,,,2.0,,,,10.0,,,5.0,,,,,,,2.0,,,,8.0,,,5.0
朝日町議会議員選挙（2006年08月06日投票）,朝日町議会議員選挙,富山県,朝日町,20060806.0,2006.0,8.0,6.0,20060801.0,79.61,10.0,15.0,1.5,12702.0,,,-505.0,任期満了,82.01,,,,朝日町議会議員選挙（2006年08月06日投票）,1.0,15.0,10.0,1.5,0.0,0.0,0.0,0.06666666666666667,0.1,0.9333333333333333,0.06666666666666667,0.0,1.0,0.0,0.0,0.9616232464929859,0.03837675350701403,,0.068687374749499,0.03837675350701403,,9980.0,3.0,62.93333333333333,6.005182946607223,50.0,60.5,65.0,66.5,72.0,64.5,4.341658669218482,57.0,63.0,65.0,66.75,72.0,,,,,,,1448.0,,,,1905.0,,,6627.0,9980.0,,,,,,,0.14509018036072144,,,,0.1908817635270541,,,0.6640280561122245,1.0,,,,,,,0.07254509018036072,,,,0.047720440881763526,,,0.07378089512358049,,,,,,,2.0,,,,4.0,,,9.0,,,,,,,2.0,,,,1.0,,,7.0
朝日町議会議員選挙（2010年08月08日投票）,朝日町議会議員選挙,富山県,朝日町,20100808.0,2010.0,8.0,8.0,20100803.0,75.59,10.0,11.0,1.1,12095.0,,,-607.0,任期満了,79.61,,,,朝日町議会議員選挙（2010年08月08日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.6363636363636364,0.36363636363636365,0.0,0.6,0.4,0.0,0.5743856541952623,0.42561434580473767,,0.08205509345646604,0.10640358645118442,,9034.0,4.0,,,,,,,,,,,,,,,,,,,,,1441.0,,562.0,,5364.0,,,1667.0,9034.0,,,,,,,0.15950852335620988,,0.062209431038299755,,0.5937569183086119,,,0.18452512729687845,1.0,,,,,,,0.07975426167810494,,0.062209431038299755,,0.09895948638476865,,,0.09226256364843922,,,,,,,2.0,,1.0,,6.0,,,2.0,,,,,,,2.0,,1.0,,5.0,,,2.0
朝日町議会議員選挙（2014年08月10日投票）,朝日町議会議員選挙,富山県,朝日町,20140810.0,2014.0,8.0,10.0,20140805.0,72.54,10.0,12.0,1.2,11349.0,,,-746.0,任期満了,75.59,,,,朝日町議会議員選挙（2014年08月10日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.4166666666666667,0.5,0.08333333333333333,0.4,0.5,0.1,0.47297961188897075,0.47433063129452224,0.052689756816507,0.09459592237779416,0.07905510521575371,0.052689756816507,8142.0,3.0,66.75,5.463896655928502,58.0,61.0,67.0,72.0,74.0,66.9,5.337602458033007,58.0,62.0,67.0,71.75,74.0,,,,,,,780.0,,,,6017.0,,,1345.0,8142.0,,,,,,,0.09579955784819455,,,,0.7390076148366495,,,0.16519282731515597,1.0,,,,,,,0.09579955784819455,,,,0.08211195720407216,,,0.08259641365757799,,,,,,,1.0,,,,9.0,,,2.0,,,,,,,1.0,,,,7.0,,,2.0
朝日町議会議員選挙（2018年08月05日投票）,朝日町議会議員選挙,富山県,朝日町,20180805.0,2018.0,8.0,5.0,20180731.0,71.47,10.0,12.0,1.2,10707.0,,,-642.0,任期満了,72.54,,,,朝日町議会議員選挙（2018年08月05日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.0,0.75,0.25,0.0,0.7,0.3,0.0,0.7433020984558533,0.25669790154414673,,0.08258912205065036,0.08556596718138225,,7577.0,3.0,65.5,10.547511554864494,40.0,61.25,67.0,73.0,78.0,63.1,9.9443451267542,40.0,59.75,65.0,69.75,76.0,,,,,,,486.0,,,,3768.0,,,3323.0,7577.0,,,,,,,0.06414148079714926,,,,0.4972944437112314,,,0.43856407549161935,1.0,,,,,,,0.06414148079714926,,,,0.08288240728520523,,,0.08771281509832388,,,,,,,1.0,,,,6.0,,,5.0,,,,,,,1.0,,,,6.0,,,3.0
氷見市議会議員補欠選挙（2006年03月19日投票）,氷見市議会議員補欠選挙,富山県,氷見市,20060319.0,2006.0,3.0,19.0,20060312.0,25.41,2.0,3.0,1.5,46594.0,,,,その他,,,,,氷見市議会議員補欠選挙（2006年03月19日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,11430.0,2.0,50.333333333333336,10.338708279513883,36.0,45.5,55.0,57.5,60.0,57.5,2.5,55.0,56.25,57.5,58.75,60.0,,,,,,,,,,,7066.0,4364.0,,,11430.0,,,,,,,,,,,0.6181977252843395,0.38180227471566053,,,1.0,,,,,,,,,,,0.30909886264216974,0.38180227471566053,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,
氷見市議会議員選挙（2002年10月27日投票）,氷見市議会議員選挙,富山県,氷見市,20021027.0,2002.0,10.0,27.0,20021020.0,74.58,22.0,23.0,1.0454545454545454,47229.0,,,,任期満了,,,,,氷見市議会議員選挙（2002年10月27日投票）,1.0,23.0,22.0,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.043478260869565216,,,34844.0,4.0,,,,,,,,,,,,,,,,2081.0,,,,,872.0,,,,27585.0,4306.0,,,34844.0,,0.05972333830788658,,,,,0.025025829411089426,,,,0.7916714498909425,0.12357938239008151,,,1.0,,0.05972333830788658,,,,,0.025025829411089426,,,,0.04166691841531276,0.061789691195040755,,,,1.0,,,,,1.0,,,,19.0,2.0,,,,1.0,,,,,0.0,,,,19.0,2.0,,
氷見市議会議員選挙（2006年10月29日投票）,氷見市議会議員選挙,富山県,氷見市,20061029.0,2006.0,10.0,29.0,20061022.0,75.37,18.0,21.0,1.1666666666666667,46388.0,,,-841.0,任期満了,74.58,,,,氷見市議会議員選挙（2006年10月29日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.047619047619047616,0.0,0.9047619047619048,0.09523809523809523,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8675913885276694,0.1324086114723306,,0.04566270465935102,0.0662043057361653,,34605.0,4.0,60.095238095238095,6.516680150307049,46.0,56.0,60.0,63.0,79.0,60.111111111111114,6.9112540178151045,46.0,56.5,59.5,62.75,79.0,,2224.0,,,,,,,1746.0,,25769.0,4866.0,,,34605.0,,0.06426816933969079,,,,,,,0.050455136540962287,,0.744661176130617,0.14061551798872995,,,1.0,,0.06426816933969079,,,,,,,0.050455136540962287,,0.04654132350816356,0.04687183932957665,,,,1.0,,,,,,,1.0,,16.0,3.0,,,,1.0,,,,,,,1.0,,13.0,3.0,,
氷見市議会議員選挙（2010年10月31日投票）,氷見市議会議員選挙,富山県,氷見市,20101031.0,2010.0,10.0,31.0,20101024.0,72.5,18.0,22.0,1.2222222222222223,44807.0,,,-1581.0,任期満了,75.37,,,,氷見市議会議員選挙（2010年10月31日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.045454545454545456,,,32188.0,3.0,,,,,,,,,,,,,,,,,,,,,674.0,,,,27140.0,4374.0,,,32188.0,,,,,,,0.02093948055175842,,,,0.843171368211756,0.13588915123648565,,,1.0,,,,,,,0.02093948055175842,,,,0.046842853789542,0.04529638374549522,,,,,,,,,1.0,,,,18.0,3.0,,,,,,,,,0.0,,,,15.0,3.0,,
氷見市議会議員選挙（2014年10月26日投票）,氷見市議会議員選挙,富山県,氷見市,20141026.0,2014.0,10.0,26.0,20141019.0,58.43,17.0,21.0,1.2352941176470589,,,,,任期満了,72.5,,,,氷見市議会議員選挙（2014年10月26日投票）,1.0,21.0,17.0,1.2352941176470589,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.47619047619047616,0.0,0.47058823529411764,0.5294117647058824,0.0,0.5116567539200407,0.48834324607995927,,0.04651425035636734,0.04883432460799593,,31441.0,2.0,53.61904761904762,11.222749813601158,29.0,46.0,54.0,62.0,72.0,51.05882352941177,10.518726092826876,29.0,46.0,53.0,56.0,69.0,,,,,,,,,,,30123.0,1318.0,,,31441.0,,,,,,,,,,,0.9580802137336599,0.04191978626634013,,,1.0,,,,,,,,,,,0.047904010686683,0.04191978626634013,,,,,,,,,,,,,20.0,1.0,,,,,,,,,,,,,16.0,1.0,,
氷見市議会議員選挙（2018年10月28日投票）,氷見市議会議員選挙,富山県,氷見市,20181028.0,2018.0,10.0,28.0,20181021.0,66.68,17.0,20.0,1.1764705882352942,,,,,任期満了,58.43,,,,氷見市議会議員選挙（2018年10月28日投票）,1.0,20.0,17.0,1.1764705882352942,0.0,0.0,0.0,0.15,0.11764705882352941,0.65,0.3,0.05,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.7109511981297487,0.2563924605493863,0.03265634132086499,0.05468855370228836,0.04273207675823105,0.03265634132086499,27376.0,3.0,58.25,10.577688783472503,33.0,52.5,60.0,65.5,76.0,57.05882352941177,10.919333034120474,33.0,51.0,58.0,62.0,76.0,,,,,,,1606.0,,,,24297.0,1473.0,,,27376.0,,,,,,,0.05866452367036821,,,,0.8875292226767972,0.0538062536528346,,,1.0,,,,,,,0.05866452367036821,,,,0.049307179037599846,0.0538062536528346,,,,,,,,,1.0,,,,18.0,1.0,,,,,,,,,1.0,,,,15.0,1.0,,
滑川市議会議員選挙（2001年11月18日投票）,滑川市議会議員選挙,富山県,滑川市,20011118.0,2001.0,11.0,18.0,20011111.0,77.68,20.0,42.0,2.1,26939.0,,,,任期満了,,,,,滑川市議会議員選挙（2001年11月18日投票）,1.0,42.0,40.0,1.05,0.0,0.0,0.0,0.023809523809523808,0.025,0.9047619047619048,0.09523809523809523,0.0,0.9,0.1,0.0,0.8938074445757846,0.10619255542421538,,0.023521248541468018,0.026548138856053845,,41453.0,5.0,,,,,,,,,,,,,,,,2248.0,,,,,2734.0,,,,14318.57,2038.0,,20114.43,41453.0,,0.054230091911321256,,,,,0.06595421320531686,,,,0.34541697826454054,0.04916411357440957,,0.48523460304441174,1.0,,0.027115045955660628,,,,,0.016488553301329215,,,,0.024672641304610037,0.024582056787204785,,0.024261730152220586,,2.0,,,,,4.0,,,,14.0,2.0,,20.0,,2.0,,,,,2.0,,,,14.0,2.0,,20.0
