,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_　,得票数_あたらしい党,得票数_みんなの党,得票数_みんなの改革,得票数_オリーブの木,得票数_ネットワーク横浜,得票数_ヨコハマから日本を変える会,得票数_ヨコハマ維新の会,得票数_公明党,得票数_厚木市民グループ,得票数_国民新党,得票数_国民民主党,得票数_地域政党いざ鎌倉,得票数_市民の,得票数_市民のための教育委員会,得票数_市民の党,得票数_市民連合・かわさき,得票数_希望の党,得票数_平和市民,得票数_幸福実現党,得票数_新しい川崎の会,得票数_新社会党,得票数_日本を元気にする会,得票数_日本共産党,得票数_日本列島に本当の民主主義を根付かせる会,得票数_日本創新党,得票数_日本第一党,得票数_日本維新の会,得票数_栄区の環境を守る会,得票数_横浜自由クラブ,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無党派知事をつくろう会,得票数_無所属,得票数_無私の会,得票数_社会民主党,得票数_社民主,得票数_神奈川ネット,得票数_神奈川ネットワーク,得票数_神奈川ネットワーク運動,得票数_立憲民主党,得票数_維新の党,得票数_維新政・新風,得票数_自由党,得票数_自由民主党,得票数_青年自由党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_　,得票率_あたらしい党,得票率_みんなの党,得票率_みんなの改革,得票率_オリーブの木,得票率_ネットワーク横浜,得票率_ヨコハマから日本を変える会,得票率_ヨコハマ維新の会,得票率_公明党,得票率_厚木市民グループ,得票率_国民新党,得票率_国民民主党,得票率_地域政党いざ鎌倉,得票率_市民の,得票率_市民のための教育委員会,得票率_市民の党,得票率_市民連合・かわさき,得票率_希望の党,得票率_平和市民,得票率_幸福実現党,得票率_新しい川崎の会,得票率_新社会党,得票率_日本を元気にする会,得票率_日本共産党,得票率_日本列島に本当の民主主義を根付かせる会,得票率_日本創新党,得票率_日本第一党,得票率_日本維新の会,得票率_栄区の環境を守る会,得票率_横浜自由クラブ,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無党派知事をつくろう会,得票率_無所属,得票率_無私の会,得票率_社会民主党,得票率_社民主,得票率_神奈川ネット,得票率_神奈川ネットワーク,得票率_神奈川ネットワーク運動,得票率_立憲民主党,得票率_維新の党,得票率_維新政・新風,得票率_自由党,得票率_自由民主党,得票率_青年自由党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_　,一人あたり得票率_あたらしい党,一人あたり得票率_みんなの党,一人あたり得票率_みんなの改革,一人あたり得票率_オリーブの木,一人あたり得票率_ネットワーク横浜,一人あたり得票率_ヨコハマから日本を変える会,一人あたり得票率_ヨコハマ維新の会,一人あたり得票率_公明党,一人あたり得票率_厚木市民グループ,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党いざ鎌倉,一人あたり得票率_市民の,一人あたり得票率_市民のための教育委員会,一人あたり得票率_市民の党,一人あたり得票率_市民連合・かわさき,一人あたり得票率_希望の党,一人あたり得票率_平和市民,一人あたり得票率_幸福実現党,一人あたり得票率_新しい川崎の会,一人あたり得票率_新社会党,一人あたり得票率_日本を元気にする会,一人あたり得票率_日本共産党,一人あたり得票率_日本列島に本当の民主主義を根付かせる会,一人あたり得票率_日本創新党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_栄区の環境を守る会,一人あたり得票率_横浜自由クラブ,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無党派知事をつくろう会,一人あたり得票率_無所属,一人あたり得票率_無私の会,一人あたり得票率_社会民主党,一人あたり得票率_社民主,一人あたり得票率_神奈川ネット,一人あたり得票率_神奈川ネットワーク,一人あたり得票率_神奈川ネットワーク運動,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政・新風,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_青年自由党,立候補者数_NHKから国民を守る党,立候補者数_　,立候補者数_あたらしい党,立候補者数_みんなの党,立候補者数_みんなの改革,立候補者数_オリーブの木,立候補者数_ネットワーク横浜,立候補者数_ヨコハマから日本を変える会,立候補者数_ヨコハマ維新の会,立候補者数_公明党,立候補者数_厚木市民グループ,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党いざ鎌倉,立候補者数_市民の,立候補者数_市民のための教育委員会,立候補者数_市民の党,立候補者数_市民連合・かわさき,立候補者数_希望の党,立候補者数_平和市民,立候補者数_幸福実現党,立候補者数_新しい川崎の会,立候補者数_新社会党,立候補者数_日本を元気にする会,立候補者数_日本共産党,立候補者数_日本列島に本当の民主主義を根付かせる会,立候補者数_日本創新党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_栄区の環境を守る会,立候補者数_横浜自由クラブ,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無党派知事をつくろう会,立候補者数_無所属,立候補者数_無私の会,立候補者数_社会民主党,立候補者数_社民主,立候補者数_神奈川ネット,立候補者数_神奈川ネットワーク,立候補者数_神奈川ネットワーク運動,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政・新風,立候補者数_自由党,立候補者数_自由民主党,立候補者数_青年自由党,当選者数_NHKから国民を守る党,当選者数_　,当選者数_あたらしい党,当選者数_みんなの党,当選者数_みんなの改革,当選者数_オリーブの木,当選者数_ネットワーク横浜,当選者数_ヨコハマから日本を変える会,当選者数_ヨコハマ維新の会,当選者数_公明党,当選者数_厚木市民グループ,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党いざ鎌倉,当選者数_市民の,当選者数_市民のための教育委員会,当選者数_市民の党,当選者数_市民連合・かわさき,当選者数_希望の党,当選者数_平和市民,当選者数_幸福実現党,当選者数_新しい川崎の会,当選者数_新社会党,当選者数_日本を元気にする会,当選者数_日本共産党,当選者数_日本列島に本当の民主主義を根付かせる会,当選者数_日本創新党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_栄区の環境を守る会,当選者数_横浜自由クラブ,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無党派知事をつくろう会,当選者数_無所属,当選者数_無私の会,当選者数_社会民主党,当選者数_社民主,当選者数_神奈川ネット,当選者数_神奈川ネットワーク,当選者数_神奈川ネットワーク運動,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政・新風,当選者数_自由党,当選者数_自由民主党,当選者数_青年自由党
大井町議会議員選挙（2004年09月26日投票）,大井町議会議員選挙,神奈川県,大井町,20040926.0,2004.0,9.0,26.0,20040921.0,無投票,18.0,17.0,0.9444444444444444,13907.0,,,905.0,任期満了,67.98,,,,大井町議会議員選挙（2004年09月26日投票）,1.0,17.0,17.0,1.0,1.0,1.0,0.0,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.4117647058823529,0.0,0.5882352941176471,0.4117647058823529,0.0,,,,,,,0.0,3.0,59.588235294117645,7.97096808298282,36.0,57.0,61.0,65.0,69.0,59.588235294117645,7.97096808298282,36.0,57.0,61.0,65.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,
大井町議会議員選挙（2008年09月21日投票）,大井町議会議員選挙,神奈川県,大井町,20080921.0,2008.0,9.0,21.0,20080916.0,55.44,16.0,17.0,1.0625,14153.0,,,246.0,任期満了,,,,,大井町議会議員選挙（2008年09月21日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.8235294117647058,0.17647058823529413,0.0,0.8125,0.1875,0.0,0.8312815861085914,0.16871841389140857,,0.05937725615061367,0.05623947129713619,,7717.0,3.0,61.529411764705884,7.48423949579714,40.0,60.0,62.0,68.0,71.0,61.0625,7.47051495882312,40.0,58.75,62.0,65.75,71.0,,,,,,,,,,1084.0,,,,,,,,,,,,,,,410.0,,,,,,,,,,,6223.0,,,,,,,,,,,,,7717.0,,,,,,,,,,0.14046909420759363,,,,,,,,,,,,,,,0.05312945445121161,,,,,,,,,,,0.8064014513411948,,,,,,,,,,,,,1.0,,,,,,,,,,0.14046909420759363,,,,,,,,,,,,,,,0.05312945445121161,,,,,,,,,,,0.05376009675607965,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,,
大井町議会議員選挙（2012年09月23日投票）,大井町議会議員選挙,神奈川県,大井町,20120923.0,2012.0,9.0,23.0,20120918.0,53.87,14.0,16.0,1.1428571428571428,13766.0,,,-387.0,任期満了,55.44,,,,大井町議会議員選挙（2012年09月23日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.125,0.14285714285714285,0.75,0.25,0.0,0.7142857142857143,0.2857142857142857,0.0,0.6595477885664457,0.3404522114335543,,0.054962315713870474,0.08511305285838858,,7304.99,3.0,58.5,11.4564392373896,30.0,54.0,61.5,67.25,72.0,59.642857142857146,11.55488235000465,30.0,57.25,65.0,67.75,72.0,,,,,,,,,,981.0,,,,,,,,,,,,,,,443.0,,,,,,,,,,,5880.99,,,,,,,,,,,,,7304.99,,,,,,,,,,0.13429176494423675,,,,,,,,,,,,,,,0.06064347795137297,,,,,,,,,,,0.8050647571043903,,,,,,,,,,,,,1.0,,,,,,,,,,0.13429176494423675,,,,,,,,,,,,,,,0.06064347795137297,,,,,,,,,,,0.05750462550745645,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,,,,,,
大井町議会議員選挙（2016年09月11日投票）,大井町議会議員選挙,神奈川県,大井町,20160911.0,2016.0,9.0,11.0,20160906.0,53.98,14.0,18.0,1.2857142857142858,14095.0,,,329.0,任期満了,53.87,,,,大井町議会議員選挙（2016年09月11日投票）,1.0,18.0,14.0,1.2857142857142858,0.0,0.0,0.0,0.16666666666666666,0.07142857142857142,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.7127248118220935,0.14536977286739147,0.14190541531051504,0.05482498552477642,0.04845659095579716,0.07095270765525752,7504.999,0.0,60.77777777777778,11.23266840542232,34.0,50.5,65.0,69.75,73.0,61.642857142857146,10.132036481641098,44.0,50.5,65.0,70.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大井町議会議員選挙（2020年09月13日投票）,大井町議会議員選挙,神奈川県,大井町,20200913.0,2020.0,9.0,13.0,20200908.0,52.97,14.0,16.0,1.1428571428571428,,,,,任期満了,53.98,,,,大井町議会議員選挙（2020年09月13日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.25,0.21428571428571427,0.5625,0.375,0.0625,0.5,0.42857142857142855,0.07142857142857142,0.5182687548973085,0.43286154687942147,0.04886969822327004,0.057585417210812055,0.07214359114657025,0.04886969822327004,7558.999,3.0,57.5,12.942179105544785,35.0,47.0,57.5,68.0,77.0,57.357142857142854,13.609907855556358,35.0,45.0,57.5,70.0,77.0,,,,,,,,,,922.0,,,,,,,,,,,,,,,592.0,,,,,,,,,,,6044.999,,,,,,,,,,,,,7558.999,,,,,,,,,,0.1219738221952404,,,,,,,,,,,,,,,0.07831724809065327,,,,,,,,,,,0.7997089297141063,,,,,,,,,,,,,1.0,,,,,,,,,,0.1219738221952404,,,,,,,,,,,,,,,0.07831724809065327,,,,,,,,,,,0.05712206640815045,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,,,,,,
大和市議会議員選挙（1999年04月25日投票）,大和市議会議員選挙,神奈川県,大和市,19990425.0,1999.0,4.0,25.0,19990418.0,45.52,30.0,35.0,1.1666666666666667,163329.0,,,,任期満了,,,,,大和市議会議員選挙（1999年04月25日投票）,1.0,35.0,30.0,1.1666666666666667,0.0,0.0,0.0,0.2,0.23333333333333334,0.6857142857142857,0.2857142857142857,0.02857142857142857,0.7,0.26666666666666666,0.03333333333333333,,,,,,,73117.0,5.0,56.857142857142854,9.184281159032713,38.0,50.5,56.0,62.0,79.0,55.6,9.009624483480616,38.0,50.0,53.0,61.5,79.0,,,,,,,,,,11773.7,,,,,,,,,,,,,,,8349.630000000001,,,,,,,,,,,,,4006.0,,,,6793.68,,,,,,,30923.010000000002,,,,,,,,,,0.3807423662832305,,,,,,,,,,,,,,,0.2700134948053246,,,,,,,,,,,,,0.1295475440456799,,,,0.219696594865765,,,,,,,1.0,,,,,,,,,,0.0761484732566461,,,,,,,,,,,,,,,0.06750337370133115,,,,,,,,,,,,,0.06477377202283995,,,,0.07323219828858833,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,21.0,,2.0,,,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,17.0,,1.0,,,,3.0,,,,,,
大和市議会議員選挙（2003年04月27日投票）,大和市議会議員選挙,神奈川県,大和市,20030427.0,2003.0,4.0,27.0,20030420.0,47.13,29.0,35.0,1.206896551724138,170270.0,,,6941.0,任期満了,45.52,,,,大和市議会議員選挙（2003年04月27日投票）,1.0,35.0,29.0,1.206896551724138,0.0,0.0,0.0,0.22857142857142856,0.27586206896551724,0.6285714285714286,0.37142857142857144,0.0,0.7241379310344828,0.27586206896551724,0.0,0.6434915773353752,0.3565084226646248,,0.029249617151607964,0.027423724820355752,,78360.0,5.0,55.142857142857146,10.312663109408902,25.0,52.5,55.0,60.5,83.0,54.41379310344828,10.90560514338387,25.0,49.0,55.0,60.0,83.0,,,,,,,,,,13560.0,,,,,,,,,,,,,,,7277.61,,,,,,,,,,,47032.99,,4259.0,,,,6230.4,,,,,,,78360.0,,,,,,,,,,0.17304747320061256,,,,,,,,,,,,,,,0.0928740428790199,,,,,,,,,,,0.6002168198060235,,0.054351710056151095,,,,0.07950995405819294,,,,,,,1.0,,,,,,,,,,0.034609494640122515,,,,,,,,,,,,,,,0.023218510719754976,,,,,,,,,,,0.028581753324096355,,0.027175855028075548,,,,0.026503318019397648,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,21.0,,2.0,,,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,15.0,,2.0,,,,3.0,,,,,,
大和市議会議員選挙（2007年04月22日投票）,大和市議会議員選挙,神奈川県,大和市,20070422.0,2007.0,4.0,22.0,20070415.0,44.87,29.0,34.0,1.1724137931034482,175636.0,,,5366.0,任期満了,47.13,,,,大和市議会議員選挙（2007年04月22日投票）,1.0,34.0,29.0,1.1724137931034482,0.0,0.0,0.0,0.20588235294117646,0.2413793103448276,0.6176470588235294,0.38235294117647056,0.0,0.6896551724137931,0.3103448275862069,0.0,0.6499729866621645,0.35002701333783554,,0.030951094602960215,0.026925154872141196,,76999.0,7.0,56.55882352941177,9.903033333486878,27.0,51.25,59.0,61.5,76.0,56.310344827586206,10.00380427043102,27.0,51.0,59.0,60.0,76.0,,,,,,,,,,13479.41,,,,,,,,,,,,,,,7925.0,,,,,,,,8480.0,,,30658.32,,4895.0,,,,7054.0,,,,,4507.27,,76999.00000000001,,,,,,,,,,0.17505954622787306,,,,,,,,,,,,,,,0.10292341458979985,,,,,,,,0.11013130040649877,,,0.3981651709762464,,0.06357225418511928,,,,0.09161157937116064,,,,,0.05853673424330186,,1.0,,,,,,,,,,0.03501190924557461,,,,,,,,,,,,,,,0.025730853647449963,,,,,,,,0.036710433468832925,,,0.0248853231860154,,0.03178612709255964,,,,0.030537193123720215,,,,,0.05853673424330186,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,,16.0,,2.0,,,,3.0,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,,11.0,,2.0,,,,3.0,,,,,1.0,
大和市議会議員選挙（2011年04月24日投票）,大和市議会議員選挙,神奈川県,大和市,20110424.0,2011.0,4.0,24.0,20110417.0,42.41,28.0,43.0,1.5357142857142858,180053.0,,,4417.0,任期満了,44.87,,,,大和市議会議員選挙（2011年04月24日投票）,1.0,43.0,28.0,1.5357142857142858,0.0,0.0,0.0,0.18604651162790697,0.21428571428571427,0.4186046511627907,0.5581395348837209,0.023255813953488372,0.5,0.5,0.0,0.4747805545862078,0.5130189514938395,0.012200493919952756,0.026376697477011546,0.021375789645576643,0.012200493919952756,74506.0,7.0,51.81395348837209,12.841168920844028,28.0,42.0,54.0,63.5,74.0,51.42857142857143,12.821378829987077,30.0,41.5,53.0,64.0,74.0,,,,3550.99,,,,,,12751.42,,,,,,,,,,,,,,,6544.0,,,,,,,,6285.0,,,33289.67,,,,,,5387.93,,,,,6696.99,,74506.0,,,,0.0476604568759563,,,,,,0.17114621641210104,,,,,,,,,,,,,,,0.08783185246825759,,,,,,,,0.08435562236598394,,,0.4468052237403699,,,,,,0.0723153839959198,,,,,0.08988524414141143,,1.0,,,,0.02383022843797815,,,,,,0.034229243282420205,,,,,,,,,,,,,,,0.021957963117064397,,,,,,,,0.01687112447319679,,,0.020309328351834997,,,,,,0.024105127998639935,,,,,0.044942622070705714,,,,,2.0,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,22.0,,,,,,3.0,,,,,2.0,,,,,2.0,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,12.0,,,,,,2.0,,,,,2.0,
大和市議会議員選挙（2015年04月26日投票）,大和市議会議員選挙,神奈川県,大和市,20150426.0,2015.0,4.0,26.0,20150419.0,40.8,28.0,36.0,1.2857142857142858,184778.0,,,4725.0,任期満了,42.41,,,,大和市議会議員選挙（2015年04月26日投票）,1.0,36.0,28.0,1.2857142857142858,0.0,0.0,0.0,0.16666666666666666,0.21428571428571427,0.5555555555555556,0.3611111111111111,0.08333333333333333,0.6428571428571429,0.32142857142857145,0.03571428571428571,0.6098642378602671,0.3333888238625792,0.05674693827715383,0.030493211893013357,0.02564529414327532,0.01891564609238461,73465.98999999999,8.0,51.361111111111114,13.07489702057976,28.0,42.0,49.5,60.25,80.0,50.17857142857143,12.189144970096992,28.0,42.25,48.5,58.75,70.0,,,,,,,,,,12370.0,,,,,,,,,,,,,,,8699.74,,,,,,,993.0,3724.0,,,23077.97,,,,,,4792.0,,2416.28,,,17393.0,,73465.98999999999,,,,,,,,,,0.16837723142368327,,,,,,,,,,,,,,,0.11841860430928652,,,,,,,0.013516458431990097,0.050690122055116936,,,0.3141313415908505,,,,,,0.06522746103332985,,0.03288977661636358,,,0.23674900453937942,,1.0,,,,,,,,,,0.033675446284736656,,,,,,,,,,,,,,,0.02960465107732163,,,,,,,0.013516458431990097,0.050690122055116936,,,0.020942089439390032,,,,,,0.03261373051666493,,0.03288977661636358,,,0.03382128636276849,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,1.0,1.0,,,15.0,,,,,,2.0,,1.0,,,7.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,0.0,1.0,,,8.0,,,,,,2.0,,1.0,,,7.0,
大和市議会議員選挙（2019年04月21日投票）,大和市議会議員選挙,神奈川県,大和市,20190421.0,2019.0,4.0,21.0,20190414.0,38.41,28.0,35.0,1.25,,,,,任期満了,40.8,,,,大和市議会議員選挙（2019年04月21日投票）,1.0,35.0,28.0,1.25,0.0,0.0,0.0,0.22857142857142856,0.25,0.7142857142857143,0.22857142857142856,0.05714285714285714,0.8214285714285714,0.10714285714285714,0.07142857142857142,0.7991007562787293,0.14433605263141097,0.056563191089859736,0.031964030251149175,0.01804200657892637,0.028281595544929868,72060.998,7.0,,,,,,,,,,,,,,,,,,,,,,,,12517.485,,,1967.0,,,,,,,,,,,,6420.46,,,,,,,,,,,25572.0,,,,,,5999.0,2369.5389999999998,,,,17215.514,,72060.99799999999,,,,,,,,,,0.17370679490173035,,,0.02729631915450297,,,,,,,,,,,,0.08909757258704633,,,,,,,,,,,0.35486602614079815,,,,,,0.08324891642494323,0.03288240609712344,,,,0.23890196469385563,,1.0,,,,,,,,,,0.03474135898034607,,,0.02729631915450297,,,,,,,,,,,,0.022274393146761582,,,,,,,,,,,0.025347573295771298,,,,,,0.02774963880831441,0.03288240609712344,,,,0.03412885209912223,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,14.0,,,,,,3.0,1.0,,,,7.0,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,3.0,1.0,,,,7.0,
大磯町議会議員補欠選挙（2010年11月28日投票）,大磯町議会議員補欠選挙,神奈川県,大磯町,20101128.0,2010.0,11.0,28.0,20101123.0,52.36,1.0,3.0,3.0,28085.0,,,,任期満了,,,,,大磯町議会議員補欠選挙（2010年11月28日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,12382.0,1.0,67.0,3.559026084010437,64.0,64.5,65.0,68.5,72.0,64.0,0.0,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12382.0,,,,,,,,,,,,,12382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
大磯町議会議員補欠選挙（2018年11月18日投票）,大磯町議会議員補欠選挙,神奈川県,大磯町,20181118.0,2018.0,11.0,18.0,20181113.0,無投票,2.0,2.0,1.0,,,,,辞職/坂田よう子氏の辞職による,52.36,,,,大磯町議会議員補欠選挙（2018年11月18日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,1.0,66.5,11.5,55.0,60.75,66.5,72.25,78.0,66.5,11.5,55.0,60.75,66.5,72.25,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
大磯町議会議員選挙（2007年06月24日投票）,大磯町議会議員選挙,神奈川県,大磯町,20070624.0,2007.0,6.0,24.0,20070619.0,52.49,14.0,22.0,1.5714285714285714,27573.0,,,,任期満了,,,,,大磯町議会議員選挙（2007年06月24日投票）,1.0,22.0,14.0,1.5714285714285714,0.0,0.0,0.0,0.45454545454545453,0.5714285714285714,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.9285714285714286,0.0,0.07142857142857142,0.7447477080271538,0.1426481909160893,0.11260410105675694,0.053196264859082416,0.02377469848601488,0.05630205052837847,14289.0,3.0,58.40909090909091,8.9068874826226,42.0,53.25,60.0,63.75,72.0,58.42857142857143,8.068583569395965,42.0,53.25,59.5,63.75,72.0,,,,,,,,,,1766.0,,,,,,,,,,,,,,,1023.7,,,,,,,,,,,11499.3,,,,,,,,,,,,,14289.0,,,,,,,,,,0.12359157393799426,,,,,,,,,,,,,,,0.07164252221988943,,,,,,,,,,,0.8047659038421162,,,,,,,,,,,,,1.0,,,,,,,,,,0.06179578696899713,,,,,,,,,,,,,,,0.07164252221988943,,,,,,,,,,,0.04235610020221664,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,,,,,,
大磯町議会議員選挙（2011年06月26日投票）,大磯町議会議員選挙,神奈川県,大磯町,20110626.0,2011.0,6.0,26.0,20110621.0,51.84,14.0,24.0,1.7142857142857142,27613.0,,,40.0,任期満了,52.49,,,,大磯町議会議員選挙（2011年06月26日投票）,1.0,24.0,14.0,1.7142857142857142,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,0.375,0.5,0.125,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.47934074493697776,0.351207336071378,0.16945191899164425,0.053260082770775305,0.029267278005948166,0.05648397299721475,14122.0,3.0,62.0,6.658328118479393,46.0,57.75,63.5,66.25,73.0,60.714285714285715,7.125693664765672,46.0,57.25,62.0,65.75,72.0,,,,,,,,,,1648.0,,,,,,,,,,,,,,,906.97,,,,,,,,,,,11567.029999999999,,,,,,,,,,,,,14122.0,,,,,,,,,,0.11669735164990795,,,,,,,,,,,,,,,0.06422390596232828,,,,,,,,,,,0.8190787423877637,,,,,,,,,,,,,1.0,,,,,,,,,,0.058348675824953976,,,,,,,,,,,,,,,0.06422390596232828,,,,,,,,,,,0.039003749637512554,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,,,,,,
