,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_宮崎ネットワーク運動かどかわ,得票数_市民第一の会,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_門川ネットワーク２１,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_宮崎ネットワーク運動かどかわ,得票率_市民第一の会,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_門川ネットワーク２１,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_宮崎ネットワーク運動かどかわ,一人あたり得票率_市民第一の会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_門川ネットワーク２１,立候補者数_公明党,立候補者数_国民民主党,立候補者数_宮崎ネットワーク運動かどかわ,立候補者数_市民第一の会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_門川ネットワーク２１,当選者数_公明党,当選者数_国民民主党,当選者数_宮崎ネットワーク運動かどかわ,当選者数_市民第一の会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_門川ネットワーク２１
日南市議会議員選挙（2019年04月21日投票）,日南市議会議員選挙,宮崎県,日南市,20190421.0,2019.0,4.0,21.0,20190414.0,55.14,19.0,24.0,1.263157894736842,44660.0,,,,任期満了,58.71,,,,日南市議会議員選挙（2019年04月21日投票）,1.0,24.0,19.0,1.263157894736842,0.0,0.0,0.0,0.16666666666666666,0.21052631578947367,0.75,0.20833333333333334,0.041666666666666664,0.7368421052631579,0.2631578947368421,0.0,0.7414927092635054,0.2270144469126563,0.03149284382383819,0.04119403940352808,0.04540288938253126,0.03149284382383819,24449.999,6.0,58.625,9.835363490995135,36.0,55.75,61.5,64.25,74.0,58.31578947368421,10.94509085619738,36.0,53.0,63.0,65.0,74.0,2245.0,,,,1081.0,1924.0,,14989.999,3041.0,,1169.0,,24449.999,0.09182004465521655,,,,0.04421268074489492,0.07869120976242167,,0.6130879187357022,0.12437628320557395,,0.04781186289619071,,1.0,0.045910022327608276,,,,0.04421268074489492,0.03934560488121083,,0.04087252791571348,0.04145876106852465,,0.04781186289619071,,2.0,,,,1.0,2.0,,15.0,3.0,,1.0,,2.0,,,,1.0,2.0,,11.0,2.0,,1.0,
日向市議会議員選挙（1999年04月25日投票）,日向市議会議員選挙,宮崎県,日向市,19990425.0,1999.0,4.0,25.0,19990418.0,71.57,27.0,29.0,1.0740740740740742,44812.0,,,,任期満了,,,,,日向市議会議員選挙（1999年04月25日投票）,1.0,29.0,26.0,1.1153846153846154,0.0,0.0,0.0,0.034482758620689655,0.038461538461538464,0.7241379310344828,0.27586206896551724,0.0,0.7692307692307693,0.23076923076923078,0.0,0.772048748760275,0.22795125123972493,,0.03676422613144167,0.028493906404965616,,31871.99,5.0,53.310344827586206,8.317424370377887,29.0,50.0,52.0,60.0,69.0,53.57692307692308,8.652136583273597,29.0,50.0,52.5,60.0,69.0,2632.0,,,,,3160.06,,17146.5,1247.72,,7685.71,,31871.99,0.08258034719513906,,,,,0.0991484999838416,,0.5379802139747157,0.039147853648297454,,0.24114308519800615,,1.0,0.04129017359756953,,,,,0.033049499994613867,,0.033623763373419734,0.039147853648297454,,0.03444901217114373,,2.0,,,,,3.0,,16.0,1.0,,7.0,,2.0,,,,,3.0,,14.0,1.0,,6.0,
日向市議会議員選挙（2003年04月27日投票）,日向市議会議員選挙,宮崎県,日向市,20030427.0,2003.0,4.0,27.0,20030420.0,72.26,26.0,32.0,1.2307692307692308,46122.0,,,1310.0,任期満了,71.57,,,,日向市議会議員選挙（2003年04月27日投票）,1.0,32.0,26.0,1.2307692307692308,0.0,0.0,0.0,0.03125,0.038461538461538464,0.65625,0.34375,0.0,0.6923076923076923,0.3076923076923077,0.0,0.6772390155518646,0.3227609844481353,,0.032249476931041174,0.029341907677103207,,33115.0,5.0,56.78125,8.301861142990768,32.0,54.0,56.0,62.5,70.0,55.80769230769231,8.695795760327254,32.0,53.25,55.0,60.75,70.0,2802.12,,,,,2802.74,,21970.1,846.46,,4693.58,,33114.99999999999,0.08461784689717652,,,,,0.0846365695304243,,0.6634485882530576,0.02556122603049978,,0.14173576928884193,,1.0,0.04230892344858826,,,,,0.028212189843474764,,0.03015675401150262,0.02556122603049978,,0.035433942322210484,,2.0,,,,,3.0,,22.0,1.0,,4.0,,2.0,,,,,3.0,,18.0,0.0,,3.0,
日向市議会議員選挙（2007年04月22日投票）,日向市議会議員選挙,宮崎県,日向市,20070422.0,2007.0,4.0,22.0,20070415.0,66.05,26.0,31.0,1.1923076923076923,50901.0,,,4779.0,任期満了,72.26,,,,日向市議会議員選挙（2007年04月22日投票）,1.0,31.0,26.0,1.1923076923076923,0.0,0.0,0.0,0.06451612903225806,0.07692307692307693,0.7741935483870968,0.16129032258064516,0.06451612903225806,0.8461538461538461,0.11538461538461539,0.038461538461538464,0.8037128584681511,0.14844997708426197,0.047837164447587024,0.0334880357695063,0.029689995416852393,0.023918582223793512,33404.99,5.0,57.96774193548387,8.09015279957675,36.0,55.0,58.0,62.0,75.0,57.46153846153846,8.293791789556856,36.0,54.5,58.0,61.5,75.0,2935.16,,,,,3206.51,,24763.32,1492.0,,1008.0,,33404.990000000005,0.0878659146432913,,,,,0.09598895254870604,,0.7413060144607136,0.04466398582966197,,0.03017513251762685,,1.0,0.04393295732164565,,,,,0.03199631751623535,,0.030887750602529736,0.04466398582966197,,0.03017513251762685,,2.0,,,,,3.0,,24.0,1.0,,1.0,,2.0,,,,,3.0,,19.0,1.0,,1.0,
日向市議会議員選挙（2011年04月24日投票）,日向市議会議員選挙,宮崎県,日向市,20110424.0,2011.0,4.0,24.0,20110417.0,61.19,22.0,27.0,1.2272727272727273,50865.0,,,-36.0,任期満了,66.05,,,,日向市議会議員選挙（2011年04月24日投票）,1.0,27.0,22.0,1.2272727272727273,0.0,0.0,0.0,0.07407407407407407,0.045454545454545456,0.7777777777777778,0.2222222222222222,0.0,0.8181818181818182,0.18181818181818182,0.0,0.7600090477267587,0.23999095227324135,,0.036190907034607554,0.03999849204554023,,30947.0,6.0,,,,,,,,,,,,,,,3037.0,,,,,2361.0,1415.0,21742.0,1347.0,,1045.0,,30947.0,0.09813552202152066,,,,,0.07629172456134682,0.045723333441044366,0.7025559828093192,0.04352602837108605,,0.03376740879568294,,1.0,0.04906776101076033,,,,,0.03814586228067341,0.045723333441044366,0.03512779914046596,0.04352602837108605,,0.03376740879568294,,2.0,,,,,2.0,1.0,20.0,1.0,,1.0,,2.0,,,,,2.0,1.0,15.0,1.0,,1.0,
日向市議会議員選挙（2015年04月26日投票）,日向市議会議員選挙,宮崎県,日向市,20150426.0,2015.0,4.0,26.0,20150419.0,53.96,22.0,25.0,1.1363636363636365,50252.0,,,-613.0,任期満了,61.19,,,,日向市議会議員選挙（2015年04月26日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.08,0.09090909090909091,0.6,0.36,0.04,0.6818181818181818,0.2727272727272727,0.045454545454545456,0.6806445494104958,0.27453825268717225,0.04481719790233198,0.045376303294033055,0.030504250298574693,0.04481719790233198,26886.999999999996,6.0,59.08,11.606618801356406,33.0,53.0,60.0,66.0,80.0,59.36363636363637,10.106458126750864,33.0,53.5,60.5,66.0,73.0,2729.0,,,381.51,,3168.79,1281.0,17768.7,1558.0,,,,26887.0,0.10149886562279169,,,0.014189385204745787,,0.11785584111280545,0.04764384274928404,0.6608658459478559,0.057946219362517204,,,,1.0,0.05074943281139584,,,0.014189385204745787,,0.03928528037093515,0.04764384274928404,0.03887446152634447,0.057946219362517204,,,,2.0,,,1.0,,3.0,1.0,17.0,1.0,,,,2.0,,,0.0,,3.0,1.0,15.0,1.0,,,
日向市議会議員選挙（2019年04月21日投票）,日向市議会議員選挙,宮崎県,日向市,20190421.0,2019.0,4.0,21.0,20190414.0,48.98,20.0,22.0,1.1,50155.0,,,-97.0,任期満了,53.96,,,,日向市議会議員選挙（2019年04月21日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.05,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.75,0.2,0.05,0.7047396120546954,0.24188138963471978,0.05337899831058482,0.04145527129733502,0.060470347408679945,0.05337899831058482,24411.998,6.0,61.22727272727273,10.072157023569382,37.0,56.25,64.0,70.0,74.0,61.35,10.07112208246926,37.0,56.75,64.0,70.0,74.0,2477.0,1053.0,,,,1944.088,,16754.91,1171.0,1012.0,,,24411.998,0.10146650020207276,0.043134527538466944,,,,0.07963657870199727,,0.6863391517564437,0.04796821628446799,0.04145502551655133,,,1.0,0.05073325010103638,0.043134527538466944,,,,0.03981828935099863,,0.045755943450429576,0.04796821628446799,0.04145502551655133,,,2.0,1.0,,,,2.0,,15.0,1.0,1.0,,,2.0,1.0,,,,1.0,,14.0,1.0,1.0,,
木城町議会議員選挙（2007年04月22日投票）,木城町議会議員選挙,宮崎県,木城町,20070422.0,2007.0,4.0,22.0,20070417.0,82.19,10.0,13.0,1.3,4403.0,,,,任期満了,,,,,木城町議会議員選挙（2007年04月22日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.6,0.3,0.1,0.5956197183098592,0.3038169014084507,0.10056338028169014,0.06617996870109547,0.10127230046948356,0.10056338028169014,3550.0,1.0,61.76923076923077,6.576810615322786,51.0,57.0,62.0,69.0,70.0,61.6,6.843975452907469,51.0,55.25,63.0,68.5,69.0,,,,,,,,3550.0,,,,,3550.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.07692307692307693,,,,,,,,,,,,13.0,,,,,,,,,,,,10.0,,,,
木城町議会議員選挙（2011年04月24日投票）,木城町議会議員選挙,宮崎県,木城町,20110424.0,2011.0,4.0,24.0,20110419.0,80.17,10.0,13.0,1.3,4352.0,,,-51.0,任期満了,82.19,,,,木城町議会議員選挙（2011年04月24日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.0,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.7,0.2,0.1,0.5915042187954611,0.3491416933372127,0.059354087867326155,0.08450060268506587,0.06982833866744254,0.059354087867326155,3437.0,1.0,,,,,,,,,,,,,,,,,,,,,,3437.0,,,,,3437.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.07692307692307693,,,,,,,,,,,,13.0,,,,,,,,,,,,10.0,,,,
木城町議会議員選挙（2015年04月26日投票）,木城町議会議員選挙,宮崎県,木城町,20150426.0,2015.0,4.0,26.0,20150421.0,79.63,10.0,13.0,1.3,4330.0,,,-22.0,任期満了,80.17,,,,木城町議会議員選挙（2015年04月26日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.1,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.5,0.4,0.1,0.4958799293702178,0.4429075927015892,0.06121247792819305,0.07083998991003111,0.08858151854031784,0.06121247792819305,3398.0,1.0,64.38461538461539,9.110758319687957,38.0,61.0,65.0,68.0,77.0,62.3,8.54458893101359,38.0,61.25,65.0,67.0,69.0,,,,,,,,3398.0,,,,,3398.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.07692307692307693,,,,,,,,,,,,13.0,,,,,,,,,,,,10.0,,,,
