,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_庶民党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_老人福祉人権党,得票数_老人福祉党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_庶民党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_老人福祉人権党,得票率_老人福祉党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_庶民党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_老人福祉人権党,一人あたり得票率_老人福祉党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_庶民党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_老人福祉人権党,立候補者数_老人福祉党,立候補者数_自由党,立候補者数_自由民主党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_庶民党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_老人福祉人権党,当選者数_老人福祉党,当選者数_自由党,当選者数_自由民主党
日出町議会議員補欠選挙（2016年08月28日投票）,日出町議会議員補欠選挙,大分県,日出町,20160828.0,2016.0,8.0,28.0,20160823.0,58.48,1.0,3.0,3.0,23418.0,,,212.0,任期満了,31.07,,,,日出町議会議員補欠選挙（2016年08月28日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,,0.3843769866497139,0.6156230133502861,,0.3843769866497139,0.30781150667514307,12584.0,0.0,64.0,1.632993161855452,62.0,63.0,64.0,65.0,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日出町議会議員選挙（2006年03月26日投票）,日出町議会議員選挙,大分県,日出町,20060326.0,2006.0,3.0,26.0,20060321.0,70.62,16.0,17.0,1.0625,22201.0,,,,任期満了,,,,,日出町議会議員選挙（2006年03月26日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.058823529411764705,,,15544.99,3.0,59.88235294117647,8.844289303680496,41.0,53.0,61.0,67.0,75.0,60.0625,9.086175969570476,41.0,52.75,62.0,67.25,75.0,,1460.26,,,,1036.02,,,,13048.710000000001,,,,,,,15544.990000000002,,0.09393766094413697,,,,0.06664655300518044,,,,0.8394157860506826,,,,,,,1.0,,0.09393766094413697,,,,0.06664655300518044,,,,0.055961052403378835,,,,,,,,1.0,,,,1.0,,,,15.0,,,,,,,,1.0,,,,1.0,,,,14.0,,,,,,
日出町議会議員選挙（2010年03月28日投票）,日出町議会議員選挙,大分県,日出町,20100328.0,2010.0,3.0,28.0,20100323.0,65.33,16.0,19.0,1.1875,22705.0,,,504.0,任期満了,70.62,,,,日出町議会議員選挙（2010年03月28日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.6842105263157895,0.21052631578947367,0.10526315789473684,0.75,0.1875,0.0625,0.7289865922548152,0.1770911318314844,0.0939222759137004,0.05607589171190886,0.0442727829578711,0.0469611379568502,14693.0,4.0,62.578947368421055,9.604361889944558,45.0,56.5,65.0,71.0,80.0,61.125,8.72406871820712,45.0,56.25,62.0,68.75,72.0,,1430.0,,,,1037.69,,,,12201.31,,,24.0,,,,14693.0,,0.09732525692506636,,,,0.0706247873136868,,,,0.8304165248757912,,,0.001633430885455659,,,,1.0,,0.09732525692506636,,,,0.0706247873136868,,,,0.05190103280473695,,,0.001633430885455659,,,,,1.0,,,,1.0,,,,16.0,,,1.0,,,,,1.0,,,,1.0,,,,14.0,,,0.0,,,
日出町議会議員選挙（2014年03月30日投票）,日出町議会議員選挙,大分県,日出町,20140330.0,2014.0,3.0,30.0,20140325.0,62.16,16.0,20.0,1.25,,,,,任期満了,65.33,,,,日出町議会議員選挙（2014年03月30日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.05,0.0625,0.6,0.4,0.0,0.625,0.375,0.0,0.6371747801762274,0.36282521982377264,,0.05309789834801895,0.04535315247797158,,14116.99,4.0,59.2,10.957189420649804,36.0,52.75,59.5,64.5,79.0,57.75,9.640409742329421,36.0,52.75,58.5,62.25,76.0,,1226.0,,,,777.53,,,,12087.46,,,,26.0,,,14116.99,,0.08684570861068826,,,,0.055077605070202644,,,,0.8562349339342168,,,,0.0018417523848922469,,,1.0,,0.08684570861068826,,,,0.055077605070202644,,,,0.05036676081965981,,,,0.0018417523848922469,,,,1.0,,,,1.0,,,,17.0,,,,1.0,,,,1.0,,,,1.0,,,,14.0,,,,0.0,,
日出町議会議員選挙（2018年03月25日投票）,日出町議会議員選挙,大分県,日出町,20180325.0,2018.0,3.0,25.0,20180320.0,61.88,16.0,20.0,1.25,23462.0,,,,任期満了,62.16,,,,日出町議会議員選挙（2018年03月25日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.15,0.1875,0.6,0.4,0.0,0.6875,0.3125,0.0,0.6599407072470697,0.3400592927529304,,0.05499505893725581,0.0425074115941163,,14392.99,0.0,57.2,9.967948635501688,35.0,49.75,59.5,64.25,74.0,57.4375,8.86685365560975,35.0,52.25,59.5,64.25,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日田市議会議員増員選挙（2005年04月24日投票）,日田市議会議員増員選挙,大分県,日田市,20050424.0,2005.0,4.0,24.0,20050417.0,83.53,0.0,14.0,,11697.0,,,,その他,,,,,日田市議会議員増員選挙（2005年04月24日投票）,5.0,14.0,8.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.07142857142857142,,9678.0,2.0,56.07142857142857,5.457161555689731,47.0,51.5,55.0,60.0,66.0,54.75,5.562148865321747,47.0,51.0,53.5,57.0,66.0,,,,,,1347.0,,,,8331.0,,,,,,,9678.0,,,,,,0.13918164910105393,,,,0.8608183508989461,,,,,,,1.0,,,,,,0.13918164910105393,,,,0.06621679622299585,,,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,,,1.0,,,,7.0,,,,,,
日田市議会議員選挙（1999年04月25日投票）,日田市議会議員選挙,大分県,日田市,19990425.0,1999.0,4.0,25.0,19990418.0,79.4,26.0,27.0,1.0384615384615383,48602.0,,,,任期満了,,,,,日田市議会議員選挙（1999年04月25日投票）,1.0,27.0,26.0,1.0384615384615385,0.0,0.0,0.0,0.07407407407407407,0.07692307692307693,0.7777777777777778,0.2222222222222222,0.0,0.8076923076923077,0.19230769230769232,0.0,0.789252397845224,0.21074760215477598,,0.03758344751643924,0.03512460035912933,,38055.0,4.0,58.77777777777778,6.865551869233515,46.0,52.0,60.0,64.0,72.0,58.61538461538461,6.94526359402813,46.0,52.0,59.0,64.5,72.0,,3703.0,,,,3574.0,,,,24063.0,6715.0,,,,,,38055.0,,0.0973065300223361,,,,0.09391669951386152,,,,0.6323216397319669,0.1764551307318355,,,,,,1.0,,0.04865326501116805,,,,0.04695834975693076,,,,0.03512897998510927,0.0352910261463671,,,,,,,2.0,,,,2.0,,,,18.0,5.0,,,,,,,2.0,,,,2.0,,,,17.0,5.0,,,,,
日田市議会議員選挙（2003年04月27日投票）,日田市議会議員選挙,大分県,日田市,20030427.0,2003.0,4.0,27.0,20030420.0,81.05,26.0,35.0,1.3461538461538465,48812.0,,,210.0,任期満了,79.4,,,,日田市議会議員選挙（2003年04月27日投票）,1.0,35.0,26.0,1.3461538461538463,0.0,0.0,0.0,0.14285714285714285,0.11538461538461539,0.4857142857142857,0.5142857142857142,0.0,0.46153846153846156,0.5384615384615384,0.0,0.4510114425827544,0.5489885574172456,,0.026530084857809083,0.03049936430095809,,39152.0,4.0,57.31428571428572,7.995611040962871,29.0,54.5,57.0,61.0,70.0,56.69230769230769,8.235800044128311,29.0,54.25,57.0,60.0,69.0,,3074.0,,,,2967.0,,,,29064.0,4047.0,,,,,,39152.0,,0.07851450756027789,,,,0.07578156926849203,,,,0.7423375561912546,0.10336636697997548,,,,,,1.0,,0.039257253780138945,,,,0.025260523089497344,,,,0.028551444468894408,0.02584159174499387,,,,,,,2.0,,,,3.0,,,,26.0,4.0,,,,,,,2.0,,,,2.0,,,,19.0,3.0,,,,,
日田市議会議員選挙（2007年04月22日投票）,日田市議会議員選挙,大分県,日田市,20070422.0,2007.0,4.0,22.0,20070415.0,78.51,28.0,35.0,1.25,59677.0,,,10865.0,任期満了,81.05,,,,日田市議会議員選挙（2007年04月22日投票）,1.0,35.0,28.0,1.25,0.0,0.0,0.0,0.11428571428571428,0.10714285714285714,0.7714285714285715,0.14285714285714285,0.08571428571428572,0.8571428571428571,0.14285714285714285,0.0,0.8128057584965841,0.1513760479300015,0.03581819357341436,0.030103916981354967,0.0302752095860003,0.011939397857804788,46401.0,5.0,58.2,7.550969663370583,33.0,54.5,59.0,63.5,71.0,57.035714285714285,7.622720468896834,33.0,53.0,57.5,62.25,70.0,,3073.0,,,,4076.49,,1345.0,,36380.26,1526.25,,,,,,46401.0,,0.06622702096937566,,,,0.08785349453675567,,0.02898644425766686,,0.7840404301631431,0.03289261007305877,,,,,,1.0,,0.03311351048468783,,,,0.029284498178918556,,0.02898644425766686,,0.028001443934397966,0.03289261007305877,,,,,,,2.0,,,,3.0,,1.0,,28.0,1.0,,,,,,,2.0,,,,3.0,,1.0,,21.0,1.0,,,,,
日田市議会議員選挙（2011年04月24日投票）,日田市議会議員選挙,大分県,日田市,20110424.0,2011.0,4.0,24.0,20110417.0,69.31,24.0,25.0,1.0416666666666667,57977.0,,,-1700.0,任期満了,78.51,,,,日田市議会議員選挙（2011年04月24日投票）,1.0,25.0,24.0,1.0416666666666667,0.0,0.0,0.0,0.08,0.08333333333333333,0.68,0.32,0.0,0.7083333333333334,0.2916666666666667,0.0,0.7194676211842403,0.2805323788157596,,0.04232162477554355,0.03506654735196995,,39671.0,5.0,,,,,,,,58.75,7.784867800204873,29.0,55.75,59.5,63.0,70.0,,3175.0,,,,4206.0,,1725.0,,28753.0,1812.0,,,,,,39671.0,,0.08003327367598498,,,,0.1060220312066749,,0.0434826447530942,,0.7247863678757783,0.045675682488467644,,,,,,1.0,,0.04001663683799249,,,,0.035340677068891636,,0.0434826447530942,,0.04026590932643213,0.045675682488467644,,,,,,,2.0,,,,3.0,,1.0,,18.0,1.0,,,,,,,2.0,,,,3.0,,1.0,,17.0,1.0,,,,,
