,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_諸,得票数_sum_v,得票率_公明党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_諸,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_諸,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_諸,当選者数_公明党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_諸
倉吉市議会議員選挙（2009年10月04日投票）,倉吉市議会議員選挙,鳥取県,倉吉市,20091004.0,2009.0,10.0,4.0,20090927.0,67.6,20.0,25.0,1.25,41390.0,,,-975.0,任期満了,71.28,,,,倉吉市議会議員選挙（2009年10月04日投票）,1.0,25.0,20.0,1.25,0.0,0.0,0.0,0.08,0.1,0.76,0.12,0.12,0.8,0.1,0.1,0.8052927315570056,0.10607214065615371,0.08863512778684067,0.04238382797668451,0.035357380218717906,0.029545042595613556,27585.0,4.0,59.12,5.58082431187365,45.0,57.0,60.0,61.0,72.0,58.9,5.965735495309861,45.0,57.5,59.5,61.25,72.0,3976.0,,,849.0,2606.6800000000003,20153.32,,,,,27585.0,0.1441363059633859,,,0.030777596519847742,0.0944962842124343,0.730589813304332,,,,,1.0,0.04804543532112863,,,0.030777596519847742,0.04724814210621715,0.03845209543707011,,,,,3.0,,,1.0,2.0,19.0,,,,,3.0,,,0.0,2.0,15.0,,,,
倉吉市議会議員選挙（2013年10月06日投票）,倉吉市議会議員選挙,鳥取県,倉吉市,20131006.0,2013.0,10.0,6.0,20130929.0,,17.0,20.0,1.1764705882352942,40563.0,,,-827.0,任期満了,67.6,,,,倉吉市議会議員選挙（2013年10月06日投票）,1.0,20.0,17.0,1.1764705882352942,0.0,0.0,0.0,0.1,0.0,0.85,0.1,0.05,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.8263880402460385,0.11878284247830868,0.054829117275652775,0.04861106119094344,0.05939142123915434,0.054829117275652775,24549.0,5.0,62.5,5.886425061104575,49.0,60.0,63.0,65.0,76.0,62.35294117647059,4.549611185334002,49.0,60.0,63.0,65.0,71.0,3531.0,,,1346.0,2008.38,16094.619999999999,,,1569.0,,24549.0,0.14383477942075035,,,0.054829117275652775,0.08181107173408286,0.6556120412236751,,,0.06391299034583893,,1.0,0.07191738971037517,,,0.054829117275652775,0.04090553586704143,0.046829431515976794,,,0.06391299034583893,,2.0,,,1.0,2.0,14.0,,,1.0,,2.0,,,1.0,2.0,11.0,,,1.0,
倉吉市議会議員選挙（2017年10月01日投票）,倉吉市議会議員選挙,鳥取県,倉吉市,20171001.0,2017.0,10.0,1.0,20170924.0,,17.0,21.0,1.2352941176470589,40099.0,,,-464.0,任期満了,,,,,倉吉市議会議員選挙（2017年10月01日投票）,1.0,21.0,17.0,1.2352941176470589,0.0,0.0,0.0,0.09523809523809523,0.11764705882352941,0.7142857142857143,0.23809523809523808,0.047619047619047616,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.7168909198612169,0.23144622154523145,0.051662858593551665,0.04779272799074779,0.04628924430904629,0.051662858593551665,23634.0,0.0,62.38095238095238,9.094614787916504,37.0,59.0,64.0,69.0,75.0,63.11764705882353,7.275117568818967,44.0,62.0,64.0,69.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八頭町議会議員補欠選挙（2014年05月18日投票）,八頭町議会議員補欠選挙,鳥取県,八頭町,20140518.0,2014.0,5.0,18.0,20140513.0,69.35,1.0,2.0,2.0,,,,,その他,,,,,八頭町議会議員補欠選挙（2014年05月18日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,9705.0,1.0,41.0,5.0,36.0,38.5,41.0,43.5,46.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0,,,,,,9705.0,,,,,9705.0,,,,,,1.0,,,,,1.0,,,,,,0.5,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,
八頭町議会議員選挙（2005年04月24日投票）,八頭町議会議員選挙,鳥取県,八頭町,20050424.0,2005.0,4.0,24.0,20050419.0,,0.0,33.0,,16092.0,,,,その他,,,,,八頭町議会議員選挙（2005年04月24日投票）,3.0,33.0,21.0,1.5714285714285714,0.0,0.0,0.0,0.09090909090909091,0.047619047619047616,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.030303030303030304,,13574.0,2.0,59.696969696969695,6.510992329921288,47.0,56.0,58.0,64.0,76.0,59.95238095238095,6.074742326310291,47.0,56.0,61.0,64.0,69.0,,,,1008.0,,12566.0,,,,,13574.0,,,,0.07425961396787976,,0.9257403860321203,,,,,1.0,,,,0.024753204655959923,,0.03085801286773734,,,,,,,,3.0,,30.0,,,,,,,,1.0,,20.0,,,,
八頭町議会議員選挙（2009年04月12日投票）,八頭町議会議員選挙,鳥取県,八頭町,20090412.0,2009.0,4.0,12.0,20090407.0,76.79,18.0,19.0,1.0555555555555556,15839.0,,,-253.0,任期満了,,,,,八頭町議会議員選挙（2009年04月12日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,0.7894736842105263,0.21052631578947367,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7799966705510238,0.2200033294489762,,0.051999778036734924,0.05500083236224405,,12014.0,2.0,62.473684210526315,5.770783227445971,51.0,60.0,61.0,67.0,73.0,62.166666666666664,5.7759078170544855,51.0,60.0,61.0,66.5,73.0,,,,1213.88,,10800.119999999999,,,,,12014.0,,,,0.10103878808057268,,0.8989612119194272,,,,,1.0,,,,0.05051939404028634,,0.05288007128937807,,,,,,,,2.0,,17.0,,,,,,,,2.0,,16.0,,,,
八頭町議会議員選挙（2013年04月14日投票）,八頭町議会議員選挙,鳥取県,八頭町,20130414.0,2013.0,4.0,14.0,20130409.0,69.8,16.0,17.0,1.0625,,,,,任期満了,76.79,,,,八頭町議会議員選挙（2013年04月14日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.0625,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.8125,0.125,0.0625,0.8186582809224319,0.12702496664760815,0.05431675242995998,0.05847559149445942,0.06351248332380408,0.05431675242995998,10494.0,2.0,64.88235294117646,6.360561878076833,55.0,61.0,64.0,68.0,77.0,64.375,6.213644260818284,55.0,60.5,64.0,66.5,77.0,,,,1139.67,,9354.33,,,,,10494.0,,,,0.10860205831903946,,0.8913979416809605,,,,,1.0,,,,0.05430102915951973,,0.05942652944539737,,,,,,,,2.0,,15.0,,,,,,,,1.0,,15.0,,,,
八頭町議会議員選挙（2017年04月16日投票）,八頭町議会議員選挙,鳥取県,八頭町,20170416.0,2017.0,4.0,16.0,20170411.0,無投票,14.0,14.0,1.0,,,,,任期満了,69.8,,,,八頭町議会議員選挙（2017年04月16日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.21428571428571427,0.21428571428571427,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.07142857142857142,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八頭町議会議員選挙（2021年04月11日投票）,八頭町議会議員選挙,鳥取県,八頭町,20210411.0,2021.0,4.0,11.0,20210406.0,71.22,14.0,21.0,1.5,14164.0,6757.0,7407.0,,任期満了,,,,,八頭町議会議員選挙（2021年04月11日投票）,1.0,21.0,14.0,1.5,0.0,0.0,0.0,0.19047619047619047,0.2857142857142857,0.6190476190476191,0.38095238095238093,0.0,0.5714285714285714,0.42857142857142855,0.0,0.5350273589745309,0.46497264102546926,,0.04115595069034853,0.05812158012818366,,9997.999,3.0,60.857142857142854,12.016994768464622,35.0,53.0,63.0,71.0,78.0,57.285714285714285,12.95281862005647,35.0,48.5,59.5,65.5,78.0,711.0,,,401.20300000000003,,8885.796,,,,,9997.999,0.07111422995741448,,,0.040128329678768726,,0.8887574403638169,,,,,1.0,0.07111422995741448,,,0.040128329678768726,,0.04677670738756931,,,,,1.0,,,1.0,,19.0,,,,,1.0,,,1.0,,12.0,,,,
北栄町議会議員選挙（2005年10月23日投票）,北栄町議会議員選挙,鳥取県,北栄町,20051023.0,2005.0,10.0,23.0,20051018.0,85.99,18.0,22.0,1.2222222222222223,13452.0,,,,その他,,,,,北栄町議会議員選挙（2005年10月23日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.09090909090909091,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.045454545454545456,,11406.0,3.0,53.95454545454545,11.331682346120916,28.0,48.5,54.5,61.75,74.0,55.611111111111114,10.599470054304543,32.0,50.25,55.5,64.25,74.0,988.0,,,462.0,,9956.0,,,,,11406.0,0.08662107662633702,,,0.04050499736980537,,0.8728739260038576,,,,,1.0,0.08662107662633702,,,0.04050499736980537,,0.04364369630019288,,,,,1.0,,,1.0,,20.0,,,,,1.0,,,1.0,,16.0,,,,
北栄町議会議員選挙（2009年10月04日投票）,北栄町議会議員選挙,鳥取県,北栄町,20091004.0,2009.0,10.0,4.0,20090929.0,76.37,15.0,16.0,1.0666666666666669,13179.0,,,-273.0,任期満了,85.99,,,,北栄町議会議員選挙（2009年10月04日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.125,0.06666666666666667,0.875,0.125,0.0,0.8666666666666667,0.13333333333333333,0.0,0.8791286015460296,0.12087139845397049,,0.06279490011043068,0.060435699226985246,,9961.0,4.0,57.6875,10.82658042735563,32.0,53.5,59.5,65.25,71.0,57.666666666666664,11.181333651323628,32.0,53.0,60.0,65.5,71.0,1036.0,,,445.0,759.0,7721.0,,,,,9961.0,0.10400562192550948,,,0.044674229495030617,0.07619716895893987,0.77512297962052,,,,,1.0,0.10400562192550948,,,0.044674229495030617,0.07619716895893987,0.05962484458619385,,,,,1.0,,,1.0,1.0,13.0,,,,,1.0,,,1.0,1.0,12.0,,,,
北栄町議会議員選挙（2013年10月06日投票）,北栄町議会議員選挙,鳥取県,北栄町,20131006.0,2013.0,10.0,6.0,20131001.0,,15.0,16.0,1.0666666666666669,,,,,任期満了,76.37,,,,北栄町議会議員選挙（2013年10月06日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.1875,0.2,0.6875,0.25,0.0625,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.6266346992153444,0.3042720139494333,0.06909328683522233,0.05696679083775858,0.07606800348735833,0.06909328683522233,9176.0,4.0,59.625,10.421582173547355,36.0,54.75,60.0,68.25,74.0,61.2,8.726969691708572,40.0,55.5,62.0,68.5,74.0,1013.0,,,442.0,612.0,7109.0,,,,,9176.0,0.11039668700959024,,,0.0481691368788143,0.06669572798605057,0.7747384481255449,,,,,1.0,0.11039668700959024,,,0.0481691368788143,0.06669572798605057,0.059595265240426534,,,,,1.0,,,1.0,1.0,13.0,,,,,1.0,,,1.0,1.0,12.0,,,,
北栄町議会議員選挙（2017年10月01日投票）,北栄町議会議員選挙,鳥取県,北栄町,20171001.0,2017.0,10.0,1.0,20170926.0,,15.0,16.0,1.0666666666666669,12727.0,,,,任期満了,,,,,北栄町議会議員選挙（2017年10月01日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.125,0.13333333333333333,0.75,0.1875,0.0625,0.8,0.2,0.0,0.7617437929828651,0.2013055134631076,0.036950693554027275,0.06347864941523876,0.06710183782103586,0.036950693554027275,8579.0,0.0,61.125,8.992184106211349,40.0,58.0,61.5,66.0,77.0,62.53333333333333,7.3834650101124994,44.0,58.5,62.0,66.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南部町議会議員選挙（2008年10月19日投票）,南部町議会議員選挙,鳥取県,南部町,20081019.0,2008.0,10.0,19.0,20081014.0,82.26,14.0,15.0,1.0714285714285714,9857.0,,,,任期満了,,,,,南部町議会議員選挙（2008年10月19日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.8,0.2,0.0,0.7857142857142857,0.21428571428571427,0.0,0.7581308411214953,0.2418691588785047,,0.06317757009345794,0.08062305295950156,,8025.0,3.0,59.46666666666667,5.487764167268447,49.0,55.5,61.0,63.0,69.0,59.214285714285715,5.59564334905254,49.0,55.25,61.0,62.75,69.0,808.0,,,1293.0,,5924.0,,,,,8025.0,0.10068535825545172,,,0.1611214953271028,,0.7381931464174455,,,,,1.0,0.10068535825545172,,,0.05370716510903426,,0.0671084678561314,,,,,1.0,,,3.0,,11.0,,,,,1.0,,,3.0,,10.0,,,,
南部町議会議員選挙（2012年10月14日投票）,南部町議会議員選挙,鳥取県,南部町,20121014.0,2012.0,10.0,14.0,20121009.0,79.13,14.0,15.0,1.0714285714285714,9567.0,,,-290.0,任期満了,82.26,,,,南部町議会議員選挙（2012年10月14日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,0.7333333333333333,0.2,0.06666666666666667,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.676215856095936,0.23690872751499,0.08687541638907395,0.061474168735994185,0.07896957583833,0.08687541638907395,7505.0,3.0,59.93333333333333,6.51630433775328,43.0,58.0,60.0,65.5,70.0,60.0,6.740072064048828,43.0,58.0,60.0,65.75,70.0,726.0,,,1307.0,,5472.0,,,,,7505.0,0.09673550966022651,,,0.17415056628914058,,0.7291139240506329,,,,,1.0,0.09673550966022651,,,0.05805018876304686,,0.06628308400460299,,,,,1.0,,,3.0,,11.0,,,,,1.0,,,3.0,,10.0,,,,
南部町議会議員選挙（2016年10月16日投票）,南部町議会議員選挙,鳥取県,南部町,20161016.0,2016.0,10.0,16.0,20161011.0,71.51,14.0,15.0,1.0714285714285714,9428.0,,,-139.0,任期満了,79.13,,,,南部町議会議員選挙（2016年10月16日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.6666666666666666,0.3333333333333333,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6536854670247687,0.3463145329752313,,0.06536854670247687,0.06926290659504626,,6702.0,0.0,62.333333333333336,6.352602266438184,47.0,59.0,63.0,65.5,74.0,62.214285714285715,6.559383370720273,47.0,58.5,62.5,65.75,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南部町議会議員選挙（2020年10月18日投票）,南部町議会議員選挙,鳥取県,南部町,20201018.0,2020.0,10.0,18.0,20201013.0,無投票,14.0,14.0,1.0,,,,,任期満了,71.51,,,,南部町議会議員選挙（2020年10月18日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.07142857142857142,,,,,,,0.0,3.0,63.857142857142854,7.6983963344614175,46.0,61.25,66.0,67.75,78.0,63.857142857142854,7.6983963344614175,46.0,61.25,66.0,67.75,78.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,10.0,,,,,1.0,,,3.0,,10.0,,,,
境港市議会議員補欠選挙（2008年07月13日投票）,境港市議会議員補欠選挙,鳥取県,境港市,20080713.0,2008.0,7.0,13.0,20080706.0,37.15,2.0,3.0,1.5,29508.0,,,,その他,,,,,境港市議会議員補欠選挙（2008年07月13日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,10617.0,2.0,56.333333333333336,8.379870059984356,45.0,52.0,59.0,62.0,65.0,52.0,7.0,45.0,48.5,52.0,55.5,59.0,,,,2946.0,,7671.0,,,,,10617.0,,,,0.277479513987002,,0.722520486012998,,,,,1.0,,,,0.277479513987002,,0.361260243006499,,,,,,,,1.0,,2.0,,,,,,,,0.0,,2.0,,,,
境港市議会議員補欠選挙（2016年07月17日投票）,境港市議会議員補欠選挙,鳥取県,境港市,20160717.0,2016.0,7.0,17.0,20160710.0,51.95,1.0,3.0,3.0,29034.0,,,-474.0,退職,37.15,,,,境港市議会議員補欠選挙（2016年07月17日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,,0.25840671150246136,0.7415932884975387,,0.25840671150246136,0.37079664424876935,14423.0,0.0,62.333333333333336,4.642796092394707,56.0,60.0,64.0,65.5,67.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
境港市議会議員補欠選挙（2020年07月12日投票）,境港市議会議員補欠選挙,鳥取県,境港市,20200712.0,2020.0,7.0,12.0,20200705.0,62.24,2.0,3.0,1.5,28158.0,,,-876.0,"辞職/浜田佳尚氏の県議選出馬に伴う辞職（2018年10月15日付）佐名木知信氏の市長選出馬に伴う辞職(2020年3月20日付)による欠員。",51.95,,,,境港市議会議員補欠選挙（2020年07月12日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,16287.0,1.0,47.666666666666664,11.469767022723502,33.0,41.0,49.0,55.0,61.0,55.0,6.0,49.0,52.0,55.0,58.0,61.0,,,,,,16287.0,,,,,16287.0,,,,,,1.0,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,
境港市議会議員選挙（2006年02月12日投票）,境港市議会議員選挙,鳥取県,境港市,20060212.0,2006.0,2.0,12.0,20060205.0,65.81,16.0,17.0,1.0625,29873.0,,,,任期満了,,,,,境港市議会議員選挙（2006年02月12日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.6470588235294118,0.35294117647058826,0.0,0.6875,0.3125,0.0,0.6435679298788347,0.35643207012116523,,0.05850617544353043,0.059405345020194206,,19395.0,3.0,55.23529411764706,9.264285704757661,38.0,46.0,59.0,59.0,71.0,54.25,8.642193008721803,38.0,45.75,58.0,59.0,66.0,2586.0,,,1373.0,,15436.0,,,,,19395.0,0.13333333333333333,,,0.07079144109306522,,0.7958752255736015,,,,,1.0,0.06666666666666667,,,0.07079144109306522,,0.05684823039811439,,,,,2.0,,,1.0,,14.0,,,,,2.0,,,1.0,,13.0,,,,
境港市議会議員選挙（2010年02月07日投票）,境港市議会議員選挙,鳥取県,境港市,20100207.0,2010.0,2.0,7.0,20100131.0,64.73,16.0,17.0,1.0625,29373.0,,,-500.0,任期満了,65.81,,,,境港市議会議員選挙（2010年02月07日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.8235294117647058,0.17647058823529413,0.0,0.875,0.125,0.0,0.8465462274176409,0.1534537725823592,,0.06046758767268863,0.051151257527453066,,18820.0,3.0,57.05882352941177,7.944443772298415,42.0,49.0,61.0,63.0,66.0,57.125,8.184398267435427,42.0,48.25,61.0,63.0,66.0,2693.0,,,1834.0,,14293.0,,,,,18820.0,0.1430924548352816,,,0.09744952178533475,,0.7594580233793836,,,,,1.0,0.0715462274176408,,,0.048724760892667376,,0.05841984795226028,,,,,2.0,,,2.0,,13.0,,,,,2.0,,,2.0,,12.0,,,,
境港市議会議員選挙（2014年02月09日投票）,境港市議会議員選挙,鳥取県,境港市,20140209.0,2014.0,2.0,9.0,20140202.0,62.32,16.0,18.0,1.125,,,,,任期満了,64.73,,,,境港市議会議員選挙（2014年02月09日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.7222222222222222,0.2777777777777778,0.0,0.75,0.25,0.0,0.7213842017960304,0.2786157982039696,,0.05549109244584849,0.05572315964079392,,17483.0,5.0,55.833333333333336,11.10180165558726,27.0,50.0,56.5,65.0,70.0,55.0,11.472793905583766,27.0,49.5,51.5,65.5,70.0,3125.0,,,1775.0,736.0,10207.0,,,1640.0,,17483.0,0.17874506663616085,,,0.10152719784933936,0.0420980380941486,0.583824286449694,,,0.09380541097065721,,1.0,0.059581688878720285,,,0.05076359892466968,0.0420980380941486,0.05307493513179036,,,0.09380541097065721,,3.0,,,2.0,1.0,11.0,,,1.0,,3.0,,,2.0,1.0,9.0,,,1.0,
境港市議会議員選挙（2018年02月04日投票）,境港市議会議員選挙,鳥取県,境港市,20180204.0,2018.0,2.0,4.0,20180128.0,無投票,16.0,16.0,1.0,,,,,任期満了,62.32,,,,境港市議会議員選挙（2018年02月04日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0625,0.0625,0.9375,0.0625,0.0,0.9375,0.0625,0.0,,,,,,,0.0,0.0,58.8125,11.175971713904792,31.0,53.5,56.0,69.25,71.0,58.8125,11.175971713904792,31.0,53.5,56.0,69.25,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大山町議会議員選挙（2005年04月24日投票）,大山町議会議員選挙,鳥取県,大山町,20050424.0,2005.0,4.0,24.0,20050419.0,,0.0,32.0,,16071.0,,,,その他,,,,,大山町議会議員選挙（2005年04月24日投票）,3.0,32.0,21.0,1.5238095238095237,0.0,0.0,0.0,0.125,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.03125,,13176.0,2.0,59.15625,8.507751520672192,38.0,54.0,58.0,66.0,78.0,58.333333333333336,8.413896290878014,38.0,54.0,57.0,65.0,78.0,,,,207.0,,12969.0,,,,,13176.0,,,,0.015710382513661202,,0.9842896174863388,,,,,1.0,,,,0.015710382513661202,,0.03175127798343028,,,,,,,,1.0,,31.0,,,,,,,,0.0,,21.0,,,,
大山町議会議員選挙（2009年04月19日投票）,大山町議会議員選挙,鳥取県,大山町,20090419.0,2009.0,4.0,19.0,20090414.0,83.12,19.0,21.0,1.1052631578947372,15507.0,,,-564.0,任期満了,,,,,大山町議会議員選挙（2009年04月19日投票）,1.0,21.0,19.0,1.105263157894737,0.0,0.0,0.0,0.14285714285714285,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.0,0.6842105263157895,0.3157894736842105,0.0,0.67971833202203,0.3202816679779701,,0.048551309430145004,0.04575452399685287,,12710.0,2.0,57.19047619047619,9.698399709029308,27.0,54.0,60.0,61.0,73.0,57.63157894736842,9.75602661956506,27.0,55.0,60.0,62.0,73.0,,,,759.0,,11951.0,,,,,12710.0,,,,0.05971675845790716,,0.9402832415420929,,,,,1.0,,,,0.05971675845790716,,0.04701416207710464,,,,,,,,1.0,,20.0,,,,,,,,1.0,,18.0,,,,
大山町議会議員選挙（2013年04月21日投票）,大山町議会議員選挙,鳥取県,大山町,20130421.0,2013.0,4.0,21.0,20130416.0,79.26,16.0,17.0,1.0625,14788.0,,,-719.0,任期満了,83.12,,,,大山町議会議員選挙（2013年04月21日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.17647058823529413,0.1875,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.6875,0.25,0.0625,0.7391228529078385,0.22643648094864416,0.03444066614351731,0.06159357107565321,0.05660912023716104,0.03444066614351731,11469.0,2.0,60.94117647058823,9.776746651443167,37.0,56.0,64.0,66.0,77.0,60.875,10.073945354229394,37.0,55.75,64.0,66.5,77.0,,,,714.0,,10755.0,,,,,11469.0,,,,0.06225477373790217,,0.9377452262620978,,,,,1.0,,,,0.06225477373790217,,0.05860907664138111,,,,,,,,1.0,,16.0,,,,,,,,1.0,,15.0,,,,
大山町議会議員選挙（2017年04月16日投票）,大山町議会議員選挙,鳥取県,大山町,20170416.0,2017.0,4.0,16.0,20170411.0,75.77,16.0,19.0,1.1875,14236.0,,,-552.0,任期満了,79.26,,,,大山町議会議員選挙（2017年04月16日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.15789473684210525,0.125,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.8125,0.1875,0.0,0.7165317266051591,0.25217002447749953,0.03129824891734136,0.04776878177367727,0.08405667482583318,0.03129824891734136,10622.0,0.0,61.63157894736842,12.486668791432134,31.0,56.0,65.0,69.0,81.0,61.4375,13.261639934412335,31.0,56.75,64.5,69.25,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大山町議会議員選挙（2021年04月18日投票）,大山町議会議員選挙,鳥取県,大山町,20210418.0,2021.0,4.0,18.0,20210413.0,68.8,16.0,20.0,1.25,13457.0,6459.0,6998.0,-779.0,任期満了,75.77,,,,大山町議会議員選挙（2021年04月18日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.15,0.1875,0.7,0.25,0.05,0.75,0.25,0.0,0.7263410379415612,0.23724378543392935,0.036415176624509375,0.051881502710111514,0.04744875708678587,0.036415176624509375,9172.0,3.0,60.9,14.6181394164921,35.0,47.25,64.5,72.0,85.0,60.0,14.383149863642526,35.0,46.75,64.5,72.0,82.0,646.0,,,499.0,,8027.0,,,,,9172.0,0.07043174880069777,,,0.054404709986916704,,0.8751635412123855,,,,,1.0,0.07043174880069777,,,0.054404709986916704,,0.04862019673402142,,,,,1.0,,,1.0,,18.0,,,,,1.0,,,1.0,,14.0,,,,
岩美町議会議員補欠選挙（2012年07月22日投票）,岩美町議会議員補欠選挙,鳥取県,岩美町,20120722.0,2012.0,7.0,22.0,20120717.0,57.96,3.0,5.0,1.6666666666666667,10560.0,,,,その他,,,,,岩美町議会議員補欠選挙（2012年07月22日投票）,1.0,5.0,3.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.2,,6016.0,1.0,58.0,5.403702434442518,50.0,54.0,59.0,62.0,65.0,57.0,5.0990195135927845,50.0,54.5,59.0,60.5,62.0,,,,,,6016.0,,,,,6016.0,,,,,,1.0,,,,,1.0,,,,,,0.2,,,,,,,,,,5.0,,,,,,,,,,3.0,,,,
