,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_「人に優しく、自分に厳しく。」の会,得票数_こうべ未来フォーラム,得票数_さわやか神戸・フレッシュ市民の会,得票数_たちあがれ日本,得票数_みんなの党,得票数_三木新党8人のサムライ,得票数_住民投票党,得票数_公明党,得票数_参政党,得票数_国民民主党,得票数_地域ファースト丹波ささやま,得票数_地域政党たからづか,得票数_地域政党三田前進の会,得票数_市民力,得票数_幸福実現党,得票数_改革推進の会,得票数_新世代こうべ,得票数_新生宝塚,得票数_新社会党,得票数_日本共産党,得票数_日本創新党,得票数_日本維新の会,得票数_日本維新の党,得票数_民主党,得票数_民進党,得票数_河西維新の会,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_神戸市民クラブ,得票数_神戸志民党,得票数_神戸改革フォーラム,得票数_立憲民主党,得票数_維新の党,得票数_緑の党 グリーンズジャパン,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_蒼翠会,得票数_行革・市民の会,得票数_議員のたまご,得票数_sum_v,得票率_NHKから国民を守る党,得票率_「人に優しく、自分に厳しく。」の会,得票率_こうべ未来フォーラム,得票率_さわやか神戸・フレッシュ市民の会,得票率_たちあがれ日本,得票率_みんなの党,得票率_三木新党8人のサムライ,得票率_住民投票党,得票率_公明党,得票率_参政党,得票率_国民民主党,得票率_地域ファースト丹波ささやま,得票率_地域政党たからづか,得票率_地域政党三田前進の会,得票率_市民力,得票率_幸福実現党,得票率_改革推進の会,得票率_新世代こうべ,得票率_新生宝塚,得票率_新社会党,得票率_日本共産党,得票率_日本創新党,得票率_日本維新の会,得票率_日本維新の党,得票率_民主党,得票率_民進党,得票率_河西維新の会,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_神戸市民クラブ,得票率_神戸志民党,得票率_神戸改革フォーラム,得票率_立憲民主党,得票率_維新の党,得票率_緑の党 グリーンズジャパン,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_蒼翠会,得票率_行革・市民の会,得票率_議員のたまご,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_「人に優しく、自分に厳しく。」の会,一人あたり得票率_こうべ未来フォーラム,一人あたり得票率_さわやか神戸・フレッシュ市民の会,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_三木新党8人のサムライ,一人あたり得票率_住民投票党,一人あたり得票率_公明党,一人あたり得票率_参政党,一人あたり得票率_国民民主党,一人あたり得票率_地域ファースト丹波ささやま,一人あたり得票率_地域政党たからづか,一人あたり得票率_地域政党三田前進の会,一人あたり得票率_市民力,一人あたり得票率_幸福実現党,一人あたり得票率_改革推進の会,一人あたり得票率_新世代こうべ,一人あたり得票率_新生宝塚,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本創新党,一人あたり得票率_日本維新の会,一人あたり得票率_日本維新の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_河西維新の会,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_神戸市民クラブ,一人あたり得票率_神戸志民党,一人あたり得票率_神戸改革フォーラム,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党 グリーンズジャパン,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_蒼翠会,一人あたり得票率_行革・市民の会,一人あたり得票率_議員のたまご,立候補者数_NHKから国民を守る党,立候補者数_「人に優しく、自分に厳しく。」の会,立候補者数_こうべ未来フォーラム,立候補者数_さわやか神戸・フレッシュ市民の会,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_三木新党8人のサムライ,立候補者数_住民投票党,立候補者数_公明党,立候補者数_参政党,立候補者数_国民民主党,立候補者数_地域ファースト丹波ささやま,立候補者数_地域政党たからづか,立候補者数_地域政党三田前進の会,立候補者数_市民力,立候補者数_幸福実現党,立候補者数_改革推進の会,立候補者数_新世代こうべ,立候補者数_新生宝塚,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本創新党,立候補者数_日本維新の会,立候補者数_日本維新の党,立候補者数_民主党,立候補者数_民進党,立候補者数_河西維新の会,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_神戸市民クラブ,立候補者数_神戸志民党,立候補者数_神戸改革フォーラム,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党 グリーンズジャパン,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_蒼翠会,立候補者数_行革・市民の会,立候補者数_議員のたまご,当選者数_NHKから国民を守る党,当選者数_「人に優しく、自分に厳しく。」の会,当選者数_こうべ未来フォーラム,当選者数_さわやか神戸・フレッシュ市民の会,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_三木新党8人のサムライ,当選者数_住民投票党,当選者数_公明党,当選者数_参政党,当選者数_国民民主党,当選者数_地域ファースト丹波ささやま,当選者数_地域政党たからづか,当選者数_地域政党三田前進の会,当選者数_市民力,当選者数_幸福実現党,当選者数_改革推進の会,当選者数_新世代こうべ,当選者数_新生宝塚,当選者数_新社会党,当選者数_日本共産党,当選者数_日本創新党,当選者数_日本維新の会,当選者数_日本維新の党,当選者数_民主党,当選者数_民進党,当選者数_河西維新の会,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_神戸市民クラブ,当選者数_神戸志民党,当選者数_神戸改革フォーラム,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党 グリーンズジャパン,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_蒼翠会,当選者数_行革・市民の会,当選者数_議員のたまご
佐用町議会議員選挙（2018年04月22日投票）,佐用町議会議員選挙,兵庫県,佐用町,20180422.0,2018.0,4.0,22.0,20180417.0,68.83,14.0,15.0,1.0714285714285714,,,,,任期満了,,,,,佐用町議会議員選挙（2018年04月22日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.8,0.13333333333333333,0.06666666666666667,0.8571428571428571,0.14285714285714285,0.0,0.8545114119889098,0.11938535454938481,0.026103233461705424,0.07120928433240915,0.05969267727469241,0.026103233461705424,10151.999,3.0,63.266666666666666,7.523001764957626,44.0,60.5,64.0,69.0,72.0,62.785714285714285,7.560976613304579,44.0,60.25,64.0,68.25,72.0,,,,,,,,,1028.0,,,,,,,,,,,,1584.0,,,,,,,,7539.999,,,,,,,,,,,,,,10151.999,,,,,,,,,0.10126084527786104,,,,,,,,,,,,0.1560283841635524,,,,,,,,0.7427107705585866,,,,,,,,,,,,,,1.0,,,,,,,,,0.10126084527786104,,,,,,,,,,,,0.05200946138785081,,,,,,,,0.06751916095987151,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,10.0,,,,,,,,,,,,,
加古川市議会議員選挙（2006年07月09日投票）,加古川市議会議員選挙,兵庫県,加古川市,20060709.0,2006.0,7.0,9.0,20060702.0,50.86,33.0,36.0,1.0909090909090908,209424.0,,,,その他,,,,,加古川市議会議員選挙（2006年07月09日投票）,1.0,36.0,33.0,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.75,0.19444444444444445,0.05555555555555555,0.8181818181818182,0.12121212121212122,0.06060606060606061,0.8101367157269443,0.1468934246382019,0.04296985963485373,0.030005063545442384,0.020984774948314557,0.021484929817426866,104728.99,4.0,55.916666666666664,8.766650823813315,36.0,52.25,58.0,62.25,72.0,55.78787878787879,9.087979325886026,36.0,50.0,58.0,63.0,72.0,,,,,,,,,23258.0,,,,,,,,,,,2934.0,9159.0,,,,,,,,69377.99,,,,,,,,,,,,,,104728.99,,,,,,,,,0.22207795568352182,,,,,,,,,,,0.028015165619376257,0.08745429512878908,,,,,,,,0.6624525835683128,,,,,,,,,,,,,,1.0,,,,,,,,,0.037012992613920305,,,,,,,,,,,0.028015165619376257,0.02915143170959636,,,,,,,,0.025478945521858185,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,3.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,3.0,,,,,,,,23.0,,,,,,,,,,,,,
加古川市議会議員選挙（2010年06月13日投票）,加古川市議会議員選挙,兵庫県,加古川市,20100613.0,2010.0,6.0,13.0,20100606.0,49.56,31.0,39.0,1.2580645161290325,212153.0,,,2729.0,任期満了,50.86,,,,加古川市議会議員選挙（2010年06月13日投票）,1.0,39.0,31.0,1.2580645161290323,0.0,0.0,0.0,0.05128205128205128,0.06451612903225806,0.7435897435897436,0.2564102564102564,0.0,0.6774193548387096,0.3225806451612903,0.0,0.7166403300533901,0.2833596699466098,,0.024711735519082418,0.028335966994660983,,103638.99,5.0,,,,,,,,,,,,,,,,,,,,,,,20968.0,,,,,,,,,,,2332.0,7637.110000000001,,,,5296.0,,,,67405.88,,,,,,,,,,,,,,103638.99,,,,,,,,,0.2023176798616042,,,,,,,,,,,0.022501184158587418,0.07368954483249981,,,,0.051100459392743984,,,,0.6503911317545645,,,,,,,,,,,,,,1.0,,,,,,,,,0.03371961331026737,,,,,,,,,,,0.022501184158587418,0.024563181610833273,,,,0.025550229696371992,,,,0.02408856043535424,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,3.0,,,,2.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,3.0,,,,2.0,,,,19.0,,,,,,,,,,,,,
加古川市議会議員選挙（2014年06月22日投票）,加古川市議会議員選挙,兵庫県,加古川市,20140622.0,2014.0,6.0,22.0,20140615.0,52.48,31.0,33.0,1.064516129032258,214010.0,,,1857.0,任期満了,49.56,,,,加古川市議会議員選挙（2014年06月22日投票）,1.0,33.0,31.0,1.064516129032258,0.0,0.0,0.0,0.12121212121212122,0.12903225806451613,0.6060606060606061,0.3939393939393939,0.0,0.6129032258064516,0.3870967741935484,0.0,0.6460020125958315,0.35399798740416866,,0.03230010062979157,0.027230614415705283,,108607.996,4.0,52.96969696969697,8.536853612727722,33.0,45.0,54.0,59.0,68.0,53.41935483870968,8.612721998818271,33.0,45.5,55.0,59.0,68.0,,,,,,,,,21759.0,,,,,,,,,,,2525.0,10593.808,,,,,,,,73730.18800000001,,,,,,,,,,,,,,108607.99600000001,,,,,,,,,0.200344365068664,,,,,,,,,,,0.023248748646462456,0.09754169481223095,,,,,,,,0.6788651914726426,,,,,,,,,,,,,,1.0,,,,,,,,,0.033390727511444,,,,,,,,,,,0.023248748646462456,0.03251389827074365,,,,,,,,0.029515877890114894,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,3.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,3.0,,,,,,,,21.0,,,,,,,,,,,,,
加古川市議会議員選挙（2018年06月24日投票）,加古川市議会議員選挙,兵庫県,加古川市,20180624.0,2018.0,6.0,24.0,20180617.0,45.93,31.0,31.0,1.0,218400.0,,,4390.0,任期満了,52.48,,,,加古川市議会議員選挙（2018年06月24日投票）,1.0,35.0,31.0,1.1290322580645162,0.0,0.0,0.0,0.17142857142857143,0.1935483870967742,0.6285714285714286,0.34285714285714286,0.02857142857142857,0.6451612903225806,0.3225806451612903,0.03225806451612903,0.6180314243491964,0.3481712881760333,0.03379728747477033,0.02809233747041802,0.029014274014669442,0.03379728747477033,97640.97200000001,6.0,55.25714285714286,9.240726184027059,37.0,49.0,56.0,61.0,72.0,54.903225806451616,9.511808751399755,37.0,49.0,56.0,60.0,72.0,1194.0,,,,,,,,17084.0,,,,,,,,4052.454,,,,7949.0,,4243.0,,,,,,63118.518000000004,,,,,,,,,,,,,,97640.97200000001,0.012228473104507807,,,,,,,,0.17496753309665944,,,,,,,,0.04150362206554027,,,,0.08141049640513615,,0.043455118410742566,,,,,,0.6464347569174137,,,,,,,,,,,,,,1.0,0.012228473104507807,,,,,,,,0.034993506619331885,,,,,,,,0.020751811032770136,,,,0.02713683213504538,,0.043455118410742566,,,,,,0.028105858996409293,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,2.0,,,,3.0,,1.0,,,,,,23.0,,,,,,,,,,,,,,0.0,,,,,,,,5.0,,,,,,,,1.0,,,,3.0,,1.0,,,,,,21.0,,,,,,,,,,,,,
加東市議会議員選挙（2006年10月29日投票）,加東市議会議員選挙,兵庫県,加東市,20061029.0,2006.0,10.0,29.0,20061022.0,70.3,20.0,32.0,1.6,31499.0,,,,任期満了,,,,,加東市議会議員選挙（2006年10月29日投票）,1.0,32.0,20.0,1.6,0.0,0.0,0.0,0.03125,0.0,0.84375,0.15625,0.0,0.85,0.15,0.0,0.8711113648821487,0.12888863511785129,,0.03226338388452402,0.025777727023570257,,21892.0,4.0,58.59375,10.711732396652748,29.0,52.0,61.0,65.0,77.0,60.0,10.507140429250958,35.0,52.0,61.0,67.75,77.0,,,,,,,,,1512.0,,,,,,,,,,,,665.0,,,,518.0,,,,19197.0,,,,,,,,,,,,,,21892.0,,,,,,,,,0.06906632559839211,,,,,,,,,,,,0.030376393202996527,,,,0.023661611547597296,,,,0.8768956696510141,,,,,,,,,,,,,,1.0,,,,,,,,,0.06906632559839211,,,,,,,,,,,,0.030376393202996527,,,,0.023661611547597296,,,,0.030237781712103933,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,29.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.0,,,,18.0,,,,,,,,,,,,,
加東市議会議員選挙（2010年10月24日投票）,加東市議会議員選挙,兵庫県,加東市,20101024.0,2010.0,10.0,24.0,20101017.0,61.3,18.0,22.0,1.2222222222222223,31567.0,,,68.0,任期満了,70.3,,,,加東市議会議員選挙（2010年10月24日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.045454545454545456,0.05555555555555555,0.6818181818181818,0.22727272727272727,0.09090909090909091,0.7777777777777778,0.2222222222222222,0.0,0.6603434575775001,0.2781394740969209,0.06151706832557896,0.044022897171833344,0.05562789481938418,0.03075853416278948,19128.999999999996,3.0,,,,,,,,,,,,,,,,,,,,,,,1575.53,,,,,,,,,,,,579.0,,,,,,,,16974.47,,,,,,,,,,,,,,19129.0,,,,,,,,,0.08236342725704428,,,,,,,,,,,,0.03026817920434942,,,,,,,,0.8873683935386064,,,,,,,,,,,,,,1.0,,,,,,,,,0.08236342725704428,,,,,,,,,,,,0.03026817920434942,,,,,,,,0.044368419676930324,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,17.0,,,,,,,,,,,,,
加東市議会議員選挙（2014年10月26日投票）,加東市議会議員選挙,兵庫県,加東市,20141026.0,2014.0,10.0,26.0,20141019.0,56.78,16.0,21.0,1.3125,,,,,任期満了,61.3,,,,加東市議会議員選挙（2014年10月26日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.047619047619047616,0.0625,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.8125,0.1875,0.0,0.709924965893588,0.25540018190086405,0.034674852205547974,0.05460961276104523,0.036485740271552006,0.034674852205547974,17592.0,3.0,60.42857142857143,9.693254544964214,32.0,57.0,60.0,67.0,73.0,61.5625,7.373675728563062,43.0,57.75,60.0,67.5,73.0,,,,,,,,,1662.41,,,,,,,,,,,,701.0,,,,,,,,15228.59,,,,,,,,,,,,,,17592.0,,,,,,,,,0.0944980673033197,,,,,,,,,,,,0.039847658026375625,,,,,,,,0.8656542746703046,,,,,,,,,,,,,,1.0,,,,,,,,,0.0944980673033197,,,,,,,,,,,,0.039847658026375625,,,,,,,,0.045560751298437084,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,15.0,,,,,,,,,,,,,
加東市議会議員選挙（2018年10月21日投票）,加東市議会議員選挙,兵庫県,加東市,20181021.0,2018.0,10.0,21.0,20181014.0,51.49,16.0,18.0,1.125,,,,,任期満了,56.78,,,,加東市議会議員選挙（2018年10月21日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.7222222222222222,0.2777777777777778,0.0,0.75,0.25,0.0,0.7008305951718162,0.2991694048281837,,0.0539100457824474,0.05983388096563674,,16371.995,3.0,63.27777777777778,8.671828946880272,41.0,60.25,64.0,69.0,77.0,63.4375,8.845682209417202,41.0,60.75,64.0,69.0,77.0,,,,,,,,,1584.64,,,,,,,,,,,,644.0,,,,,,,,14143.355,,,,,,,,,,,,,,16371.994999999999,,,,,,,,,0.09678967040974544,,,,,,,,,,,,0.03933546278263584,,,,,,,,0.8638748668076188,,,,,,,,,,,,,,1.0,,,,,,,,,0.09678967040974544,,,,,,,,,,,,0.03933546278263584,,,,,,,,0.053992179175476177,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,14.0,,,,,,,,,,,,,
加西市議会議員選挙（2007年04月22日投票）,加西市議会議員選挙,兵庫県,加西市,20070422.0,2007.0,4.0,22.0,20070415.0,69.77,18.0,21.0,1.1666666666666667,39227.0,,,,解散,,,,,加西市議会議員選挙（2007年04月22日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.09523809523809523,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.2777777777777778,0.0,,0.30199216150262514,,,0.043141737357517876,,27046.0,4.0,55.904761904761905,8.383116603682051,32.0,53.0,57.0,60.0,71.0,55.05555555555556,8.573034094195993,32.0,52.25,56.0,59.0,71.0,,,,,,,,,2869.0,,,,,,,,,,,,1301.87,,,,,,,,22561.13,,,,,,,,,,314.0,,,,27046.0,,,,,,,,,0.10607853286992532,,,,,,,,,,,,0.04813539894993714,,,,,,,,0.8341762182947571,,,,,,,,,,0.011609849885380464,,,,1.0,,,,,,,,,0.05303926643496266,,,,,,,,,,,,0.04813539894993714,,,,,,,,0.0490691893114563,,,,,,,,,,0.011609849885380464,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,17.0,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,15.0,,,,,,,,,,0.0,,,
加西市議会議員選挙（2011年05月22日投票）,加西市議会議員選挙,兵庫県,加西市,20110522.0,2011.0,5.0,22.0,20110515.0,72.45,15.0,22.0,1.4666666666666666,38258.0,,,-969.0,任期満了,69.77,,,,加西市議会議員選挙（2011年05月22日投票）,1.0,22.0,15.0,1.4666666666666666,0.0,0.0,0.0,0.045454545454545456,0.06666666666666667,0.0,0.45454545454545453,0.0,0.0,0.4666666666666667,0.0,,0.42865001650346574,,,0.042865001650346575,,27267.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2062.0,,,,,,,,,,,,1454.0,,,,,,,,23751.0,,,,,,,,,,,,,,27267.0,,,,,,,,,0.07562254740162101,,,,,,,,,,,,0.05332453148494517,,,,,,,,0.8710529211134338,,,,,,,,,,,,,,1.0,,,,,,,,,0.07562254740162101,,,,,,,,,,,,0.05332453148494517,,,,,,,,0.04355264605567169,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,13.0,,,,,,,,,,,,,
加西市議会議員選挙（2015年05月17日投票）,加西市議会議員選挙,兵庫県,加西市,20150517.0,2015.0,5.0,17.0,20150510.0,65.96,15.0,19.0,1.2666666666666666,37081.0,,,-1177.0,任期満了,72.45,,,,加西市議会議員選挙（2015年05月17日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.21052631578947367,0.10526315789473684,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.7732275615732858,0.1432072102006064,0.0835652282261079,0.05947904319794506,0.0358018025501516,0.04178261411305395,24077.0,4.0,60.31578947368421,9.61387501467457,30.0,59.0,63.0,64.5,74.0,58.4,9.673331036066807,30.0,58.5,63.0,63.0,68.0,,,,,,,,,2091.0,,,,,,,,,,,,1341.0,,,,,,347.0,,20298.0,,,,,,,,,,,,,,24077.0,,,,,,,,,0.08684636790297795,,,,,,,,,,,,0.05569630767952818,,,,,,0.014412094530049425,,0.8430452298874445,,,,,,,,,,,,,,1.0,,,,,,,,,0.08684636790297795,,,,,,,,,,,,0.05569630767952818,,,,,,0.014412094530049425,,0.05269032686796528,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,16.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,0.0,,13.0,,,,,,,,,,,,,
加西市議会議員選挙（2019年05月19日投票）,加西市議会議員選挙,兵庫県,加西市,20190519.0,2019.0,5.0,19.0,20190512.0,62.68,15.0,17.0,1.1333333333333333,,,,,任期満了,65.96,,,,加西市議会議員選挙（2019年05月19日投票）,1.0,17.0,15.0,1.1333333333333333,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.6470588235294118,0.35294117647058826,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6704917952660412,0.3295082047339588,,0.06095379956964011,0.054918034122326466,,22709.999000000003,3.0,58.0,11.381098882124954,28.0,57.0,63.0,67.0,67.0,57.266666666666666,11.92457779359737,28.0,55.5,61.0,67.0,67.0,,,,,,,,,2053.0,,,,,,,,,,,,1158.0,,,,,,,,19498.999,,,,,,,,,,,,,,22709.999,,,,,,,,,0.09040070851610342,,,,,,,,,,,,0.050990755217558574,,,,,,,,0.858608536266338,,,,,,,,,,,,,,1.0,,,,,,,,,0.09040070851610342,,,,,,,,,,,,0.050990755217558574,,,,,,,,0.057240569084422536,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,13.0,,,,,,,,,,,,,
南あわじ市議会議員補欠選挙（2017年02月05日投票）,南あわじ市議会議員補欠選挙,兵庫県,南あわじ市,20170205.0,2017.0,2.0,5.0,20170129.0,無投票,1.0,1.0,1.0,,,,,任期満了,,,,,南あわじ市議会議員補欠選挙（2017年02月05日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
南あわじ市議会議員選挙（2005年10月30日投票）,南あわじ市議会議員選挙,兵庫県,南あわじ市,20051030.0,2005.0,10.0,30.0,20051023.0,84.74,28.0,50.0,1.7857142857142858,44013.0,,,,その他,,,,,南あわじ市議会議員選挙（2005年10月30日投票）,1.0,50.0,28.0,1.7857142857142858,0.0,0.0,0.0,0.12,0.10714285714285714,0.7,0.3,0.0,0.6428571428571429,0.35714285714285715,0.0,0.683303442069973,0.31669655793002705,,0.019522955487713513,0.021113103862001804,,36905.990000000005,3.0,59.32,8.79417989354323,30.0,55.0,59.0,64.0,81.0,58.035714285714285,9.186489080854178,30.0,52.75,58.5,64.0,81.0,,,,,,,,,2129.0,,,,,,,,,,,,2347.4,,,,,,,,32429.59,,,,,,,,,,,,,,36905.99,,,,,,,,,0.05768711257982783,,,,,,,,,,,,0.06360485113663121,,,,,,,,0.878708036283541,,,,,,,,,,,,,,1.0,,,,,,,,,0.028843556289913915,,,,,,,,,,,,0.021201617045543738,,,,,,,,0.019526845250745356,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,24.0,,,,,,,,,,,,,
南あわじ市議会議員選挙（2009年10月25日投票）,南あわじ市議会議員選挙,兵庫県,南あわじ市,20091025.0,2009.0,10.0,25.0,20091018.0,78.97,20.0,27.0,1.35,42802.0,,,-1211.0,任期満了,84.74,,,,南あわじ市議会議員選挙（2009年10月25日投票）,1.0,27.0,20.0,1.35,0.0,0.0,0.0,0.1111111111111111,0.0,0.7407407407407407,0.18518518518518517,0.07407407407407407,0.8,0.2,0.0,0.7234423490093101,0.2494330389114347,0.027124612079255192,0.03617211745046551,0.04988660778228694,0.013562306039627596,33512.0,3.0,60.77777777777778,8.220720583597295,34.0,56.0,61.0,67.5,73.0,61.05,9.046960815655167,34.0,55.75,63.0,68.0,73.0,,,,,,,,,2282.0,,,,,,,,,,,,2354.0,,,,,,,,28876.0,,,,,,,,,,,,,,33512.0,,,,,,,,,0.06809501074242062,,,,,,,,,,,,0.07024349486751015,,,,,,,,0.8616614943900692,,,,,,,,,,,,,,1.0,,,,,,,,,0.06809501074242062,,,,,,,,,,,,0.035121747433755075,,,,,,,,0.03590256226625289,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,18.0,,,,,,,,,,,,,
