,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_NHKから自国民を守る党,得票数_されど我町まえばし,得票数_公明党,得票数_公民,得票数_大泉町の行政を考える会,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_NHKから自国民を守る党,得票率_されど我町まえばし,得票率_公明党,得票率_公民,得票率_大泉町の行政を考える会,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_NHKから自国民を守る党,一人あたり得票率_されど我町まえばし,一人あたり得票率_公明党,一人あたり得票率_公民,一人あたり得票率_大泉町の行政を考える会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_NHKから自国民を守る党,立候補者数_されど我町まえばし,立候補者数_公明党,立候補者数_公民,立候補者数_大泉町の行政を考える会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_NHKから自国民を守る党,当選者数_されど我町まえばし,当選者数_公明党,当選者数_公民,当選者数_大泉町の行政を考える会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
みなかみ町議会議員選挙（2018年09月09日投票）,みなかみ町議会議員選挙,群馬県,みなかみ町,20180909.0,2018.0,9.0,9.0,20180904.0,70.27,18.0,29.0,1.6111111111111112,,,,,解散,66.77,,,,みなかみ町議会議員選挙（2018年09月09日投票）,1.0,29.0,18.0,1.6111111111111112,0.0,0.0,0.0,0.10344827586206896,0.1111111111111111,0.5517241379310345,0.3448275862068966,0.10344827586206896,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.6639495201937244,0.25818167421410326,0.0778688055921723,0.04149684501210778,0.025818167421410326,0.025956268530724098,11542.992,3.0,58.0,12.996020611100073,30.0,54.0,61.0,67.0,78.0,58.77777777777778,11.853529973788659,30.0,54.5,62.5,66.5,76.0,,,,743.278,,,,332.0,,,10467.714,,,,11542.992,,,,0.06439214373535042,,,,0.028762040205866903,,,0.9068458160587827,,,,1.0,,,,0.06439214373535042,,,,0.028762040205866903,,,0.03358688207625121,,,,,,,1.0,,,,1.0,,,27.0,,,,,,,1.0,,,,0.0,,,17.0,,,
上野村議会議員選挙（2007年04月22日投票）,上野村議会議員選挙,群馬県,上野村,20070422.0,2007.0,4.0,22.0,20070417.0,91.62,10.0,11.0,1.1,1265.0,,,,任期満了,,,,,上野村議会議員選挙（2007年04月22日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7,0.2,0.1,0.7541268462206777,0.15551694178974804,0.09035621198957429,0.09426585577758471,0.07775847089487402,0.09035621198957429,1151.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1151.0,,,,1151.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,10.0,,,
上野村議会議員選挙（2011年04月24日投票）,上野村議会議員選挙,群馬県,上野村,20110424.0,2011.0,4.0,24.0,20110419.0,91.7,10.0,11.0,1.1,1181.0,,,-84.0,任期満了,91.62,,,,上野村議会議員選挙（2011年04月24日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.6,0.4,0.0,0.594392523364486,0.405607476635514,,0.084913217623498,0.1014018691588785,,1070.0,1.0,62.72727272727273,5.51182050589968,56.0,60.0,62.0,63.5,75.0,62.7,5.780138406647371,56.0,60.0,61.0,63.75,75.0,,,,,,,,,,,1070.0,,,,1070.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,10.0,,,
上野村議会議員選挙（2015年04月26日投票）,上野村議会議員選挙,群馬県,上野村,20150426.0,2015.0,4.0,26.0,20150421.0,90.72,8.0,9.0,1.125,,,,,任期満了,91.7,,,,上野村議会議員選挙（2015年04月26日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.625,0.375,0.0,0.5461847389558233,0.4538152610441767,,0.10923694779116466,0.11345381526104417,,996.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,996.0,,,,996.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,8.0,,,
上野村議会議員選挙（2019年04月21日投票）,上野村議会議員選挙,群馬県,上野村,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,8.0,8.0,1.0,,,,,任期満了,90.72,,,,上野村議会議員選挙（2019年04月21日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.875,0.125,0.0,0.875,0.125,0.0,,,,,,,0.0,1.0,66.0,10.63014581273465,42.0,64.75,67.5,68.75,83.0,66.0,10.63014581273465,42.0,64.75,67.5,68.75,83.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,8.0,,,
下仁田町議会議員補欠選挙（2002年03月24日投票）,下仁田町議会議員補欠選挙,群馬県,下仁田町,20020324.0,2002.0,3.0,24.0,20020319.0,85.56,1.0,2.0,2.0,9357.0,,,,その他,,,,,下仁田町議会議員補欠選挙（2002年03月24日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,7721.0,1.0,58.0,7.0,51.0,54.5,58.0,61.5,65.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,,,,7721.0,,,,7721.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
下仁田町議会議員補欠選挙（2012年11月25日投票）,下仁田町議会議員補欠選挙,群馬県,下仁田町,20121125.0,2012.0,11.0,25.0,20121120.0,75.25,1.0,2.0,2.0,7888.0,,,-1469.0,その他,85.56,,,,下仁田町議会議員補欠選挙（2012年11月25日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.5605579096045198,0.4394420903954802,,0.5605579096045198,0.4394420903954802,5664.0,1.0,66.5,5.5,61.0,63.75,66.5,69.25,72.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,5664.0,,,,5664.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
下仁田町議会議員補欠選挙（2016年11月27日投票）,下仁田町議会議員補欠選挙,群馬県,下仁田町,20161127.0,2016.0,11.0,27.0,20161122.0,無投票,2.0,2.0,1.0,,,,,退職,75.25,,,,下仁田町議会議員補欠選挙（2016年11月27日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,0.0,66.5,6.5,60.0,63.25,66.5,69.75,73.0,66.5,6.5,60.0,63.25,66.5,69.75,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下仁田町議会議員選挙（1999年09月05日投票）,下仁田町議会議員選挙,群馬県,下仁田町,19990905.0,1999.0,9.0,5.0,19990831.0,88.97,18.0,19.0,1.0555555555555556,9604.0,,,,任期満了,,,,,下仁田町議会議員選挙（1999年09月05日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.05263157894736842,0.0,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.5846574222617054,0.363797026322691,0.05154555141560365,0.05315067475106412,0.05197100376038443,0.05154555141560365,8464.94,2.0,58.473684210526315,8.080961518171693,43.0,54.5,58.0,64.0,73.0,58.22222222222222,8.229726305396092,43.0,54.25,58.0,64.0,73.0,,,,,,,,345.25,,,8119.69,,,,8464.939999999999,,,,,,,,0.04078587680479721,,,0.9592141231952029,,,,1.0,,,,,,,,0.04078587680479721,,,0.053289673510844605,,,,,,,,,,,1.0,,,18.0,,,,,,,,,,,1.0,,,17.0,,,
下仁田町議会議員選挙（2003年09月07日投票）,下仁田町議会議員選挙,群馬県,下仁田町,20030907.0,2003.0,9.0,7.0,20030902.0,85.45,16.0,18.0,1.125,9222.0,,,-382.0,任期満了,88.97,,,,下仁田町議会議員選挙（2003年09月07日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.875,0.0625,0.0625,0.7991101704674868,0.10415893578742365,0.09673089374508957,0.05327401136449912,0.052079467893711824,0.09673089374508957,7814.9800000000005,2.0,59.22222222222222,7.941141504535839,47.0,52.25,59.5,63.5,74.0,59.0,8.388980867781259,47.0,52.0,58.5,64.25,74.0,,,,,,,,300.43,,,7514.55,,,,7814.9800000000005,,,,,,,,0.03844283670591607,,,0.9615571632940839,,,,1.0,,,,,,,,0.03844283670591607,,,0.05656218607612258,,,,,,,,,,,1.0,,,17.0,,,,,,,,,,,1.0,,,15.0,,,
