,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の為の自由福祉党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の為の自由福祉党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の為の自由福祉党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の為の自由福祉党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の為の自由福祉党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_自由民主党
下松市議会議員選挙（2018年04月08日投票）,下松市議会議員選挙,山口県,下松市,20180408.0,2018.0,4.0,8.0,20180401.0,42.19,20.0,21.0,1.05,,,,,任期満了,46.56,,,,下松市議会議員選挙（2018年04月08日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.09523809523809523,0.1,0.7619047619047619,0.23809523809523808,0.0,0.8,0.2,0.0,0.8282224175098581,0.17177758249014188,,0.051763901094366134,0.03435551649802838,,19239.996000000003,4.0,61.95238095238095,7.325598889713423,47.0,55.0,64.0,68.0,74.0,62.4,7.220803279414279,47.0,56.5,65.0,68.0,74.0,3426.633,,819.0,,1319.0,,,,13675.363,,,,,,19239.996,0.17809946530134413,,0.042567576417375554,,0.06855510780771472,,,,0.7107778504735656,,,,,,1.0,0.08904973265067206,,0.042567576417375554,,0.03427755390385736,,,,0.04442361565459785,,,,,,2.0,,1.0,,2.0,,,,16.0,,,,,,2.0,,1.0,,2.0,,,,15.0,,,,,
下関市議会議員補欠選挙（2009年03月15日投票）,下関市議会議員補欠選挙,山口県,下関市,20090315.0,2009.0,3.0,15.0,20090308.0,53.43,2.0,5.0,2.5,234585.0,,,,その他,,,,,下関市議会議員補欠選挙（2009年03月15日投票）,1.0,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.5,0.5,,0.4298043274248577,0.5701956725751423,,0.21490216371242885,0.1900652241917141,114017.0,1.0,54.0,12.116104984688768,30.0,58.0,59.0,60.0,63.0,46.5,16.5,30.0,38.25,46.5,54.75,63.0,,,,,,,,,114017.0,,,,,,114017.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.2,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,
下関市議会議員補欠選挙（2013年03月10日投票）,下関市議会議員補欠選挙,山口県,下関市,20130310.0,2013.0,3.0,10.0,20130303.0,42.0,1.0,4.0,4.0,237626.0,,,3041.0,その他,53.43,,,,下関市議会議員補欠選挙（2013年03月10日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.25,1.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.5417328622578427,0.4582671377421573,,0.27086643112892134,0.22913356887107866,84346.0,1.0,56.75,9.65336728815391,41.0,53.0,60.0,63.75,66.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,84346.0,,,,,,84346.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.25,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,
下関市議会議員補欠選挙（2017年03月12日投票）,下関市議会議員補欠選挙,山口県,下関市,20170312.0,2017.0,3.0,12.0,20170305.0,47.05,1.0,2.0,2.0,225864.0,,,-11762.0,任期満了,42.0,,,,下関市議会議員補欠選挙（2017年03月12日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,98715.0,0.0,53.5,6.5,47.0,50.25,53.5,56.75,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下関市議会議員補欠選挙（2021年03月14日投票）,下関市議会議員補欠選挙,山口県,下関市,20210314.0,2021.0,3.0,14.0,20210307.0,37.49,1.0,4.0,4.0,216871.0,99368.0,117503.0,-8993.0,辞職/現職議員の辞職に伴う,47.05,,,,下関市議会議員補欠選挙（2021年03月14日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,1.0,,0.5733959184774545,0.4266040815225455,,0.19113197282581817,0.4266040815225455,74139.0,3.0,69.25,7.790218225441442,61.0,64.75,67.0,71.5,82.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0,,,,,,,5012.0,,37499.0,,,,,31628.0,74139.0,,,,,,,0.06760274619296187,,0.5057931722844926,,,,,0.4266040815225455,1.0,,,,,,,0.06760274619296187,,0.2528965861422463,,,,,0.4266040815225455,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,0.0,,0.0,,,,,1.0
下関市議会議員選挙（2007年02月04日投票）,下関市議会議員選挙,山口県,下関市,20070204.0,2007.0,2.0,4.0,20070128.0,61.09,38.0,59.0,1.5526315789473684,237626.0,,,,任期満了,,,,,下関市議会議員選挙（2007年02月04日投票）,1.0,59.0,38.0,1.5526315789473684,0.0,0.0,0.0,0.06779661016949153,0.05263157894736842,0.864406779661017,0.1016949152542373,0.03389830508474576,0.868421052631579,0.10526315789473684,0.02631578947368421,0.8468699368679814,0.12345661768813901,0.029673445443879547,0.016605292879764342,0.02057610294802317,0.014836722721939774,143192.0,5.0,56.644067796610166,8.392415284081714,30.0,53.0,57.0,62.0,78.0,55.68421052631579,8.578140097633405,30.0,53.0,56.0,61.75,71.0,18085.0,,,,13465.72,,,,72304.53,2743.0,,,,36593.75,143192.0,0.1262989552488966,,,,0.09403961115146098,,,,0.5049481116263478,0.019156098106039444,,,,0.25555722386725516,1.0,0.025259791049779316,,,,0.018807922230292196,,,,0.015301457928071145,0.019156098106039444,,,,0.01703714825781701,5.0,,,,5.0,,,,33.0,1.0,,,,15.0,5.0,,,,5.0,,,,16.0,1.0,,,,11.0
下関市議会議員選挙（2011年01月30日投票）,下関市議会議員選挙,山口県,下関市,20110130.0,2011.0,1.0,30.0,20110123.0,51.7,34.0,44.0,1.2941176470588236,232519.0,,,-5107.0,任期満了,61.09,,,,下関市議会議員選挙（2011年01月30日投票）,1.0,44.0,34.0,1.2941176470588236,0.0,0.0,0.0,0.09090909090909091,0.11764705882352941,0.6818181818181818,0.25,0.06818181818181818,0.6764705882352942,0.2647058823529412,0.058823529411764705,0.6708862358333602,0.25553493735400334,0.07357882681263647,0.022362874527778673,0.02323044885036394,0.024526275604212156,118756.98999999999,5.0,,,,,,,,,,,,,,,17224.56,,,,11771.0,,,,48826.43,2443.0,,,,38492.0,118756.99,0.1450403887804836,,,,0.09911837610569281,,,,0.41114573550575845,0.02057142068016375,,,,0.3241240789279014,1.0,0.029008077756096717,,,,0.01982367522113856,,,,0.02163924923714518,0.02057142068016375,,,,0.023151719923421528,5.0,,,,5.0,,,,19.0,1.0,,,,14.0,5.0,,,,3.0,,,,14.0,1.0,,,,11.0
下関市議会議員選挙（2015年01月25日投票）,下関市議会議員選挙,山口県,下関市,20150125.0,2015.0,1.0,25.0,20150118.0,45.47,34.0,39.0,1.1470588235294117,226004.0,,,-6515.0,任期満了,51.7,,,,下関市議会議員選挙（2015年01月25日投票）,1.0,39.0,34.0,1.1470588235294117,0.0,0.0,0.0,0.15384615384615385,0.11764705882352941,0.717948717948718,0.2564102564102564,0.02564102564102564,0.7352941176470589,0.23529411764705882,0.029411764705882353,0.7424584758574384,0.2293884926709064,0.028153031471655165,0.02651637413776566,0.022938849267090642,0.028153031471655165,101338.99799999999,7.0,,,,,,,,,,,,,,,14584.0,,,,10148.0,,,2083.0,22401.423,2655.0,,1715.0,,47752.575,101338.99799999999,0.14391300770508902,,,,0.10013913893247692,,,0.020554772013830255,0.2210543171149176,0.026199193325357334,,0.01692339606515549,,0.4712161748431734,1.0,0.028782601541017805,,,,0.02503478473311923,,,0.020554772013830255,0.02210543171149176,0.026199193325357334,,0.01692339606515549,,0.027718598520186672,5.0,,,,4.0,,,1.0,10.0,1.0,,1.0,,17.0,5.0,,,,4.0,,,1.0,7.0,1.0,,0.0,,16.0
下関市議会議員選挙（2019年02月03日投票）,下関市議会議員選挙,山口県,下関市,20190203.0,2019.0,2.0,3.0,20190127.0,43.37,34.0,41.0,1.2058823529411764,,,,,任期満了,45.47,,,,下関市議会議員選挙（2019年02月03日投票）,1.0,41.0,34.0,1.2058823529411764,0.0,0.0,0.0,0.17073170731707318,0.14705882352941177,0.6341463414634146,0.34146341463414637,0.024390243902439025,0.7058823529411765,0.29411764705882354,0.0,0.6712534003229497,0.3189890190640277,0.00975758061302257,0.025817438473959602,0.022784929933144838,0.00975758061302257,95412.996,5.0,55.951219512195124,11.926505058190095,28.0,50.0,58.0,64.0,82.0,55.05882352941177,12.6303583305104,28.0,47.75,55.5,63.5,82.0,14212.479,,,,7574.0,,,,30202.219,2477.0,,,,40947.297999999995,95412.996,0.14895747535272869,,,,0.07938121972398812,,,,0.31654198344217177,0.025960824037010638,,,,0.42915849744410073,1.0,0.029791495070545737,,,,0.01984530493099703,,,,0.02261014167444084,0.025960824037010638,,,,0.025244617496711808,5.0,,,,4.0,,,,14.0,1.0,,,,17.0,5.0,,,,4.0,,,,9.0,1.0,,,,15.0
光市議会議員選挙（2008年10月26日投票）,光市議会議員選挙,山口県,光市,20081026.0,2008.0,10.0,26.0,20081019.0,71.71,22.0,23.0,1.0454545454545454,44313.0,,,,任期満了,,,,,光市議会議員選挙（2008年10月26日投票）,1.0,23.0,22.0,1.0454545454545454,0.0,0.0,0.0,0.13043478260869565,0.13636363636363635,0.6521739130434783,0.2608695652173913,0.08695652173913043,0.6818181818181818,0.22727272727272727,0.09090909090909091,0.7173521153723438,0.21363505838810543,0.06901282623955077,0.04782347435815625,0.035605843064684235,0.034506413119775384,31342.0,3.0,55.95652173913044,9.456896544296518,39.0,47.5,59.0,64.0,70.0,56.59090909090909,9.17832967032619,39.0,49.75,59.5,64.0,70.0,2444.87,,,,2813.0,,,,26084.13,,,,,,31342.0,0.07800618977729563,,,,0.08975177078680364,,,,0.8322420394359007,,,,,,1.0,0.07800618977729563,,,,0.04487588539340182,,,,0.04161210197179503,,,,,,1.0,,,,2.0,,,,20.0,,,,,,1.0,,,,2.0,,,,19.0,,,,,
