,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の為の自由福祉党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の為の自由福祉党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の為の自由福祉党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の為の自由福祉党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の為の自由福祉党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_自由民主党
光市議会議員選挙（2012年10月28日投票）,光市議会議員選挙,山口県,光市,20121028.0,2012.0,10.0,28.0,20121021.0,66.69,18.0,23.0,1.2777777777777777,43627.0,,,-686.0,任期満了,71.71,,,,光市議会議員選挙（2012年10月28日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.13043478260869565,0.16666666666666666,0.6956521739130435,0.30434782608695654,0.0,0.8333333333333334,0.16666666666666666,0.0,0.796046357615894,0.20395364238410596,,0.04975289735099338,0.029136234626300852,,28690.0,3.0,57.69565217391305,9.625305337262748,38.0,50.0,57.0,67.5,70.0,56.888888888888886,10.208323885105226,38.0,49.25,56.5,67.75,70.0,2323.0,,,,2941.0,,,,23426.0,,,,,,28690.0,0.08096897873823632,,,,0.10250958522133148,,,,0.8165214360404323,,,,,,1.0,0.08096897873823632,,,,0.05125479261066574,,,,0.040826071802021614,,,,,,1.0,,,,2.0,,,,20.0,,,,,,1.0,,,,2.0,,,,15.0,,,,,
光市議会議員選挙（2016年10月23日投票）,光市議会議員選挙,山口県,光市,20161023.0,2016.0,10.0,23.0,20161016.0,58.43,18.0,23.0,1.2777777777777777,43919.0,,,292.0,任期満了,66.69,,,,光市議会議員選挙（2016年10月23日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.21739130434782608,0.16666666666666666,0.6086956521739131,0.34782608695652173,0.043478260869565216,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.7186503405645892,0.2143391472105201,0.06701051222489074,0.051332167183184944,0.026792393401315014,0.06701051222489074,25399.0,4.0,59.130434782608695,8.76903815966989,42.0,52.5,58.0,66.5,72.0,58.611111111111114,8.882810421688303,42.0,53.0,57.5,65.5,72.0,2210.0,,535.0,,2050.0,,,,20604.0,,,,,,25399.0,0.08701129965746683,,0.021063821410291745,,0.08071183904878144,,,,0.8112130398834599,,,,,,1.0,0.08701129965746683,,0.021063821410291745,,0.04035591952439072,,,,0.04269542315176105,,,,,,1.0,,1.0,,2.0,,,,19.0,,,,,,1.0,,0.0,,2.0,,,,15.0,,,,,
光市議会議員選挙（2020年10月25日投票）,光市議会議員選挙,山口県,光市,20201025.0,2020.0,10.0,25.0,20201018.0,63.61,18.0,21.0,1.1666666666666667,,,,,任期満了,58.43,,,,光市議会議員選挙（2020年10月25日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.09523809523809523,0.1111111111111111,0.5714285714285714,0.38095238095238093,0.047619047619047616,0.6111111111111112,0.3888888888888889,0.0,0.570713111077889,0.40626401554791447,0.02302287337419644,0.04755942592315742,0.05078300194348931,0.02302287337419644,26756.0,4.0,57.142857142857146,13.253160321349824,27.0,51.0,57.0,68.0,76.0,56.55555555555556,12.850517595378632,27.0,51.5,56.5,67.5,76.0,2137.0,,849.0,,1587.0,,,,22183.0,,,,,,26756.0,0.07986993571535357,,0.03173120047839737,,0.059313798774106745,,,,0.8290850650321423,,,,,,1.0,0.07986993571535357,,0.03173120047839737,,0.029656899387053372,,,,0.04876970970777308,,,,,,1.0,,1.0,,2.0,,,,17.0,,,,,,1.0,,1.0,,1.0,,,,15.0,,,,,
周南市議会議員補欠選挙（2011年04月24日投票）,周南市議会議員補欠選挙,山口県,周南市,20110424.0,2011.0,4.0,24.0,20110417.0,48.94,1.0,3.0,3.0,122457.0,,,,その他,,,,,周南市議会議員補欠選挙（2011年04月24日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,,0.5790262172284644,,,0.2895131086142322,,54735.0,1.0,,,,,,,,,,,,,,,,,,,,,,,54735.0,,,,,,54735.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,
周南市議会議員補欠選挙（2015年04月26日投票）,周南市議会議員補欠選挙,山口県,周南市,20150426.0,2015.0,4.0,26.0,20150419.0,49.73,1.0,3.0,3.0,119681.0,,,-2776.0,その他,48.94,,,,周南市議会議員補欠選挙（2015年04月26日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,54832.0,2.0,,,,,,,,33.0,0.0,33.0,33.0,33.0,33.0,33.0,,,,,11250.0,,,,43582.0,,,,,,54832.0,,,,,0.20517216224102713,,,,0.7948278377589728,,,,,,1.0,,,,,0.20517216224102713,,,,0.3974139188794864,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,0.0,,,,1.0,,,,,
周南市議会議員補欠選挙（2019年04月21日投票）,周南市議会議員補欠選挙,山口県,周南市,20190421.0,2019.0,4.0,21.0,20190414.0,無投票,2.0,2.0,1.0,,,,,その他,49.73,,,,周南市議会議員補欠選挙（2019年04月21日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0,2.0,54.5,15.5,39.0,46.75,54.5,62.25,70.0,54.5,15.5,39.0,46.75,54.5,62.25,70.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,
周南市議会議員選挙（2008年06月01日投票）,周南市議会議員選挙,山口県,周南市,20080601.0,2008.0,6.0,1.0,20080525.0,61.61,34.0,40.0,1.1764705882352942,123437.0,,,,任期満了,,,,,周南市議会議員選挙（2008年06月01日投票）,1.0,40.0,34.0,1.1764705882352942,0.0,0.0,0.0,0.125,0.14705882352941177,0.775,0.2,0.025,0.8235294117647058,0.17647058823529413,0.0,0.7847727212348238,0.2022361255014479,0.012991153263728381,0.025315249072091088,0.025279515687680987,0.012991153263728381,75282.0,5.0,54.2,8.911228871485681,31.0,51.75,56.0,60.0,72.0,54.0,9.177978759925688,31.0,51.25,56.0,60.0,72.0,8915.0,,,,5513.0,,,1753.0,56788.0,2313.0,,,,,75282.0,0.11842140219441566,,,,0.07323131691506601,,,0.023285778805026434,0.7543370261151404,0.030724475970351477,,,,,1.0,0.029605350548603915,,,,0.02441043897168867,,,0.023285778805026434,0.02433345245532711,0.030724475970351477,,,,,4.0,,,,3.0,,,1.0,31.0,1.0,,,,,4.0,,,,3.0,,,1.0,25.0,1.0,,,,
周南市議会議員選挙（2012年05月27日投票）,周南市議会議員選挙,山口県,周南市,20120527.0,2012.0,5.0,27.0,20120520.0,58.75,30.0,40.0,1.3333333333333333,121823.0,,,-1614.0,任期満了,61.61,,,,周南市議会議員選挙（2012年05月27日投票）,1.0,40.0,30.0,1.3333333333333333,0.0,0.0,0.0,0.125,0.1,0.75,0.175,0.075,0.8,0.13333333333333333,0.06666666666666667,0.7379742297867536,0.20311613531478895,0.05890963489845746,0.024599140992891788,0.029016590759255563,0.019636544966152487,70857.0,5.0,56.475,9.661748030247944,35.0,48.0,59.0,63.25,76.0,56.8,9.300179209742861,35.0,49.0,59.0,63.75,70.0,8803.0,,,,4211.0,,,1385.0,54662.0,1796.0,,,,,70857.0,0.12423613757285801,,,,0.05942955530152279,,,0.01954641037582737,0.771441071453773,0.02534682529601874,,,,,1.0,0.031059034393214502,,,,0.01980985176717426,,,0.01954641037582737,0.024885195853347516,0.02534682529601874,,,,,4.0,,,,3.0,,,1.0,31.0,1.0,,,,,4.0,,,,1.0,,,0.0,24.0,1.0,,,,
周南市議会議員選挙（2016年05月22日投票）,周南市議会議員選挙,山口県,周南市,20160522.0,2016.0,5.0,22.0,20160515.0,53.35,30.0,34.0,1.1333333333333333,119117.0,,,-2706.0,任期満了,58.75,,,,周南市議会議員選挙（2016年05月22日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.14705882352941177,0.1,0.7058823529411765,0.14705882352941177,0.14705882352941177,0.7666666666666667,0.1,0.13333333333333333,0.6870383916438765,0.14093501100424144,0.17202659735188208,0.028626599651828188,0.02818700220084829,0.034405319470376415,62957.997,5.0,56.11764705882353,11.145467836174362,31.0,50.0,59.5,64.75,74.0,55.233333333333334,11.023258239840988,31.0,50.0,58.5,63.5,74.0,7757.0,,,,4520.0,,,,45733.062,1875.0,,,,3072.935,62957.996999999996,0.12320912941369466,,,,0.07179389776329766,,,,0.7264059242545471,0.02978176068720865,,,,0.04880928788125201,1.0,0.030802282353423666,,,,0.02393129925443255,,,,0.029056236970181882,0.02978176068720865,,,,0.04880928788125201,4.0,,,,3.0,,,,25.0,1.0,,,,1.0,4.0,,,,2.0,,,,22.0,1.0,,,,1.0
周南市議会議員選挙（2020年06月07日投票）,周南市議会議員選挙,山口県,周南市,20200607.0,2020.0,6.0,7.0,20200531.0,46.83,30.0,33.0,1.1,,,,,任期満了,53.35,,,,周南市議会議員選挙（2020年06月07日投票）,1.0,33.0,30.0,1.1,0.0,0.0,0.0,0.15151515151515152,0.16666666666666666,0.7272727272727273,0.2727272727272727,0.0,0.8,0.2,0.0,0.7820878396287855,0.2179121603712145,,0.03258699331786606,0.02421246226346828,,54696.998,6.0,56.96969696969697,11.902342138966645,32.0,48.0,59.0,66.0,78.0,56.666666666666664,12.050818321683478,32.0,47.5,57.5,65.5,78.0,7802.0,767.0,,,4200.0,,,,36355.175,2120.8579999999997,,,,3451.965,54696.99800000001,0.1426403694038199,0.01402270742536912,,,0.07678666386773182,,,,0.6646649053756113,0.03877466913266427,,,,0.06311068479480354,1.0,0.03566009235095498,0.01402270742536912,,,0.025595554622577274,,,,0.028898474146765708,0.03877466913266427,,,,0.06311068479480354,4.0,1.0,,,3.0,,,,23.0,1.0,,,,1.0,4.0,0.0,,,3.0,,,,21.0,1.0,,,,1.0
周防大島町議会議員選挙（2004年11月14日投票）,周防大島町議会議員選挙,山口県,周防大島町,20041114.0,2004.0,11.0,14.0,20041109.0,86.28,26.0,36.0,1.3846153846153846,19486.0,,,,その他,,,,,周防大島町議会議員選挙（2004年11月14日投票）,1.0,36.0,26.0,1.3846153846153846,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.027777777777777776,,16599.98,3.0,57.416666666666664,7.87533068088784,46.0,51.0,56.0,61.75,73.0,56.73076923076923,7.871847072406893,46.0,51.0,55.5,59.75,73.0,767.0,,,,837.37,,,,14995.61,,,,,,16599.98,0.04620487494563247,,,,0.050444036679562265,,,,0.9033510883748054,,,,,,1.0,0.04620487494563247,,,,0.025222018339781133,,,,0.027374275405297133,,,,,,1.0,,,,2.0,,,,33.0,,,,,,1.0,,,,1.0,,,,24.0,,,,,
周防大島町議会議員選挙（2008年10月26日投票）,周防大島町議会議員選挙,山口県,周防大島町,20081026.0,2008.0,10.0,26.0,20081021.0,84.04,20.0,27.0,1.35,19098.0,,,-388.0,任期満了,86.28,,,,周防大島町議会議員選挙（2008年10月26日投票）,1.0,27.0,20.0,1.35,0.0,0.0,0.0,0.07407407407407407,0.05,0.7037037037037037,0.2222222222222222,0.07407407407407407,0.85,0.15,0.0,0.7911853188929001,0.17117595935285468,0.03763872175424522,0.041641332573310534,0.028529326558809114,0.01881936087712261,14958.0,3.0,59.55555555555556,6.740333728045823,48.0,55.0,60.0,62.5,76.0,59.4,6.636264009214824,50.0,55.0,58.5,61.25,76.0,733.0,,,,668.0,,,,13557.0,,,,,,14958.0,0.04900387752373312,,,,0.044658376788340684,,,,0.9063377456879262,,,,,,1.0,0.04900387752373312,,,,0.044658376788340684,,,,0.03625350982751705,,,,,,1.0,,,,1.0,,,,25.0,,,,,,1.0,,,,1.0,,,,18.0,,,,,
周防大島町議会議員選挙（2012年10月28日投票）,周防大島町議会議員選挙,山口県,周防大島町,20121028.0,2012.0,10.0,28.0,20121023.0,75.36,16.0,17.0,1.0625,16683.0,,,-2415.0,任期満了,84.04,,,,周防大島町議会議員選挙（2012年10月28日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.17647058823529413,0.0,0.875,0.125,0.0,0.8383276945384244,0.16167230546157563,,0.05988054960988746,0.053890768487191876,,12414.0,3.0,58.1764705882353,9.817363334285343,29.0,56.0,60.0,64.0,72.0,59.25,9.100137361600648,29.0,57.5,60.5,64.25,72.0,929.0,,,,612.0,,,,10873.0,,,,,,12414.0,0.07483486386338005,,,,0.04929917834702755,,,,0.8758659577895924,,,,,,1.0,0.07483486386338005,,,,0.04929917834702755,,,,0.058391063852639494,,,,,,1.0,,,,1.0,,,,15.0,,,,,,1.0,,,,1.0,,,,14.0,,,,,
周防大島町議会議員選挙（2016年10月23日投票）,周防大島町議会議員選挙,山口県,周防大島町,20161023.0,2016.0,10.0,23.0,20161018.0,無投票,16.0,16.0,1.0,15571.0,,,-1112.0,任期満了,75.36,,,,周防大島町議会議員選挙（2016年10月23日投票）,1.0,16.0,14.0,1.1428571428571428,1.0,1.0,0.0,0.0,0.0,0.5625,0.4375,0.0,0.6428571428571429,0.35714285714285715,0.0,,,,,,,10816.0,0.0,59.1875,10.65492110482288,41.0,53.25,59.5,66.5,76.0,59.214285714285715,10.086614690686233,41.0,56.5,59.5,66.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周防大島町議会議員選挙（2020年10月25日投票）,周防大島町議会議員選挙,山口県,周防大島町,20201025.0,2020.0,10.0,25.0,20201020.0,72.03,14.0,17.0,1.2142857142857142,,,,,任期満了,,,,,周防大島町議会議員選挙（2020年10月25日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.47058823529411764,0.5294117647058824,0.0,0.5714285714285714,0.42857142857142855,0.0,0.55002523977789,0.44997476022211,,0.06875315497223625,0.049997195580234445,,9905.0,3.0,59.411764705882355,10.0355768527856,41.0,51.0,62.0,65.0,77.0,57.214285714285715,9.43533307329856,41.0,49.5,60.5,64.0,70.0,716.0,,,,441.0,,,,8748.0,,,,,,9905.0,0.07228672387682988,,,,0.04452296819787986,,,,0.8831903079252903,,,,,,1.0,0.07228672387682988,,,,0.04452296819787986,,,,0.05887935386168602,,,,,,1.0,,,,1.0,,,,15.0,,,,,,1.0,,,,1.0,,,,12.0,,,,,
和木町議会議員補欠選挙（2009年08月30日投票）,和木町議会議員補欠選挙,山口県,和木町,20090830.0,2009.0,8.0,30.0,20090825.0,74.95,2.0,3.0,1.5,5082.0,,,,その他,,,,,和木町議会議員補欠選挙（2009年08月30日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,3593.0,1.0,46.666666666666664,14.817407180595247,26.0,40.0,54.0,57.0,60.0,43.0,17.0,26.0,34.5,43.0,51.5,60.0,,,,,,,,,3593.0,,,,,,3593.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,
和木町議会議員補欠選挙（2013年08月25日投票）,和木町議会議員補欠選挙,山口県,和木町,20130825.0,2013.0,8.0,25.0,20130820.0,37.89,1.0,2.0,2.0,,,,,その他,74.95,,,,和木町議会議員補欠選挙（2013年08月25日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,1792.0,1.0,54.5,2.5,52.0,53.25,54.5,55.75,57.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,1792.0,,,,,,1792.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,
和木町議会議員選挙（2007年04月22日投票）,和木町議会議員選挙,山口県,和木町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,14.0,14.0,1.0,5115.0,,,,任期満了,,,,,和木町議会議員選挙（2007年04月22日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.07142857142857142,,,,,,,0.0,2.0,58.857142857142854,7.586238884201002,44.0,53.25,62.0,65.0,68.0,58.857142857142854,7.586238884201002,44.0,53.25,62.0,65.0,68.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,1.0,,,,13.0,,,,,
和木町議会議員選挙（2011年04月24日投票）,和木町議会議員選挙,山口県,和木町,20110424.0,2011.0,4.0,24.0,20110419.0,65.75,10.0,13.0,1.3,4987.0,,,-128.0,任期満了,,,,,和木町議会議員選挙（2011年04月24日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.23076923076923078,0.2,0.7692307692307693,0.23076923076923078,0.0,0.9,0.1,0.0,0.8434514637904469,0.15654853620955317,,0.0843451463790447,0.05218284540318439,,3245.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3245.0,,,,,,3245.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,10.0,,,,,
和木町議会議員選挙（2015年04月26日投票）,和木町議会議員選挙,山口県,和木町,20150426.0,2015.0,4.0,26.0,20150421.0,59.1,10.0,11.0,1.1,,,,,任期満了,65.75,,,,和木町議会議員選挙（2015年04月26日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.36363636363636365,0.4,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.5903448275862069,0.4096551724137931,,0.07379310344827586,0.13655172413793104,,2900.0,2.0,61.81818181818182,7.370927927499813,52.0,58.0,60.0,65.0,76.0,60.7,6.783067152844648,52.0,58.0,59.5,60.0,76.0,,,,,295.0,,,,2605.0,,,,,,2900.0,,,,,0.10172413793103448,,,,0.8982758620689655,,,,,,1.0,,,,,0.10172413793103448,,,,0.08982758620689654,,,,,,,,,,1.0,,,,10.0,,,,,,,,,,1.0,,,,9.0,,,,,
和木町議会議員選挙（2019年04月21日投票）,和木町議会議員選挙,山口県,和木町,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,10.0,10.0,1.0,,,,,任期満了,59.1,,,,和木町議会議員選挙（2019年04月21日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.4,0.4,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,1.0,,,,9.0,,,,,
宇部市議会議員補欠選挙（2009年06月28日投票）,宇部市議会議員補欠選挙,山口県,宇部市,20090628.0,2009.0,6.0,28.0,20090621.0,39.72,3.0,4.0,1.3333333333333333,140551.0,,,,その他,,,,,宇部市議会議員補欠選挙（2009年06月28日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,,0.5966517726483386,0.4033482273516614,,0.2983258863241693,0.2016741136758307,51251.0,1.0,52.75,9.908960591303208,39.0,48.75,52.5,56.5,67.0,48.0,6.377042156569663,39.0,45.5,52.0,52.5,53.0,,,,,,,,,51251.0,,,,,,51251.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.25,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,
宇部市議会議員選挙（1999年04月25日投票）,宇部市議会議員選挙,山口県,宇部市,19990425.0,1999.0,4.0,25.0,19990418.0,59.61,32.0,39.0,1.21875,134689.0,,,,任期満了,,,,,宇部市議会議員選挙（1999年04月25日投票）,1.0,39.0,32.0,1.21875,0.0,0.0,0.0,0.15384615384615385,0.1875,0.6410256410256411,0.3333333333333333,0.02564102564102564,0.75,0.21875,0.03125,0.6884215036419085,0.27430249262797085,0.03727600373012072,0.02753686014567634,0.02110019174061314,0.03727600373012072,79354.0,7.0,54.35897435897436,10.474602200358389,31.0,49.0,54.0,62.0,75.0,56.03125,9.255013421789295,41.0,50.0,56.0,63.0,75.0,10890.0,,,,9306.0,,,2958.0,51716.0,1938.0,,,133.0,2413.0,79354.0,0.13723315774882175,,,,0.11727197116717494,,,0.03727600373012072,0.651712579076039,0.024422209340423922,,,0.0016760339743428182,0.030408044963076846,1.0,0.03430828943720544,,,,0.02345439423343499,,,0.03727600373012072,0.0250658684260015,0.024422209340423922,,,0.0016760339743428182,0.030408044963076846,4.0,,,,5.0,,,1.0,26.0,1.0,,,1.0,1.0,4.0,,,,5.0,,,1.0,20.0,1.0,,,0.0,1.0
宇部市議会議員選挙（2003年04月27日投票）,宇部市議会議員選挙,山口県,宇部市,20030427.0,2003.0,4.0,27.0,20030420.0,53.96,32.0,36.0,1.125,136228.0,,,1539.0,任期満了,59.61,,,,宇部市議会議員選挙（2003年04月27日投票）,1.0,36.0,32.0,1.125,0.0,0.0,0.0,0.16666666666666666,0.1875,0.75,0.25,0.0,0.8125,0.1875,0.0,0.7874643717728055,0.2125356282271945,,0.0291653471026965,0.02361506980302161,,72625.0,6.0,57.47222222222222,9.751028752310962,36.0,51.5,56.0,63.25,79.0,57.75,9.154916711800277,40.0,51.5,56.0,63.25,79.0,11297.0,,,,8227.0,,,2703.0,46350.0,1825.0,,,,2223.0,72625.0,0.15555249569707402,,,,0.11328055077452667,,,0.037218588640275385,0.638209982788296,0.02512908777969019,,,,0.030609294320137693,1.0,0.038888123924268506,,,,0.022656110154905335,,,0.037218588640275385,0.026592082616179,0.02512908777969019,,,,0.030609294320137693,4.0,,,,5.0,,,1.0,24.0,1.0,,,,1.0,4.0,,,,5.0,,,1.0,20.0,1.0,,,,1.0
宇部市議会議員選挙（2007年04月22日投票）,宇部市議会議員選挙,山口県,宇部市,20070422.0,2007.0,4.0,22.0,20070415.0,54.25,32.0,39.0,1.21875,141620.0,,,5392.0,任期満了,53.96,,,,宇部市議会議員選挙（2007年04月22日投票）,1.0,39.0,32.0,1.21875,0.0,0.0,0.0,0.1794871794871795,0.15625,0.7435897435897436,0.2564102564102564,0.0,0.75,0.25,0.0,0.7477431308392793,0.2522568691607206,,0.02578424589100963,0.02522568691607206,,76101.0,6.0,56.30769230769231,9.397637035661859,28.0,50.5,58.0,63.0,71.0,56.25,9.899494936611665,28.0,50.75,58.0,62.5,71.0,10697.0,,,,8888.0,,,2305.0,47916.0,1991.0,,,,4304.0,76101.0,0.14056319890671606,,,,0.116792157790305,,,0.030288695286527115,0.6296369298695155,0.026162599703026243,,,,0.056556418443910066,1.0,0.035140799726679016,,,,0.023358431558061,,,0.030288695286527115,0.024216804994981363,0.026162599703026243,,,,0.028278209221955033,4.0,,,,5.0,,,1.0,26.0,1.0,,,,2.0,4.0,,,,5.0,,,1.0,19.0,1.0,,,,2.0
宇部市議会議員選挙（2011年04月24日投票）,宇部市議会議員選挙,山口県,宇部市,20110424.0,2011.0,4.0,24.0,20110417.0,49.04,28.0,33.0,1.1785714285714286,139985.0,,,-1635.0,任期満了,54.25,,,,宇部市議会議員選挙（2011年04月24日投票）,1.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.18181818181818182,0.17857142857142858,0.7878787878787878,0.15151515151515152,0.06060606060606061,0.8928571428571429,0.10714285714285714,0.0,0.8216551135443801,0.14499536403373217,0.03334952242188765,0.03160211975170693,0.028999072806746434,0.016674761210943825,67947.0,6.0,,,,,,,,,,,,,,,10705.0,,,,7775.0,,,2791.0,38626.0,1852.0,,,,6198.0,67947.0,0.15754926633994143,,,,0.11442742137254036,,,0.04107613286826497,0.5684724859081343,0.02725653818417296,,,,0.09121815532694601,1.0,0.03938731658498536,,,,0.022885484274508074,,,0.04107613286826497,0.028423624295406714,0.02725653818417296,,,,0.045609077663473004,4.0,,,,5.0,,,1.0,20.0,1.0,,,,2.0,4.0,,,,4.0,,,1.0,16.0,1.0,,,,2.0
宇部市議会議員選挙（2015年04月26日投票）,宇部市議会議員選挙,山口県,宇部市,20150426.0,2015.0,4.0,26.0,20150419.0,46.58,28.0,34.0,1.2142857142857142,,,,,任期満了,49.04,,,,宇部市議会議員選挙（2015年04月26日投票）,1.0,34.0,28.0,1.2142857142857142,0.0,0.0,0.0,0.11764705882352941,0.14285714285714285,0.7352941176470589,0.23529411764705882,0.029411764705882353,0.8214285714285714,0.17857142857142858,0.0,0.7640690591168765,0.22179086576397436,0.014140075119149071,0.03056276236467506,0.027723858220496795,0.014140075119149071,63366.0,5.0,,,,,,,,,,,,,,,8651.0,,,,8659.0,,,,38386.0,1941.0,,,,5729.0,63366.0,0.13652431903544487,,,,0.13665056970615155,,,,0.6057822807183663,0.030631568980210206,,,,0.09041126155982704,1.0,0.03413107975886122,,,,0.027330113941230312,,,,0.027535558214471192,0.030631568980210206,,,,0.04520563077991352,4.0,,,,5.0,,,,22.0,1.0,,,,2.0,4.0,,,,4.0,,,,17.0,1.0,,,,2.0
