,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
伊万里市議会議員選挙（2003年04月27日投票）,伊万里市議会議員選挙,佐賀県,伊万里市,20030427.0,2003.0,4.0,27.0,20030420.0,78.22,28.0,32.0,1.1428571428571428,46014.0,,,,任期満了,,,,,伊万里市議会議員選挙（2003年04月27日投票）,1.0,32.0,28.0,1.1428571428571428,0.0,0.0,0.0,0.09375,0.07142857142857142,0.65625,0.25,0.09375,0.75,0.21428571428571427,0.03571428571428571,0.6722428859511539,0.24972664127268657,0.07803047277615953,0.032011565997674,0.03121583015908582,0.026010157592053176,35704.0,5.0,58.03125,6.635531134543791,47.0,54.0,58.0,62.5,76.0,58.107142857142854,6.672648251921986,47.0,54.0,58.0,62.5,76.0,,1700.59,,,721.0,,,29557.41,1245.0,,2480.0,35704.0,,0.047630237508402416,,,0.02019381581895586,,,0.8278458996190903,0.03487004257226081,,0.06946000448129061,1.0,,0.047630237508402416,,,0.02019381581895586,,,0.03066095924515149,0.03487004257226081,,0.034730002240645305,,1.0,,,1.0,,,27.0,1.0,,2.0,,1.0,,,0.0,,,24.0,1.0,,2.0
伊万里市議会議員選挙（2007年04月22日投票）,伊万里市議会議員選挙,佐賀県,伊万里市,20070422.0,2007.0,4.0,22.0,20070415.0,74.39,24.0,28.0,1.1666666666666667,46206.0,,,192.0,任期満了,78.22,,,,伊万里市議会議員選挙（2007年04月22日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.10714285714285714,0.08333333333333333,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.7916666666666666,0.125,0.08333333333333333,0.7498401368000538,0.1828441768857328,0.06731568631421342,0.03749200684000269,0.030474029480955466,0.03365784315710671,34076.009999999995,4.0,60.785714285714285,7.168169435861883,51.0,55.5,60.0,66.0,80.0,61.291666666666664,7.079778519762387,51.0,56.75,60.0,66.0,80.0,,1946.0,,,1143.0,,,29765.01,1222.0,,,34076.009999999995,,0.057107624983089286,,,0.03354265948390085,,,0.8734887095056024,0.035861006027407556,,,1.0,,0.057107624983089286,,,0.03354265948390085,,,0.034939548380224096,0.035861006027407556,,,,1.0,,,1.0,,,25.0,1.0,,,,1.0,,,1.0,,,21.0,1.0,,
伊万里市議会議員選挙（2011年04月24日投票）,伊万里市議会議員選挙,佐賀県,伊万里市,20110424.0,2011.0,4.0,24.0,20110417.0,70.97,24.0,29.0,1.2083333333333333,45825.0,,,-381.0,任期満了,74.39,,,,伊万里市議会議員選挙（2011年04月24日投票）,1.0,29.0,24.0,1.2083333333333333,0.0,0.0,0.0,0.06896551724137931,0.041666666666666664,0.5862068965517241,0.41379310344827586,0.0,0.625,0.375,0.0,0.615411322629732,0.38458867737026803,,0.036200666037043056,0.03204905644752234,,32201.0,3.0,,,,,,,,,,,,,,,,1878.0,,,783.0,,,29540.0,,,,32201.0,,0.05832117014999534,,,0.02431601503058911,,,0.9173628148194155,,,,1.0,,0.05832117014999534,,,0.02431601503058911,,,0.03397640054886724,,,,,1.0,,,1.0,,,27.0,,,,,1.0,,,0.0,,,23.0,,,
伊万里市議会議員選挙（2015年04月26日投票）,伊万里市議会議員選挙,佐賀県,伊万里市,20150426.0,2015.0,4.0,26.0,20150419.0,67.43,24.0,30.0,1.25,44812.0,,,-1013.0,任期満了,70.97,,,,伊万里市議会議員選挙（2015年04月26日投票）,1.0,30.0,24.0,1.25,0.0,0.0,0.0,0.03333333333333333,0.041666666666666664,0.6666666666666666,0.3,0.03333333333333333,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.6239648604019751,0.34319720934498543,0.03283793025303952,0.031198243020098753,0.038133023260553935,0.03283793025303952,29873.99,4.0,59.333333333333336,9.438691058027532,37.0,54.5,59.5,65.0,80.0,58.0,8.689073598491383,37.0,53.75,59.0,64.25,72.0,,1544.0,,,981.0,,,24624.57,,,2724.42,29873.989999999998,,0.05168375566839248,,,0.03283793025303952,,,0.824281256035769,,,0.09119705804279911,1.0,,0.05168375566839248,,,0.03283793025303952,,,0.03297125024143076,,,0.030399019347599702,,1.0,,,1.0,,,25.0,,,3.0,,1.0,,,1.0,,,19.0,,,3.0
伊万里市議会議員選挙（2019年04月21日投票）,伊万里市議会議員選挙,佐賀県,伊万里市,20190421.0,2019.0,4.0,21.0,20190414.0,61.93,21.0,24.0,1.1428571428571428,44446.0,,,-366.0,任期満了,67.43,,,,伊万里市議会議員選挙（2019年04月21日投票）,1.0,24.0,21.0,1.1428571428571428,0.0,0.0,0.0,0.08333333333333333,0.09523809523809523,0.7916666666666666,0.20833333333333334,0.0,0.8095238095238095,0.19047619047619047,0.0,0.7828536837634311,0.21714631623656894,,0.04120282546123322,0.04342926324731379,,27258.998,4.0,60.625,10.168630274853475,35.0,56.75,63.0,67.0,76.0,60.23809523809524,10.49219556625083,35.0,57.0,63.0,67.0,76.0,,1505.0,,,770.0,,,21740.998000000003,,,3243.0,27258.998000000003,,0.05521112698273061,,,0.02824755334000171,,,0.7975714294413904,,,0.11896989023587733,1.0,,0.05521112698273061,,,0.02824755334000171,,,0.04197744365481002,,,0.03965663007862578,,1.0,,,1.0,,,19.0,,,3.0,,1.0,,,0.0,,,17.0,,,3.0
佐賀市議会議員増員選挙（2007年10月28日投票）,佐賀市議会議員増員選挙,佐賀県,佐賀市,20071028.0,2007.0,10.0,28.0,20071021.0,71.21,0.0,18.0,,27789.0,,,,その他,,,,,佐賀市議会議員増員選挙（2007年10月28日投票）,3.0,18.0,6.0,3.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.05555555555555555,,19562.0,3.0,60.333333333333336,5.597618541248888,45.0,57.25,59.5,63.0,72.0,59.333333333333336,3.4960294939005054,57.0,57.25,58.0,58.75,67.0,,,,,503.0,2249.0,,16810.0,,,,19562.0,,,,,0.025713117268172988,0.114967794704018,,0.859319088027809,,,,1.0,,,,,0.025713117268172988,0.114967794704018,,0.05370744300173806,,,,,,,,1.0,1.0,,16.0,,,,,,,,0.0,1.0,,5.0,,,
佐賀市議会議員選挙（2005年10月23日投票）,佐賀市議会議員選挙,佐賀県,佐賀市,20051023.0,2005.0,10.0,23.0,20051016.0,68.95,38.0,52.0,1.368421052631579,160266.0,,,,その他,,,,,佐賀市議会議員選挙（2005年10月23日投票）,1.0,52.0,38.0,1.368421052631579,0.0,0.0,0.0,0.11538461538461539,0.07894736842105263,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.019230769230769232,,107851.97,6.0,54.73076923076923,7.098524723802675,34.0,51.0,56.0,59.0,70.0,54.36842105263158,7.815036291903405,34.0,50.0,54.5,59.0,70.0,,9962.86,,,5194.0,9458.65,,53455.98,10529.11,,19251.37,107851.97,,0.0923753177619287,,,0.048158601089994,0.08770029884479624,,0.4956421287436845,0.09762556956539598,,0.17849808399420056,1.0,,0.023093829440482175,,,0.016052867029998,0.02192507471119906,,0.01770150459798873,0.019525113913079196,,0.02231226049927507,,4.0,,,3.0,4.0,,28.0,5.0,,8.0,,4.0,,,2.0,4.0,,17.0,4.0,,7.0
佐賀市議会議員選挙（2009年10月18日投票）,佐賀市議会議員選挙,佐賀県,佐賀市,20091018.0,2009.0,10.0,18.0,20091011.0,63.33,38.0,53.0,1.3947368421052628,187512.0,,,27246.0,任期満了,68.95,,,,佐賀市議会議員選挙（2009年10月18日投票）,1.0,53.0,38.0,1.394736842105263,0.0,0.0,0.0,0.05660377358490566,0.07894736842105263,0.6981132075471698,0.3018867924528302,0.0,0.7894736842105263,0.21052631578947367,0.0,0.742199537808107,0.2578004621918931,,0.020059446967786675,0.01611252888699332,,116786.98999999999,7.0,56.0377358490566,7.830666045916983,36.0,50.0,58.0,60.0,72.0,55.39473684210526,7.849034381388681,36.0,50.0,57.0,60.0,72.0,824.0,10939.9,,,6023.38,15322.38,,55276.84,7246.49,,21154.0,116786.98999999999,0.0070555804203875794,0.09367396145752194,,,0.05157577911717735,0.1311993741768668,,0.4733133373845837,0.0620487778647262,,0.18113318957873648,1.0,0.0070555804203875794,0.023418490364380484,,,0.01719192637239245,0.021866562362811134,,0.017530123606836433,0.020682925954908733,,0.020125909953192942,1.0,4.0,,,3.0,6.0,,27.0,3.0,,9.0,0.0,4.0,,,2.0,5.0,,15.0,3.0,,9.0
佐賀市議会議員選挙（2013年10月20日投票）,佐賀市議会議員選挙,佐賀県,佐賀市,20131020.0,2013.0,10.0,20.0,20131013.0,,36.0,43.0,1.1944444444444444,,,,,任期満了,63.33,,,,佐賀市議会議員選挙（2013年10月20日投票）,1.0,43.0,36.0,1.1944444444444444,0.0,0.0,0.0,0.09302325581395349,0.08333333333333333,0.6744186046511628,0.27906976744186046,0.046511627906976744,0.8055555555555556,0.16666666666666666,0.027777777777777776,0.9907986525395266,0.007733827569124443,0.0014675198913488773,0.03416547077722505,0.0006444856307603702,0.0007337599456744387,2878291.48,7.0,,,,,,,,55.388888888888886,9.4524475894923,28.0,51.0,57.5,63.0,70.0,,11430.85,,527.0,6721.26,7416.69,,43153.68,2772520.0,,36522.0,2878291.48,,0.003971401117443463,,0.00018309472951641436,0.002335156132276082,0.0025767682152886056,,0.014992810943525428,0.9632519914209662,,0.012688777440983843,1.0,,0.0009928502793608658,,0.00018309472951641436,0.0007783853774253607,0.0008589227384295352,,0.0008329339413069682,0.9632519914209662,,0.0009760598031526033,,4.0,,1.0,3.0,3.0,,18.0,1.0,,13.0,,4.0,,0.0,2.0,2.0,,14.0,1.0,,13.0
佐賀市議会議員選挙（2017年10月15日投票）,佐賀市議会議員選挙,佐賀県,佐賀市,20171015.0,2017.0,10.0,15.0,20171008.0,,36.0,43.0,1.1944444444444444,191921.0,,,,任期満了,,,,,佐賀市議会議員選挙（2017年10月15日投票）,1.0,43.0,36.0,1.1944444444444444,0.0,0.0,0.0,0.16279069767441862,0.08333333333333333,0.7906976744186046,0.20930232558139536,0.0,0.8611111111111112,0.1388888888888889,0.0,0.8335062892184012,0.16649371078159886,,0.02451489085936474,0.01849930119795543,,98078.95999999999,0.0,56.06976744186046,11.171798691008906,21.0,48.0,57.0,66.0,71.0,58.138888888888886,9.667105673300847,32.0,54.0,59.5,67.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉野ヶ里町議会議員選挙（2006年04月16日投票）,吉野ヶ里町議会議員選挙,佐賀県,吉野ヶ里町,20060416.0,2006.0,4.0,16.0,20060411.0,78.1,15.0,19.0,1.2666666666666666,12125.0,,,,その他,,,,,吉野ヶ里町議会議員選挙（2006年04月16日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.05263157894736842,,9339.99,3.0,59.8421052631579,6.002307958695965,51.0,55.5,58.0,65.0,71.0,59.93333333333333,6.41318087136866,51.0,54.5,58.0,65.0,71.0,,,,,,,,8188.04,472.95,,679.0,9339.99,,,,,,,,0.8766647501763921,0.050637099183189704,,0.07269815064041825,1.0,,,,,,,,0.05156851471625836,0.050637099183189704,,0.07269815064041825,,,,,,,,17.0,1.0,,1.0,,,,,,,,13.0,1.0,,1.0
吉野ヶ里町議会議員選挙（2010年03月28日投票）,吉野ヶ里町議会議員選挙,佐賀県,吉野ヶ里町,20100328.0,2010.0,3.0,28.0,20100323.0,74.13,15.0,19.0,1.2666666666666666,12407.0,,,282.0,任期満了,78.1,,,,吉野ヶ里町議会議員選挙（2010年03月28日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.5263157894736842,0.0,0.5333333333333333,0.4666666666666667,0.0,0.47341048705572614,0.5265895129442737,,0.052601165228414015,0.05265895129442737,,9116.0,3.0,,,,,,,,,,,,,,,,,,,,,,8281.0,317.0,,518.0,9116.0,,,,,,,,0.9084028082492321,0.0347740236946029,,0.05682316805616498,1.0,,,,,,,,0.05343545930877836,0.0347740236946029,,0.05682316805616498,,,,,,,,17.0,1.0,,1.0,,,,,,,,14.0,0.0,,1.0
吉野ヶ里町議会議員選挙（2014年04月13日投票）,吉野ヶ里町議会議員選挙,佐賀県,吉野ヶ里町,20140413.0,2014.0,4.0,13.0,20140408.0,,12.0,14.0,1.1666666666666667,,,,,任期満了,74.13,,,,吉野ヶ里町議会議員選挙（2014年04月13日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7514824777889526,0.24851752221104742,,0.07514824777889526,0.062129380552761855,,8374.999,2.0,59.857142857142854,8.296790626132346,40.0,58.25,61.5,65.5,73.0,61.583333333333336,7.576920365308205,40.0,59.75,63.0,66.0,73.0,,,,,,,,6924.999000000001,,,1450.0,8374.999,,,,,,,,0.8268656509690331,,,0.17313434903096706,1.0,,,,,,,,0.07516960463354846,,,0.05771144967698902,,,,,,,,11.0,,,3.0,,,,,,,,9.0,,,3.0
吉野ヶ里町議会議員選挙（2018年03月25日投票）,吉野ヶ里町議会議員選挙,佐賀県,吉野ヶ里町,20180325.0,2018.0,3.0,25.0,20180320.0,,12.0,14.0,1.1666666666666667,12816.0,,,,任期満了,,,,,吉野ヶ里町議会議員選挙（2018年03月25日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.7830823846248011,0.12975884441180072,0.08715877096339822,0.07118930769316373,0.06487942220590036,0.08715877096339822,8169.0,0.0,61.142857142857146,11.108922686980323,34.0,57.5,64.0,68.0,77.0,60.833333333333336,11.62492532831454,34.0,59.0,64.0,68.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐津市議会議員増員選挙（2006年02月05日投票）,唐津市議会議員増員選挙,佐賀県,唐津市,20060205.0,2006.0,2.0,5.0,20060129.0,89.94,1.0,2.0,2.0,2148.0,,,,その他,,,,,唐津市議会議員増員選挙（2006年02月05日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,1914.0,1.0,55.0,4.0,51.0,53.0,55.0,57.0,59.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,1914.0,,,,1914.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.5,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,
唐津市議会議員選挙（2005年02月06日投票）,唐津市議会議員選挙,佐賀県,唐津市,20050206.0,2005.0,2.0,6.0,20050130.0,77.04,0.0,71.0,,104367.0,,,,その他,,,,,唐津市議会議員選挙（2005年02月06日投票）,8.0,71.0,45.0,1.5777777777777777,0.0,0.0,0.0,0.056338028169014086,0.044444444444444446,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.014084507042253521,,79230.0,4.0,55.901408450704224,7.549190665654661,30.0,52.0,56.0,58.5,74.0,55.422222222222224,7.832947193004373,30.0,53.0,55.0,58.0,74.0,,6432.0,,,5220.0,,,65586.0,,,1992.0,79230.0,,0.08118137069291935,,,0.06588413479742522,,,0.8277925028398334,,,0.025141991669822037,1.0,,0.027060456897639782,,,0.010980689132904203,,,0.013796541713997223,,,0.012570995834911019,,3.0,,,6.0,,,60.0,,,2.0,,3.0,,,2.0,,,39.0,,,1.0
唐津市議会議員選挙（2009年01月25日投票）,唐津市議会議員選挙,佐賀県,唐津市,20090125.0,2009.0,1.0,25.0,20090118.0,71.94,34.0,44.0,1.2941176470588236,105221.0,,,854.0,任期満了,77.04,,,,唐津市議会議員選挙（2009年01月25日投票）,1.0,44.0,34.0,1.2941176470588236,0.0,0.0,0.0,0.06818181818181818,0.058823529411764705,0.8409090909090909,0.1590909090909091,0.0,0.8823529411764706,0.11764705882352941,0.0,0.8621114520681473,0.1378885479318527,,0.023300309515355333,0.019698363990264672,,74603.73,6.0,56.70454545454545,6.444093650406286,34.0,54.0,58.0,60.0,72.0,56.44117647058823,4.863980314338239,43.0,54.0,57.5,60.0,63.0,,7030.5599999999995,,,4856.0,1989.0,,57350.17,1336.0,,2042.0,74603.73,,0.09423871969940377,,,0.06509057925119831,0.026660865348153505,,0.7687305983226308,0.017907951787397226,,0.027371285591216418,1.0,,0.031412906566467926,,,0.021696859750399436,0.026660865348153505,,0.021963731380646594,0.017907951787397226,,0.027371285591216418,,3.0,,,3.0,1.0,,35.0,1.0,,1.0,,3.0,,,3.0,1.0,,26.0,0.0,,1.0
唐津市議会議員選挙（2013年01月27日投票）,唐津市議会議員選挙,佐賀県,唐津市,20130127.0,2013.0,1.0,27.0,20130120.0,69.47,32.0,34.0,1.0625,103542.0,,,-1679.0,任期満了,71.94,,,,唐津市議会議員選挙（2013年01月27日投票）,1.0,34.0,32.0,1.0625,0.0,0.0,0.0,0.029411764705882353,0.03125,0.7647058823529411,0.23529411764705882,0.0,0.8125,0.1875,0.0,0.7954939834438028,0.20450601655619718,,0.030595922440146264,0.025563252069524648,,70306.0,5.0,58.411764705882355,7.396810310408541,27.0,55.75,60.5,63.0,67.0,58.09375,7.509824294715556,27.0,55.0,60.0,63.0,67.0,,8374.0,,,6297.0,,,51472.0,1725.0,,2438.0,70306.0,,0.11910789975251046,,,0.08956561317668478,,,0.7321139020851706,0.02453560151338435,,0.03467698347224988,1.0,,0.03970263325083682,,,0.02985520439222826,,,0.02815822700327579,0.02453560151338435,,0.03467698347224988,,3.0,,,3.0,,,26.0,1.0,,1.0,,3.0,,,3.0,,,24.0,1.0,,1.0
唐津市議会議員選挙（2017年01月29日投票）,唐津市議会議員選挙,佐賀県,唐津市,20170129.0,2017.0,1.0,29.0,20170122.0,63.33,30.0,32.0,1.0666666666666669,102796.0,,,-746.0,任期満了,69.47,,,,唐津市議会議員選挙（2017年01月29日投票）,1.0,32.0,30.0,1.0666666666666667,0.0,0.0,0.0,0.09375,0.06666666666666667,0.6875,0.28125,0.03125,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.7186403153471487,0.23516533683911206,0.04619434781373932,0.03266546887941585,0.026129481871012453,0.04619434781373932,63838.979,6.0,59.0,9.490126448051154,34.0,55.0,62.5,66.25,71.0,59.7,8.614522621712709,34.0,55.25,62.5,66.75,71.0,,7594.0,,,4252.0,,1418.0,46452.252,1664.727,,2458.0,63838.979,,0.11895553655392892,,,0.06660507524720907,,0.022212134689685435,0.7276471636552959,0.026076967803636084,,0.038503122050244566,1.0,,0.039651845517976306,,,0.02220169174906969,,0.022212134689685435,0.03163683320240417,0.026076967803636084,,0.038503122050244566,,3.0,,,3.0,,1.0,23.0,1.0,,1.0,,3.0,,,2.0,,1.0,22.0,1.0,,1.0
唐津市議会議員選挙（2021年01月31日投票）,唐津市議会議員選挙,佐賀県,唐津市,20210131.0,2021.0,1.0,31.0,20210124.0,57.48,28.0,33.0,1.1785714285714286,,,,,任期満了,63.33,,,,唐津市議会議員選挙（2021年01月31日投票）,1.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.09090909090909091,0.07142857142857142,0.7575757575757576,0.24242424242424243,0.0,0.8214285714285714,0.17857142857142858,0.0,0.7632124140800799,0.2367875859199201,,0.030528496563203195,0.029598448239990013,,55969.994999999995,6.0,60.15151515151515,10.629065958910095,32.0,56.0,61.0,69.0,72.0,61.535714285714285,9.807002392085328,32.0,57.75,62.0,69.25,72.0,,6438.0,,,2616.0,,,42633.553,1250.442,937.0,2095.0,55969.995,,0.11502591701142728,,,0.046739328813590206,,,0.7617215795713399,0.022341291972600676,0.016741112805173555,0.03743076982586831,1.0,,0.03834197233714243,,,0.023369664406795103,,,0.030468863182853596,0.022341291972600676,0.016741112805173555,0.03743076982586831,,3.0,,,2.0,,,25.0,1.0,1.0,1.0,,3.0,,,2.0,,,21.0,1.0,0.0,1.0
基山町議会議員選挙（2003年04月27日投票）,基山町議会議員選挙,佐賀県,基山町,20030427.0,2003.0,4.0,27.0,20030422.0,無投票,16.0,16.0,1.0,14345.0,,,,任期満了,,,,,基山町議会議員選挙（2003年04月27日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0625,0.0625,0.625,0.375,0.0,0.625,0.375,0.0,,,,,,,0.0,4.0,61.75,6.703543838895961,46.0,57.75,63.0,65.25,75.0,61.75,6.703543838895961,46.0,57.75,63.0,65.25,75.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,13.0,1.0,,,,1.0,,,1.0,,,13.0,1.0,,
基山町議会議員選挙（2007年04月22日投票）,基山町議会議員選挙,佐賀県,基山町,20070422.0,2007.0,4.0,22.0,20070417.0,72.95,14.0,17.0,1.2142857142857142,14292.0,,,-53.0,任期満了,,,,,基山町議会議員選挙（2007年04月22日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.6470588235294118,0.35294117647058826,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6360698774249589,0.363930122575041,,0.0578245343113599,0.0606550204291735,,10361.0,4.0,63.05882352941177,6.338218233906342,50.0,60.0,62.0,68.0,73.0,62.142857142857146,6.022068259530855,50.0,60.25,62.0,67.25,72.0,,927.0,,,1501.6799999999998,,,7216.32,716.0,,,10361.0,,0.08947012836598783,,,0.1449358170060805,,,0.6964887559115915,0.06910529871634012,,,1.0,,0.08947012836598783,,,0.07246790850304025,,,0.053576058147045504,0.06910529871634012,,,,1.0,,,2.0,,,13.0,1.0,,,,1.0,,,2.0,,,10.0,1.0,,
基山町議会議員選挙（2011年04月24日投票）,基山町議会議員選挙,佐賀県,基山町,20110424.0,2011.0,4.0,24.0,20110419.0,67.02,13.0,14.0,1.0769230769230769,14253.0,,,-39.0,任期満了,72.95,,,,基山町議会議員選挙（2011年04月24日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.14285714285714285,0.15384615384615385,0.5714285714285714,0.42857142857142855,0.0,0.6153846153846154,0.38461538461538464,0.0,0.5648411944708241,0.4351588055291759,,0.07060514930885302,0.07252646758819599,,9477.0,3.0,,,,,,,,,,,,,,,,,,,1304.0,,,7360.0,813.0,,,9477.0,,,,,0.1375962857444339,,,0.7766170729133692,0.08578664134219689,,,1.0,,,,,0.06879814287221694,,,0.07060155208303356,0.08578664134219689,,,,,,,2.0,,,11.0,1.0,,,,,,,2.0,,,10.0,1.0,,
基山町議会議員選挙（2015年04月26日投票）,基山町議会議員選挙,佐賀県,基山町,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,13.0,13.0,1.0,,,,,任期満了,67.02,,,,基山町議会議員選挙（2015年04月26日投票）,1.0,13.0,13.0,1.0,1.0,1.0,0.0,0.23076923076923078,0.23076923076923078,0.6923076923076923,0.3076923076923077,0.0,0.6923076923076923,0.3076923076923077,0.0,,,,,,,0.0,3.0,61.30769230769231,7.086114432570172,47.0,59.0,61.0,67.0,70.0,61.30769230769231,7.086114432570172,47.0,59.0,61.0,67.0,70.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,10.0,1.0,,,,,,,2.0,,,10.0,1.0,,
基山町議会議員選挙（2019年04月21日投票）,基山町議会議員選挙,佐賀県,基山町,20190421.0,2019.0,4.0,21.0,20190416.0,62.65,13.0,17.0,1.3076923076923077,14306.0,,,,任期満了,,,,,基山町議会議員選挙（2019年04月21日投票）,1.0,17.0,13.0,1.3076923076923077,0.0,0.0,0.0,0.23529411764705882,0.23076923076923078,0.7058823529411765,0.29411764705882354,0.0,0.8461538461538461,0.15384615384615385,0.0,0.7618244873412524,0.23817551265874765,,0.06348537394510437,0.04763510253174953,,8900.999,3.0,62.11764705882353,8.137656498476526,45.0,58.0,63.0,67.0,74.0,64.0,7.337993857053428,51.0,59.0,64.0,71.0,74.0,,,,,1102.647,,,7178.352,620.0,,,8900.999,,,,,0.1238790162767123,,,0.8064658809645974,0.06965510275869034,,,1.0,,,,,0.06193950813835615,,,0.05760470578318553,0.06965510275869034,,,,,,,2.0,,,14.0,1.0,,,,,,,2.0,,,10.0,1.0,,
多久市議会議員補欠選挙（2009年08月30日投票）,多久市議会議員補欠選挙,佐賀県,多久市,20090830.0,2009.0,8.0,30.0,20090823.0,72.6,1.0,2.0,2.0,18020.0,,,,その他,,,,,多久市議会議員補欠選挙（2009年08月30日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,,,0.5,12541.0,2.0,52.5,2.5,50.0,51.25,52.5,53.75,55.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,4439.0,,,8102.0,,,,12541.0,,,,,0.35395901443266087,,,0.6460409855673391,,,,1.0,,,,,0.35395901443266087,,,0.6460409855673391,,,,,,,,1.0,,,1.0,,,,,,,,0.0,,,1.0,,,
