,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新党市民,得票数_新社会党,得票数_日本共産党,得票数_日本社会党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新党市民,得票率_新社会党,得票率_日本共産党,得票率_日本社会党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新党市民,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本社会党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新党市民,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本社会党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新党市民,当選者数_新社会党,当選者数_日本共産党,当選者数_日本社会党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由党,当選者数_自由民主党
本山町議会議員補欠選挙（2013年12月01日投票）,本山町議会議員補欠選挙,高知県,本山町,20131201.0,2013.0,12.0,1.0,20131126.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,本山町議会議員補欠選挙（2013年12月01日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
本山町議会議員補欠選挙（2017年11月26日投票）,本山町議会議員補欠選挙,高知県,本山町,20171126.0,2017.0,11.0,26.0,20171121.0,71.55,1.0,3.0,3.0,3146.0,,,,任期満了,,,,,本山町議会議員補欠選挙（2017年11月26日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.731399157697707,0.2686008423022929,,0.3656995788488535,0.2686008423022929,2137.0,0.0,68.33333333333333,12.710450643291745,52.0,61.0,70.0,76.5,83.0,61.0,9.0,52.0,56.5,61.0,65.5,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本山町議会議員選挙（2006年07月16日投票）,本山町議会議員選挙,高知県,本山町,20060716.0,2006.0,7.0,16.0,20060711.0,82.78,12.0,13.0,1.0833333333333333,3664.0,,,,任期満了,,,,,本山町議会議員選挙（2006年07月16日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.6666666666666666,0.25,0.08333333333333333,0.6855429713524317,0.23251165889407063,0.08194536975349767,0.0761714412613813,0.07750388629802354,0.08194536975349767,3001.9999999999995,2.0,60.61538461538461,10.52863101290558,38.0,54.0,61.0,69.0,77.0,61.5,10.484114968211035,38.0,54.0,64.0,69.25,77.0,,,,,,,,349.0,,,2652.9999999999995,,,,,3001.9999999999995,,,,,,,,0.11625582944703533,,,0.8837441705529647,,,,,1.0,,,,,,,,0.058127914723517665,,,0.08034037914117861,,,,,,,,,,,,2.0,,,11.0,,,,,,,,,,,,2.0,,,10.0,,,,
本山町議会議員選挙（2010年07月18日投票）,本山町議会議員選挙,高知県,本山町,20100718.0,2010.0,7.0,18.0,20100713.0,無投票,12.0,12.0,1.0,,,,,任期満了,82.78,,,,本山町議会議員選挙（2010年07月18日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,0.0,2.0,65.25,10.017692681783899,42.0,59.5,68.0,73.25,76.0,65.25,10.017692681783899,42.0,59.5,68.0,73.25,76.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,10.0,,,,,,,,,,,,2.0,,,10.0,,,,
本山町議会議員選挙（2014年07月20日投票）,本山町議会議員選挙,高知県,本山町,20140720.0,2014.0,7.0,20.0,20140715.0,78.57,10.0,12.0,1.2,3234.0,,,,任期満了,,,,,本山町議会議員選挙（2014年07月20日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.25,0.3,0.5,0.5,0.0,0.4,0.6,0.0,0.42278682016673286,0.5772131798332671,,0.07046447002778881,0.09620219663887786,,2519.0,2.0,61.083333333333336,9.673488971869917,40.0,57.75,62.0,66.25,80.0,60.4,7.8383671769061705,40.0,58.0,62.0,65.75,69.0,,,,,,,,323.0,,,2196.0,,,,,2519.0,,,,,,,,0.12822548630408892,,,0.8717745136959111,,,,,1.0,,,,,,,,0.12822548630408892,,,0.0792522285178101,,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,,,1.0,,,9.0,,,,
本山町議会議員選挙（2018年07月22日投票）,本山町議会議員選挙,高知県,本山町,20180722.0,2018.0,7.0,22.0,20180717.0,73.0,10.0,12.0,1.2,3111.0,,,-123.0,任期満了,78.57,,,,本山町議会議員選挙（2018年07月22日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.16666666666666666,0.2,0.75,0.08333333333333333,0.16666666666666666,0.7,0.1,0.2,0.7277160655060159,0.15521071184510504,0.11707322264887923,0.08085734061177954,0.15521071184510504,0.058536611324439616,2254.9990000000003,2.0,63.333333333333336,7.845734863959881,44.0,61.5,65.0,69.25,73.0,62.1,8.043009387039158,44.0,60.5,63.0,66.0,73.0,,,,,,,,322.0,,,1932.999,,,,,2254.999,,,,,,,,0.14279385489749663,,,0.8572061451025035,,,,,1.0,,,,,,,,0.14279385489749663,,,0.07792783137295486,,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,,,1.0,,,9.0,,,,
東洋町議会議員補欠選挙（2013年09月08日投票）,東洋町議会議員補欠選挙,高知県,東洋町,20130908.0,2013.0,9.0,8.0,20130903.0,,2.0,3.0,1.5,,,,,その他,,,,,東洋町議会議員補欠選挙（2013年09月08日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.8811305070656692,0.11886949293433084,,0.4405652535328346,0.11886949293433084,1203.0,1.0,61.333333333333336,6.128258770283412,54.0,57.5,61.0,65.0,69.0,57.5,3.5,54.0,55.75,57.5,59.25,61.0,,,,,,,,,,,1203.0,,,,,1203.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,
東洋町議会議員選挙（2006年01月22日投票）,東洋町議会議員選挙,高知県,東洋町,20060122.0,2006.0,1.0,22.0,20060117.0,81.62,10.0,11.0,1.1,3025.0,,,,任期満了,,,,,東洋町議会議員選挙（2006年01月22日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182,0.0,0.8,0.2,0.0,0.753061224489796,0.24693877551020407,,0.0836734693877551,0.12346938775510204,,2450.0,1.0,59.81818181818182,7.395553723422815,42.0,58.0,60.0,61.0,71.0,58.7,6.8124885321004385,42.0,58.0,60.0,61.0,71.0,,,,,,,,,,,2450.0,,,,,2450.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,10.0,,,,
東洋町議会議員選挙（2010年01月17日投票）,東洋町議会議員選挙,高知県,東洋町,20100117.0,2010.0,1.0,17.0,20100112.0,82.95,10.0,19.0,1.9,2797.0,,,-228.0,任期満了,81.62,,,,東洋町議会議員選挙（2010年01月17日投票）,1.0,19.0,10.0,1.9,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.5789473684210527,0.05263157894736842,0.6,0.3,0.1,0.41404886561954624,0.5074171029668412,0.07853403141361257,0.059149837945649465,0.046128827542440104,0.07853403141361257,2292.0,1.0,60.578947368421055,6.310524120977626,46.0,58.0,62.0,65.0,75.0,61.1,7.569015788066505,46.0,58.25,63.0,65.0,75.0,,,,,,,,,,,2292.0,,,,,2292.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.05263157894736842,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,10.0,,,,
東洋町議会議員選挙（2014年01月19日投票）,東洋町議会議員選挙,高知県,東洋町,20140119.0,2014.0,1.0,19.0,20140114.0,無投票,9.0,9.0,1.0,,,,,任期満了,82.95,,,,東洋町議会議員選挙（2014年01月19日投票）,1.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111,,,,,,,0.0,1.0,61.111111111111114,6.136311676215145,50.0,56.0,62.0,66.0,69.0,61.111111111111114,6.136311676215145,50.0,56.0,62.0,66.0,69.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,9.0,,,,
