ele_ymd,prefecture,ele_ymd,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes
大阪市議会議員再選挙（中央区選挙区）（2020年03月22日投票）,大阪府,大阪市議会議員再選挙（中央区選挙区）（2020年03月22日投票）,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,,0.5049116888271482,0.49508831117285174,,0.5049116888271482,0.24754415558642587,20156.0
大阪市議会議員選挙（2019年04月07日投票）,大阪府,大阪市議会議員選挙（2019年04月07日投票）,0.576,0.36,0.064,0.7590361445783133,0.21686746987951808,0.024096385542168676,0.709451819946443,0.2457737665122298,0.04477441354132721,0.010281910434006421,0.005715668988656507,0.005596801692665901,1058685.0
大阪市議会議員補欠選挙（2018年08月05日投票）,大阪府,大阪市議会議員補欠選挙（2018年08月05日投票）,0.0,0.5,0.5,0.0,0.0,1.0,,0.41541095890410956,0.5845890410958904,,0.41541095890410956,0.5845890410958904,14600.0
大阪市議会議員補欠選挙（2017年10月22日投票）,大阪府,大阪市議会議員補欠選挙（2017年10月22日投票）,0.0,0.5,0.5,0.0,1.0,0.0,,0.6554806534096913,0.34451934659030875,,0.6554806534096913,0.34451934659030875,47321.0
大阪市議会議員補欠選挙（2015年11月22日投票）,大阪府,大阪市議会議員補欠選挙（2015年11月22日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,41586.0
大阪市議会議員選挙（2015年04月12日投票）,大阪府,大阪市議会議員選挙（2015年04月12日投票）,0.5142857142857142,0.4142857142857143,0.07142857142857142,0.7441860465116279,0.23255813953488372,0.023255813953488372,0.6703517597867177,0.28384370490148336,0.04580453531179898,9.87784074352483e-07,0.004893856981060058,0.004580453531179899,1012367.0
大阪市議会議員補欠選挙（2012年12月16日投票）,大阪府,大阪市議会議員補欠選挙（2012年12月16日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,37818.0
大阪市議会議員選挙（2011年04月10日投票）,大阪府,大阪市議会議員選挙（2011年04月10日投票）,0.5172413793103449,0.4413793103448276,0.041379310344827586,0.6627906976744186,0.32558139534883723,0.011627906976744186,0.6323508439953539,0.338069240763161,0.029579915241485052,9.835056271274456e-07,0.005282331886924391,0.004929985873580842,1016771.0
大阪市議会議員補欠選挙（2009年09月27日投票）,大阪府,大阪市議会議員補欠選挙（2009年09月27日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,16620.0
大阪市議会議員補欠選挙（2007年12月23日投票）,大阪府,大阪市議会議員補欠選挙（2007年12月23日投票）,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.5791208338483088,0.4208791661516912,,0.2895604169241544,0.4208791661516912,24273.0
大阪市議会議員選挙（2007年04月08日投票）,大阪府,大阪市議会議員選挙（2007年04月08日投票）,0.5681818181818182,0.4090909090909091,0.022727272727272728,0.7528089887640449,0.23595505617977527,0.011235955056179775,0.6999725575330829,0.28148384792963893,0.01854359453727829,0.009721841076848373,0.005212663850548869,0.006181198179092764,915734.0
大阪市議会議員補欠選挙（2006年10月15日投票）,大阪府,大阪市議会議員補欠選挙（2006年10月15日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,22684.0
大阪市議会議員補欠選挙（2005年11月27日投票）,大阪府,大阪市議会議員補欠選挙（2005年11月27日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,43011.0
大阪市議会議員選挙（2003年04月13日投票）,大阪府,大阪市議会議員選挙（2003年04月13日投票）,0.5511811023622047,0.4094488188976378,0.03937007874015748,0.7415730337078652,0.2247191011235955,0.033707865168539325,0.6486975947829395,0.3161503773462584,0.035152027870802086,1.0627975168798816e-06,0.006079814948966507,0.007030405574160417,940913.0
堺市議会議員選挙（2019年04月07日投票）,大阪府,堺市議会議員選挙（2019年04月07日投票）,,,,,,,,,,,,,335110.999
堺市議会議員補欠選挙（2017年09月24日投票）,大阪府,堺市議会議員補欠選挙（2017年09月24日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.2,,97360.0
堺市議会議員選挙（2015年04月12日投票）,大阪府,堺市議会議員選挙（2015年04月12日投票）,0.71875,0.21875,0.0625,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.7769073022293205,0.1706877596857468,0.052404938084932795,3.1500924552135607e-06,0.0121919828346962,0.013101234521233199,317451.0
堺市議会議員補欠選挙（2013年09月29日投票）,大阪府,堺市議会議員補欠選挙（2013年09月29日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.1,,159168.0
堺市議会議員選挙（2011年04月10日投票）,大阪府,堺市議会議員選挙（2011年04月10日投票）,0.6025641025641025,0.3076923076923077,0.08974358974358974,0.75,0.23076923076923078,0.019230769230769232,0.7005027346099936,0.23246169866460642,0.06703556672539997,3.0537241693106828e-06,0.009685904111025267,0.009576509532199995,327469.0
