ele_ymd,prefecture,ele_ymd,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes
福島市議会議員選挙（2019年06月30日投票）,福島県,福島市議会議員選挙（2019年06月30日投票）,0.8108108108108109,0.1891891891891892,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8665389791656868,0.13346102083431327,,1.0605861424769152e-05,0.01906586011918761,,94287.485
福島市議会議員選挙（2015年07月12日投票）,福島県,福島市議会議員選挙（2015年07月12日投票）,0.6590909090909091,0.3181818181818182,0.022727272727272728,0.7714285714285715,0.2,0.02857142857142857,0.6998800433969654,0.2315852515986098,0.06853470500442475,9.275234132416395e-06,0.016541803685614986,0.06853470500442475,107813.99
福島市議会議員選挙（2011年07月31日投票）,福島県,福島市議会議員選挙（2011年07月31日投票）,0.7045454545454546,0.2727272727272727,0.022727272727272728,0.7631578947368421,0.23684210526315788,0.0,0.7614196801199768,0.2268164618542212,0.011763858025801923,1.0310129733393448e-05,0.0189013718211851,0.011763858025801923,96991.98999999999
福島市議会議員補欠選挙（2009年11月08日投票）,福島県,福島市議会議員補欠選挙（2009年11月08日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,83674.0
福島市議会議員増員選挙（2008年08月10日投票）,福島県,福島市議会議員増員選挙（2008年08月10日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,3552.0
福島市議会議員選挙（2007年04月22日投票）,福島県,福島市議会議員選挙（2007年04月22日投票）,0.6829268292682927,0.3170731707317073,0.0,0.7105263157894737,0.2894736842105263,0.0,0.7180444370672484,0.2819555629327516,,7.904138606974611e-06,0.021688889456365507,,126516.0
福島市議会議員補欠選挙（2005年11月13日投票）,福島県,福島市議会議員補欠選挙（2005年11月13日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,118299.0
福島市議会議員選挙（2003年04月27日投票）,福島県,福島市議会議員選挙（2003年04月27日投票）,0.6222222222222222,0.3111111111111111,0.06666666666666667,0.6842105263157895,0.23684210526315788,0.07894736842105263,0.6458424793877284,0.2834636095147269,0.0706939110975447,7.90582767809715e-06,0.02024740067962335,0.023564637032514903,126488.97
会津若松市議会議員選挙（2019年08月04日投票）,福島県,会津若松市議会議員選挙（2019年08月04日投票）,0.75,0.21875,0.03125,0.8214285714285714,0.14285714285714285,0.03571428571428571,0.8079081732080914,0.16533499629730677,0.026756830494601862,1.9487859063803253e-05,0.02361928518532954,0.026756830494601862,51314.0
会津若松市議会議員選挙（2015年07月26日投票）,福島県,会津若松市議会議員選挙（2015年07月26日投票）,0.5142857142857142,0.4857142857142857,0.0,0.6,0.4,0.0,0.560105083841307,0.43989491615869303,,2.0524187755269586e-05,0.025876171538746648,,48723.0
会津若松市議会議員選挙（2011年08月07日投票）,福島県,会津若松市議会議員選挙（2011年08月07日投票）,0.75,0.15625,0.09375,0.8,0.13333333333333333,0.06666666666666667,0.7847449791976989,0.12850172068416457,0.08675330011813652,1.71212354683514e-05,0.025700344136832913,0.028917766706045508,58407.0
会津若松市議会議員選挙（2007年04月22日投票）,福島県,会津若松市議会議員選挙（2007年04月22日投票）,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7666666666666667,0.16666666666666666,0.06666666666666667,0.7419667457050172,0.1709500603697831,0.08708319392519966,1.4546935687997323e-05,0.02136875754622289,0.021770798481299914,68743.0
会津若松市議会議員選挙（2003年04月27日投票）,福島県,会津若松市議会議員選挙（2003年04月27日投票）,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.64606343928495e-05,,,60751.0
郡山市議会議員選挙（2019年08月11日投票）,福島県,郡山市議会議員選挙（2019年08月11日投票）,,,,,,,,,,,,,98041.995
郡山市議会議員補欠選挙（2017年04月16日投票）,福島県,郡山市議会議員補欠選挙（2017年04月16日投票）,0.0,0.75,0.25,0.0,1.0,0.0,,0.7405515177426251,0.25944848225737493,,0.24685050591420835,0.25944848225737493,93560.0
郡山市議会議員選挙（2015年08月09日投票）,福島県,郡山市議会議員選挙（2015年08月09日投票）,0.5483870967741935,0.43548387096774194,0.016129032258064516,0.6842105263157895,0.2894736842105263,0.02631578947368421,0.623096491369798,0.35686394005643535,0.020039568573766785,8.824116500998145e-06,0.013217182965053162,0.020039568573766785,113325.793
郡山市議会議員選挙（2011年09月04日投票）,福島県,郡山市議会議員選挙（2011年09月04日投票）,0.6744186046511628,0.3023255813953488,0.023255813953488372,0.7,0.275,0.025,0.7201969732498782,0.258915204098198,0.020887822651923738,9.01892169772182e-06,0.019916554161399848,0.020887822651923738,110878.0
郡山市議会議員選挙（2007年04月22日投票）,福島県,郡山市議会議員選挙（2007年04月22日投票）,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,7.002997282837054e-06,,,142796.0
