"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","30207","和歌山県 新宮市","","12160721","2983832","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30208","和歌山県 紀の川市","","15364017","4065798","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30209","和歌山県 岩出市","","6105611","2149222","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30304","和歌山県 紀美野町","","5687552","725150","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30341","和歌山県 かつらぎ町","","7576173","1684788","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30343","和歌山県 九度山町","","2094984","387599","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30344","和歌山県 高野町","","2906594","423482","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30361","和歌山県 湯浅町","","6266798","945041","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30362","和歌山県 広川町","","3943865","475052","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30366","和歌山県 有田川町","","11541874","1599644","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30381","和歌山県 美浜町","","1978515","510408","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30382","和歌山県 日高町","","3206882","424368","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30383","和歌山県 由良町","","3705610","618781","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30390","和歌山県 印南町","","3992555","642748","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30391","和歌山県 みなべ町","","7279913","1028255","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30392","和歌山県 日高川町","","7364747","641818","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30401","和歌山県 白浜町","","8245949","2921219","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
