"","","","","/項目 コード","D3203","D320301","D320302","D320303","D320304","D320305","D320306","D320307","D320308","D320309","D320310","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320410","D320411","D320412"
"調査年 コード","調査年","地域 コード","地域","/項目","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】","D320307_商工費（市町村財政）【千円】","D320308_土木費（市町村財政）【千円】","D320309_消防費（市町村財政）【千円】","D320310_教育費（市町村財政）【千円】","D320311_災害復旧費（市町村財政）【千円】","D320312_公債費（市町村財政）（目的別歳出内訳）【千円】","D320401_人件費（市町村財政）【千円】","D320402_物件費（市町村財政）【千円】","D320403_維持補修費（市町村財政）【千円】","D320404_扶助費（市町村財政）【千円】","D320405_補助費等（市町村財政）【千円】","D320406_普通建設事業費（市町村財政）【千円】","D320407_災害復旧事業費（市町村財政）【千円】","D320408_失業対策事業費（市町村財政）【千円】","D320410_積立金（市町村財政）【千円】","D320411_投資及び出資金（市町村財政）【千円】","D320412_貸付金（市町村財政）【千円】"
"1986100000","1986年度","26108","京都府 京都市 右京区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26109","京都府 京都市 伏見区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26110","京都府 京都市 山科区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26111","京都府 京都市 西京区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26201","京都府 福知山市","","26047261","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26202","京都府 舞鶴市","","24242527","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26203","京都府 綾部市","","12250733","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26204","京都府 宇治市","","26304653","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26205","京都府 宮津市","","8739918","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26206","京都府 亀岡市","","17724899","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26207","京都府 城陽市","","15176752","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26208","京都府 向日市","","10154339","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26209","京都府 長岡京市","","18327039","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26210","京都府 八幡市","","21299081","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26211","京都府 京田辺市","","14594622","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26212","京都府 京丹後市","","17505024","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26213","京都府 南丹市","","17642034","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26214","京都府 木津川市","","10848388","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26303","京都府 大山崎町","","4614409","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26322","京都府 久御山町","","4500556","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26343","京都府 井手町","","3222200","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26344","京都府 宇治田原町","","2559299","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26364","京都府 笠置町","","1124680","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26365","京都府 和束町","","2857044","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26366","京都府 精華町","","3411569","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26367","京都府 南山城村","","1455032","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26407","京都府 京丹波町","","7768204","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26463","京都府 伊根町","","2004319","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","26465","京都府 与謝野町","","6790343","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27100","大阪府 大阪市","","1102909099","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27102","大阪府 大阪市 都島区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27103","大阪府 大阪市 福島区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27104","大阪府 大阪市 此花区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27106","大阪府 大阪市 西区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27107","大阪府 大阪市 港区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27108","大阪府 大阪市 大正区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27109","大阪府 大阪市 天王寺区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27111","大阪府 大阪市 浪速区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27113","大阪府 大阪市 西淀川区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27114","大阪府 大阪市 東淀川区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27115","大阪府 大阪市 東成区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27116","大阪府 大阪市 生野区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27117","大阪府 大阪市 旭区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27118","大阪府 大阪市 城東区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27119","大阪府 大阪市 阿倍野区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27120","大阪府 大阪市 住吉区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27121","大阪府 大阪市 東住吉区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27122","大阪府 大阪市 西成区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27123","大阪府 大阪市 淀川区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27124","大阪府 大阪市 鶴見区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27125","大阪府 大阪市 住之江区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27126","大阪府 大阪市 平野区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27127","大阪府 大阪市 北区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27128","大阪府 大阪市 中央区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27140","大阪府 堺市","","184587024","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27141","大阪府 堺市 堺区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27142","大阪府 堺市 中区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27143","大阪府 堺市 東区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27144","大阪府 堺市 西区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27145","大阪府 堺市 南区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27146","大阪府 堺市 北区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27147","大阪府 堺市 美原区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27202","大阪府 岸和田市","","34150620","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27203","大阪府 豊中市","","80778002","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27204","大阪府 池田市","","20225197","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27205","大阪府 吹田市","","67585195","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27206","大阪府 泉大津市","","14229172","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27207","大阪府 高槻市","","62506932","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27208","大阪府 貝塚市","","14231300","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27209","大阪府 守口市","","38393537","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27210","大阪府 枚方市","","75928650","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27211","大阪府 茨木市","","46107704","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27212","大阪府 八尾市","","57819996","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27213","大阪府 泉佐野市","","18566774","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27214","大阪府 富田林市","","21536852","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27215","大阪府 寝屋川市","","58761099","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27216","大阪府 河内長野市","","18083078","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27217","大阪府 松原市","","27458409","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27218","大阪府 大東市","","27491151","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27219","大阪府 和泉市","","30695108","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27220","大阪府 箕面市","","30527975","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27221","大阪府 柏原市","","12932428","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27222","大阪府 羽曳野市","","17760023","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27223","大阪府 門真市","","27925636","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27224","大阪府 摂津市","","17877324","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27225","大阪府 高石市","","15581900","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27226","大阪府 藤井寺市","","10745153","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27227","大阪府 東大阪市","","111038804","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27228","大阪府 泉南市","","11242775","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27229","大阪府 四條畷市","","9394289","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27230","大阪府 交野市","","14013863","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27231","大阪府 大阪狭山市","","9630718","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27232","大阪府 阪南市","","7904752","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27301","大阪府 島本町","","6419788","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27321","大阪府 豊能町","","3504824","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27322","大阪府 能勢町","","2673040","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27341","大阪府 忠岡町","","3100222","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27361","大阪府 熊取町","","5331904","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27362","大阪府 田尻町","","1472124","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27366","大阪府 岬町","","5801219","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27381","大阪府 太子町","","2104887","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27382","大阪府 河南町","","3820300","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","27383","大阪府 千早赤阪村","","1750459","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28100","兵庫県 神戸市","","566379797","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28101","兵庫県 神戸市 東灘区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28102","兵庫県 神戸市 灘区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28105","兵庫県 神戸市 兵庫区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28106","兵庫県 神戸市 長田区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28107","兵庫県 神戸市 須磨区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28108","兵庫県 神戸市 垂水区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28109","兵庫県 神戸市 北区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28110","兵庫県 神戸市 中央区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28111","兵庫県 神戸市 西区","","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28201","兵庫県 姫路市","","117088530","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28202","兵庫県 尼崎市","","135490951","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28203","兵庫県 明石市","","48320347","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28204","兵庫県 西宮市","","90606648","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28205","兵庫県 洲本市","","12572217","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28206","兵庫県 芦屋市","","26807534","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28207","兵庫県 伊丹市","","38456134","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28208","兵庫県 相生市","","9055217","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28209","兵庫県 豊岡市","","25747813","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28210","兵庫県 加古川市","","41999244","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28212","兵庫県 赤穂市","","11981270","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
