"","","","","/項目 コード","H8101","H8102","H8103","H810401","H810402","H810407","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810401_住居専用地域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810407_工業専用地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"2005100000","2005年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2004100000","2004年度","03305","（旧）岩手県 滝沢村","","***","5787","***","373.1","264.0","0.0","0.0","46.0"
"2004100000","2004年度","04423","（旧）宮城県 富谷町","","***","3857","***","666.4","174.2","0.0","42.0","173.1"
"2004100000","2004年度","12402","（旧）千葉県 大網白里町","","***","5253","***","314.0","183.1","0.0","16.3","40.0"
"2004100000","2004年度","17344","（旧）石川県 野々市町","","***","406","***","260.0","351.0","0.0","52.0","287.0"
"2004100000","2004年度","23304","（旧）愛知県 長久手町","","***","1454","***","365.0","243.0","0.0","5.1","87.0"
"2004100000","2004年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.1","217.3","0.0","14.6","47.0"
"2003100000","2003年度","03305","（旧）岩手県 滝沢村","","***","5800","***","380.1","244.0","0.0","0.0","46.0"
"2003100000","2003年度","04423","（旧）宮城県 富谷町","","***","3857","***","666.4","174.2","0.0","42.0","173.1"
"2003100000","2003年度","12402","（旧）千葉県 大網白里町","","***","5253","***","314.4","182.8","0.0","15.9","39.5"
"2003100000","2003年度","17344","（旧）石川県 野々市町","","***","406","***","260.0","351.0","0.0","52.0","287.0"
"2003100000","2003年度","23304","（旧）愛知県 長久手町","","***","1454","***","365.0","243.0","0.0","5.1","87.0"
"2003100000","2003年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.1","217.3","0.0","14.6","47.0"
"2002100000","2002年度","03305","（旧）岩手県 滝沢村","","***","5800","***","380.1","244.0","0.0","0.0","46.0"
"2002100000","2002年度","04423","（旧）宮城県 富谷町","","***","3857","***","693.0","168.5","0.0","42.0","152.2"
"2002100000","2002年度","12402","（旧）千葉県 大網白里町","","***","5253","***","314.4","182.8","0.0","15.9","39.5"
"2002100000","2002年度","17344","（旧）石川県 野々市町","","***","406","***","306.0","336.0","0.0","51.0","257.0"
"2002100000","2002年度","23304","（旧）愛知県 長久手町","","***","1454","***","408.0","219.0","0.0","5.1","68.0"
"2002100000","2002年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.1","217.3","0.0","14.6","47.0"
"2001100000","2001年度","03305","（旧）岩手県 滝沢村","","***","5800","***","380.1","244.0","0.0","0.0","46.0"
"2001100000","2001年度","04423","（旧）宮城県 富谷町","","***","3857","***","693.0","168.5","0.0","42.0","152.2"
"2001100000","2001年度","12402","（旧）千葉県 大網白里町","","***","5253","***","314.4","182.8","0.0","15.9","39.5"
"2001100000","2001年度","17344","（旧）石川県 野々市町","","***","406","***","306.0","336.0","0.0","51.0","257.0"
"2001100000","2001年度","23304","（旧）愛知県 長久手町","","***","1454","***","408.0","219.3","0.0","5.1","68.0"
"2001100000","2001年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.1","217.3","0.0","14.6","47.0"
"2000100000","2000年度","03305","（旧）岩手県 滝沢村","","***","5854","***","349.5","221.0","0.0","0.0","46.0"
"2000100000","2000年度","04423","（旧）宮城県 富谷町","","***","3857","***","711.3","160.7","33.1","42.0","108.6"
"2000100000","2000年度","12402","（旧）千葉県 大網白里町","","***","5253","***","314.4","182.8","0.0","15.9","39.5"
"2000100000","2000年度","17344","（旧）石川県 野々市町","","***","406","***","322.0","320.0","0.0","51.0","257.0"
"2000100000","2000年度","23304","（旧）愛知県 長久手町","","***","1400","***","426.0","251.3","0.0","5.1","72.0"
"2000100000","2000年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.1","217.3","0.0","14.6","47.0"
"1999100000","1999年度","03305","（旧）岩手県 滝沢村","","***","5854","***","350.0","221.0","0.0","0.0","46.0"
"1999100000","1999年度","04423","（旧）宮城県 富谷町","","***","3857","***","710.4","161.8","33.1","42.0","108.6"
"1999100000","1999年度","12402","（旧）千葉県 大網白里町","","***","5287","***","314.4","182.8","0.0","15.9","39.5"
"1999100000","1999年度","17344","（旧）石川県 野々市町","","***","406","***","322.0","320.0","0.0","51.0","257.0"
"1999100000","1999年度","23304","（旧）愛知県 長久手町","","***","1400","***","426.0","251.3","0.0","5.1","72.0"
"1999100000","1999年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.1","217.3","0.0","14.6","47.0"
"1998100000","1998年度","03305","（旧）岩手県 滝沢村","","***","5873","***","330.0","221.0","0.0","0.0","46.0"
"1998100000","1998年度","04423","（旧）宮城県 富谷町","","***","3927","***","641.0","161.7","33.1","42.0","108.6"
"1998100000","1998年度","12402","（旧）千葉県 大網白里町","","***","5287","***","314.4","182.8","0.0","15.9","39.5"
"1998100000","1998年度","17344","（旧）石川県 野々市町","","***","474","***","255.0","320.0","0.0","51.0","256.0"
"1998100000","1998年度","23304","（旧）愛知県 長久手町","","***","1400","***","426.0","251.3","0.0","5.1","72.0"
"1998100000","1998年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.0","217.0","0.0","15.0","47.0"
"1997100000","1997年度","03305","（旧）岩手県 滝沢村","","***","5873","***","330.0","221.0","0.0","0.0","46.0"
"1997100000","1997年度","04423","（旧）宮城県 富谷町","","***","3996","***","617.9","149.1","0.0","42.0","108.1"
