"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2019100000","2019年度","01465","北海道 剣淵町","","13099","9294"
"2019100000","2019年度","01468","北海道 下川町","","64420","8950"
"2019100000","2019年度","01469","北海道 美深町","","67209","9401"
"2019100000","2019年度","01470","北海道 音威子府村","","27563","3871"
"2019100000","2019年度","01471","北海道 中川町","","59474","8328"
"2019100000","2019年度","01472","北海道 幌加内町","","76704","13178"
"2019100000","2019年度","01481","北海道 増毛町","","36971","4787"
"2019100000","2019年度","01482","北海道 小平町","","62722","7665"
"2019100000","2019年度","01483","北海道 苫前町","","45460","9054"
"2019100000","2019年度","01484","北海道 羽幌町","","47265","8934"
"2019100000","2019年度","01485","北海道 初山別村","","27952","5012"
"2019100000","2019年度","01486","北海道 遠別町","","59080","9714"
"2019100000","2019年度","01487","北海道 天塩町","","35356","15028"
"2019100000","2019年度","01511","北海道 猿払村","","58997","12744"
"2019100000","2019年度","01512","北海道 浜頓別町","","40164","8371"
"2019100000","2019年度","01513","北海道 中頓別町","","39851","6519"
"2019100000","2019年度","01514","北海道 枝幸町","","111593","21365"
"2019100000","2019年度","01516","北海道 豊富町","","52069","23912"
"2019100000","2019年度","01517","北海道 礼文町","","8164","1632"
"2019100000","2019年度","01518","北海道 利尻町","","7650","2749"
"2019100000","2019年度","01519","北海道 利尻富士町","","10562","3846"
"2019100000","2019年度","01520","北海道 幌延町","","57410","13584"
"2019100000","2019年度","01543","北海道 美幌町","","43841","17033"
"2019100000","2019年度","01544","北海道 津別町","","71680","10557"
"2019100000","2019年度","01545","北海道 斜里町","","73713","30876"
"2019100000","2019年度","01546","北海道 清里町","","40276","13220"
"2019100000","2019年度","01547","北海道 小清水町","","28689","14492"
"2019100000","2019年度","01549","北海道 訓子府町","","19095","8507"
"2019100000","2019年度","01550","北海道 置戸町","","52727","8168"
"2019100000","2019年度","01552","北海道 佐呂間町","","40494","12725"
"2019100000","2019年度","01555","北海道 遠軽町","","133245","20103"
"2019100000","2019年度","01559","北海道 湧別町","","50579","16626"
"2019100000","2019年度","01560","北海道 滝上町","","76689","9569"
"2019100000","2019年度","01561","北海道 興部町","","36254","7639"
"2019100000","2019年度","01562","北海道 西興部村","","30808","3310"
"2019100000","2019年度","01563","北海道 雄武町","","63689","15707"
"2019100000","2019年度","01564","北海道 大空町","","34366","19363"
"2019100000","2019年度","01571","北海道 豊浦町","","23357","4095"
"2019100000","2019年度","01575","北海道 壮瞥町","","20501","3424"
"2019100000","2019年度","01578","北海道 白老町","","42564","7439"
"2019100000","2019年度","01581","北海道 厚真町","","40461","9908"
"2019100000","2019年度","01584","北海道 洞爺湖町","","18081","6097"
"2019100000","2019年度","01585","北海道 安平町","","23716","11743"
"2019100000","2019年度","01586","北海道 むかわ町","","71136","13896"
"2019100000","2019年度","01601","北海道 日高町","","99214","22860"
"2019100000","2019年度","01602","北海道 平取町","","74309","13020"
"2019100000","2019年度","01604","北海道 新冠町","","58581","14632"
"2019100000","2019年度","01607","北海道 浦河町","","69426","12749"
"2019100000","2019年度","01608","北海道 様似町","","36430","3607"
"2019100000","2019年度","01609","北海道 えりも町","","28400","3615"
"2019100000","2019年度","01610","北海道 新ひだか町","","114755","23211"
"2019100000","2019年度","01631","北海道 音更町","","46602","33509"
"2019100000","2019年度","01632","北海道 士幌町","","25919","19812"
"2019100000","2019年度","01633","北海道 上士幌町","","69423","18532"
"2019100000","2019年度","01634","北海道 鹿追町","","40288","16372"
"2019100000","2019年度","01635","北海道 新得町","","106383","21885"
"2019100000","2019年度","01636","北海道 清水町","","40225","22382"
"2019100000","2019年度","01637","北海道 芽室町","","51376","28862"
"2019100000","2019年度","01638","北海道 中札内村","","29258","12714"
"2019100000","2019年度","01639","北海道 更別村","","17690","14579"
"2019100000","2019年度","01641","北海道 大樹町","","81568","24329"
"2019100000","2019年度","01642","北海道 広尾町","","59654","12437"
"2019100000","2019年度","01643","北海道 幕別町","","47764","31671"
"2019100000","2019年度","01644","北海道 池田町","","37179","13735"
"2019100000","2019年度","01645","北海道 豊頃町","","53671","18492"
"2019100000","2019年度","01646","北海道 本別町","","39191","17189"
"2019100000","2019年度","01647","北海道 足寄町","","140804","22400"
"2019100000","2019年度","01648","北海道 陸別町","","60890","9450"
"2019100000","2019年度","01649","北海道 浦幌町","","72985","17622"
"2019100000","2019年度","01661","北海道 釧路町","","25266","4466"
"2019100000","2019年度","01662","北海道 厚岸町","","73927","19149"
"2019100000","2019年度","01663","北海道 浜中町","","42363","19465"
"2019100000","2019年度","01664","北海道 標茶町","","109937","36226"
"2019100000","2019年度","01665","北海道 弟子屈町","","77433","16144"
"2019100000","2019年度","01667","北海道 鶴居村","","57180","11747"
"2019100000","2019年度","01668","北海道 白糠町","","77313","10264"
"2019100000","2019年度","01691","北海道 別海町","","131963","80524"
