"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"2007100000","2007年度","09321","（旧）栃木県 西方町","","2714712","1114793","57310","3170","773354","39647","65170","94053","3530","250","152679","74009","29910","141100","5754","1420905","39863"
"2007100000","2007年度","09367","（旧）栃木県 岩舟町","","5204321","2170067","100242","8496","1357590","70978","237440","274893","4500","300","8904","312254","69946","261833","11198","2672864","111503"
"2007100000","2007年度","11226","（旧）埼玉県 鳩ヶ谷市","","17499562","8817263","129310","33098","1395780","294511","1219937","1578389","3023","513","556156","809969","537248","1391926","46884","11104311","232690"
"2007100000","2007年度","23481","（旧）愛知県 一色町","","7010010","3249671","109536","19448","1031004","216970","255154","377480","28152","1510","515552","229462","267402","303200","21787","4527645","118477"
"2007100000","2007年度","23482","（旧）愛知県 吉良町","","6646028","3612026","178397","16851","384124","203200","249122","392705","111706","1778","20574","376789","240420","369500","17579","4590894","104694"
"2007100000","2007年度","23483","（旧）愛知県 幡豆町","","4617973","1672670","79864","8978","710473","97867","212044","207361","226165","1180","357165","214154","314959","261100","9883","2914870","57435"
"2007100000","2007年度","32304","（旧）島根県 東出雲町","","5541460","1550131","76199","6299","1754642","161529","440761","259523","31148","1070","318922","137941","62485","417300","10423","2418426","370447"
"2007100000","2007年度","32401","（旧）島根県 斐川町","","10509345","3870508","561217","12344","2883041","239377","534681","643082","17421","10455","12000","102975","617526","427033","27922","5048058","133121"
"2006100000","2006年度","03422","（旧）岩手県 藤沢町","","5065441","589944","230053","1778","2777696","89353","182215","206724","73074","7190","115606","19261","228007","277450","13874","1244017","66467"
"2006100000","2006年度","09321","（旧）栃木県 西方町","","2517218","950615","113514","2397","721043","38153","52129","77831","11797","250","39686","128319","46063","160900","22139","1220477","26163"
