"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"2007100000","2007年度","09367","（旧）栃木県 岩舟町","","131","0.62","6.8","92.0","12.8","2012201","3217996","3639097","286050","***","***","***","***","***"
"2007100000","2007年度","11226","（旧）埼玉県 鳩ヶ谷市","","303","0.80","8.5","91.0","14.9","6697105","8026257","10389237","1801535","***","***","***","4122847","3459391"
"2007100000","2007年度","23481","（旧）愛知県 一色町","","176","0.74","6.7","84.3","6.4","2788250","3698130","4411998","693716","***","***","***","***","***"
"2007100000","2007年度","23482","（旧）愛知県 吉良町","","172","0.89","5.9","86.7","5.7","3291036","3576877","4192126","620763","***","***","***","***","***"
"2007100000","2007年度","23483","（旧）愛知県 幡豆町","","99","0.68","6.6","90.4","6.3","1529062","2179249","2472890","733985","***","***","***","***","***"
"2007100000","2007年度","32304","（旧）島根県 東出雲町","","74","0.45","1.6","95.6","22.8","1412888","2981325","3391395","590559","***","***","***","***","***"
"2007100000","2007年度","32401","（旧）島根県 斐川町","","134","0.56","1.4","91.8","19.8","3461702","6233013","7342688","592515","***","***","***","***","***"
"2006100000","2006年度","03422","（旧）岩手県 藤沢町","","91","0.22","2.0","93.5","12.5","779176","3338851","3611567","266799","***","***","***","***","***"
"2006100000","2006年度","09321","（旧）栃木県 西方町","","67","0.60","7.5","84.8","11.2","981931","1615193","1807311","90701","***","***","***","***","***"
"2006100000","2006年度","09367","（旧）栃木県 岩舟町","","131","0.62","8.6","90.0","12.1","1934352","3066266","3514959","275773","***","***","***","***","***"
