"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"1992100000","1992年度","03422","（旧）岩手県 藤沢町","","***","0.19","3.2","***","11.6","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","09321","（旧）栃木県 西方町","","***","0.48","3.5","***","6.4","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","09367","（旧）栃木県 岩舟町","","***","0.54","3.6","***","9.2","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.72","4.9","***","6.1","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","23481","（旧）愛知県 一色町","","***","0.60","3.9","***","10.4","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","23482","（旧）愛知県 吉良町","","***","0.68","9.8","***","10.3","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","23483","（旧）愛知県 幡豆町","","***","0.55","4.4","***","7.2","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","32304","（旧）島根県 東出雲町","","***","0.39","2.1","***","11.6","***","***","***","***","***","***","***","***","***"
"1992100000","1992年度","32401","（旧）島根県 斐川町","","***","0.47","1.4","***","11.1","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","03422","（旧）岩手県 藤沢町","","***","0.18","2.1","***","12.3","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","09321","（旧）栃木県 西方町","","***","0.48","6.8","***","6.3","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","09367","（旧）栃木県 岩舟町","","***","0.53","3.2","***","10.1","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.72","6.2","***","6.2","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","23481","（旧）愛知県 一色町","","***","0.59","4.2","***","11.1","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","23482","（旧）愛知県 吉良町","","***","0.65","5.4","***","11.0","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","23483","（旧）愛知県 幡豆町","","***","0.53","5.1","***","7.7","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","32304","（旧）島根県 東出雲町","","***","0.37","3.6","***","11.9","***","***","***","***","***","***","***","***","***"
"1991100000","1991年度","32401","（旧）島根県 斐川町","","***","0.47","0.2","***","12.2","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","03422","（旧）岩手県 藤沢町","","***","0.18","4.4","***","11.6","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","09321","（旧）栃木県 西方町","","***","0.47","12.1","***","6.3","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","09367","（旧）栃木県 岩舟町","","***","0.54","5.0","***","10.2","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.72","5.0","***","6.3","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","23481","（旧）愛知県 一色町","","***","0.60","4.9","***","11.9","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","23482","（旧）愛知県 吉良町","","***","0.66","2.4","***","12.1","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","23483","（旧）愛知県 幡豆町","","***","0.53","7.0","***","8.4","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","32304","（旧）島根県 東出雲町","","***","0.40","5.1","***","12.7","***","***","***","***","***","***","***","***","***"
"1990100000","1990年度","32401","（旧）島根県 斐川町","","***","0.48","1.6","***","13.1","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","03422","（旧）岩手県 藤沢町","","***","0.19","3.7","***","11.0","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","09321","（旧）栃木県 西方町","","***","0.48","6.8","***","6.6","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","09367","（旧）栃木県 岩舟町","","***","0.54","5.9","***","11.1","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.73","7.1","***","6.0","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","23481","（旧）愛知県 一色町","","***","0.62","5.4","***","11.6","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","23482","（旧）愛知県 吉良町","","***","0.70","2.0","***","11.8","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","23483","（旧）愛知県 幡豆町","","***","0.54","9.9","***","7.7","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","32304","（旧）島根県 東出雲町","","***","0.43","4.9","***","11.8","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","32401","（旧）島根県 斐川町","","***","0.47","0.3","***","11.3","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","03422","（旧）岩手県 藤沢町","","***","0.21","4.0","***","14.6","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","09321","（旧）栃木県 西方町","","***","0.48","9.8","***","8.0","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","09367","（旧）栃木県 岩舟町","","***","0.54","5.1","***","11.6","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.74","6.6","***","6.6","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","23481","（旧）愛知県 一色町","","***","0.65","6.6","***","13.8","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","23482","（旧）愛知県 吉良町","","***","0.74","2.7","***","14.9","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","23483","（旧）愛知県 幡豆町","","***","0.57","6.6","***","10.0","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32304","（旧）島根県 東出雲町","","***","0.47","5.7","***","16.0","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32401","（旧）島根県 斐川町","","***","0.49","0.6","***","16.4","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","03422","（旧）岩手県 藤沢町","","***","0.20","6.1","***","16.0","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","09321","（旧）栃木県 西方町","","***","0.49","9.5","***","8.4","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","09367","（旧）栃木県 岩舟町","","***","0.53","6.3","***","12.7","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.75","7.6","***","6.6","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","23481","（旧）愛知県 一色町","","***","0.65","5.5","***","14.0","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","23482","（旧）愛知県 吉良町","","***","0.72","2.8","***","14.4","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","23483","（旧）愛知県 幡豆町","","***","0.58","4.9","***","10.6","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","32304","（旧）島根県 東出雲町","","***","0.47","3.8","***","16.5","***","***","***","***","***","***","***","***","***"
"1987100000","1987年度","32401","（旧）島根県 斐川町","","***","0.47","1.7","***","17.3","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","03422","（旧）岩手県 藤沢町","","***","0.20","6.5","***","16.9","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","09321","（旧）栃木県 西方町","","***","0.47","8.1","***","8.4","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","09367","（旧）栃木県 岩舟町","","***","0.52","5.9","***","12.1","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.73","4.9","***","7.0","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","23481","（旧）愛知県 一色町","","***","0.63","5.5","***","13.4","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","23482","（旧）愛知県 吉良町","","***","0.69","3.1","***","13.8","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","23483","（旧）愛知県 幡豆町","","***","0.57","4.7","***","10.4","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","32304","（旧）島根県 東出雲町","","***","0.47","1.8","***","18.5","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","32401","（旧）島根県 斐川町","","***","0.47","1.4","***","17.7","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","03422","（旧）岩手県 藤沢町","","***","0.19","4.0","***","17.6","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","09321","（旧）栃木県 西方町","","***","0.45","11.2","***","8.9","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","09367","（旧）栃木県 岩舟町","","***","0.51","5.5","***","13.4","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.70","5.7","***","8.4","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","23481","（旧）愛知県 一色町","","***","0.60","2.9","***","13.9","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","23482","（旧）愛知県 吉良町","","***","0.65","3.9","***","14.1","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","23483","（旧）愛知県 幡豆町","","***","0.55","4.4","***","10.2","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","32304","（旧）島根県 東出雲町","","***","0.46","0.6","***","19.9","***","***","***","***","***","***","***","***","***"
"1985100000","1985年度","32401","（旧）島根県 斐川町","","***","0.46","0.7","***","17.8","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","03422","（旧）岩手県 藤沢町","","***","0.19","5.0","***","19.1","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","09321","（旧）栃木県 西方町","","***","0.44","11.7","***","9.5","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","09367","（旧）栃木県 岩舟町","","***","0.49","3.9","***","12.9","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.64","6.8","***","8.6","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","23481","（旧）愛知県 一色町","","***","0.55","4.0","***","13.8","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","23482","（旧）愛知県 吉良町","","***","0.63","3.6","***","14.7","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","23483","（旧）愛知県 幡豆町","","***","0.52","5.4","***","10.6","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","32304","（旧）島根県 東出雲町","","***","0.46","0.8","***","20.8","***","***","***","***","***","***","***","***","***"
"1984100000","1984年度","32401","（旧）島根県 斐川町","","***","0.44","0.6","***","18.5","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","03422","（旧）岩手県 藤沢町","","***","0.19","4.8","***","19.0","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","09321","（旧）栃木県 西方町","","***","0.44","8.8","***","9.0","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","09367","（旧）栃木県 岩舟町","","***","0.46","6.5","***","11.0","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.61","6.0","***","8.2","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","23481","（旧）愛知県 一色町","","***","0.52","4.5","***","12.6","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","23482","（旧）愛知県 吉良町","","***","0.60","4.0","***","13.4","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","23483","（旧）愛知県 幡豆町","","***","0.51","5.8","***","10.2","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","32304","（旧）島根県 東出雲町","","***","0.44","1.1","***","20.5","***","***","***","***","***","***","***","***","***"
"1983100000","1983年度","32401","（旧）島根県 斐川町","","***","0.42","1.2","***","20.4","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","03422","（旧）岩手県 藤沢町","","***","0.19","7.5","***","18.4","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","09321","（旧）栃木県 西方町","","***","0.43","11.1","***","8.8","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","09367","（旧）栃木県 岩舟町","","***","0.44","9.2","***","10.1","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.58","4.5","***","8.0","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","23481","（旧）愛知県 一色町","","***","0.50","3.4","***","12.1","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","23482","（旧）愛知県 吉良町","","***","0.58","4.4","***","12.1","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","23483","（旧）愛知県 幡豆町","","***","0.49","3.7","***","9.7","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","32304","（旧）島根県 東出雲町","","***","0.43","1.1","***","19.4","***","***","***","***","***","***","***","***","***"
"1982100000","1982年度","32401","（旧）島根県 斐川町","","***","0.40","2.5","***","18.9","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","03422","（旧）岩手県 藤沢町","","***","0.19","2.1","***","17.9","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","09321","（旧）栃木県 西方町","","***","0.41","16.1","***","8.7","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","09367","（旧）栃木県 岩舟町","","***","0.43","6.0","***","9.1","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.57","6.2","***","7.9","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","23481","（旧）愛知県 一色町","","***","0.49","2.7","***","12.7","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","23482","（旧）愛知県 吉良町","","***","0.56","4.8","***","11.1","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","23483","（旧）愛知県 幡豆町","","***","0.48","2.8","***","10.4","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","32304","（旧）島根県 東出雲町","","***","0.43","1.9","***","17.5","***","***","***","***","***","***","***","***","***"
"1981100000","1981年度","32401","（旧）島根県 斐川町","","***","0.39","0.1","***","18.7","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","03422","（旧）岩手県 藤沢町","","***","0.18","2.2","***","16.4","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","09321","（旧）栃木県 西方町","","***","0.40","8.2","***","8.4","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","09367","（旧）栃木県 岩舟町","","***","0.42","5.7","***","9.4","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.55","6.7","***","8.0","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","23481","（旧）愛知県 一色町","","***","0.46","3.2","***","12.5","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","23482","（旧）愛知県 吉良町","","***","0.55","3.9","***","10.6","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","23483","（旧）愛知県 幡豆町","","***","0.45","2.5","***","10.0","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","32304","（旧）島根県 東出雲町","","***","0.45","5.2","***","17.3","***","***","***","***","***","***","***","***","***"
"1980100000","1980年度","32401","（旧）島根県 斐川町","","***","0.37","0.1","***","14.8","***","***","***","***","***","***","***","***","***"
