"","","","","/項目 コード","C120110","C120120","C120130"
"調査年 コード","調査年","地域 コード","地域","/項目","C120110_課税対象所得【千円】","C120120_納税義務者数（所得割）【人】","C120130_納税義務者数（均等割）【人】"
"2003100000","2003年度","23483","（旧）愛知県 幡豆町","","18454356","5422","***"
"2003100000","2003年度","32304","（旧）島根県 東出雲町","","16117471","5609","***"
"2003100000","2003年度","32401","（旧）島根県 斐川町","","32543991","11245","***"
"2002100000","2002年度","03422","（旧）岩手県 藤沢町","","8170166","3288","***"
"2002100000","2002年度","09321","（旧）栃木県 西方町","","8613448","2866","***"
"2002100000","2002年度","09367","（旧）栃木県 岩舟町","","23135353","7607","***"
"2002100000","2002年度","11226","（旧）埼玉県 鳩ヶ谷市","","81078091","23300","***"
"2002100000","2002年度","23481","（旧）愛知県 一色町","","35423039","10251","***"
"2002100000","2002年度","23482","（旧）愛知県 吉良町","","33339310","9358","***"
"2002100000","2002年度","23483","（旧）愛知県 幡豆町","","18524253","5567","***"
"2002100000","2002年度","32304","（旧）島根県 東出雲町","","16186923","5539","***"
"2002100000","2002年度","32401","（旧）島根県 斐川町","","33051364","11432","***"
"2001100000","2001年度","03422","（旧）岩手県 藤沢町","","8517981","3387","***"
"2001100000","2001年度","09321","（旧）栃木県 西方町","","9085982","2901","***"
"2001100000","2001年度","09367","（旧）栃木県 岩舟町","","24106292","7674","***"
"2001100000","2001年度","11226","（旧）埼玉県 鳩ヶ谷市","","79670892","22740","***"
"2001100000","2001年度","23481","（旧）愛知県 一色町","","35495611","10242","***"
"2001100000","2001年度","23482","（旧）愛知県 吉良町","","33702867","9390","***"
"2001100000","2001年度","23483","（旧）愛知県 幡豆町","","19051607","5656","***"
"2001100000","2001年度","32304","（旧）島根県 東出雲町","","16278777","5303","***"
"2001100000","2001年度","32401","（旧）島根県 斐川町","","34114339","11551","***"
"2000100000","2000年度","03422","（旧）岩手県 藤沢町","","9064625","3545","***"
"2000100000","2000年度","09321","（旧）栃木県 西方町","","9016727","2881","***"
"2000100000","2000年度","09367","（旧）栃木県 岩舟町","","23978454","7690","***"
"2000100000","2000年度","11226","（旧）埼玉県 鳩ヶ谷市","","79575862","23064","***"
"2000100000","2000年度","23481","（旧）愛知県 一色町","","37298253","10605","***"
"2000100000","2000年度","23482","（旧）愛知県 吉良町","","33624982","9411","***"
"2000100000","2000年度","23483","（旧）愛知県 幡豆町","","20914268","5771","***"
"2000100000","2000年度","32304","（旧）島根県 東出雲町","","15542175","5125","***"
"2000100000","2000年度","32401","（旧）島根県 斐川町","","33860316","11480","***"
"1999100000","1999年度","03422","（旧）岩手県 藤沢町","","9241799","3631","***"
"1999100000","1999年度","09321","（旧）栃木県 西方町","","8823313","2819","***"
"1999100000","1999年度","09367","（旧）栃木県 岩舟町","","24518713","7840","***"
"1999100000","1999年度","11226","（旧）埼玉県 鳩ヶ谷市","","82480753","23748","***"
"1999100000","1999年度","23481","（旧）愛知県 一色町","","39618466","11030","***"
"1999100000","1999年度","23482","（旧）愛知県 吉良町","","34962199","9655","***"
"1999100000","1999年度","23483","（旧）愛知県 幡豆町","","19264801","5771","***"
"1999100000","1999年度","32304","（旧）島根県 東出雲町","","14899762","5116","***"
"1999100000","1999年度","32401","（旧）島根県 斐川町","","34267144","11560","***"
"1998100000","1998年度","03422","（旧）岩手県 藤沢町","","9317362","3639","***"
"1998100000","1998年度","09321","（旧）栃木県 西方町","","9306050","2873","***"
"1998100000","1998年度","09367","（旧）栃木県 岩舟町","","25850228","8039","***"
"1998100000","1998年度","11226","（旧）埼玉県 鳩ヶ谷市","","86562248","24311","***"
"1998100000","1998年度","23481","（旧）愛知県 一色町","","39574845","11010","***"
"1998100000","1998年度","23482","（旧）愛知県 吉良町","","35618347","9610","***"
"1998100000","1998年度","23483","（旧）愛知県 幡豆町","","20206605","5911","***"
"1998100000","1998年度","32304","（旧）島根県 東出雲町","","15369245","5119","***"
