"","","","","/項目 コード","B1101","B1102","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】"
"2002100000","2002年度","09321","（旧）栃木県 西方町","","3200","3200","1823"
"2002100000","2002年度","09367","（旧）栃木県 岩舟町","","4674","4674","3129"
"2002100000","2002年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","622","622"
"2002100000","2002年度","23481","（旧）愛知県 一色町","","2249","2249","2192"
"2002100000","2002年度","23482","（旧）愛知県 吉良町","","3598","3598","2794"
"2002100000","2002年度","23483","（旧）愛知県 幡豆町","","2604","2604","1189"
"2002100000","2002年度","32304","（旧）島根県 東出雲町","","4264","4264","1403"
"2002100000","2002年度","32401","（旧）島根県 斐川町","","8064","8064","5150"
"2001100000","2001年度","03422","（旧）岩手県 藤沢町","","12315","12315","5093"
"2001100000","2001年度","09321","（旧）栃木県 西方町","","3200","3200","1823"
"2001100000","2001年度","09367","（旧）栃木県 岩舟町","","4674","4674","3129"
"2001100000","2001年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","622","622"
"2001100000","2001年度","23481","（旧）愛知県 一色町","","2244","2244","2187"
"2001100000","2001年度","23482","（旧）愛知県 吉良町","","3598","3598","2794"
"2001100000","2001年度","23483","（旧）愛知県 幡豆町","","2604","2604","1189"
"2001100000","2001年度","32304","（旧）島根県 東出雲町","","4264","4264","1403"
"2001100000","2001年度","32401","（旧）島根県 斐川町","","8064","8064","5150"
"2000100000","2000年度","03422","（旧）岩手県 藤沢町","","12315","12315","5093"
"2000100000","2000年度","09321","（旧）栃木県 西方町","","3200","3200","1823"
"2000100000","2000年度","09367","（旧）栃木県 岩舟町","","4674","4674","3129"
"2000100000","2000年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","622","622"
"2000100000","2000年度","23481","（旧）愛知県 一色町","","2244","2244","2187"
"2000100000","2000年度","23482","（旧）愛知県 吉良町","","3598","3598","2794"
"2000100000","2000年度","23483","（旧）愛知県 幡豆町","","2604","2604","1189"
"2000100000","2000年度","32304","（旧）島根県 東出雲町","","4264","4264","1403"
"2000100000","2000年度","32401","（旧）島根県 斐川町","","8064","8064","5150"
"1999100000","1999年度","03422","（旧）岩手県 藤沢町","","12315","***","4989"
"1999100000","1999年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1999100000","1999年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1999100000","1999年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1999100000","1999年度","23481","（旧）愛知県 一色町","","2239","***","2182"
"1999100000","1999年度","23482","（旧）愛知県 吉良町","","3598","***","2732"
"1999100000","1999年度","23483","（旧）愛知県 幡豆町","","2604","***","1178"
"1999100000","1999年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1999100000","1999年度","32401","（旧）島根県 斐川町","","8064","***","5169"
"1998100000","1998年度","03422","（旧）岩手県 藤沢町","","12315","***","4989"
"1998100000","1998年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1998100000","1998年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1998100000","1998年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1998100000","1998年度","23481","（旧）愛知県 一色町","","2239","***","2182"
"1998100000","1998年度","23482","（旧）愛知県 吉良町","","3598","***","2732"
"1998100000","1998年度","23483","（旧）愛知県 幡豆町","","2604","***","1178"
"1998100000","1998年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1998100000","1998年度","32401","（旧）島根県 斐川町","","8064","***","5169"
"1997100000","1997年度","03422","（旧）岩手県 藤沢町","","12315","***","4989"
"1997100000","1997年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1997100000","1997年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1997100000","1997年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1997100000","1997年度","23481","（旧）愛知県 一色町","","2239","***","2182"
"1997100000","1997年度","23482","（旧）愛知県 吉良町","","3598","***","2732"
"1997100000","1997年度","23483","（旧）愛知県 幡豆町","","2604","***","1178"
"1997100000","1997年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1997100000","1997年度","32401","（旧）島根県 斐川町","","8064","***","5169"
"1996100000","1996年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1996100000","1996年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1996100000","1996年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1996100000","1996年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1996100000","1996年度","23481","（旧）愛知県 一色町","","2234","***","2177"
"1996100000","1996年度","23482","（旧）愛知県 吉良町","","3598","***","2732"
"1996100000","1996年度","23483","（旧）愛知県 幡豆町","","2604","***","1178"
"1996100000","1996年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1996100000","1996年度","32401","（旧）島根県 斐川町","","8064","***","5169"
"1995100000","1995年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1995100000","1995年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1995100000","1995年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
