ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,太田 あゆみ,オオタ アユミ,38,女,,高松市議会議員,無所属,True,4568.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,井上 たかし,イノウエ タカシ,77,男,,行政書士,自由民主党,True,4414.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,とみの 和憲,トミノ カズノリ,47,男,,高松市議会議員,立憲民主党,True,4381.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,植田 まき,ウエタ マキ,43,女,,高松市議会議員,無所属,True,4280.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,三笠 てるひこ,ミカサ テルヒコ,76,男,,農業,自由民主党,True,4269.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,斉藤 おさむ,サイトウ オサム,53,男,,経営コンサルタント,自由民主党,True,4088.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,岡下 勝彦,オカシタ カツヒコ,61,男,,高松市議会議員,自由民主党,True,3962.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,大西 さとし,オオニシ サトシ,48,男,,会社員,無所属,True,3826.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,辻 まさひこ,ツジ マサヒコ,50,男,,塾経営,自由民主党,True,3443.538,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
高松市議会議員選挙（2019年04月21日投票）,高松市議会議員選挙,香川県,高松市,高松市,杉本 勝利,スギモト カツトシ,49,男,,無職,自由民主党,True,3438.0,20190421,2019,4,21,20190414,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan,40.09,40,48,1.2,348316,nan,nan,nan,任期満了,47.63,nan,nan,nan
